plan_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,num,length,tuition,info,sg_info
plan_74_2807_11_2022_3_本科批,74_2807,74,2807,北京,2022,,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,1,四年,3800,,不限
plan_74_2792_11_2022_3_本科批,74_2792,74,2792,北京,2022,,本科 (1),理学 (9),化学类 (53),普通类,本科批,综合,1,四年,3500,,化学必选
plan_74_2795_11_2022_3_本科批,74_2795,74,2795,北京,2022,,本科 (1),工学 (10),计算机类 (71),普通类,本科批,综合,1,四年,3500,,物理必选
plan_74_2807_11_2022_3_本科批,74_2807,74,2807,北京,2022,,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,1,四年,3800,,不限
plan_74_2818_11_2022_3_本科批,74_2818,74,2818,北京,2022,,本科 (1),工学 (10),电气类 (68),普通类,本科批,综合,1,四年,3500,,物理必选
plan_74_2795_11_2022_3_本科批,74_2795,74,2795,北京,2022,,本科 (1),工学 (10),计算机类 (71),普通类,本科批,综合,1,四年,3500,,物理必选
plan_74_2818_11_2022_3_本科批,74_2818,74,2818,北京,2022,,本科 (1),工学 (10),电气类 (68),普通类,本科批,综合,1,四年,3500,,物理必选
plan_74_2792_11_2022_3_本科批,74_2792,74,2792,北京,2022,,本科 (1),理学 (9),化学类 (53),普通类,本科批,综合,1,四年,3500,,化学必选
plan_74_2787_13_2022_2074_本科批,74_2787,74,2787,河北,2022,,本科 (1),历史学 (8),历史学类 (50),普通类,本科批,历史类,4,四年,3100,,
plan_74_2814_13_2022_2074_本科批,74_2814,74,2814,河北,2022,,本科 (1),管理学 (13),旅游管理类 (120),普通类,本科批,历史类,2,四年,3500,,
plan_74_2832_13_2022_2074_本科批,74_2832,74,2832,河北,2022,,本科 (1),法学 (5),法学类 (39),普通类,本科批,历史类,2,四年,3800,,
plan_74_146602_13_2022_2074_本科批,74_146602,74,146602,河北,2022,,本科 (1),法学 (5),马克思主义理论类 (43),普通类,本科批,历史类,2,四年,3100,,
plan_74_2801_13_2022_2073_本科批,74_2801,74,2801,河北,2022,,本科 (1),工学 (10),食品科学与工程类 (89),普通类,本科批,物理类,6,四年,3500,,
plan_74_146609_13_2022_2073_本科批,74_146609,74,146609,河北,2022,,本科 (1),工学 (10),机械类 (64),普通类,本科批,物理类,6,四年,3500,,
plan_74_146610_13_2022_2073_本科批,74_146610,74,146610,河北,2022,,本科 (1),工学 (10),材料类 (66),普通类,本科批,物理类,6,四年,3500,,
plan_74_2781_13_2022_2073_本科批,74_2781,74,2781,河北,2022,,本科 (1),经济学 (4),经济学类 (35),普通类,本科批,物理类,5,四年,3500,,
plan_74_2783_13_2022_2073_本科批,74_2783,74,2783,河北,2022,,本科 (1),经济学 (4),金融学类 (37),普通类,本科批,物理类,5,四年,3500,,
plan_74_2790_13_2022_2073_本科批,74_2790,74,2790,河北,2022,,本科 (1),理学 (9),物理学类 (52),普通类,本科批,物理类,5,四年,3500,,
plan_74_2800_13_2022_2073_本科批,74_2800,74,2800,河北,2022,,本科 (1),工学 (10),化工与制药类 (75),普通类,本科批,物理类,5,四年,3500,,
plan_74_146612_13_2022_2073_本科批,74_146612,74,146612,河北,2022,,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,5,四年,3500,,
plan_74_146614_13_2022_2073_本科批,74_146614,74,146614,河北,2022,,本科 (1),工学 (10),地质类 (76),普通类,本科批,物理类,5,四年,3500,,
plan_74_146637_13_2022_2073_本科批,74_146637,74,146637,河北,2022,,本科 (1),理学 (9),统计学类 (62),普通类,本科批,物理类,5,四年,3500,,
plan_74_146639_13_2022_2073_本科批,74_146639,74,146639,河北,2022,,本科 (1),工学 (10),计算机类 (71),普通类,本科批,物理类,5,四年,3500,,
