plan_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,num,length,tuition,info,sg_info
plan_106_4842_11_2022_3_本科批,106_4842,106,4842,北京,2022,广告学,本科 (1),文学 (7),新闻传播学类 (49),普通类,本科批,综合,3,四年,6060,,不限
plan_106_4810_11_2022_3_本科批,106_4810,106,4810,北京,2022,汉语国际教育,本科 (1),文学 (7),中国语言文学类 (47),普通类,本科批,综合,2,四年,6060,,不限
plan_106_4818_11_2022_3_本科批,106_4818,106,4818,北京,2022,税收学,本科 (1),经济学 (4),财政学类 (36),普通类,本科批,综合,2,四年,6060,,不限
plan_106_4841_11_2022_3_本科批,106_4841,106,4841,北京,2022,新闻学,本科 (1),文学 (7),新闻传播学类 (49),普通类,本科批,综合,2,四年,12000,,不限
plan_106_4890_11_2022_3_本科批,106_4890,106,4890,北京,2022,翻译,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,2,四年,6850,,不限
plan_106_4900_11_2022_3_本科批,106_4900,106,4900,北京,2022,会计学,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,综合,2,四年,6060,,不限
plan_106_4906_11_2022_3_本科批,106_4906,106,4906,北京,2022,国际经济与贸易,本科 (1),经济学 (4),经济与贸易类 (38),普通类,本科批,综合,2,四年,12000,,不限
plan_106_4912_11_2022_3_本科批,106_4912,106,4912,北京,2022,日语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,2,四年,6850,,不限
plan_106_4842_11_2022_3_本科批,106_4842,106,4842,北京,2022,广告学,本科 (1),文学 (7),新闻传播学类 (49),普通类,本科批,综合,3,四年,6060,,不限
plan_106_4904_11_2022_3_本科批,106_4904,106,4904,北京,2022,电子科学与技术,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,综合,3,四年,6850,,物理必选
plan_106_4810_11_2022_3_本科批,106_4810,106,4810,北京,2022,汉语国际教育,本科 (1),文学 (7),中国语言文学类 (47),普通类,本科批,综合,2,四年,6060,,不限
plan_106_4818_11_2022_3_本科批,106_4818,106,4818,北京,2022,税收学,本科 (1),经济学 (4),财政学类 (36),普通类,本科批,综合,2,四年,6060,,不限
plan_106_4841_11_2022_3_本科批,106_4841,106,4841,北京,2022,新闻学,本科 (1),文学 (7),新闻传播学类 (49),普通类,本科批,综合,2,四年,12000,,不限
plan_106_4888_11_2022_3_本科批,106_4888,106,4888,北京,2022,数学与应用数学,本科 (1),理学 (9),数学类 (51),普通类,本科批,综合,2,四年,6850,,物理必选
plan_106_4890_11_2022_3_本科批,106_4890,106,4890,北京,2022,翻译,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,2,四年,6850,,不限
plan_106_4891_11_2022_3_本科批,106_4891,106,4891,北京,2022,生物科学,本科 (1),理学 (9),生物科学类 (60),普通类,本科批,综合,2,四年,6850,,物/化/生(3选1)
plan_106_4900_11_2022_3_本科批,106_4900,106,4900,北京,2022,会计学,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,综合,2,四年,6060,,不限
plan_106_4906_11_2022_3_本科批,106_4906,106,4906,北京,2022,国际经济与贸易,本科 (1),经济学 (4),经济与贸易类 (38),普通类,本科批,综合,2,四年,12000,,不限
plan_106_4912_11_2022_3_本科批,106_4912,106,4912,北京,2022,日语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,2,四年,6850,,不限
plan_106_4904_11_2022_3_本科批,106_4904,106,4904,北京,2022,电子科学与技术,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,综合,3,四年,6850,,物理必选
plan_106_4888_11_2022_3_本科批,106_4888,106,4888,北京,2022,数学与应用数学,本科 (1),理学 (9),数学类 (51),普通类,本科批,综合,2,四年,6850,,物理必选
plan_106_4891_11_2022_3_本科批,106_4891,106,4891,北京,2022,生物科学,本科 (1),理学 (9),生物科学类 (60),普通类,本科批,综合,2,四年,6850,,物/化/生(3选1)
plan_106_4819_13_2022_2073_本科提前批B段,106_4819,106,4819,河北,2022,工商管理,本科 (1),管理学 (13),工商管理类 (113),普通类,本科提前批B段,物理类,3,4,6060,（国家专项计划）（在珠海校区就读）,
plan_106_4833_13_2022_2073_本科提前批B段,106_4833,106,4833,河北,2022,自动化,本科 (1),工学 (10),自动化类 (70),普通类,本科提前批B段,物理类,3,4,6850,（国家专项计划）（在珠海校区就读）,
plan_106_93856_13_2022_2074_本科提前批B段,106_93856,106,93856,河北,2022,汉语言文学,本科 (1),文学 (7),中国语言文学类 (47),普通类,本科提前批B段,历史类,4,4,6060,（国家专项计划）（在珠海校区就读）,
plan_106_4866_14_2022_2_本科一批A段,106_4866,106,4866,山西,2022,酒店管理,本科 (1),管理学 (13),旅游管理类 (120),普通类,本科一批A段,文科,3,-,6060,,
plan_106_4874_14_2022_2_本科一批A段,106_4874,106,4874,山西,2022,汉语言,本科 (1),文学 (7),中国语言文学类 (47),普通类,本科一批A段,文科,3,-,6060,,
plan_106_4890_14_2022_2_本科一批A段,106_4890,106,4890,山西,2022,翻译,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科一批A段,文科,3,-,6850,,
plan_106_4819_14_2022_2_本科一批A段,106_4819,106,4819,山西,2022,工商管理,本科 (1),管理学 (13),工商管理类 (113),普通类,本科一批A段,文科,2,-,6060,,
plan_106_4850_14_2022_2_本科一批A段,106_4850,106,4850,山西,2022,经济学,本科 (1),经济学 (4),经济学类 (35),普通类,本科一批A段,文科,2,-,6060,,
plan_106_4894_14_2022_2_本科一批A段,106_4894,106,4894,山西,2022,市场营销,本科 (1),管理学 (13),工商管理类 (113),普通类,本科一批A段,文科,2,-,6060,,
plan_106_4895_14_2022_2_本科一批A段,106_4895,106,4895,山西,2022,电子商务,本科 (1),管理学 (13),电子商务类 (119),普通类,本科一批A段,文科,2,-,6060,,
plan_106_4896_14_2022_2_本科一批A段,106_4896,106,4896,山西,2022,旅游管理,本科 (1),管理学 (13),旅游管理类 (120),普通类,本科一批A段,文科,2,-,6060,,
plan_106_1129704_14_2022_1_本科一批A段,106_1129704,106,1129704,山西,2022,人工智能,本科 (1),工学 (10),电子信息类 (69),普通类,本科一批A段,理科,4,-,6850,,
plan_106_1856630_14_2022_1_本科一批A段,106_1856630,106,1856630,山西,2022,金融工程,本科 (1),经济学 (4),金融学类 (37),普通类,本科一批A段,理科,4,-,6060,,
plan_106_4817_14_2022_1_本科一批A段,106_4817,106,4817,山西,2022,应用物理学,本科 (1),理学 (9),物理学类 (52),普通类,本科一批A段,理科,3,-,6850,,
plan_106_4826_14_2022_1_本科一批A段,106_4826,106,4826,山西,2022,建筑学,本科 (1),工学 (10),建筑类 (90),普通类,本科一批A段,理科,3,五年,6850,,
plan_106_4834_14_2022_1_本科一批A段,106_4834,106,4834,山西,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科一批A段,理科,3,-,6850,,
plan_106_4888_14_2022_1_本科一批A段,106_4888,106,4888,山西,2022,数学与应用数学,本科 (1),理学 (9),数学类 (51),普通类,本科一批A段,理科,3,-,6850,,
plan_106_1856634_14_2022_1_本科一批A段,106_1856634,106,1856634,山西,2022,化学,本科 (1),理学 (9),化学类 (53),普通类,本科一批A段,理科,3,-,6850,,
plan_106_4811_14_2022_1_本科一批A段,106_4811,106,4811,山西,2022,包装工程,本科 (1),工学 (10),轻工类 (79),普通类,本科一批A段,理科,2,-,6850,,
plan_106_4819_14_2022_1_本科一批A段,106_4819,106,4819,山西,2022,工商管理,本科 (1),管理学 (13),工商管理类 (113),普通类,本科一批A段,理科,2,-,6060,,
plan_106_4822_14_2022_1_本科一批A段,106_4822,106,4822,山西,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科一批A段,理科,2,-,6060,,
plan_106_4824_14_2022_1_本科一批A段,106_4824,106,4824,山西,2022,材料科学与工程,本科 (1),工学 (10),材料类 (66),普通类,本科一批A段,理科,2,-,6850,,
plan_106_4831_14_2022_1_本科一批A段,106_4831,106,4831,山西,2022,信息管理与信息系统,本科 (1),管理学 (13),管理科学与工程类 (112),普通类,本科一批A段,理科,2,-,6850,,
plan_106_4841_14_2022_1_本科一批A段,106_4841,106,4841,山西,2022,新闻学,本科 (1),文学 (7),新闻传播学类 (49),普通类,本科一批A段,理科,2,-,6060,,
plan_106_4842_14_2022_1_本科一批A段,106_4842,106,4842,山西,2022,广告学,本科 (1),文学 (7),新闻传播学类 (49),普通类,本科一批A段,理科,2,-,6060,,
plan_106_4866_14_2022_1_本科一批A段,106_4866,106,4866,山西,2022,酒店管理,本科 (1),管理学 (13),旅游管理类 (120),普通类,本科一批A段,理科,2,-,6060,,
