plan_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,num,length,tuition,info,sg_info
plan_42_894_11_2022_3_本科批,42_894,42,894,北京,2022,遥感科学与技术,本科(普通) (1),工学 (10),测绘类 (74),普通类,本科批,综合,4,四年,5850,,物理必选
plan_42_913_11_2022_3_本科批,42_913,42,913,北京,2022,信息管理与信息系统,本科(普通) (1),管理学 (13),管理科学与工程类 (112),普通类,本科批,综合,2,四年,4500,,物理必选
plan_42_894_11_2022_3_本科批,42_894,42,894,北京,2022,遥感科学与技术,本科(普通) (1),工学 (10),测绘类 (74),普通类,本科批,综合,4,四年,5850,,物理必选
plan_42_913_11_2022_3_本科批,42_913,42,913,北京,2022,信息管理与信息系统,本科(普通) (1),管理学 (13),管理科学与工程类 (112),普通类,本科批,综合,2,四年,4500,,物理必选
plan_42_813_13_2022_2074_本科批,42_813,42,813,河北,2022,社会学,本科(普通) (1),法学 (5),社会学类 (41),普通类,本科批,历史类,2,四年,4500,,
plan_42_911_13_2022_2073_本科批,42_911,42,911,河北,2022,口腔医学,本科(普通) (1),医学 (12),口腔医学类 (103),普通类,本科批,物理类,4,五年,5850,,
plan_42_909_13_2022_2073_本科提前批C段,42_909,42,909,河北,2022,临床医学,本科(普通) (1),医学 (12),临床医学类 (102),普通类,本科提前批C段,物理类,1,5,5850,（五加三一体化）（首批卓越医生教育培养计划）（高校专项计划）,
plan_42_813_13_2022_2074_本科提前批C段,42_813,42,813,河北,2022,社会学,本科(普通) (1),法学 (5),社会学类 (41),普通类,本科提前批C段,历史类,1,4,4500,（知行试验班）（高校专项计划）,
plan_42_911_14_2022_1_本科一批A段,42_911,42,911,山西,2022,口腔医学,本科(普通) (1),医学 (12),口腔医学类 (103),普通类,本科一批A段,理科,2,五年,4500,,
plan_42_894_15_2022_1_本科一批,42_894,42,894,内蒙古,2022,遥感科学与技术,本科(普通) (1),工学 (10),测绘类 (74),普通类,本科一批,理科,5,四年,5850,（校本部）（含卓越工程师教育培养计划；含遥感科学与技术、地理国情监测、空间信息与数字技术；色弱、色盲、肢体残疾者不宜报考遥感科学与技术专业）,
