plan_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,num,length,tuition,info,sg_info
plan_128_185501_11_2022_3_本科批,128_185501,128,185501,北京,2022,金融学,本科(普通) (1),经济学 (4),金融学类 (37),中外合作办学,本科批,综合,4,四年,39800,,不限
plan_128_185500_11_2022_3_本科批,128_185500,128,185500,北京,2022,车辆工程,本科(普通) (1),工学 (10),机械类 (64),中外合作办学,本科批,综合,3,四年,42000,,物理必选
plan_128_6498_11_2022_3_本科批,128_6498,128,6498,北京,2022,工业设计,本科(普通) (1),工学 (10),机械类 (64),普通类,本科批,综合,2,四年,4500,,物理必选
plan_128_6533_11_2022_3_本科批,128_6533,128,6533,北京,2022,信息管理与信息系统,本科(普通) (1),管理学 (13),管理科学与工程类 (112),普通类,本科批,综合,1,四年,5850,,物理必选
plan_128_6498_11_2022_3_本科批,128_6498,128,6498,北京,2022,工业设计,本科(普通) (1),工学 (10),机械类 (64),普通类,本科批,综合,2,四年,4500,,物理必选
plan_128_6533_11_2022_3_本科批,128_6533,128,6533,北京,2022,信息管理与信息系统,本科(普通) (1),管理学 (13),管理科学与工程类 (112),普通类,本科批,综合,1,四年,5850,,物理必选
plan_128_185501_11_2022_3_本科批,128_185501,128,185501,北京,2022,金融学,本科(普通) (1),经济学 (4),金融学类 (37),中外合作办学,本科批,综合,4,四年,39800,,不限
plan_128_185500_11_2022_3_本科批,128_185500,128,185500,北京,2022,车辆工程,本科(普通) (1),工学 (10),机械类 (64),中外合作办学,本科批,综合,3,四年,42000,,物理必选
plan_128_6528_11_2022_3_本科提前批A段,128_6528,128,6528,北京,2022,轮机工程,本科(普通) (1),工学 (10),交通运输类 (80),普通类,本科提前批A段,综合,2,4,3375,（男）,物理必选
plan_128_6528_11_2022_3_本科提前批A段,128_6528,128,6528,北京,2022,轮机工程,本科(普通) (1),工学 (10),交通运输类 (80),普通类,本科提前批A段,综合,2,4,3375,（男）,物理必选
plan_128_6527_12_2022_3_本科批A段,128_6527,128,6527,天津,2022,海事管理,本科(普通) (1),管理学 (13),公共管理类 (115),普通类,本科批A段,综合,2,四年,4500,,不限
plan_128_6484_12_2022_3_本科批A段,128_6484,128,6484,天津,2022,地理信息科学,本科(普通) (1),理学 (9),地理科学类 (55),普通类,本科批A段,综合,3,四年,4500,,物理/化学(2选1)
plan_128_185500_12_2022_3_本科批A段,128_185500,128,185500,天津,2022,车辆工程,本科(普通) (1),工学 (10),机械类 (64),中外合作办学,本科批A段,综合,3,四年,42000,,物理必选
plan_128_6496_12_2022_3_本科批A段,128_6496,128,6496,天津,2022,材料成型及控制工程,本科(普通) (1),工学 (10),机械类 (64),普通类,本科批A段,综合,2,四年,4500,,物理必选
plan_128_6503_12_2022_3_本科批A段,128_6503,128,6503,天津,2022,机械设计制造及其自动化,本科(普通) (1),工学 (10),机械类 (64),普通类,本科批A段,综合,2,四年,5850,,物理必选
plan_128_6527_12_2022_3_本科批A段,128_6527,128,6527,天津,2022,海事管理,本科(普通) (1),管理学 (13),公共管理类 (115),普通类,本科批A段,综合,2,四年,4500,,不限
plan_128_6533_12_2022_3_本科批A段,128_6533,128,6533,天津,2022,信息管理与信息系统,本科(普通) (1),管理学 (13),管理科学与工程类 (112),普通类,本科批A段,综合,2,四年,5850,,物理必选
plan_128_185501_12_2022_3_本科批A段,128_185501,128,185501,天津,2022,金融学,本科(普通) (1),经济学 (4),金融学类 (37),中外合作办学,本科批A段,综合,2,四年,39800,,不限
plan_128_6496_12_2022_3_本科批A段,128_6496,128,6496,天津,2022,材料成型及控制工程,本科(普通) (1),工学 (10),机械类 (64),普通类,本科批A段,综合,2,四年,4500,,物理必选
plan_128_6503_12_2022_3_本科批A段,128_6503,128,6503,天津,2022,机械设计制造及其自动化,本科(普通) (1),工学 (10),机械类 (64),普通类,本科批A段,综合,2,四年,5850,,物理必选
plan_128_6533_12_2022_3_本科批A段,128_6533,128,6533,天津,2022,信息管理与信息系统,本科(普通) (1),管理学 (13),管理科学与工程类 (112),普通类,本科批A段,综合,2,四年,5850,,物理必选
plan_128_6484_12_2022_3_本科批A段,128_6484,128,6484,天津,2022,地理信息科学,本科(普通) (1),理学 (9),地理科学类 (55),普通类,本科批A段,综合,3,四年,4500,,物理/化学(2选1)
plan_128_185500_12_2022_3_本科批A段,128_185500,128,185500,天津,2022,车辆工程,本科(普通) (1),工学 (10),机械类 (64),中外合作办学,本科批A段,综合,3,四年,42000,,物理必选
plan_128_185501_12_2022_3_本科批A段,128_185501,128,185501,天津,2022,金融学,本科(普通) (1),经济学 (4),金融学类 (37),中外合作办学,本科批A段,综合,2,四年,39800,,不限
plan_128_6528_12_2022_3_本科提前批A段,128_6528,128,6528,天津,2022,轮机工程,本科(普通) (1),工学 (10),交通运输类 (80),普通类,本科提前批A段,综合,2,4,3375,"（身高1.65米以上,无色盲（色弱）、无复视,听力、嗅觉正常,四肢健全,双眼裸视力均能达到4.6及以上;或双眼裸视力均能达到4.0及以上,且矫正视力均能达到4.6及以上的男生）",物理必选
plan_128_6528_12_2022_3_本科提前批A段,128_6528,128,6528,天津,2022,轮机工程,本科(普通) (1),工学 (10),交通运输类 (80),普通类,本科提前批A段,综合,2,4,3375,"（身高1.65米以上,无色盲（色弱）、无复视,听力、嗅觉正常,四肢健全,双眼裸视力均能达到4.6及以上;或双眼裸视力均能达到4.0及以上,且矫正视力均能达到4.6及以上的男生）",物理必选
plan_128_6554_13_2022_2074_本科批,128_6554,128,6554,河北,2022,思想政治教育,本科(普通) (1),法学 (5),马克思主义理论类 (43),普通类,本科批,历史类,3,四年,4500,,
plan_128_6471_13_2022_2074_本科批,128_6471,128,6471,河北,2022,金融学,本科(普通) (1),经济学 (4),金融学类 (37),普通类,本科批,历史类,2,四年,39800,,
plan_128_6503_13_2022_2073_本科批,128_6503,128,6503,河北,2022,机械设计制造及其自动化,本科(普通) (1),工学 (10),机械类 (64),普通类,本科批,物理类,12,四年,5850,,
plan_128_6484_13_2022_2073_本科批,128_6484,128,6484,河北,2022,地理信息科学,本科(普通) (1),理学 (9),地理科学类 (55),普通类,本科批,物理类,10,四年,4500,,
plan_128_6533_13_2022_2073_本科批,128_6533,128,6533,河北,2022,信息管理与信息系统,本科(普通) (1),管理学 (13),管理科学与工程类 (112),普通类,本科批,物理类,8,四年,5850,,
plan_128_1129671_13_2022_2073_本科批,128_1129671,128,1129671,河北,2022,导航工程,本科(普通) (1),工学 (10),测绘类 (74),普通类,本科批,物理类,8,四年,5850,,
plan_128_6499_13_2022_2073_本科批,128_6499,128,6499,河北,2022,车辆工程,本科(普通) (1),工学 (10),机械类 (64),普通类,本科批,物理类,5,四年,42000,,
plan_128_6471_13_2022_2073_本科批,128_6471,128,6471,河北,2022,金融学,本科(普通) (1),经济学 (4),金融学类 (37),普通类,本科批,物理类,4,四年,39800,,
plan_128_6497_13_2022_2073_本科批,128_6497,128,6497,河北,2022,机械工程,本科(普通) (1),工学 (10),机械类 (64),普通类,本科批,物理类,4,四年,5850,,
plan_128_6526_13_2022_2073_本科提前批A段,128_6526,128,6526,河北,2022,航海技术,本科(普通) (1),工学 (10),交通运输类 (80),普通类,本科提前批A段,物理类,15,4,3375,（航海类；由于工作性质特殊，不适宜女生报考，体检特殊要求如下：身高1.65米以上，无色盲（色弱）、无复视，听力、嗅觉正常，四肢健全。双眼裸视力均能达到4.7（0.5）及以上；或双眼裸视力均能达到4.0（0.1）及以上，且矫正视力均能达到4.8（0.6）及以上物理科目组合本科提前批A段代号学校（专业及专业方向）名称与说明）,
plan_128_6528_13_2022_2073_本科提前批A段,128_6528,128,6528,河北,2022,轮机工程,本科(普通) (1),工学 (10),交通运输类 (80),普通类,本科提前批A段,物理类,15,4,3375,（航海类；由于工作性质特殊，不适宜女生报考，体检特殊要求如下：身高1.65米以上，无色盲（色弱）、无复视，听力、嗅觉正常，四肢健全。双眼裸视力均能达到4.6（0.4）及以上；或双眼裸视力均能达到4.0（0.1）及以上，且矫正视力均能达到4.6（0.4）及以上）,
plan_128_6554_14_2022_2_本科一批A段,128_6554,128,6554,山西,2022,思想政治教育,本科(普通) (1),法学 (5),马克思主义理论类 (43),普通类,本科一批A段,文科,2,-,4500,,
plan_128_6503_14_2022_1_本科一批A段,128_6503,128,6503,山西,2022,机械设计制造及其自动化,本科(普通) (1),工学 (10),机械类 (64),普通类,本科一批A段,理科,6,-,5850,,
plan_128_6484_14_2022_1_本科一批A段,128_6484,128,6484,山西,2022,地理信息科学,本科(普通) (1),理学 (9),地理科学类 (55),普通类,本科一批A段,理科,5,-,4500,,
plan_128_6496_14_2022_1_本科一批A段,128_6496,128,6496,山西,2022,材料成型及控制工程,本科(普通) (1),工学 (10),机械类 (64),普通类,本科一批A段,理科,4,-,4500,,
plan_128_6533_14_2022_1_本科一批A段,128_6533,128,6533,山西,2022,信息管理与信息系统,本科(普通) (1),管理学 (13),管理科学与工程类 (112),普通类,本科一批A段,理科,4,-,5850,,
plan_128_6498_14_2022_1_本科一批A段,128_6498,128,6498,山西,2022,工业设计,本科(普通) (1),工学 (10),机械类 (64),普通类,本科一批A段,理科,3,-,4500,,
plan_128_6527_14_2022_1_本科一批A段,128_6527,128,6527,山西,2022,海事管理,本科(普通) (1),管理学 (13),公共管理类 (115),普通类,本科一批A段,理科,2,-,4500,,
plan_128_6546_14_2022_1_本科一批A段,128_6546,128,6546,山西,2022,应用化学,本科(普通) (1),理学 (9),化学类 (53),普通类,本科一批A段,理科,2,-,4500,,
plan_128_1129671_14_2022_1_本科一批A段,128_1129671,128,1129671,山西,2022,导航工程,本科(普通) (1),工学 (10),测绘类 (74),普通类,本科一批A段,理科,2,-,5850,,
plan_128_6526_14_2022_1_提前一批本科,128_6526,128,6526,山西,2022,航海技术,本科(普通) (1),工学 (10),交通运输类 (80),普通类,提前一批本科,理科,6,4,3375,,
plan_128_6528_14_2022_1_提前一批本科,128_6528,128,6528,山西,2022,轮机工程,本科(普通) (1),工学 (10),交通运输类 (80),普通类,提前一批本科,理科,6,4,3375,,
plan_128_6484_15_2022_1_本科一批,128_6484,128,6484,内蒙古,2022,地理信息科学,本科(普通) (1),理学 (9),地理科学类 (55),普通类,本科一批,理科,3,四年,4500,（校本部）,
plan_128_185500_15_2022_1_本科一批,128_185500,128,185500,内蒙古,2022,车辆工程,本科(普通) (1),工学 (10),机械类 (64),中外合作办学,本科一批,理科,3,四年,42000,（校本部）,
plan_128_185501_15_2022_1_本科一批,128_185501,128,185501,内蒙古,2022,金融学,本科(普通) (1),经济学 (4),金融学类 (37),中外合作办学,本科一批,理科,3,四年,39800,（校本部）,
plan_128_6496_15_2022_1_本科一批,128_6496,128,6496,内蒙古,2022,材料成型及控制工程,本科(普通) (1),工学 (10),机械类 (64),普通类,本科一批,理科,2,四年,4500,（校本部）,
plan_128_6503_15_2022_1_本科一批,128_6503,128,6503,内蒙古,2022,机械设计制造及其自动化,本科(普通) (1),工学 (10),机械类 (64),普通类,本科一批,理科,2,四年,5850,（校本部）,
plan_128_1129671_15_2022_1_本科一批,128_1129671,128,1129671,内蒙古,2022,导航工程,本科(普通) (1),工学 (10),测绘类 (74),普通类,本科一批,理科,2,四年,5850,（校本部）,
plan_128_6533_15_2022_1_本科一批,128_6533,128,6533,内蒙古,2022,信息管理与信息系统,本科(普通) (1),管理学 (13),管理科学与工程类 (112),普通类,本科一批,理科,1,四年,5850,（校本部）,
plan_128_6546_15_2022_1_本科一批,128_6546,128,6546,内蒙古,2022,应用化学,本科(普通) (1),理学 (9),化学类 (53),普通类,本科一批,理科,1,四年,4500,（校本部）,
plan_128_6554_15_2022_2_本科一批,128_6554,128,6554,内蒙古,2022,思想政治教育,本科(普通) (1),法学 (5),马克思主义理论类 (43),普通类,本科一批,文科,1,四年,4500,（校本部）,
plan_128_6526_15_2022_1_本科提前批A段,128_6526,128,6526,内蒙古,2022,航海技术,本科(普通) (1),工学 (10),交通运输类 (80),普通类,本科提前批A段,理科,6,4,3375,（身高1.65米以上，无色盲（色弱）、无复视，听力、嗅觉正常，四肢健全。双眼裸视力均能达到4.7（0.5）及以上；或双眼裸视力均能达到4.0（0.1）及以上，且矫正视力均能达到4.8（0.6）及以上的男生。）,
plan_128_6528_15_2022_1_本科提前批A段,128_6528,128,6528,内蒙古,2022,轮机工程,本科(普通) (1),工学 (10),交通运输类 (80),普通类,本科提前批A段,理科,6,4,3375,（身高1.65米以上，无色盲（色弱）、无复视，听力、嗅觉正常，四肢健全。双眼裸视力均能达到4.6（0.4）及以上；或双眼裸视力均能达到4.0（0.1）及以上，且矫正视力均能达到4.6（0.4）及以上的男生。）,
plan_128_6503_21_2022_2073_本科批,128_6503,128,6503,辽宁,2022,机械设计制造及其自动化,本科(普通) (1),工学 (10),机械类 (64),普通类,本科批,物理类,4,四年,5850,,
