plan_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,num,length,tuition,info,sg_info
plan_86_3496_11_2022_3_本科批,86_3496,86,3496,北京,2022,社会工作,本科 (1),法学 (5),社会学类 (41),普通类,本科批,综合,3,四年,5200,,不限
plan_86_3505_11_2022_3_本科批,86_3505,86,3505,北京,2022,汉语言文学,本科 (1),文学 (7),中国语言文学类 (47),普通类,本科批,综合,2,四年,5200,,不限
plan_86_3527_11_2022_3_本科批,86_3527,86,3527,北京,2022,金融学,本科 (1),经济学 (4),金融学类 (37),普通类,本科批,综合,2,四年,5200,,不限
plan_86_3546_11_2022_3_本科批,86_3546,86,3546,北京,2022,食品科学与工程,本科 (1),工学 (10),食品科学与工程类 (89),普通类,本科批,综合,5,四年,6380,,物理、化学(2科必选)
plan_86_1294856_11_2022_3_本科批,86_1294856,86,1294856,北京,2022,食品科学与工程,本科 (1),工学 (10),食品科学与工程类 (89),中外合作办学,本科批,综合,4,四年,26400,,物理、化学(2科必选)
plan_86_3496_11_2022_3_本科批,86_3496,86,3496,北京,2022,社会工作,本科 (1),法学 (5),社会学类 (41),普通类,本科批,综合,3,四年,5200,,不限
plan_86_3505_11_2022_3_本科批,86_3505,86,3505,北京,2022,汉语言文学,本科 (1),文学 (7),中国语言文学类 (47),普通类,本科批,综合,2,四年,5200,,不限
plan_86_3527_11_2022_3_本科批,86_3527,86,3527,北京,2022,金融学,本科 (1),经济学 (4),金融学类 (37),普通类,本科批,综合,2,四年,5200,,不限
plan_86_3544_11_2022_3_本科批,86_3544,86,3544,北京,2022,应用化学,本科 (1),理学 (9),化学类 (53),普通类,本科批,综合,2,四年,6050,,物理、化学(2科必选)
plan_86_1471554_11_2022_3_本科批,86_1471554,86,1471554,北京,2022,人工智能,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,综合,2,四年,5800,,物理必选
plan_86_1471554_11_2022_3_本科批,86_1471554,86,1471554,北京,2022,人工智能,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,综合,2,四年,5800,,物理必选
plan_86_3546_11_2022_3_本科批,86_3546,86,3546,北京,2022,食品科学与工程,本科 (1),工学 (10),食品科学与工程类 (89),普通类,本科批,综合,5,四年,6380,,物理、化学(2科必选)
plan_86_3544_11_2022_3_本科批,86_3544,86,3544,北京,2022,应用化学,本科 (1),理学 (9),化学类 (53),普通类,本科批,综合,2,四年,6050,,物理、化学(2科必选)
plan_86_1294856_11_2022_3_本科批,86_1294856,86,1294856,北京,2022,食品科学与工程,本科 (1),工学 (10),食品科学与工程类 (89),中外合作办学,本科批,综合,4,四年,26400,,物理、化学(2科必选)
plan_86_1800275_13_2022_2074_本科批,86_1800275,86,1800275,河北,2022,思想政治教育,本科 (1),法学 (5),马克思主义理论类 (43),普通类,本科批,历史类,6,四年,5200,,
plan_86_3495_13_2022_2074_本科批,86_3495,86,3495,河北,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,历史类,5,四年,5200,,
plan_86_3505_13_2022_2074_本科批,86_3505,86,3505,河北,2022,汉语言文学,本科 (1),文学 (7),中国语言文学类 (47),普通类,本科批,历史类,5,四年,5200,,
plan_86_3530_13_2022_2074_本科批,86_3530,86,3530,河北,2022,会计学,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,历史类,5,四年,5200,,
plan_86_3527_13_2022_2074_本科批,86_3527,86,3527,河北,2022,金融学,本科 (1),经济学 (4),金融学类 (37),普通类,本科批,历史类,4,四年,5200,,
plan_86_3528_13_2022_2074_本科批,86_3528,86,3528,河北,2022,国际经济与贸易,本科 (1),经济学 (4),经济与贸易类 (38),普通类,本科批,历史类,4,四年,5200,,
plan_86_3542_13_2022_2073_本科批,86_3542,86,3542,河北,2022,自动化,本科 (1),工学 (10),自动化类 (70),普通类,本科批,物理类,11,四年,6380,,
plan_86_3537_13_2022_2073_本科批,86_3537,86,3537,河北,2022,纺织工程,本科 (1),工学 (10),纺织类 (78),普通类,本科批,物理类,9,四年,5800,,
plan_86_3546_13_2022_2073_本科批,86_3546,86,3546,河北,2022,食品科学与工程,本科 (1),工学 (10),食品科学与工程类 (89),普通类,本科批,物理类,8,四年,6380,,
plan_86_89927_13_2022_2073_本科批,86_89927,86,89927,河北,2022,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科批,物理类,8,五年,6800,,
plan_86_3516_13_2022_2073_本科批,86_3516,86,3516,河北,2022,光电信息科学与工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,7,四年,5800,,
plan_86_3541_13_2022_2073_本科批,86_3541,86,3541,河北,2022,化学工程与工艺,本科 (1),工学 (10),化工与制药类 (75),普通类,本科批,物理类,7,四年,5800,,
plan_86_3543_13_2022_2073_本科批,86_3543,86,3543,河北,2022,高分子材料与工程,本科 (1),工学 (10),材料类 (66),普通类,本科批,物理类,7,四年,6380,,
plan_86_3530_13_2022_2073_本科批,86_3530,86,3530,河北,2022,会计学,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,物理类,6,四年,5200,,
plan_86_3536_13_2022_2073_本科批,86_3536,86,3536,河北,2022,轻化工程,本科 (1),工学 (10),轻工类 (79),普通类,本科批,物理类,6,四年,5800,,
plan_86_3545_13_2022_2073_本科批,86_3545,86,3545,河北,2022,食品质量与安全,本科 (1),工学 (10),食品科学与工程类 (89),普通类,本科批,物理类,6,四年,6380,,
plan_86_1471554_13_2022_2073_本科批,86_1471554,86,1471554,河北,2022,人工智能,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,6,四年,5800,,
plan_86_3501_13_2022_2073_本科批,86_3501,86,3501,河北,2022,微电子科学与工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,5,四年,5800,,
plan_86_3503_13_2022_2073_本科批,86_3503,86,3503,河北,2022,信息与计算科学,本科 (1),理学 (9),数学类 (51),普通类,本科批,物理类,5,四年,5500,,
plan_86_3507_13_2022_2073_本科批,86_3507,86,3507,河北,2022,机械工程,本科 (1),工学 (10),机械类 (64),普通类,本科批,物理类,5,四年,5800,,
plan_86_3515_13_2022_2073_本科批,86_3515,86,3515,河北,2022,药学,本科 (1),医学 (12),药学类 (107),普通类,本科批,物理类,5,四年,6800,,
plan_86_3533_13_2022_2073_本科批,86_3533,86,3533,河北,2022,环境工程,本科 (1),工学 (10),环境科学与工程类 (87),普通类,本科批,物理类,5,四年,5800,,
plan_86_3544_13_2022_2073_本科批,86_3544,86,3544,河北,2022,应用化学,本科 (1),理学 (9),化学类 (53),普通类,本科批,物理类,5,四年,6050,,
plan_86_1471551_13_2022_2073_本科批,86_1471551,86,1471551,河北,2022,环境科学,本科 (1),工学 (10),环境科学与工程类 (87),普通类,本科批,物理类,5,四年,5800,,
plan_86_1471553_13_2022_2073_本科批,86_1471553,86,1471553,河北,2022,机器人工程,本科 (1),工学 (10),自动化类 (70),普通类,本科批,物理类,5,四年,5800,,
plan_86_3508_13_2022_2073_本科批,86_3508,86,3508,河北,2022,物联网工程,本科 (1),工学 (10),计算机类 (71),普通类,本科批,物理类,4,四年,6380,,
plan_86_3547_13_2022_2073_本科批,86_3547,86,3547,河北,2022,生物工程,本科 (1),工学 (10),生物工程类 (92),普通类,本科批,物理类,4,四年,6380,,
plan_86_1471552_13_2022_2073_本科批,86_1471552,86,1471552,河北,2022,大数据管理与应用,本科 (1),管理学 (13),管理科学与工程类 (112),普通类,本科批,物理类,4,四年,5200,,
