plan_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,num,length,tuition,info,sg_info
plan_55_656669_13_2022_2074_本科批,55_656669,55,656669,河北,2022,网络与新媒体,本科 (1),文学 (7),新闻传播学类 (49),普通类,本科批,历史类,57,四年,4600,,
plan_55_1630_13_2022_2074_本科批,55_1630,55,1630,河北,2022,汉语言文学,本科 (1),文学 (7),中国语言文学类 (47),普通类,本科批,历史类,39,四年,4600,,
plan_55_1625_13_2022_2074_本科批,55_1625,55,1625,河北,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,历史类,29,四年,4600,,
plan_55_1625_13_2022_2074_本科批,55_1625,55,1625,河北,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,历史类,16,四年,4600,（地方专项计划）,
plan_55_1630_13_2022_2074_本科批,55_1630,55,1630,河北,2022,汉语言文学,本科 (1),文学 (7),中国语言文学类 (47),普通类,本科批,历史类,16,四年,4600,（地方专项计划）,
plan_55_656669_13_2022_2074_本科批,55_656669,55,656669,河北,2022,网络与新媒体,本科 (1),文学 (7),新闻传播学类 (49),普通类,本科批,历史类,16,四年,4600,（地方专项计划）,
plan_55_1626_13_2022_2074_本科批,55_1626,55,1626,河北,2022,社会工作,本科 (1),法学 (5),社会学类 (41),普通类,本科批,历史类,14,四年,4600,,
plan_55_1629_13_2022_2073_本科批,55_1629,55,1629,河北,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科批,物理类,143,四年,5390,,
plan_55_1662_13_2022_2073_本科批,55_1662,55,1662,河北,2022,测控技术与仪器,本科 (1),工学 (10),仪器类 (65),普通类,本科批,物理类,104,四年,4900,,
plan_55_1632_13_2022_2073_本科批,55_1632,55,1632,河北,2022,自动化,本科 (1),工学 (10),自动化类 (70),普通类,本科批,物理类,93,四年,5390,,
plan_55_1667_13_2022_2073_本科批,55_1667,55,1667,河北,2022,材料成型及控制工程,本科 (1),工学 (10),机械类 (64),普通类,本科批,物理类,65,四年,4900,,
plan_55_1623_13_2022_2073_本科批,55_1623,55,1623,河北,2022,给排水科学与工程,本科 (1),工学 (10),土木类 (72),普通类,本科批,物理类,64,四年,4900,,
plan_55_1642_13_2022_2073_本科批,55_1642,55,1642,河北,2022,安全工程,本科 (1),工学 (10),安全科学与工程类 (91),普通类,本科批,物理类,64,四年,4900,,
plan_55_169125_13_2022_2073_本科批,55_169125,55,169125,河北,2022,新能源材料与器件,本科 (1),工学 (10),材料类 (66),普通类,本科批,物理类,64,四年,4900,,
plan_55_1690_13_2022_2073_本科批,55_1690,55,1690,河北,2022,能源与动力工程,本科 (1),工学 (10),能源动力类 (67),普通类,本科批,物理类,29,四年,4900,,
plan_55_1800408_13_2022_2073_本科批,55_1800408,55,1800408,河北,2022,人工智能,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,29,四年,4900,,
plan_55_1801745_13_2022_2073_本科批,55_1801745,55,1801745,河北,2022,网络空间安全,本科 (1),工学 (10),计算机类 (71),普通类,本科批,物理类,29,四年,4900,,
plan_55_1629_13_2022_2073_本科批,55_1629,55,1629,河北,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科批,物理类,8,四年,5390,（地方专项计划）,
plan_55_1632_13_2022_2073_本科批,55_1632,55,1632,河北,2022,自动化,本科 (1),工学 (10),自动化类 (70),普通类,本科批,物理类,8,四年,5390,（地方专项计划）,
plan_55_656669_13_2022_2073_本科批,55_656669,55,656669,河北,2022,网络与新媒体,本科 (1),文学 (7),新闻传播学类 (49),普通类,本科批,物理类,7,四年,4600,,
plan_55_1626_13_2022_2073_本科批,55_1626,55,1626,河北,2022,社会工作,本科 (1),法学 (5),社会学类 (41),普通类,本科批,物理类,4,四年,4600,,
plan_55_1625_13_2022_2073_本科批,55_1625,55,1625,河北,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,物理类,3,四年,4600,,
plan_55_1630_13_2022_2073_本科批,55_1630,55,1630,河北,2022,汉语言文学,本科 (1),文学 (7),中国语言文学类 (47),普通类,本科批,物理类,3,四年,4600,,
plan_55_1629_13_2022_2073_本科提前批B段,55_1629,55,1629,河北,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科提前批B段,物理类,10,4,5390,（国家专项计划）,
plan_55_1667_13_2022_2073_本科提前批B段,55_1667,55,1667,河北,2022,材料成型及控制工程,本科 (1),工学 (10),机械类 (64),普通类,本科提前批B段,物理类,4,4,4900,（国家专项计划）,
plan_55_1625_13_2022_2074_本科提前批B段,55_1625,55,1625,河北,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科提前批B段,历史类,11,4,4600,（国家专项计划）,
