plan_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,num,length,tuition,info,sg_info
plan_56_1711_11_2022_3_本科批,56_1711,56,1711,北京,2022,会计学,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,综合,2,四年,5060,,不限
plan_56_1711_11_2022_3_本科批,56_1711,56,1711,北京,2022,会计学,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,综合,2,四年,5060,,不限
plan_56_1697_13_2022_2074_本科批,56_1697,56,1697,河北,2022,国际经济与贸易,本科 (1),经济学 (4),经济与贸易类 (38),普通类,本科批,历史类,54,四年,5060,,
plan_56_1702_13_2022_2074_本科批,56_1702,56,1702,河北,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,历史类,46,四年,5060,,
plan_56_1754_13_2022_2074_本科批,56_1754,56,1754,河北,2022,资产评估,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,历史类,34,四年,4600,,
plan_56_1800438_13_2022_2074_本科批,56_1800438,56,1800438,河北,2022,金融科技,本科 (1),经济学 (4),金融学类 (37),普通类,本科批,历史类,32,四年,4600,,
plan_56_1722_13_2022_2074_本科批,56_1722,56,1722,河北,2022,审计学,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,历史类,30,四年,5060,,
plan_56_1711_13_2022_2074_本科批,56_1711,56,1711,河北,2022,会计学,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,历史类,25,四年,5060,,
plan_56_1696_13_2022_2074_本科批,56_1696,56,1696,河北,2022,经济学,本科 (1),经济学 (4),经济学类 (35),普通类,本科批,历史类,23,四年,4600,,
plan_56_1731_13_2022_2074_本科批,56_1731,56,1731,河北,2022,财务管理,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,历史类,22,四年,5060,,
plan_56_1700_13_2022_2074_本科批,56_1700,56,1700,河北,2022,贸易经济,本科 (1),经济学 (4),经济与贸易类 (38),普通类,本科批,历史类,21,四年,4600,,
plan_56_1800437_13_2022_2074_本科批,56_1800437,56,1800437,河北,2022,数字经济,本科 (1),经济学 (4),经济学类 (35),普通类,本科批,历史类,20,四年,4600,,
plan_56_1697_13_2022_2073_本科批,56_1697,56,1697,河北,2022,国际经济与贸易,本科 (1),经济学 (4),经济与贸易类 (38),普通类,本科批,物理类,55,四年,5060,,
plan_56_1739_13_2022_2073_本科批,56_1739,56,1739,河北,2022,工程管理,本科 (1),管理学 (13),管理科学与工程类 (112),普通类,本科批,物理类,49,四年,4600,,
plan_56_1702_13_2022_2073_本科批,56_1702,56,1702,河北,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,物理类,46,四年,5060,,
plan_56_1722_13_2022_2073_本科批,56_1722,56,1722,河北,2022,审计学,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,物理类,33,四年,5060,,
plan_56_1800438_13_2022_2073_本科批,56_1800438,56,1800438,河北,2022,金融科技,本科 (1),经济学 (4),金融学类 (37),普通类,本科批,物理类,33,四年,4600,,
plan_56_1754_13_2022_2073_本科批,56_1754,56,1754,河北,2022,资产评估,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,物理类,30,四年,4600,,
plan_56_1499597_13_2022_2073_本科批,56_1499597,56,1499597,河北,2022,大数据管理与应用,本科 (1),管理学 (13),管理科学与工程类 (112),普通类,本科批,物理类,30,四年,4600,,
plan_56_1711_13_2022_2073_本科批,56_1711,56,1711,河北,2022,会计学,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,物理类,25,四年,5060,,
plan_56_1859745_13_2022_2073_本科批,56_1859745,56,1859745,河北,2022,人工智能,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,25,四年,4900,,
plan_56_1696_13_2022_2073_本科批,56_1696,56,1696,河北,2022,经济学,本科 (1),经济学 (4),经济学类 (35),普通类,本科批,物理类,24,四年,4600,,
plan_56_1700_13_2022_2073_本科批,56_1700,56,1700,河北,2022,贸易经济,本科 (1),经济学 (4),经济与贸易类 (38),普通类,本科批,物理类,22,四年,4600,,
plan_56_1714_13_2022_2073_本科批,56_1714,56,1714,河北,2022,物流管理,本科 (1),管理学 (13),物流管理与工程类 (117),普通类,本科批,物理类,22,四年,4600,,
plan_56_1731_13_2022_2073_本科批,56_1731,56,1731,河北,2022,财务管理,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,物理类,22,四年,5060,,
plan_56_1800437_13_2022_2073_本科批,56_1800437,56,1800437,河北,2022,数字经济,本科 (1),经济学 (4),经济学类 (35),普通类,本科批,物理类,20,四年,4600,,
plan_56_1714_13_2022_2073_本科提前批B段,56_1714,56,1714,河北,2022,物流管理,本科 (1),管理学 (13),物流管理与工程类 (117),普通类,本科提前批B段,物理类,20,4,4600,（国家专项计划）,
