plan_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,num,length,tuition,info,sg_info
plan_114_1800283_21_2022_2074_本科提前批,114_1800283,114,1800283,辽宁,2022,马克思主义理论,本科(普通) (1),法学 (5),马克思主义理论类 (43),普通类,本科提前批,历史类,5,4,5300,,
plan_114_1800283_31_2022_3_本科提前批,114_1800283,114,1800283,上海,2022,马克思主义理论,本科(普通) (1),法学 (5),马克思主义理论类 (43),普通类,本科提前批,综合,3,4,5300,（语种要求：不限）,思想政治必选
plan_114_1800283_31_2022_3_本科提前批,114_1800283,114,1800283,上海,2022,马克思主义理论,本科(普通) (1),法学 (5),马克思主义理论类 (43),普通类,本科提前批,综合,3,4,5300,（语种要求：不限）,思想政治必选
plan_114_168977_32_2022_2073_本科批,114_168977,114,168977,江苏,2022,机器人工程,本科(普通) (1),工学 (10),自动化类 (70),普通类,本科批,物理类,2,四年,6900,,首选物理，再选不限
plan_114_168977_32_2022_2073_本科批,114_168977,114,168977,江苏,2022,机器人工程,本科(普通) (1),工学 (10),自动化类 (70),普通类,本科批,物理类,2,四年,6900,,首选物理，再选不限
plan_114_5399_32_2022_2073_本科提前批,114_5399,114,5399,江苏,2022,电气工程及其自动化,本科(普通) (1),工学 (10),电气类 (68),中外合作办学,本科提前批,物理类,13,4,,（海宁国际校区）（学费：160000）,首选物理，再选不限
plan_114_5389_32_2022_2073_本科提前批,114_5389,114,5389,江苏,2022,机械工程,本科(普通) (1),工学 (10),机械类 (64),中外合作办学,本科提前批,物理类,12,4,,（海宁国际校区）（学费：160000）,首选物理，再选不限
plan_114_5399_32_2022_2073_本科提前批,114_5399,114,5399,江苏,2022,电气工程及其自动化,本科(普通) (1),工学 (10),电气类 (68),中外合作办学,本科提前批,物理类,13,4,,（海宁国际校区）（学费：160000）,首选物理，再选不限
plan_114_5389_32_2022_2073_本科提前批,114_5389,114,5389,江苏,2022,机械工程,本科(普通) (1),工学 (10),机械类 (64),中外合作办学,本科提前批,物理类,12,4,,（海宁国际校区）（学费：160000）,首选物理，再选不限
plan_114_857417_32_2022_2073_本科提前批,114_857417,114,857417,江苏,2022,生物医学,本科(普通) (1),医学 (12),基础医学类 (101),中外合作办学,本科提前批,物理类,3,4,,（海宁国际校区）（只招收该校测试合格的考生）（学费：160000）,首选物理，再选化学/生物(2选1)
plan_114_5431_32_2022_2073_本科提前批,114_5431,114,5431,江苏,2022,生物信息学,本科(普通) (1),理学 (9),生物科学类 (60),中外合作办学,本科提前批,物理类,2,4,,（海宁国际校区）（只招收该校测试合格的考生）（学费：160000）,首选物理，再选化学/生物(2选1)
plan_114_857417_32_2022_2073_本科提前批,114_857417,114,857417,江苏,2022,生物医学,本科(普通) (1),医学 (12),基础医学类 (101),中外合作办学,本科提前批,物理类,3,4,,（海宁国际校区）（只招收该校测试合格的考生）（学费：160000）,首选物理，再选化学/生物(2选1)
plan_114_5431_32_2022_2073_本科提前批,114_5431,114,5431,江苏,2022,生物信息学,本科(普通) (1),理学 (9),生物科学类 (60),中外合作办学,本科提前批,物理类,2,4,,（海宁国际校区）（只招收该校测试合格的考生）（学费：160000）,首选物理，再选化学/生物(2选1)
plan_114_1800283_33_2022_3_普通类提前批,114_1800283,114,1800283,浙江,2022,马克思主义理论,本科(普通) (1),法学 (5),马克思主义理论类 (43),普通类,普通类提前批,综合,6,4,5300,（一流大学建设高校）（杭州）,
plan_114_168977_35_2022_2073_本科批,114_168977,114,168977,福建,2022,机器人工程,本科(普通) (1),工学 (10),自动化类 (70),普通类,本科批,物理类,1,四年,6900,,首选物理，再选不限
plan_114_168977_35_2022_2073_本科批,114_168977,114,168977,福建,2022,机器人工程,本科(普通) (1),工学 (10),自动化类 (70),普通类,本科批,物理类,1,四年,6900,,首选物理，再选不限
plan_114_1800283_35_2022_2074_本科提前批,114_1800283,114,1800283,福建,2022,马克思主义理论,本科(普通) (1),法学 (5),马克思主义理论类 (43),普通类,本科提前批,历史类,6,4,5300,（其他类）,首选历史，再选思想政治
plan_114_1800283_35_2022_2074_本科提前批,114_1800283,114,1800283,福建,2022,马克思主义理论,本科(普通) (1),法学 (5),马克思主义理论类 (43),普通类,本科提前批,历史类,6,4,5300,（其他类）,首选历史，再选思想政治
plan_114_168977_36_2022_1_本科一批,114_168977,114,168977,江西,2022,机器人工程,本科(普通) (1),工学 (10),自动化类 (70),普通类,本科一批,理科,1,-,6900,（荣誉项目班）,
plan_114_5389_37_2022_3_提前批,114_5389,114,5389,山东,2022,机械工程,本科(普通) (1),工学 (10),机械类 (64),中外合作办学,提前批,综合,19,4,,（中外合作办学）（综合评价招生）（学费16万/年，浙江大学伊利诺伊大学厄巴纳香槟校区联合学院招生的机械工程、电子与计算机工程、电气工程及其自动化、土木工程4个专业共用19个招生计划）,
plan_114_857417_37_2022_3_提前批,114_857417,114,857417,山东,2022,生物医学,本科(普通) (1),医学 (12),基础医学类 (101),中外合作办学,提前批,综合,11,4,,（中外合作办学）（综合评价招生）（学费16万/年，浙江大学爱丁堡大学联合学院招生的生物医学、生物信息学2个专业共用11个招生计划）,
plan_114_5399_37_2022_3_提前批,114_5399,114,5399,山东,2022,电气工程及其自动化,本科(普通) (1),工学 (10),电气类 (68),中外合作办学,提前批,综合,0,4,,（中外合作办学）（学费16万/年，综合评价招生）,
plan_114_5403_37_2022_3_提前批,114_5403,114,5403,山东,2022,土木工程,本科(普通) (1),工学 (10),土木类 (72),中外合作办学,提前批,综合,0,4,,（中外合作办学）（学费16万/年，综合评价招生）,
plan_114_5431_37_2022_3_提前批,114_5431,114,5431,山东,2022,生物信息学,本科(普通) (1),理学 (9),生物科学类 (60),中外合作办学,提前批,综合,0,4,,（学费16万/年，中外合作办学）（综合评价招生）,
plan_114_1024646_37_2022_3_提前批,114_1024646,114,1024646,山东,2022,电子与计算机工程,本科(普通) (1),工学 (10),计算机类 (71),中外合作办学,提前批,综合,0,4,,（中外合作办学）（学费16万/年，综合评价招生）,
plan_114_5365_41_2022_2_本科一批,114_5365,114,5365,河南,2022,政治学与行政学,本科(普通) (1),法学 (5),政治学类 (40),普通类,本科一批,文科,5,四年,5300,,
plan_114_168977_44_2022_2073_本科批,114_168977,114,168977,广东,2022,机器人工程,本科(普通) (1),工学 (10),自动化类 (70),普通类,本科批,物理类,2,四年,6900,（荣誉项目班）（校本部）,首选物理，再选不限
plan_114_168977_44_2022_2073_本科批,114_168977,114,168977,广东,2022,机器人工程,本科(普通) (1),工学 (10),自动化类 (70),普通类,本科批,物理类,2,四年,6900,（荣誉项目班）（校本部）,首选物理，再选不限
plan_114_5365_51_2022_2_本科一批,114_5365,114,5365,四川,2022,政治学与行政学,本科(普通) (1),法学 (5),政治学类 (40),普通类,本科一批,文科,5,四年,5300,,
plan_114_5365_54_2022_2_本科一批,114_5365,114,5365,西藏,2022,政治学与行政学,本科(普通) (1),法学 (5),政治学类 (40),普通类,本科一批,文科,1,四年,5300,（民族班。）,
plan_114_5417_54_2022_1_本科一批,114_5417,114,5417,西藏,2022,药学,本科(普通) (1),医学 (12),药学类 (107),普通类,本科一批,理科,1,四年,6000,（民族班。）,
plan_114_5365_61_2022_2_本科一批,114_5365,114,5365,陕西,2022,政治学与行政学,本科(普通) (1),法学 (5),政治学类 (40),普通类,本科一批,文科,4,四年,5300,,
plan_114_168977_12_2023_3_本科批A段,114_168977,114,168977,天津,2023,机器人工程,本科(普通) (1),工学 (10),自动化类 (70),普通类,本科批A段,综合,2,四年,6900,（荣誉项目班）（校本部）,物理必选
plan_114_168977_12_2023_3_本科批A段,114_168977,114,168977,天津,2023,机器人工程,本科(普通) (1),工学 (10),自动化类 (70),普通类,本科批A段,综合,2,四年,6900,（荣誉项目班）（校本部）,物理必选
plan_114_168977_14_2023_1_本科一批A段,114_168977,114,168977,山西,2023,机器人工程,本科(普通) (1),工学 (10),自动化类 (70),普通类,本科一批A段,理科,1,-,6900,（荣誉项目班）,
plan_114_1800283_21_2023_2074_本科提前批,114_1800283,114,1800283,辽宁,2023,马克思主义理论,本科(普通) (1),法学 (5),马克思主义理论类 (43),普通类,本科提前批,历史类,5,4,5300,,
plan_114_5399_32_2023_2073_本科提前批,114_5399,114,5399,江苏,2023,电气工程及其自动化,本科(普通) (1),工学 (10),电气类 (68),中外合作办学,本科提前批,物理类,13,4,,（海宁国际校区）（按特殊类型招生控制线录取；只招收该校测试合格的考生）（学费：160000）,首选物理，再选不限
plan_114_5389_32_2023_2073_本科提前批,114_5389,114,5389,江苏,2023,机械工程,本科(普通) (1),工学 (10),机械类 (64),中外合作办学,本科提前批,物理类,12,4,,（海宁国际校区）（按特殊类型招生控制线录取；只招收该校测试合格的考生）（学费：160000）,首选物理，再选不限
plan_114_5399_32_2023_2073_本科提前批,114_5399,114,5399,江苏,2023,电气工程及其自动化,本科(普通) (1),工学 (10),电气类 (68),中外合作办学,本科提前批,物理类,13,4,,（海宁国际校区）（按特殊类型招生控制线录取；只招收该校测试合格的考生）（学费：160000）,首选物理，再选不限
