plan_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,num,length,tuition,info,sg_info
plan_44_89665_11_2022_3_本科批,44_89665,44,89665,北京,2022,金融学,本科(普通) (1),经济学 (4),金融学类 (37),普通类,本科批,综合,7,四年,5500,,不限
plan_44_93762_11_2022_3_本科批,44_93762,44,93762,北京,2022,经济学类,本科(普通) (1),经济学 (4),经济学类 (35),普通类,本科批,综合,3,四年,5500,,不限
plan_44_1864723_11_2022_3_本科批,44_1864723,44,1864723,北京,2022,英语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,3,四年,5300,,不限
plan_44_1030_11_2022_3_本科批,44_1030,44,1030,北京,2022,法学,本科(普通) (1),法学 (5),法学类 (39),普通类,本科批,综合,2,四年,5500,,不限
plan_44_1032_11_2022_3_本科批,44_1032,44,1032,北京,2022,汉语言文学,本科(普通) (1),文学 (7),中国语言文学类 (47),普通类,本科批,综合,2,四年,5300,,不限
plan_44_1049_11_2022_3_本科批,44_1049,44,1049,北京,2022,工商管理,本科(普通) (1),管理学 (13),工商管理类 (113),普通类,本科批,综合,2,四年,5500,,不限
plan_44_1053_11_2022_3_本科批,44_1053,44,1053,北京,2022,日语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,2,四年,5300,,不限
plan_44_1054_11_2022_3_本科批,44_1054,44,1054,北京,2022,会计学,本科(普通) (1),管理学 (13),工商管理类 (113),普通类,本科批,综合,2,四年,5500,,不限
plan_44_89702_11_2022_3_本科批,44_89702,44,89702,北京,2022,工业设计,本科(普通) (1),工学 (10),机械类 (64),普通类,本科批,综合,2,四年,6500,,不限
plan_44_93764_11_2022_3_本科批,44_93764,44,93764,北京,2022,新闻传播学类,本科(普通) (1),文学 (7),新闻传播学类 (49),普通类,本科批,综合,2,四年,6000,,不限
plan_44_1050_11_2022_3_本科批,44_1050,44,1050,北京,2022,行政管理,本科(普通) (1),管理学 (13),公共管理类 (115),普通类,本科批,综合,1,四年,5500,,不限
plan_44_168992_11_2022_3_本科批,44_168992,44,168992,北京,2022,精算学,本科(普通) (1),经济学 (4),金融学类 (37),普通类,本科批,综合,1,四年,5500,,不限
plan_44_89665_11_2022_3_本科批,44_89665,44,89665,北京,2022,金融学,本科(普通) (1),经济学 (4),金融学类 (37),普通类,本科批,综合,7,四年,5500,,不限
plan_44_93762_11_2022_3_本科批,44_93762,44,93762,北京,2022,经济学类,本科(普通) (1),经济学 (4),经济学类 (35),普通类,本科批,综合,3,四年,5500,,不限
plan_44_1800309_11_2022_3_本科批,44_1800309,44,1800309,北京,2022,数字经济,本科(普通) (1),经济学 (4),经济学类 (35),普通类,本科批,综合,3,四年,5500,,物理必选
plan_44_1859266_11_2022_3_本科批,44_1859266,44,1859266,北京,2022,建筑环境与能源应用工程,本科(普通) (1),工学 (10),土木类 (72),普通类,本科批,综合,3,四年,6500,,物理必选
plan_44_1864723_11_2022_3_本科批,44_1864723,44,1864723,北京,2022,英语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,3,四年,5300,,不限
plan_44_1030_11_2022_3_本科批,44_1030,44,1030,北京,2022,法学,本科(普通) (1),法学 (5),法学类 (39),普通类,本科批,综合,2,四年,5500,,不限
plan_44_1032_11_2022_3_本科批,44_1032,44,1032,北京,2022,汉语言文学,本科(普通) (1),文学 (7),中国语言文学类 (47),普通类,本科批,综合,2,四年,5300,,不限
plan_44_1049_11_2022_3_本科批,44_1049,44,1049,北京,2022,工商管理,本科(普通) (1),管理学 (13),工商管理类 (113),普通类,本科批,综合,2,四年,5500,,不限
plan_44_1053_11_2022_3_本科批,44_1053,44,1053,北京,2022,日语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,2,四年,5300,,不限
plan_44_1054_11_2022_3_本科批,44_1054,44,1054,北京,2022,会计学,本科(普通) (1),管理学 (13),工商管理类 (113),普通类,本科批,综合,2,四年,5500,,不限
plan_44_89684_11_2022_3_本科批,44_89684,44,89684,北京,2022,材料科学与工程,本科(普通) (1),工学 (10),材料类 (66),普通类,本科批,综合,2,四年,6500,,物理必选
plan_44_89690_11_2022_3_本科批,44_89690,44,89690,北京,2022,软件工程,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批,综合,2,四年,8950,,物理必选
plan_44_89702_11_2022_3_本科批,44_89702,44,89702,北京,2022,工业设计,本科(普通) (1),工学 (10),机械类 (64),普通类,本科批,综合,2,四年,6500,,不限
plan_44_93764_11_2022_3_本科批,44_93764,44,93764,北京,2022,新闻传播学类,本科(普通) (1),文学 (7),新闻传播学类 (49),普通类,本科批,综合,2,四年,6000,,不限
plan_44_93765_11_2022_3_本科批,44_93765,44,93765,北京,2022,生物技术,本科(普通) (1),理学 (9),生物科学类 (60),普通类,本科批,综合,2,四年,6500,,物/化/生(3选1)
plan_44_93766_11_2022_3_本科批,44_93766,44,93766,北京,2022,电气工程及其自动化,本科(普通) (1),工学 (10),电气类 (68),普通类,本科批,综合,2,四年,6500,,物理必选
plan_44_93772_11_2022_3_本科批,44_93772,44,93772,北京,2022,生物医学工程,本科(普通) (1),工学 (10),生物医学工程类 (88),普通类,本科批,综合,2,四年,6500,,物/化/生(3选1)
plan_44_93773_11_2022_3_本科批,44_93773,44,93773,北京,2022,数学类,本科(普通) (1),理学 (9),数学类 (51),普通类,本科批,综合,2,四年,5300,,物理必选
plan_44_328438_11_2022_3_本科批,44_328438,44,328438,北京,2022,化学类,本科(普通) (1),理学 (9),化学类 (53),普通类,本科批,综合,2,四年,5300,,物理/化学(2选1)
plan_44_1129676_11_2022_3_本科批,44_1129676,44,1129676,北京,2022,智能制造工程,本科(普通) (1),工学 (10),机械类 (64),普通类,本科批,综合,2,四年,6500,,物理必选
plan_44_1859264_11_2022_3_本科批,44_1859264,44,1859264,北京,2022,工程力学,本科(普通) (1),工学 (10),力学类 (63),普通类,本科批,综合,2,四年,6500,,物理必选
plan_44_1859265_11_2022_3_本科批,44_1859265,44,1859265,北京,2022,土木工程,本科(普通) (1),工学 (10),土木类 (72),普通类,本科批,综合,2,四年,6500,,物理必选
plan_44_1039_11_2022_3_本科批,44_1039,44,1039,北京,2022,自动化,本科(普通) (1),工学 (10),自动化类 (70),普通类,本科批,综合,1,四年,6500,,物理必选
plan_44_1050_11_2022_3_本科批,44_1050,44,1050,北京,2022,行政管理,本科(普通) (1),管理学 (13),公共管理类 (115),普通类,本科批,综合,1,四年,5500,,不限
plan_44_89677_11_2022_3_本科批,44_89677,44,89677,北京,2022,历史学,本科(普通) (1),历史学 (8),历史学类 (50),普通类,本科批,综合,1,四年,5300,,历史必选
plan_44_89679_11_2022_3_本科批,44_89679,44,89679,北京,2022,应用物理学,本科(普通) (1),理学 (9),物理学类 (52),普通类,本科批,综合,1,四年,6500,,物理必选
plan_44_93767_11_2022_3_本科批,44_93767,44,93767,北京,2022,通信工程,本科(普通) (1),工学 (10),电子信息类 (69),普通类,本科批,综合,1,四年,6500,,物理必选
plan_44_93770_11_2022_3_本科批,44_93770,44,93770,北京,2022,信息安全,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批,综合,1,四年,6500,,物理必选
plan_44_93774_11_2022_3_本科批,44_93774,44,93774,北京,2022,统计学类,本科(普通) (1),理学 (9),统计学类 (62),普通类,本科批,综合,1,四年,5500,,物/化/生(3选1)
plan_44_168992_11_2022_3_本科批,44_168992,44,168992,北京,2022,精算学,本科(普通) (1),经济学 (4),金融学类 (37),普通类,本科批,综合,1,四年,5500,,不限
plan_44_1360524_11_2022_3_本科批,44_1360524,44,1360524,北京,2022,机器人工程,本科(普通) (1),工学 (10),自动化类 (70),普通类,本科批,综合,1,四年,6500,,物理必选
plan_44_1800309_11_2022_3_本科批,44_1800309,44,1800309,北京,2022,数字经济,本科(普通) (1),经济学 (4),经济学类 (35),普通类,本科批,综合,3,四年,5500,,物理必选
plan_44_1859266_11_2022_3_本科批,44_1859266,44,1859266,北京,2022,建筑环境与能源应用工程,本科(普通) (1),工学 (10),土木类 (72),普通类,本科批,综合,3,四年,6500,,物理必选
plan_44_89684_11_2022_3_本科批,44_89684,44,89684,北京,2022,材料科学与工程,本科(普通) (1),工学 (10),材料类 (66),普通类,本科批,综合,2,四年,6500,,物理必选
plan_44_89690_11_2022_3_本科批,44_89690,44,89690,北京,2022,软件工程,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批,综合,2,四年,8950,,物理必选
plan_44_93766_11_2022_3_本科批,44_93766,44,93766,北京,2022,电气工程及其自动化,本科(普通) (1),工学 (10),电气类 (68),普通类,本科批,综合,2,四年,6500,,物理必选
plan_44_93773_11_2022_3_本科批,44_93773,44,93773,北京,2022,数学类,本科(普通) (1),理学 (9),数学类 (51),普通类,本科批,综合,2,四年,5300,,物理必选
plan_44_1129676_11_2022_3_本科批,44_1129676,44,1129676,北京,2022,智能制造工程,本科(普通) (1),工学 (10),机械类 (64),普通类,本科批,综合,2,四年,6500,,物理必选
plan_44_1859264_11_2022_3_本科批,44_1859264,44,1859264,北京,2022,工程力学,本科(普通) (1),工学 (10),力学类 (63),普通类,本科批,综合,2,四年,6500,,物理必选
plan_44_1859265_11_2022_3_本科批,44_1859265,44,1859265,北京,2022,土木工程,本科(普通) (1),工学 (10),土木类 (72),普通类,本科批,综合,2,四年,6500,,物理必选
plan_44_1039_11_2022_3_本科批,44_1039,44,1039,北京,2022,自动化,本科(普通) (1),工学 (10),自动化类 (70),普通类,本科批,综合,1,四年,6500,,物理必选
plan_44_89679_11_2022_3_本科批,44_89679,44,89679,北京,2022,应用物理学,本科(普通) (1),理学 (9),物理学类 (52),普通类,本科批,综合,1,四年,6500,,物理必选
plan_44_93767_11_2022_3_本科批,44_93767,44,93767,北京,2022,通信工程,本科(普通) (1),工学 (10),电子信息类 (69),普通类,本科批,综合,1,四年,6500,,物理必选
plan_44_93770_11_2022_3_本科批,44_93770,44,93770,北京,2022,信息安全,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批,综合,1,四年,6500,,物理必选
plan_44_1360524_11_2022_3_本科批,44_1360524,44,1360524,北京,2022,机器人工程,本科(普通) (1),工学 (10),自动化类 (70),普通类,本科批,综合,1,四年,6500,,物理必选
plan_44_328438_11_2022_3_本科批,44_328438,44,328438,北京,2022,化学类,本科(普通) (1),理学 (9),化学类 (53),普通类,本科批,综合,2,四年,5300,,物理/化学(2选1)
plan_44_93765_11_2022_3_本科批,44_93765,44,93765,北京,2022,生物技术,本科(普通) (1),理学 (9),生物科学类 (60),普通类,本科批,综合,2,四年,6500,,物/化/生(3选1)
plan_44_93772_11_2022_3_本科批,44_93772,44,93772,北京,2022,生物医学工程,本科(普通) (1),工学 (10),生物医学工程类 (88),普通类,本科批,综合,2,四年,6500,,物/化/生(3选1)
plan_44_93774_11_2022_3_本科批,44_93774,44,93774,北京,2022,统计学类,本科(普通) (1),理学 (9),统计学类 (62),普通类,本科批,综合,1,四年,5500,,物/化/生(3选1)
plan_44_89677_11_2022_3_本科批,44_89677,44,89677,北京,2022,历史学,本科(普通) (1),历史学 (8),历史学类 (50),普通类,本科批,综合,1,四年,5300,,历史必选
plan_44_1865188_12_2022_3_本科提前批A段,44_1865188,44,1865188,天津,2022,马克思主义理论,本科(普通) (1),法学 (5),马克思主义理论类 (43),普通类,本科提前批A段,综合,2,4,5500,（湖南大学）,思想政治必选
plan_44_1865188_12_2022_3_本科提前批A段,44_1865188,44,1865188,天津,2022,马克思主义理论,本科(普通) (1),法学 (5),马克思主义理论类 (43),普通类,本科提前批A段,综合,2,4,5500,（湖南大学）,思想政治必选
plan_44_1053_13_2022_2074_本科批,44_1053,44,1053,河北,2022,日语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科批,历史类,5,四年,5300,,
plan_44_1032_13_2022_2074_本科批,44_1032,44,1032,河北,2022,汉语言文学,本科(普通) (1),文学 (7),中国语言文学类 (47),普通类,本科批,历史类,4,四年,5300,,
plan_44_1030_13_2022_2074_本科批,44_1030,44,1030,河北,2022,法学,本科(普通) (1),法学 (5),法学类 (39),普通类,本科批,历史类,2,四年,5500,,
plan_44_1050_13_2022_2074_本科批,44_1050,44,1050,河北,2022,行政管理,本科(普通) (1),管理学 (13),公共管理类 (115),普通类,本科批,历史类,2,四年,5500,,
plan_44_89677_13_2022_2074_本科批,44_89677,44,89677,河北,2022,历史学,本科(普通) (1),历史学 (8),历史学类 (50),普通类,本科批,历史类,1,四年,5300,,
plan_44_1043_13_2022_2073_本科批,44_1043,44,1043,河北,2022,建筑学,本科(普通) (1),工学 (10),建筑类 (90),普通类,本科批,物理类,5,五年,6500,,
plan_44_89684_13_2022_2073_本科批,44_89684,44,89684,河北,2022,材料科学与工程,本科(普通) (1),工学 (10),材料类 (66),普通类,本科批,物理类,5,四年,6500,,
plan_44_1039_13_2022_2073_本科批,44_1039,44,1039,河北,2022,自动化,本科(普通) (1),工学 (10),自动化类 (70),普通类,本科批,物理类,4,四年,6500,,
plan_44_89702_13_2022_2073_本科批,44_89702,44,89702,河北,2022,工业设计,本科(普通) (1),工学 (10),机械类 (64),普通类,本科批,物理类,4,四年,6500,,
plan_44_93766_13_2022_2073_本科批,44_93766,44,93766,河北,2022,电气工程及其自动化,本科(普通) (1),工学 (10),电气类 (68),普通类,本科批,物理类,4,四年,6500,,
plan_44_93767_13_2022_2073_本科批,44_93767,44,93767,河北,2022,通信工程,本科(普通) (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,4,四年,6500,,
plan_44_1360524_13_2022_2073_本科批,44_1360524,44,1360524,河北,2022,机器人工程,本科(普通) (1),工学 (10),自动化类 (70),普通类,本科批,物理类,4,四年,6500,,
plan_44_1030_13_2022_2073_本科批,44_1030,44,1030,河北,2022,法学,本科(普通) (1),法学 (5),法学类 (39),普通类,本科批,物理类,3,四年,5500,,
plan_44_1040_13_2022_2073_本科批,44_1040,44,1040,河北,2022,电子信息工程,本科(普通) (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,3,四年,6500,,
plan_44_89679_13_2022_2073_本科批,44_89679,44,89679,河北,2022,应用物理学,本科(普通) (1),理学 (9),物理学类 (52),普通类,本科批,物理类,3,四年,6500,,
plan_44_89680_13_2022_2073_本科批,44_89680,44,89680,河北,2022,电子科学与技术,本科(普通) (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,3,四年,6500,,
plan_44_93771_13_2022_2073_本科批,44_93771,44,93771,河北,2022,化学工程与工艺,本科(普通) (1),工学 (10),化工与制药类 (75),普通类,本科批,物理类,3,四年,6500,,
plan_44_1800310_13_2022_2073_本科批,44_1800310,44,1800310,河北,2022,智能车辆工程,本科(普通) (1),工学 (10),机械类 (64),普通类,本科批,物理类,3,四年,6500,,
plan_44_1044_13_2022_2073_本科批,44_1044,44,1044,河北,2022,城乡规划,本科(普通) (1),工学 (10),建筑类 (90),普通类,本科批,物理类,2,五年,6500,,
plan_44_93765_13_2022_2073_本科批,44_93765,44,93765,河北,2022,生物技术,本科(普通) (1),理学 (9),生物科学类 (60),普通类,本科批,物理类,2,四年,6500,,
plan_44_1129676_13_2022_2073_本科批,44_1129676,44,1129676,河北,2022,智能制造工程,本科(普通) (1),工学 (10),机械类 (64),普通类,本科批,物理类,2,四年,6500,,
plan_44_1800309_13_2022_2073_本科批,44_1800309,44,1800309,河北,2022,数字经济,本科(普通) (1),经济学 (4),经济学类 (35),普通类,本科批,物理类,2,四年,5500,,
plan_44_1042_13_2022_2073_本科批,44_1042,44,1042,河北,2022,测控技术与仪器,本科(普通) (1),工学 (10),仪器类 (65),普通类,本科批,物理类,1,四年,6500,,
plan_44_1050_13_2022_2073_本科批,44_1050,44,1050,河北,2022,行政管理,本科(普通) (1),管理学 (13),公共管理类 (115),普通类,本科批,物理类,1,四年,5500,,
plan_44_89694_13_2022_2073_本科批,44_89694,44,89694,河北,2022,给排水科学与工程,本科(普通) (1),工学 (10),土木类 (72),普通类,本科批,物理类,1,四年,6500,,
plan_44_93772_13_2022_2073_本科批,44_93772,44,93772,河北,2022,生物医学工程,本科(普通) (1),工学 (10),生物医学工程类 (88),普通类,本科批,物理类,1,四年,6500,,
plan_44_168992_13_2022_2073_本科批,44_168992,44,168992,河北,2022,精算学,本科(普通) (1),经济学 (4),金融学类 (37),普通类,本科批,物理类,1,四年,5500,,
plan_44_93777_13_2022_2073_本科提前批B段,44_93777,44,93777,河北,2022,机械类,本科(普通) (1),工学 (10),机械类 (64),普通类,本科提前批B段,物理类,5,4,6500,（国家专项计划）（含机械设计制造及其自动化、车辆工程、工业工程专业）,
plan_44_89694_13_2022_2073_本科提前批B段,44_89694,44,89694,河北,2022,给排水科学与工程,本科(普通) (1),工学 (10),土木类 (72),普通类,本科提前批B段,物理类,4,4,6500,（国家专项计划）,
