plan_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,num,length,tuition,info,sg_info
plan_58_1877_11_2022_3_本科批,58_1877,58,1877,北京,2022,行政管理,本科 (1),管理学 (13),公共管理类 (115),普通类,本科批,综合,2,四年,5500,,不限
plan_58_89907_11_2022_3_本科批,58_89907,58,89907,北京,2022,知识产权,本科 (1),法学 (5),法学类 (39),普通类,本科批,综合,2,四年,5500,,不限
plan_58_1804_11_2022_3_本科批,58_1804,58,1804,北京,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,综合,2,四年,5500,,思想政治必选
plan_58_1812_11_2022_3_本科批,58_1812,58,1812,北京,2022,政治学与行政学,本科 (1),法学 (5),政治学类 (40),普通类,本科批,综合,2,四年,5300,,历史/思想政治(2选1)
plan_58_1864_11_2022_3_本科批,58_1864,58,1864,北京,2022,通信工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,综合,2,四年,6500,,物理必选
plan_58_1866_11_2022_3_本科批,58_1866,58,1866,北京,2022,地理信息科学,本科 (1),理学 (9),地理科学类 (55),普通类,本科批,综合,2,四年,6500,,物/化/地(3选1)
plan_58_1877_11_2022_3_本科批,58_1877,58,1877,北京,2022,行政管理,本科 (1),管理学 (13),公共管理类 (115),普通类,本科批,综合,2,四年,5500,,不限
plan_58_89907_11_2022_3_本科批,58_89907,58,89907,北京,2022,知识产权,本科 (1),法学 (5),法学类 (39),普通类,本科批,综合,2,四年,5500,,不限
plan_58_1130628_11_2022_3_本科批,58_1130628,58,1130628,北京,2022,人工智能,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,综合,2,四年,6500,,物理必选
plan_58_1864_11_2022_3_本科批,58_1864,58,1864,北京,2022,通信工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,综合,2,四年,6500,,物理必选
plan_58_1130628_11_2022_3_本科批,58_1130628,58,1130628,北京,2022,人工智能,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,综合,2,四年,6500,,物理必选
plan_58_1866_11_2022_3_本科批,58_1866,58,1866,北京,2022,地理信息科学,本科 (1),理学 (9),地理科学类 (55),普通类,本科批,综合,2,四年,6500,,物/化/地(3选1)
plan_58_1804_11_2022_3_本科批,58_1804,58,1804,北京,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,综合,2,四年,5500,,思想政治必选
plan_58_1812_11_2022_3_本科批,58_1812,58,1812,北京,2022,政治学与行政学,本科 (1),法学 (5),政治学类 (40),普通类,本科批,综合,2,四年,5300,,历史/思想政治(2选1)
plan_58_1827_11_2022_3_本科提前批A段,58_1827,58,1827,北京,2022,体育教育,本科 (1),教育学 (6),体育学类 (46),中外合作办学,本科提前批A段,综合,2,4,48000,（中外合作办学）（师范）,不限
plan_58_1827_11_2022_3_本科提前批A段,58_1827,58,1827,北京,2022,体育教育,本科 (1),教育学 (6),体育学类 (46),中外合作办学,本科提前批A段,综合,2,4,48000,（中外合作办学）（师范）,不限
plan_58_1812_13_2022_2074_本科批,58_1812,58,1812,河北,2022,政治学与行政学,本科 (1),法学 (5),政治学类 (40),普通类,本科批,历史类,4,四年,5300,,
plan_58_1876_13_2022_2074_本科批,58_1876,58,1876,河北,2022,社会学,本科 (1),法学 (5),社会学类 (41),普通类,本科批,历史类,4,四年,5300,,
plan_58_1833_13_2022_2074_本科批,58_1833,58,1833,河北,2022,土地资源管理,本科 (1),管理学 (13),公共管理类 (115),普通类,本科批,历史类,2,四年,5500,,
plan_58_1877_13_2022_2074_本科批,58_1877,58,1877,河北,2022,行政管理,本科 (1),管理学 (13),公共管理类 (115),普通类,本科批,历史类,2,四年,5500,,
plan_58_89896_13_2022_2074_本科批,58_89896,58,89896,河北,2022,人文地理与城乡规划,本科 (1),理学 (9),地理科学类 (55),普通类,本科批,历史类,2,四年,6500,,
plan_58_1821_13_2022_2073_本科批,58_1821,58,1821,河北,2022,软件工程,本科 (1),工学 (10),计算机类 (71),普通类,本科批,物理类,4,四年,6500,,
plan_58_1823_13_2022_2073_本科批,58_1823,58,1823,河北,2022,电子信息科学与技术,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,4,四年,6500,,
plan_58_1851_13_2022_2073_本科批,58_1851,58,1851,河北,2022,计算机科学与技术,本科 (1),工学 (10),计算机类 (71),普通类,本科批,物理类,4,四年,6500,,
plan_58_1864_13_2022_2073_本科批,58_1864,58,1864,河北,2022,通信工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,4,四年,6500,,
plan_58_1130628_13_2022_2073_本科批,58_1130628,58,1130628,河北,2022,人工智能,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,4,四年,6500,,
plan_58_1806_13_2022_2073_本科批,58_1806,58,1806,河北,2022,机械设计制造及其自动化,本科 (1),工学 (10),机械类 (64),普通类,本科批,物理类,2,四年,6500,,
plan_58_1843_13_2022_2073_本科批,58_1843,58,1843,河北,2022,统计学,本科 (1),理学 (9),统计学类 (62),普通类,本科批,物理类,2,四年,5500,,
plan_58_1866_13_2022_2073_本科批,58_1866,58,1866,河北,2022,地理信息科学,本科 (1),理学 (9),地理科学类 (55),普通类,本科批,物理类,2,四年,6500,,
plan_58_89901_13_2022_2073_本科批,58_89901,58,89901,河北,2022,物联网工程,本科 (1),工学 (10),计算机类 (71),普通类,本科批,物理类,2,四年,6500,,
plan_58_89907_13_2022_2073_本科批,58_89907,58,89907,河北,2022,知识产权,本科 (1),法学 (5),法学类 (39),普通类,本科批,物理类,2,四年,5500,,
plan_58_592144_13_2022_2073_本科批,58_592144,58,592144,河北,2022,数据科学与大数据技术,本科 (1),工学 (10),计算机类 (71),普通类,本科批,物理类,2,四年,6500,,
plan_58_1804_14_2022_2_本科一批A段,58_1804,58,1804,山西,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科一批A段,文科,6,-,5500,,
plan_58_1876_14_2022_2_本科一批A段,58_1876,58,1876,山西,2022,社会学,本科 (1),法学 (5),社会学类 (41),普通类,本科一批A段,文科,2,-,5300,,
plan_58_1877_14_2022_2_本科一批A段,58_1877,58,1877,山西,2022,行政管理,本科 (1),管理学 (13),公共管理类 (115),普通类,本科一批A段,文科,2,-,5500,,
plan_58_1806_14_2022_1_本科一批A段,58_1806,58,1806,山西,2022,机械设计制造及其自动化,本科 (1),工学 (10),机械类 (64),普通类,本科一批A段,理科,4,-,6500,,
plan_58_1858_14_2022_1_本科一批A段,58_1858,58,1858,山西,2022,电子信息工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科一批A段,理科,4,-,6500,,
plan_58_1130628_14_2022_1_本科一批A段,58_1130628,58,1130628,山西,2022,人工智能,本科 (1),工学 (10),电子信息类 (69),普通类,本科一批A段,理科,4,-,6500,,
plan_58_1804_14_2022_1_本科一批A段,58_1804,58,1804,山西,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科一批A段,理科,3,五年,5500,,
plan_58_1821_14_2022_1_本科一批A段,58_1821,58,1821,山西,2022,软件工程,本科 (1),工学 (10),计算机类 (71),普通类,本科一批A段,理科,2,-,6500,,
plan_58_1823_14_2022_1_本科一批A段,58_1823,58,1823,山西,2022,电子信息科学与技术,本科 (1),工学 (10),电子信息类 (69),普通类,本科一批A段,理科,2,-,6500,,
plan_58_1833_14_2022_1_本科一批A段,58_1833,58,1833,山西,2022,土地资源管理,本科 (1),管理学 (13),公共管理类 (115),普通类,本科一批A段,理科,2,五年,5500,,
plan_58_1838_14_2022_1_本科一批A段,58_1838,58,1838,山西,2022,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科一批A段,理科,2,五年,7800,,
plan_58_1851_14_2022_1_本科一批A段,58_1851,58,1851,山西,2022,计算机科学与技术,本科 (1),工学 (10),计算机类 (71),普通类,本科一批A段,理科,2,-,6500,,
plan_58_1866_14_2022_1_本科一批A段,58_1866,58,1866,山西,2022,地理信息科学,本科 (1),理学 (9),地理科学类 (55),普通类,本科一批A段,理科,2,五年,6500,,
plan_58_1804_15_2022_2_本科一批,58_1804,58,1804,内蒙古,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科一批,文科,6,四年,5500,（湖南长沙）,
plan_58_1877_15_2022_2_本科一批,58_1877,58,1877,内蒙古,2022,行政管理,本科 (1),管理学 (13),公共管理类 (115),普通类,本科一批,文科,3,四年,5500,（湖南长沙）,
plan_58_1876_15_2022_2_本科一批,58_1876,58,1876,内蒙古,2022,社会学,本科 (1),法学 (5),社会学类 (41),普通类,本科一批,文科,2,四年,5300,（湖南长沙）,
plan_58_1878_15_2022_2_本科一批,58_1878,58,1878,内蒙古,2022,哲学,本科 (1),哲学 (3),哲学类 (34),普通类,本科一批,文科,2,四年,5300,（湖南长沙）（含世承书院哲学基地班。）,
