plan_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,num,length,tuition,info,sg_info
plan_64_2212_13_2022_2074_本科批,64_2212,64,2212,河北,2022,中医学,本科 (1),医学 (12),中医学类 (105),普通类,本科批,历史类,4,五年,,（学费待定）,
plan_64_2207_13_2022_2073_本科批,64_2207,64,2207,河北,2022,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科批,物理类,10,五年,,（学费待定）,
plan_64_2209_13_2022_2073_本科批,64_2209,64,2209,河北,2022,麻醉学,本科 (1),医学 (12),临床医学类 (102),普通类,本科批,物理类,4,五年,,（学费待定）,
plan_64_2210_13_2022_2073_本科批,64_2210,64,2210,河北,2022,预防医学,本科 (1),医学 (12),公共卫生与预防医学类 (104),普通类,本科批,物理类,3,五年,,（学费待定）,
plan_64_2212_13_2022_2073_本科批,64_2212,64,2212,河北,2022,中医学,本科 (1),医学 (12),中医学类 (105),普通类,本科批,物理类,3,五年,,（学费待定）,
plan_64_2218_13_2022_2073_本科批,64_2218,64,2218,河北,2022,信息管理与信息系统,本科 (1),管理学 (13),管理科学与工程类 (112),普通类,本科批,物理类,2,四年,,（学费待定）,
plan_64_2222_13_2022_2073_本科批,64_2222,64,2222,河北,2022,医学检验技术,本科 (1),医学 (12),医学技术类 (110),普通类,本科批,物理类,2,四年,,（学费待定）,
plan_64_2233_13_2022_2073_本科批,64_2233,64,2233,河北,2022,康复治疗学,本科 (1),医学 (12),医学技术类 (110),普通类,本科批,物理类,2,四年,,（学费待定）,
plan_64_2207_14_2022_1_本科二批A段,64_2207,64,2207,山西,2022,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科二批A段,理科,8,五年,,,
plan_64_2206_14_2022_1_本科二批A段,64_2206,64,2206,山西,2022,生物技术,本科 (1),理学 (9),生物科学类 (60),普通类,本科二批A段,理科,5,-,,,
plan_64_2209_14_2022_1_本科二批A段,64_2209,64,2209,山西,2022,麻醉学,本科 (1),医学 (12),临床医学类 (102),普通类,本科二批A段,理科,4,五年,,,
plan_64_2208_14_2022_1_本科二批A段,64_2208,64,2208,山西,2022,医学影像学,本科 (1),医学 (12),临床医学类 (102),普通类,本科二批A段,理科,3,五年,,,
plan_64_2210_14_2022_1_本科二批A段,64_2210,64,2210,山西,2022,预防医学,本科 (1),医学 (12),公共卫生与预防医学类 (104),普通类,本科二批A段,理科,3,五年,,,
plan_64_2215_14_2022_1_本科二批A段,64_2215,64,2215,山西,2022,生物制药,本科 (1),工学 (10),生物工程类 (92),普通类,本科二批A段,理科,3,-,,,
plan_64_114086_14_2022_1_本科二批A段,64_114086,64,114086,山西,2022,听力与言语康复学,本科 (1),医学 (12),医学技术类 (110),普通类,本科二批A段,理科,3,-,,,
plan_64_2216_14_2022_1_本科二批A段,64_2216,64,2216,山西,2022,统计学,本科 (1),理学 (9),统计学类 (62),普通类,本科二批A段,理科,2,-,,,
plan_64_2222_14_2022_1_本科二批A段,64_2222,64,2222,山西,2022,医学检验技术,本科 (1),医学 (12),医学技术类 (110),普通类,本科二批A段,理科,2,-,,,
plan_64_2224_14_2022_1_本科二批A段,64_2224,64,2224,山西,2022,应用心理学,本科 (1),理学 (9),心理学类 (61),普通类,本科二批A段,理科,2,-,,,
plan_64_2226_14_2022_1_本科二批A段,64_2226,64,2226,山西,2022,特殊教育,本科 (1),教育学 (6),教育学类 (45),普通类,本科二批A段,理科,2,-,,,
plan_64_2207_15_2022_1_本科二批,64_2207,64,2207,内蒙古,2022,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科二批,理科,8,五年,,（烟台校区）,
plan_64_2210_15_2022_1_本科二批,64_2210,64,2210,内蒙古,2022,预防医学,本科 (1),医学 (12),公共卫生与预防医学类 (104),普通类,本科二批,理科,4,五年,,（烟台校区）,
plan_64_2206_15_2022_1_本科二批,64_2206,64,2206,内蒙古,2022,生物技术,本科 (1),理学 (9),生物科学类 (60),普通类,本科二批,理科,2,四年,,（烟台校区）,
plan_64_2212_15_2022_1_本科二批,64_2212,64,2212,内蒙古,2022,中医学,本科 (1),医学 (12),中医学类 (105),普通类,本科二批,理科,2,五年,,（滨州校区）,
plan_64_2215_15_2022_1_本科二批,64_2215,64,2215,内蒙古,2022,生物制药,本科 (1),工学 (10),生物工程类 (92),普通类,本科二批,理科,2,四年,,（烟台校区）,
plan_64_2227_15_2022_1_本科二批,64_2227,64,2227,内蒙古,2022,假肢矫形工程,本科 (1),工学 (10),生物医学工程类 (88),普通类,本科二批,理科,2,四年,,（烟台校区）,
plan_64_2229_15_2022_1_本科二批,64_2229,64,2229,内蒙古,2022,中药学,本科 (1),医学 (12),中药学类 (108),普通类,本科二批,理科,2,四年,,（烟台校区）,
