plan_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,num,length,tuition,info,sg_info
plan_103_4636_11_2022_3_本科批,103_4636,103,4636,北京,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科批,综合,2,四年,5460,,物理必选
plan_103_1130275_11_2022_3_本科批,103_1130275,103,1130275,北京,2022,人工智能,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,综合,2,四年,5460,,物理必选
plan_103_4599_11_2022_3_本科批,103_4599,103,4599,北京,2022,物联网工程,本科 (1),工学 (10),计算机类 (71),普通类,本科批,综合,1,四年,5460,,物理必选
plan_103_4636_11_2022_3_本科批,103_4636,103,4636,北京,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科批,综合,2,四年,5460,,物理必选
plan_103_1130275_11_2022_3_本科批,103_1130275,103,1130275,北京,2022,人工智能,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,综合,2,四年,5460,,物理必选
plan_103_4599_11_2022_3_本科批,103_4599,103,4599,北京,2022,物联网工程,本科 (1),工学 (10),计算机类 (71),普通类,本科批,综合,1,四年,5460,,物理必选
plan_103_4581_13_2022_2073_本科提前批B段,103_4581,103,4581,河北,2022,信息管理与信息系统,本科 (1),管理学 (13),管理科学与工程类 (112),普通类,本科提前批B段,物理类,2,4,5460,（国家专项计划）（培养校区安排及专业体检要求详见招生章程）,
plan_103_4607_13_2022_2073_本科提前批B段,103_4607,103,4607,河北,2022,生物医学工程,本科 (1),工学 (10),生物医学工程类 (88),普通类,本科提前批B段,物理类,2,4,5460,（国家专项计划）（培养校区安排及专业体检要求详见招生章程）,
plan_103_100560_13_2022_2073_本科提前批B段,103_100560,103,100560,河北,2022,化学,本科 (1),理学 (9),化学类 (53),普通类,本科提前批B段,物理类,2,4,5460,（国家专项计划）（培养校区安排及专业体检要求详见招生章程）,
plan_103_4590_13_2022_2073_本科提前批B段,103_4590,103,4590,河北,2022,高分子材料与工程,本科 (1),工学 (10),材料类 (66),普通类,本科提前批B段,物理类,1,4,5460,（国家专项计划）（培养校区安排及专业体检要求详见招生章程）,
plan_103_4617_13_2022_2073_本科提前批C段,103_4617,103,4617,河北,2022,过程装备与控制工程,本科 (1),工学 (10),机械类 (64),普通类,本科提前批C段,物理类,1,4,5460,（第一年在福州市铜盘校区培养，专业体检要求详见招生章程）（高校专项计划）,
plan_103_4618_13_2022_2073_本科提前批C段,103_4618,103,4618,河北,2022,化学工程与工艺,本科 (1),工学 (10),化工与制药类 (75),普通类,本科提前批C段,物理类,1,4,5460,（第一年在福州市铜盘校区培养，专业体检要求详见招生章程）（高校专项计划）,
plan_103_4625_13_2022_2073_本科提前批C段,103_4625,103,4625,河北,2022,机械设计制造及其自动化,本科 (1),工学 (10),机械类 (64),普通类,本科提前批C段,物理类,1,4,5460,（第一年在福州市铜盘校区培养，专业体检要求详见招生章程）（高校专项计划）,
plan_103_4573_14_2022_2_本科一批A段,103_4573,103,4573,山西,2022,工商管理,本科 (1),管理学 (13),工商管理类 (113),普通类,本科一批A段,文科,2,-,5460,,
plan_103_4625_14_2022_1_本科一批A段,103_4625,103,4625,山西,2022,机械设计制造及其自动化,本科 (1),工学 (10),机械类 (64),普通类,本科一批A段,理科,3,-,5460,,
plan_103_100560_14_2022_1_本科一批A段,103_100560,103,100560,山西,2022,化学,本科 (1),理学 (9),化学类 (53),普通类,本科一批A段,理科,3,-,5460,,
plan_103_100561_14_2022_1_本科一批A段,103_100561,103,100561,山西,2022,油气储运工程,本科 (1),工学 (10),矿业类 (77),普通类,本科一批A段,理科,3,-,5460,,
plan_103_4553_14_2022_1_本科一批A段,103_4553,103,4553,山西,2022,安全工程,本科 (1),工学 (10),安全科学与工程类 (91),普通类,本科一批A段,理科,2,-,5460,,
plan_103_4556_14_2022_1_本科一批A段,103_4556,103,4556,山西,2022,生物工程,本科 (1),工学 (10),生物工程类 (92),普通类,本科一批A段,理科,2,-,5460,,
plan_103_4565_14_2022_1_本科一批A段,103_4565,103,4565,山西,2022,微电子科学与工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科一批A段,理科,2,-,5460,,
plan_103_4567_14_2022_1_本科一批A段,103_4567,103,4567,山西,2022,地质工程,本科 (1),工学 (10),地质类 (76),普通类,本科一批A段,理科,2,-,5460,,
plan_103_4571_14_2022_1_本科一批A段,103_4571,103,4571,山西,2022,人文地理与城乡规划,本科 (1),理学 (9),地理科学类 (55),普通类,本科一批A段,理科,2,-,5460,,
plan_103_4572_14_2022_1_本科一批A段,103_4572,103,4572,山西,2022,资源循环科学与工程,本科 (1),工学 (10),化工与制药类 (75),普通类,本科一批A段,理科,2,-,5460,,
plan_103_4590_14_2022_1_本科一批A段,103_4590,103,4590,山西,2022,高分子材料与工程,本科 (1),工学 (10),材料类 (66),普通类,本科一批A段,理科,2,-,5460,,
plan_103_4617_14_2022_1_本科一批A段,103_4617,103,4617,山西,2022,过程装备与控制工程,本科 (1),工学 (10),机械类 (64),普通类,本科一批A段,理科,2,-,5460,,
plan_103_4636_14_2022_1_本科一批A段,103_4636,103,4636,山西,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科一批A段,理科,2,-,5460,,
plan_103_4608_15_2022_1_本科一批,103_4608,103,4608,内蒙古,2022,土木工程,本科 (1),工学 (10),土木类 (72),普通类,本科一批,理科,3,四年,5460,（福州市旗山校区）（第一年在福州市铜盘校区培养）,
plan_103_4564_15_2022_1_本科一批,103_4564,103,4564,内蒙古,2022,电子科学与技术,本科 (1),工学 (10),电子信息类 (69),普通类,本科一批,理科,2,四年,5460,（福州市旗山校区）（第一年在福州市铜盘校区培养）,
plan_103_4567_15_2022_1_本科一批,103_4567,103,4567,内蒙古,2022,地质工程,本科 (1),工学 (10),地质类 (76),普通类,本科一批,理科,2,四年,5460,（福州市旗山校区）（第一年在福州市铜盘校区培养）,
plan_103_4607_15_2022_1_本科一批,103_4607,103,4607,内蒙古,2022,生物医学工程,本科 (1),工学 (10),生物医学工程类 (88),普通类,本科一批,理科,2,四年,5460,（福州市旗山校区）（第一年在福州市铜盘校区培养）,
plan_103_4617_15_2022_1_本科一批,103_4617,103,4617,内蒙古,2022,过程装备与控制工程,本科 (1),工学 (10),机械类 (64),普通类,本科一批,理科,2,四年,5460,（福州市旗山校区）（第一年在福州市铜盘校区培养）,
plan_103_4636_15_2022_1_本科一批,103_4636,103,4636,内蒙古,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科一批,理科,2,四年,5460,（福州市旗山校区）（第一年在福州市铜盘校区培养）,
plan_103_100560_15_2022_1_本科一批,103_100560,103,100560,内蒙古,2022,化学,本科 (1),理学 (9),化学类 (53),普通类,本科一批,理科,2,四年,5460,（福州市旗山校区）（第一年在福州市铜盘校区培养）,
plan_103_4603_23_2022_1_本科一批A段,103_4603,103,4603,黑龙江,2022,资源勘查工程,本科 (1),工学 (10),地质类 (76),普通类,本科一批A段,理科,3,四年,5460,（矿业类）,
plan_103_4604_23_2022_1_本科一批A段,103_4604,103,4604,黑龙江,2022,采矿工程,本科 (1),工学 (10),矿业类 (77),普通类,本科一批A段,理科,3,四年,5460,（矿业类）,
