plan_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,num,length,tuition,info,sg_info
plan_118_5625_11_2022_3_本科批,118_5625,118,5625,北京,2022,旅游管理,本科 (1),管理学 (13),旅游管理类 (120),普通类,本科批,综合,2,四年,5200,,不限
plan_118_5625_11_2022_3_本科批,118_5625,118,5625,北京,2022,旅游管理,本科 (1),管理学 (13),旅游管理类 (120),普通类,本科批,综合,2,四年,5200,,不限
plan_118_1039167_11_2022_3_本科批,118_1039167,118,1039167,北京,2022,人工智能,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,综合,2,四年,6380,,物理必选
plan_118_5694_11_2022_3_本科批,118_5694,118,5694,北京,2022,纳米材料与技术,本科 (1),工学 (10),材料类 (66),普通类,本科批,综合,1,四年,5800,,化学必选
plan_118_1039167_11_2022_3_本科批,118_1039167,118,1039167,北京,2022,人工智能,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,综合,2,四年,6380,,物理必选
plan_118_5694_11_2022_3_本科批,118_5694,118,5694,北京,2022,纳米材料与技术,本科 (1),工学 (10),材料类 (66),普通类,本科批,综合,1,四年,5800,,化学必选
plan_118_5659_13_2022_2074_本科批,118_5659,118,5659,河北,2022,哲学,本科 (1),哲学 (3),哲学类 (34),普通类,本科批,历史类,2,四年,5200,,
plan_118_5663_13_2022_2074_本科批,118_5663,118,5663,河北,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,历史类,2,四年,5720,,
plan_118_5676_13_2022_2073_本科批,118_5676,118,5676,河北,2022,历史建筑保护工程,本科 (1),工学 (10),建筑类 (90),普通类,本科批,物理类,3,四年,5800,,
plan_118_5626_13_2022_2073_本科批,118_5626,118,5626,河北,2022,能源与动力工程,本科 (1),工学 (10),能源动力类 (67),普通类,本科批,物理类,2,四年,5800,,
plan_118_5638_13_2022_2073_本科批,118_5638,118,5638,河北,2022,护理学,本科 (1),医学 (12),护理学类 (111),普通类,本科批,物理类,2,四年,6800,,
plan_118_5641_13_2022_2073_本科批,118_5641,118,5641,河北,2022,医学检验技术,本科 (1),医学 (12),医学技术类 (110),普通类,本科批,物理类,2,四年,7480,,
plan_118_5649_13_2022_2073_本科批,118_5649,118,5649,河北,2022,冶金工程,本科 (1),工学 (10),材料类 (66),普通类,本科批,物理类,2,四年,5800,,
plan_118_5650_13_2022_2073_本科批,118_5650,118,5650,河北,2022,金属材料工程,本科 (1),工学 (10),材料类 (66),普通类,本科批,物理类,2,四年,5800,,
plan_118_5679_13_2022_2073_本科批,118_5679,118,5679,河北,2022,金融数学,本科 (1),经济学 (4),金融学类 (37),普通类,本科批,物理类,2,四年,5200,,
plan_118_5694_13_2022_2073_本科批,118_5694,118,5694,河北,2022,纳米材料与技术,本科 (1),工学 (10),材料类 (66),普通类,本科批,物理类,2,四年,5800,,
plan_118_5695_13_2022_2073_本科批,118_5695,118,5695,河北,2022,计算机科学与技术,本科 (1),工学 (10),计算机类 (71),普通类,本科批,物理类,2,四年,6380,,
plan_118_5704_13_2022_2073_本科批,118_5704,118,5704,河北,2022,机械工程,本科 (1),工学 (10),机械类 (64),普通类,本科批,物理类,2,四年,5800,,
plan_118_5707_13_2022_2073_本科批,118_5707,118,5707,河北,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科批,物理类,2,四年,5800,,
plan_118_5716_13_2022_2073_本科批,118_5716,118,5716,河北,2022,电气工程与智能控制,本科 (1),工学 (10),电气类 (68),普通类,本科批,物理类,2,四年,5800,,
plan_118_5730_13_2022_2073_本科批,118_5730,118,5730,河北,2022,医学影像学,本科 (1),医学 (12),临床医学类 (102),普通类,本科批,物理类,2,五年,7480,,
plan_118_5748_13_2022_2073_本科批,118_5748,118,5748,河北,2022,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科批,物理类,2,五年,7480,,
plan_118_5750_13_2022_2073_本科批,118_5750,118,5750,河北,2022,放射医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科批,物理类,2,五年,7480,,
plan_118_99206_13_2022_2073_本科批,118_99206,118,99206,河北,2022,预防医学,本科 (1),医学 (12),公共卫生与预防医学类 (104),普通类,本科批,物理类,2,五年,7480,,
plan_118_1039167_13_2022_2073_本科批,118_1039167,118,1039167,河北,2022,人工智能,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,2,四年,6380,,
plan_118_5707_13_2022_2073_本科提前批B段,118_5707,118,5707,河北,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科提前批B段,物理类,1,4,5800,（国家专项计划）,
plan_118_5750_13_2022_2073_本科提前批B段,118_5750,118,5750,河北,2022,放射医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科提前批B段,物理类,1,5,7480,（国家专项计划）,
plan_118_5673_13_2022_2073_本科提前批C段,118_5673,118,5673,河北,2022,建筑学,本科 (1),工学 (10),建筑类 (90),普通类,本科提前批C段,物理类,1,5,5800,（需具有一定的美术基础）（高校专项计划）,
plan_118_5707_13_2022_2073_本科提前批C段,118_5707,118,5707,河北,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科提前批C段,物理类,1,4,5800,（高校专项计划）,
plan_118_5711_13_2022_2073_本科提前批C段,118_5711,118,5711,河北,2022,轻化工程,本科 (1),工学 (10),轻工类 (79),普通类,本科提前批C段,物理类,1,4,6380,（高校专项计划）,
plan_118_99177_13_2022_2074_本科提前批B段,118_99177,118,99177,河北,2022,历史学,本科 (1),历史学 (8),历史学类 (50),普通类,本科提前批B段,历史类,1,4,5200,（师范）（国家专项计划）（师范类）,
plan_118_5653_14_2022_2_本科一批A段,118_5653,118,5653,山西,2022,城市管理,本科 (1),管理学 (13),公共管理类 (115),普通类,本科一批A段,文科,2,-,5200,,
plan_118_5659_14_2022_2_本科一批A段,118_5659,118,5659,山西,2022,哲学,本科 (1),哲学 (3),哲学类 (34),普通类,本科一批A段,文科,2,-,5200,,
plan_118_5663_14_2022_2_本科一批A段,118_5663,118,5663,山西,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科一批A段,文科,2,-,5200,,
plan_118_5705_14_2022_1_本科一批A段,118_5705,118,5705,山西,2022,机械电子工程,本科 (1),工学 (10),机械类 (64),普通类,本科一批A段,理科,4,-,5800,,
plan_118_1800682_14_2022_1_本科一批A段,118_1800682,118,1800682,山西,2022,数据科学与大数据技术,本科 (1),工学 (10),计算机类 (71),普通类,本科一批A段,理科,4,-,,,
