plan_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,num,length,tuition,info,sg_info
plan_37_610_11_2022_3_本科批,37_610,37,610,北京,2022,经济统计学,本科 (1),经济学 (4),经济学类 (35),普通类,本科批,综合,1,四年,5500,,物/史/政(3选1)
plan_37_587_11_2022_3_本科批,37_587,37,587,北京,2022,考古学,本科 (1),历史学 (8),历史学类 (50),普通类,本科批,综合,1,四年,4250,,历史/地理(2选1)
plan_37_610_11_2022_3_本科批,37_610,37,610,北京,2022,经济统计学,本科 (1),经济学 (4),经济学类 (35),普通类,本科批,综合,1,四年,5500,,物/史/政(3选1)
plan_37_587_11_2022_3_本科批,37_587,37,587,北京,2022,考古学,本科 (1),历史学 (8),历史学类 (50),普通类,本科批,综合,1,四年,4250,,历史/地理(2选1)
plan_37_587_13_2022_2074_本科批,37_587,37,587,河北,2022,考古学,本科 (1),历史学 (8),历史学类 (50),普通类,本科批,历史类,2,四年,4250,,
plan_37_615_13_2022_2074_本科批,37_615,37,615,河北,2022,社会工作,本科 (1),法学 (5),社会学类 (41),普通类,本科批,历史类,2,四年,5500,,
plan_37_631_13_2022_2074_本科批,37_631,37,631,河北,2022,哲学,本科 (1),哲学 (3),哲学类 (34),普通类,本科批,历史类,2,四年,4250,,
plan_37_547_13_2022_2073_本科批,37_547,37,547,河北,2022,电子信息科学与技术,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,10,四年,50000,,
plan_37_572_13_2022_2073_本科批,37_572,37,572,河北,2022,过程装备与控制工程,本科 (1),工学 (10),机械类 (64),普通类,本科批,物理类,3,四年,6600,,
plan_37_588_13_2022_2073_本科批,37_588,37,588,河北,2022,文物保护技术,本科 (1),历史学 (8),历史学类 (50),普通类,本科批,物理类,3,四年,48000,,
plan_37_545_13_2022_2073_本科批,37_545,37,545,河北,2022,生物工程,本科 (1),工学 (10),生物工程类 (92),普通类,本科批,物理类,2,四年,6600,,
plan_37_170964_13_2022_2073_本科批,37_170964,37,170964,河北,2022,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科批,物理类,2,五年,7150,,
plan_37_545_13_2022_2073_本科提前批C段,37_545,37,545,河北,2022,生物工程,本科 (1),工学 (10),生物工程类 (92),普通类,本科提前批C段,物理类,1,4,6600,（高校专项计划）,
plan_37_572_13_2022_2073_本科提前批C段,37_572,37,572,河北,2022,过程装备与控制工程,本科 (1),工学 (10),机械类 (64),普通类,本科提前批C段,物理类,1,4,6600,（高校专项计划）,
plan_37_615_13_2022_2074_本科提前批C段,37_615,37,615,河北,2022,社会工作,本科 (1),法学 (5),社会学类 (41),普通类,本科提前批C段,历史类,1,4,5500,（高校专项计划）,
