plan_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,num,length,tuition,info,sg_info
plan_107_4965_11_2022_3_本科批,107_4965,107,4965,北京,2022,软件工程,本科 (1),工学 (10),计算机类 (71),普通类,本科批,综合,2,四年,6600,,物理必选
plan_107_4965_11_2022_3_本科批,107_4965,107,4965,北京,2022,软件工程,本科 (1),工学 (10),计算机类 (71),普通类,本科批,综合,2,四年,6600,,物理必选
plan_107_4918_13_2022_2073_本科批,107_4918,107,4918,河北,2022,材料科学与工程,本科 (1),工学 (10),材料类 (66),普通类,本科批,物理类,10,四年,70000,,
plan_107_4956_13_2022_2073_本科批,107_4956,107,4956,河北,2022,高分子材料与工程,本科 (1),工学 (10),材料类 (66),普通类,本科批,物理类,10,四年,70000,,
plan_107_4967_13_2022_2073_本科批,107_4967,107,4967,河北,2022,生物技术,本科 (1),理学 (9),生物科学类 (60),普通类,本科批,物理类,4,四年,6600,,
plan_107_4935_13_2022_2073_本科批,107_4935,107,4935,河北,2022,工程力学,本科 (1),工学 (10),力学类 (63),普通类,本科批,物理类,2,四年,6600,,
plan_107_4950_13_2022_2073_本科批,107_4950,107,4950,河北,2022,计算机科学与技术,本科 (1),工学 (10),计算机类 (71),普通类,本科批,物理类,2,四年,6600,,
plan_107_1500044_13_2022_2073_本科批,107_1500044,107,1500044,河北,2022,柔性电子学,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,2,四年,6600,,
plan_107_1800342_13_2022_2073_本科批,107_1800342,107,1800342,河北,2022,生态学,本科 (1),理学 (9),生物科学类 (60),普通类,本科批,物理类,2,四年,6600,,
plan_107_4965_15_2022_1_本科一批,107_4965,107,4965,内蒙古,2022,软件工程,本科 (1),工学 (10),计算机类 (71),普通类,本科一批,理科,4,四年,,（长安校区）（一、二年级6600元/年，三、四年级按学分计，每学分400元，三、四年级总学分不高于80学分。）,
plan_107_4936_23_2022_1_本科一批A段,107_4936,107,4936,黑龙江,2022,建筑学,本科 (1),工学 (10),建筑类 (90),普通类,本科一批A段,理科,2,四年,6600,,
plan_107_4965_32_2022_2073_本科批,107_4965,107,4965,江苏,2022,软件工程,本科 (1),工学 (10),计算机类 (71),普通类,本科批,物理类,13,四年,6600,,首选物理，再选不限
plan_107_4936_32_2022_2073_本科批,107_4936,107,4936,江苏,2022,建筑学,本科 (1),工学 (10),建筑类 (90),普通类,本科批,物理类,3,五年,6600,,首选物理，再选不限
plan_107_1500044_32_2022_2073_本科批,107_1500044,107,1500044,江苏,2022,柔性电子学,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,3,四年,6600,,首选物理，再选不限
plan_107_4935_32_2022_2073_本科批,107_4935,107,4935,江苏,2022,工程力学,本科 (1),工学 (10),力学类 (63),普通类,本科批,物理类,2,四年,6600,,首选物理，再选不限
plan_107_4950_32_2022_2073_本科批,107_4950,107,4950,江苏,2022,计算机科学与技术,本科 (1),工学 (10),计算机类 (71),普通类,本科批,物理类,2,四年,6600,,首选物理，再选不限
plan_107_4965_32_2022_2073_本科批,107_4965,107,4965,江苏,2022,软件工程,本科 (1),工学 (10),计算机类 (71),普通类,本科批,物理类,13,四年,6600,,首选物理，再选不限
plan_107_4967_32_2022_2073_本科批,107_4967,107,4967,江苏,2022,生物技术,本科 (1),理学 (9),生物科学类 (60),普通类,本科批,物理类,6,四年,6600,,首选物理，再选化学/生物(2选1)
plan_107_4918_32_2022_2073_本科批,107_4918,107,4918,江苏,2022,材料科学与工程,本科 (1),工学 (10),材料类 (66),普通类,本科批,物理类,5,四年,70000,,首选物理，再选不限
plan_107_4956_32_2022_2073_本科批,107_4956,107,4956,江苏,2022,高分子材料与工程,本科 (1),工学 (10),材料类 (66),普通类,本科批,物理类,5,四年,70000,,首选物理，再选不限
plan_107_4936_32_2022_2073_本科批,107_4936,107,4936,江苏,2022,建筑学,本科 (1),工学 (10),建筑类 (90),普通类,本科批,物理类,3,五年,6600,,首选物理，再选不限
plan_107_1500044_32_2022_2073_本科批,107_1500044,107,1500044,江苏,2022,柔性电子学,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,3,四年,6600,,首选物理，再选不限
plan_107_4935_32_2022_2073_本科批,107_4935,107,4935,江苏,2022,工程力学,本科 (1),工学 (10),力学类 (63),普通类,本科批,物理类,2,四年,6600,,首选物理，再选不限
plan_107_4950_32_2022_2073_本科批,107_4950,107,4950,江苏,2022,计算机科学与技术,本科 (1),工学 (10),计算机类 (71),普通类,本科批,物理类,2,四年,6600,,首选物理，再选不限
plan_107_1800342_32_2022_2073_本科批,107_1800342,107,1800342,江苏,2022,生态学,本科 (1),理学 (9),生物科学类 (60),普通类,本科批,物理类,2,四年,6600,,首选物理，再选化学/生物(2选1)
plan_107_4967_32_2022_2073_本科批,107_4967,107,4967,江苏,2022,生物技术,本科 (1),理学 (9),生物科学类 (60),普通类,本科批,物理类,6,四年,6600,,首选物理，再选化学/生物(2选1)
plan_107_1800342_32_2022_2073_本科批,107_1800342,107,1800342,江苏,2022,生态学,本科 (1),理学 (9),生物科学类 (60),普通类,本科批,物理类,2,四年,6600,,首选物理，再选化学/生物(2选1)
plan_107_4918_32_2022_2073_本科批,107_4918,107,4918,江苏,2022,材料科学与工程,本科 (1),工学 (10),材料类 (66),普通类,本科批,物理类,5,四年,70000,,首选物理，再选不限
plan_107_4956_32_2022_2073_本科批,107_4956,107,4956,江苏,2022,高分子材料与工程,本科 (1),工学 (10),材料类 (66),普通类,本科批,物理类,5,四年,70000,,首选物理，再选不限
plan_107_4965_33_2022_3_普通类平行录取,107_4965,107,4965,浙江,2022,软件工程,本科 (1),工学 (10),计算机类 (71),普通类,普通类平行录取,综合,11,四年,6600,"（长安校区。三、四年级按学分计,每学分400元,三、四年级总学分不高于80学分）",
plan_107_1500044_35_2022_2073_本科批,107_1500044,107,1500044,福建,2022,柔性电子学,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,2,四年,6600,,首选物理，再选不限
plan_107_4918_35_2022_2073_本科批,107_4918,107,4918,福建,2022,材料科学与工程,本科 (1),工学 (10),材料类 (66),普通类,本科批,物理类,5,四年,70000,（中外合作）,首选物理，再选不限
plan_107_4956_35_2022_2073_本科批,107_4956,107,4956,福建,2022,高分子材料与工程,本科 (1),工学 (10),材料类 (66),普通类,本科批,物理类,5,四年,70000,（中外合作）,首选物理，再选不限
plan_107_4967_35_2022_2073_本科批,107_4967,107,4967,福建,2022,生物技术,本科 (1),理学 (9),生物科学类 (60),普通类,本科批,物理类,3,四年,6600,,首选物理，再选化学/生物(2选1)
plan_107_1500044_35_2022_2073_本科批,107_1500044,107,1500044,福建,2022,柔性电子学,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,2,四年,6600,,首选物理，再选不限
plan_107_1800342_35_2022_2073_本科批,107_1800342,107,1800342,福建,2022,生态学,本科 (1),理学 (9),生物科学类 (60),普通类,本科批,物理类,2,四年,6600,,首选物理，再选化学/生物(2选1)
plan_107_4967_35_2022_2073_本科批,107_4967,107,4967,福建,2022,生物技术,本科 (1),理学 (9),生物科学类 (60),普通类,本科批,物理类,3,四年,6600,,首选物理，再选化学/生物(2选1)
plan_107_1800342_35_2022_2073_本科批,107_1800342,107,1800342,福建,2022,生态学,本科 (1),理学 (9),生物科学类 (60),普通类,本科批,物理类,2,四年,6600,,首选物理，再选化学/生物(2选1)
plan_107_4918_35_2022_2073_本科批,107_4918,107,4918,福建,2022,材料科学与工程,本科 (1),工学 (10),材料类 (66),普通类,本科批,物理类,5,四年,70000,（中外合作）,首选物理，再选不限
plan_107_4956_35_2022_2073_本科批,107_4956,107,4956,福建,2022,高分子材料与工程,本科 (1),工学 (10),材料类 (66),普通类,本科批,物理类,5,四年,70000,（中外合作）,首选物理，再选不限
plan_107_4918_36_2022_1_本科一批,107_4918,107,4918,江西,2022,材料科学与工程,本科 (1),工学 (10),材料类 (66),中外合作办学,本科一批,理科,5,-,70000,（中外合作办学）,
plan_107_4956_36_2022_1_本科一批,107_4956,107,4956,江西,2022,高分子材料与工程,本科 (1),工学 (10),材料类 (66),中外合作办学,本科一批,理科,5,-,70000,（中外合作办学）,
plan_107_4965_36_2022_1_本科一批,107_4965,107,4965,江西,2022,软件工程,本科 (1),工学 (10),计算机类 (71),普通类,本科一批,理科,4,-,6600,"（一、二年级600年,三,四年级按学分计,每学分400元,三、四年级总学分不高于80学分）",
plan_107_4967_36_2022_1_本科一批,107_4967,107,4967,江西,2022,生物技术,本科 (1),理学 (9),生物科学类 (60),普通类,本科一批,理科,3,-,6600,（生命科学试验班）,
plan_107_4936_37_2022_3_普通类一段,107_4936,107,4936,山东,2022,建筑学,本科 (1),工学 (10),建筑类 (90),普通类,普通类一段,综合,3,五年,6600,,
plan_107_4965_42_2022_2073_本科批,107_4965,107,4965,湖北,2022,软件工程,本科 (1),工学 (10),计算机类 (71),普通类,本科批,物理类,7,四年,6600,（一、二年级6600元/年，三、四年级按学分计，每学分400元，三、四年级总学分不高于80学分；办学地点长安校区）,首选物理，再选不限
plan_107_4965_42_2022_2073_本科批,107_4965,107,4965,湖北,2022,软件工程,本科 (1),工学 (10),计算机类 (71),普通类,本科批,物理类,7,四年,6600,（一、二年级6600元/年，三、四年级按学分计，每学分400元，三、四年级总学分不高于80学分；办学地点长安校区）,首选物理，再选不限
plan_107_4936_43_2022_2073_本科批,107_4936,107,4936,湖南,2022,建筑学,本科 (1),工学 (10),建筑类 (90),普通类,本科批,物理类,2,五年,6600,,首选物理，再选不限
plan_107_4936_43_2022_2073_本科批,107_4936,107,4936,湖南,2022,建筑学,本科 (1),工学 (10),建筑类 (90),普通类,本科批,物理类,2,五年,6600,,首选物理，再选不限
plan_107_4965_44_2022_2073_本科批,107_4965,107,4965,广东,2022,软件工程,本科 (1),工学 (10),计算机类 (71),普通类,本科批,物理类,7,四年,6600,（第一、二学年学费6600元/年，第三、四学年学费按学分计算（每学分400元，第三、四学年总学分不高于80学分））（长安校区）,首选物理，再选不限
plan_107_4950_44_2022_2073_本科批,107_4950,107,4950,广东,2022,计算机科学与技术,本科 (1),工学 (10),计算机类 (71),普通类,本科批,物理类,2,四年,6600,（长安校区）,首选物理，再选不限
plan_107_4965_44_2022_2073_本科批,107_4965,107,4965,广东,2022,软件工程,本科 (1),工学 (10),计算机类 (71),普通类,本科批,物理类,7,四年,6600,（第一、二学年学费6600元/年，第三、四学年学费按学分计算（每学分400元，第三、四学年总学分不高于80学分））（长安校区）,首选物理，再选不限
plan_107_4967_44_2022_2073_本科批,107_4967,107,4967,广东,2022,生物技术,本科 (1),理学 (9),生物科学类 (60),普通类,本科批,物理类,3,四年,6600,（长安校区）,首选物理，再选化学/生物(2选1)
plan_107_4950_44_2022_2073_本科批,107_4950,107,4950,广东,2022,计算机科学与技术,本科 (1),工学 (10),计算机类 (71),普通类,本科批,物理类,2,四年,6600,（长安校区）,首选物理，再选不限
plan_107_1800342_44_2022_2073_本科批,107_1800342,107,1800342,广东,2022,生态学,本科 (1),理学 (9),生物科学类 (60),普通类,本科批,物理类,2,四年,6600,（长安校区）,首选物理，再选化学/生物(2选1)
plan_107_4967_44_2022_2073_本科批,107_4967,107,4967,广东,2022,生物技术,本科 (1),理学 (9),生物科学类 (60),普通类,本科批,物理类,3,四年,6600,（长安校区）,首选物理，再选化学/生物(2选1)
plan_107_1800342_44_2022_2073_本科批,107_1800342,107,1800342,广东,2022,生态学,本科 (1),理学 (9),生物科学类 (60),普通类,本科批,物理类,2,四年,6600,（长安校区）,首选物理，再选化学/生物(2选1)
plan_107_4965_61_2022_1_本科一批,107_4965,107,4965,陕西,2022,软件工程,本科 (1),工学 (10),计算机类 (71),普通类,本科一批,理科,62,四年,6600,,
plan_107_4936_61_2022_1_本科一批,107_4936,107,4936,陕西,2022,建筑学,本科 (1),工学 (10),建筑类 (90),普通类,本科一批,理科,8,五年,6600,,
plan_107_4918_62_2022_1_本科一批I段,107_4918,107,4918,甘肃,2022,材料科学与工程,本科 (1),工学 (10),材料类 (66),普通类,本科一批I段,理科,3,四年,70000,,
plan_107_4956_62_2022_1_本科一批I段,107_4956,107,4956,甘肃,2022,高分子材料与工程,本科 (1),工学 (10),材料类 (66),普通类,本科一批I段,理科,2,四年,70000,,
plan_107_4965_63_2022_1_本科一段,107_4965,107,4965,青海,2022,软件工程,本科 (1),工学 (10),计算机类 (71),普通类,本科一段,理科,3,-,,,
plan_107_4965_64_2022_1_本科一批,107_4965,107,4965,宁夏,2022,软件工程,本科 (1),工学 (10),计算机类 (71),普通类,本科一批,理科,3,-,,,
