plan_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,num,length,tuition,info,sg_info
plan_101_4434_11_2022_3_本科批,101_4434,101,4434,北京,2022,经济学,本科 (1),经济学 (4),经济学类 (35),普通类,本科批,综合,3,四年,4600,,不限
plan_101_4412_11_2022_3_本科批,101_4412,101,4412,北京,2022,会计学,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,综合,2,四年,8000,,不限
plan_101_1497525_11_2022_3_本科批,101_1497525,101,1497525,北京,2022,金融学,本科 (1),经济学 (4),金融学类 (37),普通类,本科批,综合,2,四年,8000,,不限
plan_101_4418_11_2022_3_本科批,101_4418,101,4418,北京,2022,金融数学,本科 (1),经济学 (4),金融学类 (37),普通类,本科批,综合,1,四年,4600,,不限
plan_101_4428_11_2022_3_本科批,101_4428,101,4428,北京,2022,经济统计学,本科 (1),经济学 (4),经济学类 (35),普通类,本科批,综合,1,四年,4600,,不限
plan_101_616371_11_2022_3_本科批,101_616371,101,616371,北京,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,综合,1,四年,4400,,不限
plan_101_1358803_11_2022_3_本科批,101_1358803,101,1358803,北京,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,综合,1,四年,4600,,不限
plan_101_1497528_11_2022_3_本科批,101_1497528,101,1497528,北京,2022,经济学,本科 (1),经济学 (4),经济学类 (35),普通类,本科批,综合,1,四年,8000,,不限
plan_101_4434_11_2022_3_本科批,101_4434,101,4434,北京,2022,经济学,本科 (1),经济学 (4),经济学类 (35),普通类,本科批,综合,3,四年,4600,,不限
plan_101_190860_11_2022_3_本科批,101_190860,101,190860,北京,2022,会计学,本科 (1),管理学 (13),工商管理类 (113),中外合作办学,本科批,综合,3,四年,69000,,不限
plan_101_4412_11_2022_3_本科批,101_4412,101,4412,北京,2022,会计学,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,综合,2,四年,8000,,不限
plan_101_93275_11_2022_3_本科批,101_93275,101,93275,北京,2022,精算学,本科 (1),经济学 (4),金融学类 (37),普通类,本科批,综合,2,四年,4600,,物理必选
plan_101_1385425_11_2022_3_本科批,101_1385425,101,1385425,北京,2022,市场营销,本科 (1),管理学 (13),工商管理类 (113),中外合作办学,本科批,综合,2,四年,69000,,不限
plan_101_1497525_11_2022_3_本科批,101_1497525,101,1497525,北京,2022,金融学,本科 (1),经济学 (4),金融学类 (37),普通类,本科批,综合,2,四年,8000,,不限
