plan_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,num,length,tuition,info,sg_info
plan_57_1784_44_2022_2073_本科批,57_1784,57,1784,广东,2022,电子信息工程,本科 (1),工学 (10),电子信息类 (69),中外合作办学,本科批,物理类,10,四年,52000,（与法国南特大学综合理工学院中外合作办学项目，具体培养模式和学习费用请查看学校网站）（北校区）,首选物理，再选不限
plan_57_1800_44_2022_2073_本科批,57_1800,57,1800,广东,2022,通信工程,本科 (1),工学 (10),电子信息类 (69),中外合作办学,本科批,物理类,10,四年,60000,（与英国赫瑞瓦特大学中外合作办学项目，具体培养模式和学习费用请查看学校网站）（北校区）,首选物理，再选不限
plan_57_1129693_44_2022_2073_本科批,57_1129693,57,1129693,广东,2022,大数据管理与应用,本科 (1),管理学 (13),管理科学与工程类 (112),中外合作办学,本科批,物理类,10,四年,68000,（与美国弗吉尼亚理工大学中外合作办学项目，具体培养模式和学习费用请查看学校网站）（南校区）,首选物理，再选不限
plan_57_1784_44_2022_2073_本科批,57_1784,57,1784,广东,2022,电子信息工程,本科 (1),工学 (10),电子信息类 (69),中外合作办学,本科批,物理类,10,四年,52000,（与法国南特大学综合理工学院中外合作办学项目，具体培养模式和学习费用请查看学校网站）（北校区）,首选物理，再选不限
plan_57_1800_44_2022_2073_本科批,57_1800,57,1800,广东,2022,通信工程,本科 (1),工学 (10),电子信息类 (69),中外合作办学,本科批,物理类,10,四年,60000,（与英国赫瑞瓦特大学中外合作办学项目，具体培养模式和学习费用请查看学校网站）（北校区）,首选物理，再选不限
plan_57_1129693_44_2022_2073_本科批,57_1129693,57,1129693,广东,2022,大数据管理与应用,本科 (1),管理学 (13),管理科学与工程类 (112),中外合作办学,本科批,物理类,10,四年,68000,（与美国弗吉尼亚理工大学中外合作办学项目，具体培养模式和学习费用请查看学校网站）（南校区）,首选物理，再选不限
plan_57_918737_61_2022_1_本科一批,57_918737,57,918737,陕西,2022,通信工程,本科 (1),工学 (10),电子信息类 (69),中外合作办学,本科一批,理科,22,四年,60000,,
plan_57_918742_61_2022_1_本科一批,57_918742,57,918742,陕西,2022,电子信息工程,本科 (1),工学 (10),电子信息类 (69),中外合作办学,本科一批,理科,22,四年,52000,,
plan_57_1784_14_2023_1_本科一批A段,57_1784,57,1784,山西,2023,电子信息工程,本科 (1),工学 (10),电子信息类 (69),中外合作办学,本科一批A段,理科,8,-,52000,（办学地点北校区;与法国南特大学综合理工学院合作办学）（中外合作办学）,
plan_57_1800_14_2023_1_本科一批A段,57_1800,57,1800,山西,2023,通信工程,本科 (1),工学 (10),电子信息类 (69),中外合作办学,本科一批A段,理科,8,-,60000,（办学地点北校区;与英国赫瑞瓦特大学合作办学）（中外合作办学）,
plan_57_1129693_14_2023_1_本科一批A段,57_1129693,57,1129693,山西,2023,大数据管理与应用,本科 (1),管理学 (13),管理科学与工程类 (112),中外合作办学,本科一批A段,理科,8,-,68000,（办学地点南校区;与美国弗吉尼亚理工大学合作办学）（中外合作办学）,
plan_57_1784_44_2023_2073_本科批,57_1784,57,1784,广东,2023,电子信息工程,本科 (1),工学 (10),电子信息类 (69),中外合作办学,本科批,物理类,10,四年,52000,（中外合作办学）（与法国南特大学综合理工学院中外合作办学项目；住宿费：待定；办学地点：北校区；备注：具体培养模式和学习费用请查看学校网站）,首选物理，再选不限
plan_57_1800_44_2023_2073_本科批,57_1800,57,1800,广东,2023,通信工程,本科 (1),工学 (10),电子信息类 (69),中外合作办学,本科批,物理类,10,四年,60000,（中外合作办学）（与英国赫瑞瓦特大学中外合作办学项目；住宿费：待定；办学地点：北校区；备注：具体培养模式和学习费用请查看学校网站）,首选物理，再选不限
plan_57_1129693_44_2023_2073_本科批,57_1129693,57,1129693,广东,2023,大数据管理与应用,本科 (1),管理学 (13),管理科学与工程类 (112),中外合作办学,本科批,物理类,10,四年,68000,（中外合作办学）（与美国弗吉尼亚理工大学中外合作办学项目，办学地点：南校区）,首选物理，再选不限
plan_57_1784_44_2023_2073_本科批,57_1784,57,1784,广东,2023,电子信息工程,本科 (1),工学 (10),电子信息类 (69),中外合作办学,本科批,物理类,10,四年,52000,（中外合作办学）（与法国南特大学综合理工学院中外合作办学项目；住宿费：待定；办学地点：北校区；备注：具体培养模式和学习费用请查看学校网站）,首选物理，再选不限
plan_57_1800_44_2023_2073_本科批,57_1800,57,1800,广东,2023,通信工程,本科 (1),工学 (10),电子信息类 (69),中外合作办学,本科批,物理类,10,四年,60000,（中外合作办学）（与英国赫瑞瓦特大学中外合作办学项目；住宿费：待定；办学地点：北校区；备注：具体培养模式和学习费用请查看学校网站）,首选物理，再选不限
plan_57_1129693_44_2023_2073_本科批,57_1129693,57,1129693,广东,2023,大数据管理与应用,本科 (1),管理学 (13),管理科学与工程类 (112),中外合作办学,本科批,物理类,10,四年,68000,（中外合作办学）（与美国弗吉尼亚理工大学中外合作办学项目，办学地点：南校区）,首选物理，再选不限
plan_57_1784_13_2024_2073_本科批,57_1784,57,1784,河北,2024,电子信息工程,本科 (1),工学 (10),电子信息类 (69),中外合作办学,本科批,物理类,15,四年,52000,（中外合作办学，较高学费专业，法国南特大学综合理工学院，在北校区就读）,
plan_57_1800_13_2024_2073_本科批,57_1800,57,1800,河北,2024,通信工程,本科 (1),工学 (10),电子信息类 (69),中外合作办学,本科批,物理类,15,四年,60000,（中外合作办学，较高学费专业，英国赫瑞瓦特大学，在北校区就读）,
plan_57_1129693_13_2024_2073_本科批,57_1129693,57,1129693,河北,2024,大数据管理与应用,本科 (1),管理学 (13),管理科学与工程类 (112),中外合作办学,本科批,物理类,15,四年,68000,（中外合作办学，较高学费专业，美国弗吉尼亚理工大学）,
