plan_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,num,length,tuition,info,sg_info
plan_50_1397_11_2022_3_本科批,50_1397,50,1397,北京,2022,汉语言文学,本科 (1),文学 (7),中国语言文学类 (47),普通类,本科批,综合,1,四年,5520,,不限
plan_50_1413_11_2022_3_本科批,50_1413,50,1413,北京,2022,国际政治,本科 (1),法学 (5),政治学类 (40),普通类,本科批,综合,1,四年,4800,,不限
plan_50_1397_11_2022_3_本科批,50_1397,50,1397,北京,2022,汉语言文学,本科 (1),文学 (7),中国语言文学类 (47),普通类,本科批,综合,1,四年,5520,,不限
plan_50_1413_11_2022_3_本科批,50_1413,50,1413,北京,2022,国际政治,本科 (1),法学 (5),政治学类 (40),普通类,本科批,综合,1,四年,4800,,不限
plan_50_209841_11_2022_3_本科批,50_209841,50,209841,北京,2022,数学与应用数学,本科 (1),理学 (9),数学类 (51),普通类,本科批,综合,1,四年,5200,,物理必选
plan_50_209841_11_2022_3_本科批,50_209841,50,209841,北京,2022,数学与应用数学,本科 (1),理学 (9),数学类 (51),普通类,本科批,综合,1,四年,5200,,物理必选
plan_50_1398_13_2022_2074_本科批,50_1398,50,1398,河北,2022,新闻学,本科 (1),文学 (7),新闻传播学类 (49),普通类,本科批,历史类,5,四年,4800,,
plan_50_1397_13_2022_2074_本科批,50_1397,50,1397,河北,2022,汉语言文学,本科 (1),文学 (7),中国语言文学类 (47),普通类,本科批,历史类,3,四年,5520,,
plan_50_106232_13_2022_2074_本科批,50_106232,50,106232,河北,2022,俄语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,历史类,3,四年,5200,,
plan_50_1498893_13_2022_2074_本科批,50_1498893,50,1498893,河北,2022,马克思主义理论,本科 (1),法学 (5),马克思主义理论类 (43),普通类,本科批,历史类,3,四年,4800,,
plan_50_1406_13_2022_2074_本科批,50_1406,50,1406,河北,2022,会计学,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,历史类,2,四年,5980,,
plan_50_1411_13_2022_2074_本科批,50_1411,50,1411,河北,2022,朝鲜语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,历史类,2,四年,5200,,
plan_50_1393_13_2022_2074_本科批,50_1393,50,1393,河北,2022,国际经济与贸易,本科 (1),经济学 (4),经济与贸易类 (38),普通类,本科批,历史类,1,四年,5980,,
plan_50_1403_13_2022_2073_本科批,50_1403,50,1403,河北,2022,工程管理,本科 (1),管理学 (13),管理科学与工程类 (112),普通类,本科批,物理类,3,四年,5200,,
plan_50_106312_13_2022_2073_本科批,50_106312,50,106312,河北,2022,环境工程,本科 (1),工学 (10),环境科学与工程类 (87),普通类,本科批,物理类,3,四年,5200,,
plan_50_1406_13_2022_2073_本科批,50_1406,50,1406,河北,2022,会计学,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,物理类,2,四年,5980,,
plan_50_562767_13_2022_2073_本科批,50_562767,50,562767,河北,2022,物理学,本科 (1),理学 (9),物理学类 (52),普通类,本科批,物理类,2,四年,5200,,
plan_50_1800530_13_2022_2073_本科批,50_1800530,50,1800530,河北,2022,微电子科学与工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,2,四年,,（学费待定）,
plan_50_1393_13_2022_2073_本科批,50_1393,50,1393,河北,2022,国际经济与贸易,本科 (1),经济学 (4),经济与贸易类 (38),普通类,本科批,物理类,1,四年,5980,,
plan_50_1800531_13_2022_2073_本科批,50_1800531,50,1800531,河北,2022,数字经济,本科 (1),经济学 (4),经济学类 (35),普通类,本科批,物理类,1,四年,,（学费待定）,
plan_50_562767_13_2022_2073_本科提前批B段,50_562767,50,562767,河北,2022,物理学,本科 (1),理学 (9),物理学类 (52),普通类,本科提前批B段,物理类,2,4,5200,（沈阳市）（国家专项计划）,
plan_50_1397_14_2022_2_本科一批A段,50_1397,50,1397,山西,2022,汉语言文学,本科 (1),文学 (7),中国语言文学类 (47),普通类,本科一批A段,文科,2,-,5520,,
plan_50_1408_14_2022_2_本科一批A段,50_1408,50,1408,山西,2022,行政管理,本科 (1),管理学 (13),公共管理类 (115),普通类,本科一批A段,文科,2,-,5200,,
plan_50_106233_14_2022_2_本科一批A段,50_106233,50,106233,山西,2022,日语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科一批A段,文科,2,-,5200,,
plan_50_106237_14_2022_2_本科一批A段,50_106237,50,106237,山西,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科一批A段,文科,2,-,5980,,
plan_50_1406_14_2022_2_本科一批A段,50_1406,50,1406,山西,2022,会计学,本科 (1),管理学 (13),工商管理类 (113),普通类,本科一批A段,文科,1,-,5980,,
plan_50_1393_14_2022_1_本科一批A段,50_1393,50,1393,山西,2022,国际经济与贸易,本科 (1),经济学 (4),经济与贸易类 (38),普通类,本科一批A段,理科,1,-,5980,,
plan_50_1406_14_2022_1_本科一批A段,50_1406,50,1406,山西,2022,会计学,本科 (1),管理学 (13),工商管理类 (113),普通类,本科一批A段,理科,1,-,5900,,
plan_50_1410_14_2022_1_本科一批A段,50_1410,50,1410,山西,2022,档案学,本科 (1),管理学 (13),图书情报与档案管理类 (116),普通类,本科一批A段,理科,1,-,5200,,
plan_50_562756_14_2022_2_本科一批B段,50_562756,50,562756,山西,2022,广播电视编导,本科 (1),艺术学 (14),戏剧与影视学类 (123),普通类,本科一批B段,文科,5,-,10000,,
plan_50_562761_14_2022_2_本科一批B段,50_562761,50,562761,山西,2022,戏剧影视文学,本科 (1),艺术学 (14),戏剧与影视学类 (123),普通类,本科一批B段,文科,3,-,10000,,
plan_50_106283_15_2022_1_本科一批,50_106283,50,106283,内蒙古,2022,测控技术与仪器,本科 (1),工学 (10),仪器类 (65),普通类,本科一批,理科,2,四年,5980,（沈阳崇山校区）,
plan_50_106309_15_2022_1_本科一批,50_106309,50,106309,内蒙古,2022,无机非金属材料工程,本科 (1),工学 (10),材料类 (66),普通类,本科一批,理科,2,四年,5200,（沈阳崇山校区）,
plan_50_1499139_15_2022_1_本科一批,50_1499139,50,1499139,内蒙古,2022,工程力学,本科 (1),工学 (10),力学类 (63),普通类,本科一批,理科,2,四年,5200,（沈阳崇山校区）,
plan_50_106286_15_2022_1_本科一批,50_106286,50,106286,内蒙古,2022,环境生态工程,本科 (1),工学 (10),环境科学与工程类 (87),普通类,本科一批,理科,1,四年,5200,（沈阳崇山校区）,
plan_50_1800530_15_2022_1_本科一批,50_1800530,50,1800530,内蒙古,2022,微电子科学与工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科一批,理科,1,四年,,（沈阳崇山校区）,
plan_50_1800531_15_2022_1_本科一批,50_1800531,50,1800531,内蒙古,2022,数字经济,本科 (1),经济学 (4),经济学类 (35),普通类,本科一批,理科,1,四年,,（沈阳蒲河校区）,
plan_50_1397_15_2022_32_本科一批,50_1397,50,1397,内蒙古,2022,汉语言文学,本科 (1),文学 (7),中国语言文学类 (47),普通类,本科一批,蒙授文科,3,四年,5520,（沈阳蒲河校区）,
plan_50_1398_15_2022_32_本科一批,50_1398,50,1398,内蒙古,2022,新闻学,本科 (1),文学 (7),新闻传播学类 (49),普通类,本科一批,蒙授文科,3,四年,4800,（沈阳蒲河校区）,
plan_50_1400_15_2022_32_本科一批,50_1400,50,1400,内蒙古,2022,编辑出版学,本科 (1),文学 (7),新闻传播学类 (49),普通类,本科一批,蒙授文科,3,四年,4800,（沈阳蒲河校区）,
plan_50_1409_15_2022_32_本科一批,50_1409,50,1409,内蒙古,2022,劳动与社会保障,本科 (1),管理学 (13),公共管理类 (115),普通类,本科一批,蒙授文科,3,四年,5200,（沈阳蒲河校区）,
plan_50_1394_15_2022_32_本科一批,50_1394,50,1394,内蒙古,2022,财政学,本科 (1),经济学 (4),财政学类 (36),普通类,本科一批,蒙授文科,2,四年,5200,（沈阳蒲河校区）,
plan_50_1406_15_2022_32_本科一批,50_1406,50,1406,内蒙古,2022,会计学,本科 (1),管理学 (13),工商管理类 (113),普通类,本科一批,蒙授文科,2,四年,5980,（沈阳蒲河校区）,
plan_50_106267_15_2022_32_本科一批,50_106267,50,106267,内蒙古,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科一批,蒙授文科,2,四年,5520,（沈阳蒲河校区）,
plan_50_106293_15_2022_33_本科一批,50_106293,50,106293,内蒙古,2022,制药工程,本科 (1),工学 (10),化工与制药类 (75),普通类,本科一批,蒙授理科,3,四年,5200,（沈阳崇山校区）,
plan_50_1397_15_2022_2_本科一批,50_1397,50,1397,内蒙古,2022,汉语言文学,本科 (1),文学 (7),中国语言文学类 (47),普通类,本科一批,文科,2,四年,5520,（沈阳蒲河校区）,
plan_50_106237_15_2022_2_本科一批,50_106237,50,106237,内蒙古,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科一批,文科,2,四年,5980,（沈阳蒲河校区）,
plan_50_1393_15_2022_2_本科一批,50_1393,50,1393,内蒙古,2022,国际经济与贸易,本科 (1),经济学 (4),经济与贸易类 (38),普通类,本科一批,文科,1,四年,5980,（沈阳蒲河校区）,
plan_50_106312_15_2022_1_本科提前批B段,50_106312,50,106312,内蒙古,2022,环境工程,本科 (1),工学 (10),环境科学与工程类 (87),普通类,本科提前批B段,理科,2,4,5200,,
plan_50_1397_21_2022_2074_本科批,50_1397,50,1397,辽宁,2022,汉语言文学,本科 (1),文学 (7),中国语言文学类 (47),普通类,本科批,历史类,29,四年,5520,,
plan_50_106267_21_2022_2074_本科批,50_106267,50,106267,辽宁,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,历史类,28,四年,5520,,
plan_50_1402_21_2022_2074_本科批,50_1402,50,1402,辽宁,2022,历史学,本科 (1),历史学 (8),历史学类 (50),普通类,本科批,历史类,24,四年,4800,,
plan_50_1398_21_2022_2074_本科批,50_1398,50,1398,辽宁,2022,新闻学,本科 (1),文学 (7),新闻传播学类 (49),普通类,本科批,历史类,22,四年,4800,,
plan_50_1399_21_2022_2074_本科批,50_1399,50,1399,辽宁,2022,广告学,本科 (1),文学 (7),新闻传播学类 (49),普通类,本科批,历史类,22,四年,4800,,
