plan_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,num,length,tuition,info,sg_info
plan_62_348517_13_2022_2074_本科批,62_348517,62,348517,河北,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,历史类,4,四年,4400,,
plan_62_2053_13_2022_2073_本科批,62_2053,62,2053,河北,2022,信息安全,本科 (1),工学 (10),计算机类 (71),普通类,本科批,物理类,7,四年,5000,,
plan_62_854115_13_2022_2073_本科批,62_854115,62,854115,河北,2022,通信工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,5,四年,18000,,
plan_62_348517_13_2022_2073_本科批,62_348517,62,348517,河北,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,物理类,2,四年,4400,,
plan_62_348517_14_2022_2_本科一批A段,62_348517,62,348517,山西,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科一批A段,文科,3,-,4400,,
plan_62_2057_14_2022_1_本科一批A段,62_2057,62,2057,山西,2022,预防医学,本科 (1),医学 (12),公共卫生与预防医学类 (104),普通类,本科一批A段,理科,2,五年,6300,,
plan_62_2057_15_2022_1_本科一批,62_2057,62,2057,内蒙古,2022,预防医学,本科 (1),医学 (12),公共卫生与预防医学类 (104),普通类,本科一批,理科,4,五年,6300,（主校区）（不招收色盲、色弱及单色识别不全考生）,
plan_62_348517_15_2022_2_本科一批,62_348517,62,348517,内蒙古,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科一批,文科,2,四年,4400,（主校区）,
plan_62_348517_21_2022_2074_本科批,62_348517,62,348517,辽宁,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,历史类,1,四年,4400,,
plan_62_348517_21_2022_2073_本科批,62_348517,62,348517,辽宁,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,物理类,1,四年,4400,,
plan_62_348517_22_2022_2_本科一批A段,62_348517,62,348517,吉林,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科一批A段,文科,2,-,4400,,
plan_62_2053_22_2022_1_本科一批A段,62_2053,62,2053,吉林,2022,信息安全,本科 (1),工学 (10),计算机类 (71),普通类,本科一批A段,理科,10,-,5000,,
plan_62_348517_22_2022_1_本科一批A段,62_348517,62,348517,吉林,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科一批A段,理科,1,-,4400,,
plan_62_348517_23_2022_2_本科一批A段,62_348517,62,348517,黑龙江,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科一批A段,文科,2,四年,4400,,
plan_62_348517_32_2022_2074_本科批,62_348517,62,348517,江苏,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,历史类,1,四年,4400,,首选历史，再选不限
plan_62_348517_32_2022_2074_本科批,62_348517,62,348517,江苏,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,历史类,1,四年,4400,,首选历史，再选不限
plan_62_108146_32_2022_2073_本科批,62_108146,62,108146,江苏,2022,口腔医学,本科 (1),医学 (12),口腔医学类 (103),普通类,本科批,物理类,2,五年,6300,,首选物理，再选化学
plan_62_2057_32_2022_2073_本科批,62_2057,62,2057,江苏,2022,预防医学,本科 (1),医学 (12),公共卫生与预防医学类 (104),普通类,本科批,物理类,4,五年,6300,,首选物理，再选化学/生物(2选1)
plan_62_108146_32_2022_2073_本科批,62_108146,62,108146,江苏,2022,口腔医学,本科 (1),医学 (12),口腔医学类 (103),普通类,本科批,物理类,2,五年,6300,,首选物理，再选化学
plan_62_348517_32_2022_2073_本科批,62_348517,62,348517,江苏,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,物理类,1,四年,4400,,首选物理，再选不限
plan_62_348517_32_2022_2073_本科批,62_348517,62,348517,江苏,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,物理类,1,四年,4400,,首选物理，再选不限
