plan_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,num,length,tuition,info,sg_info
plan_119_1801722_13_2022_2073_本科批,119_1801722,119,1801722,河北,2022,临床医学,本科(普通) (1),医学 (12),临床医学类 (102),普通类,本科批,物理类,3,五年,5000,,
plan_119_1801722_14_2022_1_本科一批A段,119_1801722,119,1801722,山西,2022,临床医学,本科(普通) (1),医学 (12),临床医学类 (102),普通类,本科一批A段,理科,2,五年,5000,,
plan_119_5823_32_2022_2073_本科批,119_5823,119,5823,江苏,2022,电气工程及其自动化,本科(普通) (1),工学 (10),电气类 (68),普通类,本科批,物理类,3,五年,15500,,首选物理，再选不限
plan_119_5776_32_2022_2073_本科批,119_5776,119,5776,江苏,2022,机械设计制造及其自动化,本科(普通) (1),工学 (10),机械类 (64),普通类,本科批,物理类,2,五年,15500,,首选物理，再选不限
plan_119_5823_32_2022_2073_本科批,119_5823,119,5823,江苏,2022,电气工程及其自动化,本科(普通) (1),工学 (10),电气类 (68),普通类,本科批,物理类,3,五年,15500,,首选物理，再选不限
plan_119_5776_32_2022_2073_本科批,119_5776,119,5776,江苏,2022,机械设计制造及其自动化,本科(普通) (1),工学 (10),机械类 (64),普通类,本科批,物理类,2,五年,15500,,首选物理，再选不限
plan_119_5815_33_2022_3_普通类平行录取,119_5815,119,5815,浙江,2022,机械设计制造及其自动化,本科(普通) (1),工学 (10),机械类 (64),中外合作办学,普通类平行录取,综合,4,五年,15500,"（虎溪校区。平均53000元/年,第五年在美国辛辛那提大学学习期间,按辛辛那提大学标准缴纳学费）",
plan_119_5826_33_2022_3_普通类平行录取,119_5826,119,5826,浙江,2022,电气工程及其自动化,本科(普通) (1),工学 (10),电气类 (68),中外合作办学,普通类平行录取,综合,4,五年,15500,"（虎溪校区。平均53000元/年,第五年在美国辛辛那提大学学习期间,按辛辛那提大学标准缴纳学费）",
plan_119_5776_36_2022_1_本科一批,119_5776,119,5776,江西,2022,机械设计制造及其自动化,本科(普通) (1),工学 (10),机械类 (64),中外合作办学,本科一批,理科,3,五年,15500,"（中外合作办学）（以上专业平均53000元学年,第五学年在美国辛辛那提大学学习期间,按辛辛那提大学标准缴纳学费）",
plan_119_1801722_36_2022_1_本科一批,119_1801722,119,1801722,江西,2022,临床医学,本科(普通) (1),医学 (12),临床医学类 (102),普通类,本科一批,理科,3,五年,5000,,
plan_119_5823_36_2022_1_本科一批,119_5823,119,5823,江西,2022,电气工程及其自动化,本科(普通) (1),工学 (10),电气类 (68),中外合作办学,本科一批,理科,2,五年,15500,（中外合作办学）,
plan_119_5776_44_2022_2073_本科批,119_5776,119,5776,广东,2022,机械设计制造及其自动化,本科(普通) (1),工学 (10),机械类 (64),中外合作办学,本科批,物理类,4,五年,15500,（与美国辛辛那提大学中外合作办学项目，学费：平均53000元/学年，第五年在美国辛辛那提大学学习期间，按辛辛那提大学标准缴纳学费）（虎溪校区）,首选物理，再选不限
