plan_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,num,length,tuition,info,sg_info
plan_36_527_11_2022_3_本科批,36_527,36,527,北京,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,2,四年,5500,,不限
plan_36_505_11_2022_3_本科批,36_505,36,505,北京,2022,车辆工程,本科 (1),工学 (10),机械类 (64),普通类,本科批,综合,4,四年,6600,,物理必选
plan_36_99061_11_2022_3_本科批,36_99061,36,99061,北京,2022,道路桥梁与渡河工程,本科 (1),工学 (10),土木类 (72),普通类,本科批,综合,3,四年,6600,,物理必选
plan_36_511_11_2022_3_本科批,36_511,36,511,北京,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科批,综合,2,四年,6600,,物理必选
plan_36_517_11_2022_3_本科批,36_517,36,517,北京,2022,汽车服务工程,本科 (1),工学 (10),机械类 (64),普通类,本科批,综合,2,四年,6600,,物理必选
plan_36_527_11_2022_3_本科批,36_527,36,527,北京,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,2,四年,5500,,不限
plan_36_505_11_2022_3_本科批,36_505,36,505,北京,2022,车辆工程,本科 (1),工学 (10),机械类 (64),普通类,本科批,综合,4,四年,6600,,物理必选
plan_36_99061_11_2022_3_本科批,36_99061,36,99061,北京,2022,道路桥梁与渡河工程,本科 (1),工学 (10),土木类 (72),普通类,本科批,综合,3,四年,6600,,物理必选
plan_36_511_11_2022_3_本科批,36_511,36,511,北京,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科批,综合,2,四年,6600,,物理必选
plan_36_517_11_2022_3_本科批,36_517,36,517,北京,2022,汽车服务工程,本科 (1),工学 (10),机械类 (64),普通类,本科批,综合,2,四年,6600,,物理必选
plan_36_531_13_2022_2074_本科批,36_531,36,531,河北,2022,思想政治教育,本科 (1),法学 (5),马克思主义理论类 (43),普通类,本科批,历史类,2,四年,5500,,
plan_36_527_13_2022_2074_本科批,36_527,36,527,河北,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,历史类,1,四年,5500,,
plan_36_99061_13_2022_2073_本科批,36_99061,36,99061,河北,2022,道路桥梁与渡河工程,本科 (1),工学 (10),土木类 (72),普通类,本科批,物理类,10,四年,6600,,
plan_36_511_13_2022_2073_本科批,36_511,36,511,河北,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科批,物理类,8,四年,6600,,
plan_36_99074_13_2022_2073_本科批,36_99074,36,99074,河北,2022,地质工程,本科 (1),工学 (10),地质类 (76),普通类,本科批,物理类,7,四年,6600,,
plan_36_505_13_2022_2073_本科批,36_505,36,505,河北,2022,车辆工程,本科 (1),工学 (10),机械类 (64),普通类,本科批,物理类,6,四年,6600,,
plan_36_917828_13_2022_2073_本科批,36_917828,36,917828,河北,2022,交通运输,本科 (1),工学 (10),交通运输类 (80),普通类,本科批,物理类,5,四年,6600,,
plan_36_1129695_13_2022_2073_本科批,36_1129695,36,1129695,河北,2022,人工智能,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,5,四年,6600,,
plan_36_476_13_2022_2073_本科批,36_476,36,476,河北,2022,工程力学,本科 (1),工学 (10),力学类 (63),普通类,本科批,物理类,4,四年,6600,,
