prov_score_id,school_id,school,province_id,province,year,type,min_score
prov_score_130_11_2024_3,130,上海财经大学,11,北京,2024,综合,639
prov_score_130_11_2023_3,130,上海财经大学,11,北京,2023,综合,640
prov_score_130_11_2022_3,130,上海财经大学,11,北京,2022,综合,642
prov_score_130_12_2024_3,130,上海财经大学,12,天津,2024,综合,646
prov_score_130_12_2023_3,130,上海财经大学,12,天津,2023,综合,660
prov_score_130_12_2022_3,130,上海财经大学,12,天津,2022,综合,677
prov_score_130_13_2024_2074,130,上海财经大学,13,河北,2024,历史类,624
prov_score_130_13_2024_2073,130,上海财经大学,13,河北,2024,物理类,612
prov_score_130_13_2023_2073,130,上海财经大学,13,河北,2023,物理类,624
prov_score_130_13_2023_2074,130,上海财经大学,13,河北,2023,历史类,621
prov_score_130_13_2022_2073,130,上海财经大学,13,河北,2022,物理类,618
prov_score_130_13_2022_2074,130,上海财经大学,13,河北,2022,历史类,616
prov_score_130_14_2024_1,130,上海财经大学,14,山西,2024,理科,609
prov_score_130_14_2024_2,130,上海财经大学,14,山西,2024,文科,592
prov_score_130_14_2023_1,130,上海财经大学,14,山西,2023,理科,591
prov_score_130_14_2023_2,130,上海财经大学,14,山西,2023,文科,563
prov_score_130_14_2022_1,130,上海财经大学,14,山西,2022,理科,588
prov_score_130_14_2022_2,130,上海财经大学,14,山西,2022,文科,552
prov_score_130_21_2024_2073,130,上海财经大学,21,辽宁,2024,物理类,650
prov_score_130_21_2024_2074,130,上海财经大学,21,辽宁,2024,历史类,642
prov_score_130_21_2023_2073,130,上海财经大学,21,辽宁,2023,物理类,652
prov_score_130_21_2023_2074,130,上海财经大学,21,辽宁,2023,历史类,638
prov_score_130_21_2022_2073,130,上海财经大学,21,辽宁,2022,物理类,645
prov_score_130_21_2022_2074,130,上海财经大学,21,辽宁,2022,历史类,629
prov_score_130_23_2024_2074,130,上海财经大学,23,黑龙江,2024,历史类,639
prov_score_130_23_2024_2073,130,上海财经大学,23,黑龙江,2024,物理类,624
prov_score_130_23_2023_1,130,上海财经大学,23,黑龙江,2023,理科,614
prov_score_130_23_2023_2,130,上海财经大学,23,黑龙江,2023,文科,572
prov_score_130_23_2022_1,130,上海财经大学,23,黑龙江,2022,理科,609
prov_score_130_23_2022_2,130,上海财经大学,23,黑龙江,2022,文科,600
prov_score_130_32_2024_2073,130,上海财经大学,32,江苏,2024,物理类,641
prov_score_130_32_2024_2074,130,上海财经大学,32,江苏,2024,历史类,624
prov_score_130_32_2023_2073,130,上海财经大学,32,江苏,2023,物理类,640
prov_score_130_32_2023_2074,130,上海财经大学,32,江苏,2023,历史类,626
prov_score_130_32_2022_2073,130,上海财经大学,32,江苏,2022,物理类,620
prov_score_130_32_2022_2074,130,上海财经大学,32,江苏,2022,历史类,597
prov_score_130_33_2024_3,130,上海财经大学,33,浙江,2024,综合,655
prov_score_130_33_2023_3,130,上海财经大学,33,浙江,2023,综合,663
prov_score_130_33_2022_3,130,上海财经大学,33,浙江,2022,综合,653
prov_score_130_34_2024_2073,130,上海财经大学,34,安徽,2024,物理类,639
prov_score_130_34_2024_2074,130,上海财经大学,34,安徽,2024,历史类,630
prov_score_130_34_2023_1,130,上海财经大学,34,安徽,2023,理科,631
prov_score_130_34_2023_2,130,上海财经大学,34,安徽,2023,文科,599
prov_score_130_34_2022_1,130,上海财经大学,34,安徽,2022,理科,625
prov_score_130_34_2022_2,130,上海财经大学,34,安徽,2022,文科,603
prov_score_130_35_2024_2073,130,上海财经大学,35,福建,2024,物理类,639
prov_score_130_35_2024_2074,130,上海财经大学,35,福建,2024,历史类,614
prov_score_130_35_2023_2073,130,上海财经大学,35,福建,2023,物理类,637
prov_score_130_35_2023_2074,130,上海财经大学,35,福建,2023,历史类,622
prov_score_130_35_2022_2073,130,上海财经大学,35,福建,2022,物理类,627
prov_score_130_35_2022_2074,130,上海财经大学,35,福建,2022,历史类,614
prov_score_130_36_2024_2073,130,上海财经大学,36,江西,2024,物理类,615
prov_score_130_36_2024_2074,130,上海财经大学,36,江西,2024,历史类,613
prov_score_130_36_2023_1,130,上海财经大学,36,江西,2023,理科,623
prov_score_130_36_2023_2,130,上海财经大学,36,江西,2023,文科,611
prov_score_130_36_2022_1,130,上海财经大学,36,江西,2022,理科,607
prov_score_130_36_2022_2,130,上海财经大学,36,江西,2022,文科,599
prov_score_130_37_2024_3,130,上海财经大学,37,山东,2024,综合,621
prov_score_130_37_2023_3,130,上海财经大学,37,山东,2023,综合,623
prov_score_130_37_2022_3,130,上海财经大学,37,山东,2022,综合,620
prov_score_130_41_2024_1,130,上海财经大学,41,河南,2024,理科,618
prov_score_130_41_2024_2,130,上海财经大学,41,河南,2024,文科,611
prov_score_130_41_2023_2,130,上海财经大学,41,河南,2023,文科,632
prov_score_130_41_2023_1,130,上海财经大学,41,河南,2023,理科,617
prov_score_130_41_2022_1,130,上海财经大学,41,河南,2022,理科,613
prov_score_130_41_2022_2,130,上海财经大学,41,河南,2022,文科,601
