score_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,min,max,average,min_section,info,sg_info
score_125_96051_11_2022_3_本科批,125_96051,125,96051,北京,2022,电子信息类,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,综合,0,0,0,-,（IEEE试点班，含双学士学位项目）,物理必选
score_125_96051_11_2022_3_本科批,125_96051,125,96051,北京,2022,电子信息类,本科 (1),工学 (10),电子信息类 (69),中外合作办学,本科批,综合,0,0,0,-,（中外合作办学）（密西根学院暨溥渊未来技术学院）,物理必选
score_125_170754_11_2022_3_本科批,125_170754,125,170754,北京,2022,人工智能,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,综合,0,0,0,-,（卓越人才试点班）,物理必选
score_125_594181_11_2022_3_本科批,125_594181,125,594181,北京,2022,金融学,本科 (1),经济学 (4),金融学类 (37),普通类,本科批,综合,0,0,0,-,（含金融学、计算机双学士学位项目）,物理必选
score_125_96051_11_2022_3_本科批,125_96051,125,96051,北京,2022,电子信息类,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,综合,0,0,0,-,（IEEE试点班，含双学士学位项目）,物理必选
score_125_170754_11_2022_3_本科批,125_170754,125,170754,北京,2022,人工智能,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,综合,0,0,0,-,（卓越人才试点班）,物理必选
score_125_594181_11_2022_3_本科批,125_594181,125,594181,北京,2022,金融学,本科 (1),经济学 (4),金融学类 (37),普通类,本科批,综合,0,0,0,-,（含金融学、计算机双学士学位项目）,物理必选
score_125_96051_11_2022_3_本科批,125_96051,125,96051,北京,2022,电子信息类,本科 (1),工学 (10),电子信息类 (69),中外合作办学,本科批,综合,0,0,0,-,（中外合作办学）（密西根学院暨溥渊未来技术学院）,物理必选
score_125_96051_12_2022_3_本科批A段,125_96051,125,96051,天津,2022,电子信息类,本科 (1),工学 (10),电子信息类 (69),普通类,本科批A段,综合,706,0,0,100,,物理必选
score_125_170754_12_2022_3_本科批A段,125_170754,125,170754,天津,2022,人工智能,本科 (1),工学 (10),电子信息类 (69),普通类,本科批A段,综合,705,0,0,112,,物理必选
score_125_96051_12_2022_3_本科批A段,125_96051,125,96051,天津,2022,电子信息类,本科 (1),工学 (10),电子信息类 (69),普通类,本科批A段,综合,706,0,0,100,,物理必选
score_125_170754_12_2022_3_本科批A段,125_170754,125,170754,天津,2022,人工智能,本科 (1),工学 (10),电子信息类 (69),普通类,本科批A段,综合,705,0,0,112,,物理必选
score_125_594181_12_2022_3_本科批A段,125_594181,125,594181,天津,2022,金融学,本科 (1),经济学 (4),金融学类 (37),普通类,本科批A段,综合,703,0,0,163,,物理必选
score_125_594181_12_2022_3_本科批A段,125_594181,125,594181,天津,2022,金融学,本科 (1),经济学 (4),金融学类 (37),普通类,本科批A段,综合,703,0,0,163,,物理必选
score_125_96051_22_2022_1_本科一批A段,125_96051,125,96051,吉林,2022,电子信息类,本科 (1),工学 (10),电子信息类 (69),普通类,本科一批A段,理科,671,672,672,106,（EEE试点班，含双学士学位项目）（计算机科学与技术、信息工程、信息安）,
score_125_170754_22_2022_1_本科一批A段,125_170754,125,170754,吉林,2022,人工智能,本科 (1),工学 (10),电子信息类 (69),普通类,本科一批A段,理科,670,670,670,106,（卓越人才试点班）,
score_125_594181_32_2022_2073_本科批,125_594181,125,594181,江苏,2022,金融学,本科 (1),经济学 (4),金融学类 (37),普通类,本科批,物理类,672,672,0,-,（金融学+计算机科学与技术）（双学士学位培养项目）,首选物理，再选不限
score_125_96051_32_2022_2073_本科批,125_96051,125,96051,江苏,2022,电子信息类,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,671,672,0,-,（IEEE试点班）（含电子信息类（IEEE试点班）+数学与应用数学双学士学位培养项目）,首选物理，再选不限
score_125_170754_32_2022_2073_本科批,125_170754,125,170754,江苏,2022,人工智能,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,671,672,0,-,,首选物理，再选不限
score_125_96051_32_2022_2073_本科批,125_96051,125,96051,江苏,2022,电子信息类,本科 (1),工学 (10),电子信息类 (69),中外合作办学,本科批,物理类,646,650,0,1029,（中外合作办学）（交大密西根学院）（只招收有专业志愿的考生）,首选物理，再选不限
score_125_96051_32_2022_2073_本科批,125_96051,125,96051,江苏,2022,电子信息类,本科 (1),工学 (10),电子信息类 (69),中外合作办学,本科批,物理类,646,650,0,1029,（中外合作办学）（交大巴黎卓越工程师学院）（本研衔接培养）（只招收有专业志愿的考生）,首选物理，再选不限
score_125_96051_32_2022_2073_本科批,125_96051,125,96051,江苏,2022,电子信息类,本科 (1),工学 (10),电子信息类 (69),中外合作办学,本科批,物理类,646,650,0,1029,（中外合作办学）（交大密西根学院）（只招收有专业志愿的考生）,首选物理，再选不限
score_125_96051_32_2022_2073_本科批,125_96051,125,96051,江苏,2022,电子信息类,本科 (1),工学 (10),电子信息类 (69),中外合作办学,本科批,物理类,646,650,0,1029,（中外合作办学）（交大巴黎卓越工程师学院）（本研衔接培养）（只招收有专业志愿的考生）,首选物理，再选不限
score_125_594181_32_2022_2073_本科批,125_594181,125,594181,江苏,2022,金融学,本科 (1),经济学 (4),金融学类 (37),普通类,本科批,物理类,672,672,0,-,（金融学+计算机科学与技术）（双学士学位培养项目）,首选物理，再选不限
score_125_96051_32_2022_2073_本科批,125_96051,125,96051,江苏,2022,电子信息类,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,671,672,0,-,（IEEE试点班）（含电子信息类（IEEE试点班）+数学与应用数学双学士学位培养项目）,首选物理，再选不限
score_125_170754_32_2022_2073_本科批,125_170754,125,170754,江苏,2022,人工智能,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,671,672,0,-,,首选物理，再选不限
score_125_594181_33_2022_3_平行录取一段,125_594181,125,594181,浙江,2022,金融学,本科 (1),经济学 (4),金融学类 (37),普通类,平行录取一段,综合,687,0,0,268,,
