score_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,min,max,average,min_section,info,sg_info
score_75_2878_12_2022_3_本科批A段,75_2878,75,2878,天津,2022,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科批A段,综合,704,0,0,140,,物理、化学(2科必选)
score_75_2878_12_2022_3_本科批A段,75_2878,75,2878,天津,2022,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科批A段,综合,704,0,0,140,,物理、化学(2科必选)
score_75_2873_12_2022_3_本科批A段,75_2873,75,2873,天津,2022,口腔医学,本科 (1),医学 (12),口腔医学类 (103),普通类,本科批A段,综合,697,0,0,343,,物理、化学(2科必选)
score_75_2878_12_2022_3_本科批A段,75_2878,75,2878,天津,2022,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科批A段,综合,697,0,0,343,,物理、化学(2科必选)
score_75_2873_12_2022_3_本科批A段,75_2873,75,2873,天津,2022,口腔医学,本科 (1),医学 (12),口腔医学类 (103),普通类,本科批A段,综合,697,0,0,343,,物理、化学(2科必选)
score_75_2878_12_2022_3_本科批A段,75_2878,75,2878,天津,2022,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科批A段,综合,697,0,0,343,,物理、化学(2科必选)
score_75_2878_22_2022_1_本科一批A段,75_2878,75,2878,吉林,2022,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科一批A段,理科,662,662,662,111,（学制8年）（本博连读法语班八年制）（国家一流本科、卓越医学创新人才计划）,
score_75_2878_22_2022_1_本科一批A段,75_2878,75,2878,吉林,2022,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科一批A段,理科,660,661,660,129,（学制8年）（本博连读八年制）（国家一流本科、卓越医学创新人才计划；含美）,
score_75_2878_32_2022_2073_本科批,75_2878,75,2878,江苏,2022,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科批,物理类,669,672,0,114,（口腔）,首选物理，再选化学
score_75_2878_32_2022_2073_本科批,75_2878,75,2878,江苏,2022,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科批,物理类,666,666,0,156,,首选物理，再选化学
score_75_2878_32_2022_2073_本科批,75_2878,75,2878,江苏,2022,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科批,物理类,669,672,0,114,（口腔）,首选物理，再选化学
