score_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,min,max,average,min_section,info,sg_info
score_76_2905_13_2022_2074_本科批,76_2905,76,2905,河北,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,历史类,609,0,0,1359,,
score_76_2905_22_2022_2_本科一批A段,76_2905,76,2905,吉林,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科一批A段,文科,531,546,539,2198,（高考外语单科成绩不低于115分（满分150分）。）,
score_76_2906_23_2022_2_本科一批A段,76_2906,76,2906,黑龙江,2022,日语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科一批A段,文科,521,536,0,2376,（外语成绩不低于110分）,
score_76_2929_31_2022_3_本科批,76_2929,76,2929,上海,2022,计算机科学与技术,本科 (1),工学 (10),计算机类 (71),普通类,本科批,综合,556,0,559,5925,（办学点:宝山校区）（无色盲）,物理必选
score_76_1130088_31_2022_3_本科批,76_1130088,76,1130088,上海,2022,人工智能,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,综合,554,0,555,6263,（办学点:宝山校区）（无色盲）,物理必选
score_76_2891_31_2022_3_本科批,76_2891,76,2891,上海,2022,数学与应用数学,本科 (1),理学 (9),数学类 (51),普通类,本科批,综合,553,0,557,6457,（办学点:宝山校区）,物理必选
score_76_1130089_31_2022_3_本科批,76_1130089,76,1130089,上海,2022,数据科学与大数据技术,本科 (1),工学 (10),计算机类 (71),普通类,本科批,综合,551,0,553,6824,（办学点:宝山校区）（无色盲）,物理必选
score_76_2916_31_2022_3_本科批,76_2916,76,2916,上海,2022,微电子科学与工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,综合,550,0,553,6996,（办学点:宝山校区）（无色盲）,物理必选
score_76_2926_31_2022_3_本科批,76_2926,76,2926,上海,2022,通信工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,综合,550,0,553,6996,（办学点:宝山校区）（无色盲）,物理必选
score_76_2927_31_2022_3_本科批,76_2927,76,2927,上海,2022,电子信息工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,综合,550,0,553,6996,（办学点:宝山校区）（无色盲）,物理必选
score_76_170850_31_2022_3_本科批,76_170850,76,170850,上海,2022,网络空间安全,本科 (1),工学 (10),计算机类 (71),普通类,本科批,综合,550,0,551,6996,（办学点:宝山校区）（无色盲）,物理必选
score_76_569772_31_2022_3_本科批,76_569772,76,569772,上海,2022,智能制造工程,本科 (1),工学 (10),机械类 (64),普通类,本科批,综合,549,0,551,7201,（办学点:宝山校区）,物理必选
score_76_1033658_31_2022_3_本科批,76_1033658,76,1033658,上海,2022,智能科学与技术,本科 (1),工学 (10),计算机类 (71),普通类,本科批,综合,549,0,551,7201,（办学点:宝山校区）（无色盲）,物理必选
score_76_2884_31_2022_3_本科批,76_2884,76,2884,上海,2022,社会学,本科 (1),法学 (5),社会学类 (41),普通类,本科批,综合,559,0,561,5369,（办学点:宝山校区）,不限
score_76_2902_31_2022_3_本科批,76_2902,76,2902,上海,2022,金融学,本科 (1),经济学 (4),金融学类 (37),普通类,本科批,综合,559,0,560,5369,（宝山校区）,不限
score_76_2929_31_2022_3_本科批,76_2929,76,2929,上海,2022,计算机科学与技术,本科 (1),工学 (10),计算机类 (71),普通类,本科批,综合,556,0,559,5925,（办学点:宝山校区）（无色盲）,物理必选
score_76_2907_31_2022_3_本科批,76_2907,76,2907,上海,2022,会计学,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,综合,554,0,556,6263,（宝山校区）,不限
score_76_1130088_31_2022_3_本科批,76_1130088,76,1130088,上海,2022,人工智能,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,综合,554,0,555,6263,（办学点:宝山校区）（无色盲）,物理必选
score_76_2891_31_2022_3_本科批,76_2891,76,2891,上海,2022,数学与应用数学,本科 (1),理学 (9),数学类 (51),普通类,本科批,综合,553,0,557,6457,（办学点:宝山校区）,物理必选
