score_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,min,max,average,min_section,info,sg_info
score_130_6701_11_2022_3_本科批,130_6701,130,6701,北京,2022,会计学,本科(普通) (1),管理学 (13),工商管理类 (113),普通类,本科批,综合,644,645,0,3336,,不限
score_130_6675_11_2022_3_本科批,130_6675,130,6675,北京,2022,国际经济与贸易,本科(普通) (1),经济学 (4),经济与贸易类 (38),普通类,本科批,综合,640,641,0,3765,,不限
score_130_1864681_11_2022_3_本科批,130_1864681,130,1864681,北京,2022,财务管理,本科(普通) (1),管理学 (13),工商管理类 (113),普通类,本科批,综合,640,642,0,3765,,不限
score_130_6682_11_2022_3_本科批,130_6682,130,6682,北京,2022,商务英语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,639,639,0,3881,,不限
score_130_90006_11_2022_3_本科批,130_90006,130,90006,北京,2022,数据科学与大数据技术,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批,综合,645,647,0,3241,,物理必选
score_130_6701_11_2022_3_本科批,130_6701,130,6701,北京,2022,会计学,本科(普通) (1),管理学 (13),工商管理类 (113),普通类,本科批,综合,644,645,0,3336,,不限
score_130_6675_11_2022_3_本科批,130_6675,130,6675,北京,2022,国际经济与贸易,本科(普通) (1),经济学 (4),经济与贸易类 (38),普通类,本科批,综合,640,641,0,3765,,不限
score_130_1864681_11_2022_3_本科批,130_1864681,130,1864681,北京,2022,财务管理,本科(普通) (1),管理学 (13),工商管理类 (113),普通类,本科批,综合,640,642,0,3765,,不限
score_130_6682_11_2022_3_本科批,130_6682,130,6682,北京,2022,商务英语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,639,639,0,3881,,不限
score_130_90006_11_2022_3_本科批,130_90006,130,90006,北京,2022,数据科学与大数据技术,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批,综合,645,647,0,3241,,物理必选
score_130_6693_12_2022_3_本科批A段,130_6693,130,6693,天津,2022,金融学,本科(普通) (1),经济学 (4),金融学类 (37),普通类,本科批A段,综合,689,0,0,706,,不限
score_130_6701_12_2022_3_本科批A段,130_6701,130,6701,天津,2022,会计学,本科(普通) (1),管理学 (13),工商管理类 (113),普通类,本科批A段,综合,688,0,0,766,,不限
score_130_6693_12_2022_3_本科批A段,130_6693,130,6693,天津,2022,金融学,本科(普通) (1),经济学 (4),金融学类 (37),普通类,本科批A段,综合,689,0,0,706,,不限
score_130_6701_12_2022_3_本科批A段,130_6701,130,6701,天津,2022,会计学,本科(普通) (1),管理学 (13),工商管理类 (113),普通类,本科批A段,综合,688,0,0,766,,不限
score_130_6684_12_2022_3_本科批A段,130_6684,130,6684,天津,2022,数学与应用数学,本科(普通) (1),理学 (9),数学类 (51),普通类,本科批A段,综合,678,0,0,1498,,物理必选
score_130_6684_12_2022_3_本科批A段,130_6684,130,6684,天津,2022,数学与应用数学,本科(普通) (1),理学 (9),数学类 (51),普通类,本科批A段,综合,678,0,0,1498,,物理必选
