score_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,min,max,average,min_section,info,sg_info
score_109_5089_32_2022_2073_本科批,109_5089,109,5089,江苏,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,物理类,631,634,0,3004,（英语+信息工程）（双学士学位培养项目）,首选物理，再选不限
score_109_5089_32_2022_2073_本科批,109_5089,109,5089,江苏,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,物理类,631,634,0,3004,（英语+信息工程）（双学士学位培养项目）,首选物理，再选不限
score_109_205235_32_2022_2073_本科批,109_205235,109,205235,江苏,2022,预防医学,本科 (1),医学 (12),公共卫生与预防医学类 (104),普通类,本科批,物理类,618,624,0,6240,,首选物理，再选化学/生物(2选1)
score_109_5136_32_2022_2073_本科批,109_5136,109,5136,江苏,2022,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科批,物理类,617,630,0,6556,（5+3一体化）,首选物理，再选化学/生物(2选1)
score_109_205235_32_2022_2073_本科批,109_205235,109,205235,江苏,2022,预防医学,本科 (1),医学 (12),公共卫生与预防医学类 (104),普通类,本科批,物理类,618,624,0,6240,,首选物理，再选化学/生物(2选1)
score_109_5136_32_2022_2073_本科批,109_5136,109,5136,江苏,2022,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科批,物理类,617,630,0,6556,（5+3一体化）,首选物理，再选化学/生物(2选1)
score_109_5094_34_2022_2_本科一批,109_5094,109,5094,安徽,2022,政治学与行政学,本科 (1),法学 (5),政治学类 (40),普通类,本科一批,文科,603,603,0,556,,
score_109_5089_36_2022_2_本科一批,109_5089,109,5089,江西,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科一批,文科,600,601,0,635,,
score_109_205235_36_2022_1_本科一批,109_205235,109,205235,江西,2022,预防医学,本科 (1),医学 (12),公共卫生与预防医学类 (104),普通类,本科一批,理科,588,590,0,7625,,
score_109_5089_41_2022_2_本科一批,109_5089,109,5089,河南,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科一批,文科,605,605,605,883,,
score_109_5094_41_2022_2_本科一批,109_5094,109,5094,河南,2022,政治学与行政学,本科 (1),法学 (5),政治学类 (40),普通类,本科一批,文科,605,605,605,883,,
score_109_5089_44_2022_2074_本科批,109_5089,109,5089,广东,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,历史类,600,603,0,1678,,首选历史，再选不限
score_109_5101_44_2022_2074_本科批,109_5101,109,5101,广东,2022,日语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,历史类,599,599,0,1785,,首选历史，再选不限
score_109_5089_44_2022_2074_本科批,109_5089,109,5089,广东,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,历史类,600,603,0,1678,,首选历史，再选不限
score_109_5101_44_2022_2074_本科批,109_5101,109,5101,广东,2022,日语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,历史类,599,599,0,1785,,首选历史，再选不限
score_109_5094_45_2022_2_本科一批,109_5094,109,5094,广西,2022,政治学与行政学,本科 (1),法学 (5),政治学类 (40),普通类,本科一批,文科,622,623,0,513,,
score_109_5094_51_2022_2_本科一批,109_5094,109,5094,四川,2022,政治学与行政学,本科 (1),法学 (5),政治学类 (40),普通类,本科一批,文科,609,610,610,1056,,
score_109_5089_53_2022_2_本科一批,109_5089,109,5089,云南,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科一批,文科,648,0,0,573,,
score_109_563988_13_2023_2073_本科批,109_563988,109,563988,河北,2023,生物医学工程,本科 (1),工学 (10),生物医学工程类 (88),普通类,本科批,物理类,647,0,0,2368,（学制七年本硕连读）,
score_109_563988_14_2023_1_本科一批A段,109_563988,109,563988,山西,2023,生物医学工程,本科 (1),工学 (10),生物医学工程类 (88),普通类,本科一批A段,理科,634,0,0,1282,（学制七年本硕连读）,
score_109_563988_21_2023_2073_本科批,109_563988,109,563988,辽宁,2023,生物医学工程,本科 (1),工学 (10),生物医学工程类 (88),普通类,本科批,物理类,664,0,0,1372,（学制七年本硕连读）,
score_109_5089_32_2023_2073_本科批,109_5089,109,5089,江苏,2023,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,物理类,663,663,0,2183,（英语+信息工程）（双学士学位培养项目）,首选物理，再选不限
score_109_5115_32_2023_2073_本科批,109_5115,109,5115,江苏,2023,能源与动力工程,本科 (1),工学 (10),能源动力类 (67),普通类,本科批,物理类,661,661,0,2577,（能源与动力工程+经济学）（双学士学位培养项目）,首选物理，再选不限
score_109_5091_32_2023_2073_本科批,109_5091,109,5091,江苏,2023,电子科学与技术,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,660,663,0,2754,（集成电路）（第三、四学年在无锡培养）,首选物理，再选不限
score_109_164997_32_2023_2073_本科批,109_164997,109,164997,江苏,2023,网络空间安全,本科 (1),工学 (10),计算机类 (71),普通类,本科批,物理类,660,664,0,2754,（网络空间安全+法学）（双学士学位培养项目）,首选物理，再选不限
