score_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,min,max,average,min_section,info,sg_info
score_123_6045_12_2022_3_本科批A段,123_6045,123,6045,天津,2022,软件工程,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批A段,综合,659,0,0,3611,,物理必选
score_123_6045_12_2022_3_本科批A段,123_6045,123,6045,天津,2022,软件工程,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批A段,综合,659,0,0,3611,,物理必选
score_123_6045_13_2022_2073_本科批,123_6045,123,6045,河北,2022,软件工程,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批,物理类,619,0,0,4458,,
score_123_6045_14_2022_1_本科一批A段,123_6045,123,6045,山西,2022,软件工程,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科一批A段,理科,598,0,598,2846,,
score_123_6045_15_2022_1_本科一批,123_6045,123,6045,内蒙古,2022,软件工程,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科一批,理科,591,598,0,1793,,
score_123_6070_15_2022_2_本科提前批B段,123_6070,123,6070,内蒙古,2022,行政管理,本科(普通) (1),管理学 (13),公共管理类 (115),普通类,本科提前批B段,文科,548,560,0,1013,（国家专项计划）,
score_123_6112_15_2022_1_本科提前批A段,123_6112,123,6112,内蒙古,2022,矿物加工工程,本科(普通) (1),工学 (10),矿业类 (77),普通类,本科提前批A段,理科,561,561,0,4196,（高校专项计划）,
score_123_618318_15_2022_1_本科提前批A段,123_618318,123,618318,内蒙古,2022,资源勘查工程,本科(普通) (1),工学 (10),地质类 (76),普通类,本科提前批A段,理科,539,539,0,6809,（高校专项计划）,
score_123_709099_15_2022_1_本科提前批A段,123_709099,123,709099,内蒙古,2022,生物科学,本科(普通) (1),理学 (9),生物科学类 (60),普通类,本科提前批A段,理科,532,532,0,7895,（高校专项计划）,
score_123_660555_15_2022_2_本科提前批A段,123_660555,123,660555,内蒙古,2022,汉语言文学,本科(普通) (1),文学 (7),中国语言文学类 (47),普通类,本科提前批A段,文科,565,565,0,519,（高校专项计划）,
score_123_709130_15_2022_2_本科提前批A段,123_709130,123,709130,内蒙古,2022,思想政治教育,本科(普通) (1),法学 (5),马克思主义理论类 (43),普通类,本科提前批A段,文科,550,550,0,939,（高校专项计划）,
score_123_6080_15_2022_1_本科提前批B段,123_6080,123,6080,内蒙古,2022,应用物理学,本科(普通) (1),理学 (9),物理学类 (52),普通类,本科提前批B段,理科,584,587,0,2269,（国家专项计划）,
score_123_709114_15_2022_1_本科提前批B段,123_709114,123,709114,内蒙古,2022,信息管理与信息系统,本科(普通) (1),管理学 (13),管理科学与工程类 (112),普通类,本科提前批B段,理科,576,576,0,2871,（国家专项计划）,
score_123_6045_21_2022_2073_本科批,123_6045,123,6045,辽宁,2022,软件工程,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批,物理类,637,0,0,2562,,
score_123_6045_22_2022_1_本科一批A段,123_6045,123,6045,吉林,2022,软件工程,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科一批A段,理科,594,596,595,2331,,
score_123_6045_23_2022_1_本科一批A段,123_6045,123,6045,黑龙江,2022,软件工程,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科一批A段,理科,585,585,0,2477,,
score_123_660558_32_2022_2073_本科批,123_660558,123,660558,江苏,2022,计算机科学与技术,本科(普通) (1),工学 (10),计算机类 (71),中外合作办学,本科批,物理类,605,609,0,11255,（中外合作办学）（在校本部学习，报考以下专业须查阅中南大学邓迪国际学院招生简章）,首选物理，再选不限
score_123_6092_32_2022_2073_本科批,123_6092,123,6092,江苏,2022,机械设计制造及其自动化,本科(普通) (1),工学 (10),机械类 (64),中外合作办学,本科批,物理类,603,604,0,12175,（中外合作办学）（在校本部学习，报考以下专业须查阅中南大学邓迪国际学院招生简章）,首选物理，再选不限
score_123_660551_32_2022_2073_本科批,123_660551,123,660551,江苏,2022,数学与应用数学,本科(普通) (1),理学 (9),数学类 (51),中外合作办学,本科批,物理类,602,602,0,12732,（中外合作办学）（在校本部学习，报考以下专业须查阅中南大学邓迪国际学院招生简章）,首选物理，再选不限
score_123_6036_32_2022_2073_本科批,123_6036,123,6036,江苏,2022,土木工程,本科(普通) (1),工学 (10),土木类 (72),中外合作办学,本科批,物理类,600,602,0,13787,（中外合作办学）（在校本部学习，报考以下专业须查阅中南大学邓迪国际学院招生简章）,首选物理，再选不限
score_123_6045_32_2022_2073_本科批,123_6045,123,6045,江苏,2022,软件工程,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批,物理类,619,623,0,5936,（在校本部学习）,首选物理，再选不限
score_123_660558_32_2022_2073_本科批,123_660558,123,660558,江苏,2022,计算机科学与技术,本科(普通) (1),工学 (10),计算机类 (71),中外合作办学,本科批,物理类,605,609,0,11255,（中外合作办学）（在校本部学习，报考以下专业须查阅中南大学邓迪国际学院招生简章）,首选物理，再选不限
score_123_6092_32_2022_2073_本科批,123_6092,123,6092,江苏,2022,机械设计制造及其自动化,本科(普通) (1),工学 (10),机械类 (64),中外合作办学,本科批,物理类,603,604,0,12175,（中外合作办学）（在校本部学习，报考以下专业须查阅中南大学邓迪国际学院招生简章）,首选物理，再选不限
score_123_660551_32_2022_2073_本科批,123_660551,123,660551,江苏,2022,数学与应用数学,本科(普通) (1),理学 (9),数学类 (51),中外合作办学,本科批,物理类,602,602,0,12732,（中外合作办学）（在校本部学习，报考以下专业须查阅中南大学邓迪国际学院招生简章）,首选物理，再选不限
score_123_6036_32_2022_2073_本科批,123_6036,123,6036,江苏,2022,土木工程,本科(普通) (1),工学 (10),土木类 (72),中外合作办学,本科批,物理类,600,602,0,13787,（中外合作办学）（在校本部学习，报考以下专业须查阅中南大学邓迪国际学院招生简章）,首选物理，再选不限
score_123_6045_32_2022_2073_本科批,123_6045,123,6045,江苏,2022,软件工程,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批,物理类,619,623,0,5936,（在校本部学习）,首选物理，再选不限
score_123_6045_33_2022_3_平行录取一段,123_6045,123,6045,浙江,2022,软件工程,本科(普通) (1),工学 (10),计算机类 (71),普通类,平行录取一段,综合,650,0,0,7978,,
score_123_6045_34_2022_1_本科一批,123_6045,123,6045,安徽,2022,软件工程,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科一批,理科,627,0,0,4138,,
score_123_6044_34_2022_1_本科一批,123_6044,123,6044,安徽,2022,材料科学与工程,本科(普通) (1),工学 (10),材料类 (66),中外合作办学,本科一批,理科,597,0,0,12366,（中外合作办学）（与蒙纳士大学中外合作办学项目）,
score_123_6036_34_2022_1_本科一批,123_6036,123,6036,安徽,2022,土木工程,本科(普通) (1),工学 (10),土木类 (72),中外合作办学,本科一批,理科,595,0,0,13180,（中外合作办学）（与蒙纳士大学中外合作办学项目）,
score_123_6045_35_2022_2073_本科批,123_6045,123,6045,福建,2022,软件工程,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批,物理类,626,626,626,3375,,首选物理，再选不限
score_123_6045_35_2022_2073_本科批,123_6045,123,6045,福建,2022,软件工程,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批,物理类,626,626,626,3375,,首选物理，再选不限
score_123_6045_36_2022_1_本科一批,123_6045,123,6045,江西,2022,软件工程,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科一批,理科,610,611,0,3221,,
score_123_6045_37_2022_3_普通类一段,123_6045,123,6045,山东,2022,软件工程,本科(普通) (1),工学 (10),计算机类 (71),普通类,普通类一段,综合,624,0,0,5807,,
score_123_6045_41_2022_1_本科一批,123_6045,123,6045,河南,2022,软件工程,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科一批,理科,624,627,625,6028,,
