score_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,min,max,average,min_section,info,sg_info
score_46_1122_11_2022_3_本科批,46_1122,46,1122,北京,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,综合,678,0,0,761,（含双学士学位项目）,不限
score_46_1136_11_2022_3_本科批,46_1136,46,1136,北京,2022,国际政治,本科 (1),法学 (5),政治学类 (40),普通类,本科批,综合,670,0,0,1207,（含双学士学位项目）,不限
score_46_1202_11_2022_3_本科批,46_1202,46,1202,北京,2022,人力资源管理,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,综合,670,0,0,1207,（含4加1本硕国际项目）,不限
score_46_1122_11_2022_3_本科批,46_1122,46,1122,北京,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,综合,678,0,0,761,（含双学士学位项目）,不限
score_46_1136_11_2022_3_本科批,46_1136,46,1136,北京,2022,国际政治,本科 (1),法学 (5),政治学类 (40),普通类,本科批,综合,670,0,0,1207,（含双学士学位项目）,不限
score_46_1202_11_2022_3_本科批,46_1202,46,1202,北京,2022,人力资源管理,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,综合,670,0,0,1207,（含4加1本硕国际项目）,不限
score_46_1122_12_2022_3_本科批A段,46_1122,46,1122,天津,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批A段,综合,700,0,0,246,,不限
score_46_1136_12_2022_3_本科批A段,46_1136,46,1136,天津,2022,国际政治,本科 (1),法学 (5),政治学类 (40),普通类,本科批A段,综合,697,0,0,343,,不限
score_46_1202_12_2022_3_本科批A段,46_1202,46,1202,天津,2022,人力资源管理,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批A段,综合,697,0,0,343,,不限
score_46_1122_12_2022_3_本科批A段,46_1122,46,1122,天津,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批A段,综合,700,0,0,246,,不限
score_46_1136_12_2022_3_本科批A段,46_1136,46,1136,天津,2022,国际政治,本科 (1),法学 (5),政治学类 (40),普通类,本科批A段,综合,697,0,0,343,,不限
score_46_1202_12_2022_3_本科批A段,46_1202,46,1202,天津,2022,人力资源管理,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批A段,综合,697,0,0,343,,不限
score_46_1136_14_2022_2_本科一批A段,46_1136,46,1136,山西,2022,国际政治,本科 (1),法学 (5),政治学类 (40),普通类,本科一批A段,文科,610,0,610,66,,
score_46_1202_14_2022_2_本科一批A段,46_1202,46,1202,山西,2022,人力资源管理,本科 (1),管理学 (13),工商管理类 (113),普通类,本科一批A段,文科,607,0,608,80,,
score_46_1122_22_2022_2_本科一批A段,46_1122,46,1122,吉林,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科一批A段,文科,612,614,613,104,（含双学士学位项目）（教育部卓越法治人才培养基地，法学-新闻学、工商管理-法）,
score_46_1136_22_2022_2_本科一批A段,46_1136,46,1136,吉林,2022,国际政治,本科 (1),法学 (5),政治学类 (40),普通类,本科一批A段,文科,600,607,603,104,（含双学士学位项目）（含政治学、经济学与哲学专业（PPE实验班）、政治学）,
score_46_1202_22_2022_2_本科一批A段,46_1202,46,1202,吉林,2022,人力资源管理,本科 (1),管理学 (13),工商管理类 (113),普通类,本科一批A段,文科,598,598,598,104,（含4加1本硕国际项目）（含英国华威大学、加拿大蒙特利尔大学等院际免）,
score_46_1122_22_2022_1_本科一批A段,46_1122,46,1122,吉林,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科一批A段,理科,655,668,662,180,（含双学士学位项目）（教育部卓越法治人才培养基地，法学-新闻学、工商管理-法）,
score_46_1122_32_2022_2074_本科批,46_1122,46,1122,江苏,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,历史类,632,636,0,-,（双学士学位培养项目）（、工商管理+渓学）（双学土学赤培葬项目）（］）,首选历史，再选不限
score_46_1202_32_2022_2074_本科批,46_1202,46,1202,江苏,2022,人力资源管理,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,历史类,624,625,0,126,,首选历史，再选不限
score_46_1122_32_2022_2074_本科批,46_1122,46,1122,江苏,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,历史类,632,636,0,-,（双学士学位培养项目）（、工商管理+渓学）（双学土学赤培葬项目）（］）,首选历史，再选不限
score_46_1136_32_2022_2074_本科批,46_1136,46,1136,江苏,2022,国际政治,本科 (1),法学 (5),政治学类 (40),普通类,本科批,历史类,624,627,0,126,（双学士学位培养项目）（］）,首选历史，再选思想政治
score_46_1202_32_2022_2074_本科批,46_1202,46,1202,江苏,2022,人力资源管理,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,历史类,624,625,0,126,,首选历史，再选不限
score_46_1136_32_2022_2074_本科批,46_1136,46,1136,江苏,2022,国际政治,本科 (1),法学 (5),政治学类 (40),普通类,本科批,历史类,624,627,0,126,（双学士学位培养项目）（］）,首选历史，再选思想政治
score_46_1122_32_2022_2073_本科批,46_1122,46,1122,江苏,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,物理类,657,661,0,388,（双学士学位培养项目）（、工商管理+法学）（双学士学位培养项目）,首选物理，再选不限
