score_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,min,max,average,min_section,info,sg_info
score_121_146710_11_2022_3_本科批,121_146710,121,146710,北京,2022,英语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,578,0,0,12007,,不限
score_121_5914_11_2022_3_本科批,121_5914,121,5914,北京,2022,广播电视学,本科(普通) (1),文学 (7),新闻传播学类 (49),普通类,本科批,综合,575,0,0,12490,,不限
score_121_5980_11_2022_3_本科批,121_5980,121,5980,北京,2022,计算机科学与技术,本科(普通) (1),工学 (10),计算机类 (71),中外合作办学,本科批,综合,591,0,0,9990,（中外合作办学）（大数据）,物理必选
score_121_5963_11_2022_3_本科批,121_5963,121,5963,北京,2022,地下水科学与工程,本科(普通) (1),工学 (10),地质类 (76),中外合作办学,本科批,综合,581,0,0,11540,（中外合作办学）,物理/化学(2选1)
score_121_146710_11_2022_3_本科批,121_146710,121,146710,北京,2022,英语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,578,0,0,12007,,不限
score_121_5955_11_2022_3_本科批,121_5955,121,5955,北京,2022,地球物理学,本科(普通) (1),理学 (9),地球物理学类 (58),普通类,本科批,综合,576,0,0,12334,（国家拔尖计划）,物理必选
score_121_5914_11_2022_3_本科批,121_5914,121,5914,北京,2022,广播电视学,本科(普通) (1),文学 (7),新闻传播学类 (49),普通类,本科批,综合,575,0,0,12490,,不限
score_121_5918_11_2022_3_本科批,121_5918,121,5918,北京,2022,物理学,本科(普通) (1),理学 (9),物理学类 (52),普通类,本科批,综合,572,0,0,12957,,物理必选
score_121_146714_11_2022_3_本科批,121_146714,121,146714,北京,2022,大气科学,本科(普通) (1),理学 (9),大气科学类 (56),普通类,本科批,综合,572,0,0,12957,,物理必选
score_121_5960_11_2022_3_本科批,121_5960,121,5960,北京,2022,宝石及材料工艺学,本科(普通) (1),工学 (10),材料类 (66),普通类,本科批,综合,561,0,0,14760,,化学必选
score_121_5955_11_2022_3_本科批,121_5955,121,5955,北京,2022,地球物理学,本科(普通) (1),理学 (9),地球物理学类 (58),普通类,本科批,综合,576,0,0,12334,（国家拔尖计划）,物理必选
score_121_5918_11_2022_3_本科批,121_5918,121,5918,北京,2022,物理学,本科(普通) (1),理学 (9),物理学类 (52),普通类,本科批,综合,572,0,0,12957,,物理必选
score_121_146714_11_2022_3_本科批,121_146714,121,146714,北京,2022,大气科学,本科(普通) (1),理学 (9),大气科学类 (56),普通类,本科批,综合,572,0,0,12957,,物理必选
score_121_5960_11_2022_3_本科批,121_5960,121,5960,北京,2022,宝石及材料工艺学,本科(普通) (1),工学 (10),材料类 (66),普通类,本科批,综合,561,0,0,14760,,化学必选
score_121_5963_11_2022_3_本科批,121_5963,121,5963,北京,2022,地下水科学与工程,本科(普通) (1),工学 (10),地质类 (76),中外合作办学,本科批,综合,581,0,0,11540,（中外合作办学）,物理/化学(2选1)
score_121_5980_11_2022_3_本科批,121_5980,121,5980,北京,2022,计算机科学与技术,本科(普通) (1),工学 (10),计算机类 (71),中外合作办学,本科批,综合,591,0,0,9990,（中外合作办学）（大数据）,物理必选
score_121_5955_12_2022_3_本科批A段,121_5955,121,5955,天津,2022,地球物理学,本科(普通) (1),理学 (9),地球物理学类 (58),普通类,本科批A段,综合,637,0,0,7060,,物理必选
score_121_146710_12_2022_3_本科批A段,121_146710,121,146710,天津,2022,英语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科批A段,综合,633,0,0,7774,,不限
score_121_5960_12_2022_3_本科批A段,121_5960,121,5960,天津,2022,宝石及材料工艺学,本科(普通) (1),工学 (10),材料类 (66),普通类,本科批A段,综合,632,0,0,7969,,化学必选
score_121_146714_12_2022_3_本科批A段,121_146714,121,146714,天津,2022,大气科学,本科(普通) (1),理学 (9),大气科学类 (56),普通类,本科批A段,综合,632,0,0,7969,,物理必选
