score_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,min,max,average,min_section,info,sg_info
score_88_1800350_11_2022_3_本科批,88_1800350,88,1800350,北京,2022,思想政治教育,本科 (1),法学 (5),马克思主义理论类 (43),普通类,本科批,综合,530,530,530,20175,,思想政治必选
score_88_1800351_11_2022_3_本科批,88_1800351,88,1800351,北京,2022,翻译,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,559,559,559,15106,,不限
score_88_3652_11_2022_3_本科批,88_3652,88,3652,北京,2022,信息与计算科学,本科 (1),理学 (9),数学类 (51),普通类,本科批,综合,557,557,557,15416,,物理必选
score_88_3663_11_2022_3_本科批,88_3663,88,3663,北京,2022,物流管理,本科 (1),管理学 (13),物流管理与工程类 (117),普通类,本科批,综合,557,557,557,15416,,不限
score_88_1129729_11_2022_3_本科批,88_1129729,88,1129729,北京,2022,无人驾驶航空器系统工程,本科 (1),工学 (10),航空航天类 (82),普通类,本科批,综合,553,553,553,16109,,物理必选
score_88_3633_11_2022_3_本科批,88_3633,88,3633,北京,2022,应用心理学,本科 (1),理学 (9),心理学类 (61),普通类,本科批,综合,552,552,552,16267,,不限
score_88_3649_11_2022_3_本科批,88_3649,88,3649,北京,2022,土木工程,本科 (1),工学 (10),土木类 (72),普通类,本科批,综合,552,552,552,16267,,物理必选
score_88_3624_11_2022_3_本科批,88_3624,88,3624,北京,2022,安全工程,本科 (1),工学 (10),安全科学与工程类 (91),普通类,本科批,综合,551,551,551,16439,,物理必选
score_88_3650_11_2022_3_本科批,88_3650,88,3650,北京,2022,材料化学,本科 (1),工学 (10),材料类 (66),普通类,本科批,综合,549,549,549,16780,,物理必选
score_88_3648_11_2022_3_本科批,88_3648,88,3648,北京,2022,交通工程,本科 (1),工学 (10),交通运输类 (80),普通类,本科批,综合,545,548,546,17532,,物理/化学(2选1)
score_88_1800350_11_2022_3_本科批,88_1800350,88,1800350,北京,2022,思想政治教育,本科 (1),法学 (5),马克思主义理论类 (43),普通类,本科批,综合,530,530,530,20175,,思想政治必选
score_88_1800351_11_2022_3_本科批,88_1800351,88,1800351,北京,2022,翻译,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,559,559,559,15106,,不限
score_88_3663_11_2022_3_本科批,88_3663,88,3663,北京,2022,物流管理,本科 (1),管理学 (13),物流管理与工程类 (117),普通类,本科批,综合,557,557,557,15416,,不限
score_88_3633_11_2022_3_本科批,88_3633,88,3633,北京,2022,应用心理学,本科 (1),理学 (9),心理学类 (61),普通类,本科批,综合,552,552,552,16267,,不限
score_88_3648_11_2022_3_本科批,88_3648,88,3648,北京,2022,交通工程,本科 (1),工学 (10),交通运输类 (80),普通类,本科批,综合,545,548,546,17532,,物理/化学(2选1)
score_88_3652_11_2022_3_本科批,88_3652,88,3652,北京,2022,信息与计算科学,本科 (1),理学 (9),数学类 (51),普通类,本科批,综合,557,557,557,15416,,物理必选
score_88_1129729_11_2022_3_本科批,88_1129729,88,1129729,北京,2022,无人驾驶航空器系统工程,本科 (1),工学 (10),航空航天类 (82),普通类,本科批,综合,553,553,553,16109,,物理必选
score_88_3649_11_2022_3_本科批,88_3649,88,3649,北京,2022,土木工程,本科 (1),工学 (10),土木类 (72),普通类,本科批,综合,552,552,552,16267,,物理必选
score_88_3624_11_2022_3_本科批,88_3624,88,3624,北京,2022,安全工程,本科 (1),工学 (10),安全科学与工程类 (91),普通类,本科批,综合,551,551,551,16439,,物理必选
score_88_3650_11_2022_3_本科批,88_3650,88,3650,北京,2022,材料化学,本科 (1),工学 (10),材料类 (66),普通类,本科批,综合,549,549,549,16780,,物理必选
score_88_3634_12_2022_3_本科批A段,88_3634,88,3634,天津,2022,交通运输,本科 (1),工学 (10),交通运输类 (80),普通类,本科批A段,综合,622,0,0,9768,,物理必选
