score_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,min,max,average,min_section,info,sg_info
score_61_2029_11_2022_3_本科批,61_2029,61,2029,北京,2022,海洋科学,本科(普通) (1),理学 (9),海洋科学类 (57),普通类,本科批,综合,614,0,619,6780,,物理必选
score_61_2014_11_2022_3_本科批,61_2014,61,2014,北京,2022,日语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,614,0,615,6780,,不限
score_61_95636_11_2022_3_本科批,61_95636,61,95636,北京,2022,国际经济与贸易,本科(普通) (1),经济学 (4),经济与贸易类 (38),普通类,本科批,综合,614,0,615,6780,,不限
score_61_2021_11_2022_3_本科批,61_2021,61,2021,北京,2022,水产养殖学,本科(普通) (1),农学 (11),水产类 (99),普通类,本科批,综合,600,0,606,8671,,化学/生物(2选1)
score_61_2029_11_2022_3_本科批,61_2029,61,2029,北京,2022,海洋科学,本科(普通) (1),理学 (9),海洋科学类 (57),普通类,本科批,综合,614,0,619,6780,,物理必选
score_61_2014_11_2022_3_本科批,61_2014,61,2014,北京,2022,日语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,614,0,615,6780,,不限
score_61_95636_11_2022_3_本科批,61_95636,61,95636,北京,2022,国际经济与贸易,本科(普通) (1),经济学 (4),经济与贸易类 (38),普通类,本科批,综合,614,0,615,6780,,不限
score_61_2021_11_2022_3_本科批,61_2021,61,2021,北京,2022,水产养殖学,本科(普通) (1),农学 (11),水产类 (99),普通类,本科批,综合,600,0,606,8671,,化学/生物(2选1)
score_61_2029_12_2022_3_本科批A段,61_2029,61,2029,天津,2022,海洋科学,本科(普通) (1),理学 (9),海洋科学类 (57),普通类,本科批A段,综合,650,0,0,4913,,物理必选
score_61_2030_12_2022_3_本科批A段,61_2030,61,2030,天津,2022,海洋技术,本科(普通) (1),理学 (9),海洋科学类 (57),普通类,本科批A段,综合,649,0,0,5070,,物理必选
score_61_2038_12_2022_3_本科批A段,61_2038,61,2038,天津,2022,大气科学,本科(普通) (1),理学 (9),大气科学类 (56),普通类,本科批A段,综合,648,0,0,5245,,物理必选
score_61_95641_12_2022_3_本科批A段,61_95641,61,95641,天津,2022,船舶与海洋工程,本科(普通) (1),工学 (10),海洋工程类 (81),普通类,本科批A段,综合,647,0,0,5404,,物理必选
score_61_95651_12_2022_3_本科批A段,61_95651,61,95651,天津,2022,港口航道与海岸工程,本科(普通) (1),工学 (10),水利类 (73),普通类,本科批A段,综合,647,0,0,5404,,物理必选
score_61_95632_12_2022_3_本科批A段,61_95632,61,95632,天津,2022,汉语言文学,本科(普通) (1),文学 (7),中国语言文学类 (47),普通类,本科批A段,综合,653,0,0,4459,,不限
score_61_95643_12_2022_3_本科批A段,61_95643,61,95643,天津,2022,会计学,本科(普通) (1),管理学 (13),工商管理类 (113),普通类,本科批A段,综合,651,0,0,4761,,不限
score_61_2029_12_2022_3_本科批A段,61_2029,61,2029,天津,2022,海洋科学,本科(普通) (1),理学 (9),海洋科学类 (57),普通类,本科批A段,综合,650,0,0,4913,,物理必选
score_61_2022_12_2022_3_本科批A段,61_2022,61,2022,天津,2022,药学,本科(普通) (1),医学 (12),药学类 (107),普通类,本科批A段,综合,649,0,0,5070,,物/化/生(3选1)
score_61_2030_12_2022_3_本科批A段,61_2030,61,2030,天津,2022,海洋技术,本科(普通) (1),理学 (9),海洋科学类 (57),普通类,本科批A段,综合,649,0,0,5070,,物理必选
score_61_2043_12_2022_3_本科批A段,61_2043,61,2043,天津,2022,德语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科批A段,综合,649,0,0,5070,,不限
score_61_95650_12_2022_3_本科批A段,61_95650,61,95650,天津,2022,金融学,本科(普通) (1),经济学 (4),金融学类 (37),普通类,本科批A段,综合,649,0,0,5070,,不限
score_61_2021_12_2022_3_本科批A段,61_2021,61,2021,天津,2022,水产养殖学,本科(普通) (1),农学 (11),水产类 (99),普通类,本科批A段,综合,648,0,0,5245,,化学/生物(2选1)
score_61_2038_12_2022_3_本科批A段,61_2038,61,2038,天津,2022,大气科学,本科(普通) (1),理学 (9),大气科学类 (56),普通类,本科批A段,综合,648,0,0,5245,,物理必选
score_61_95637_12_2022_3_本科批A段,61_95637,61,95637,天津,2022,化学,本科(普通) (1),理学 (9),化学类 (53),普通类,本科批A段,综合,648,0,0,5245,,化学必选
score_61_95641_12_2022_3_本科批A段,61_95641,61,95641,天津,2022,船舶与海洋工程,本科(普通) (1),工学 (10),海洋工程类 (81),普通类,本科批A段,综合,647,0,0,5404,,物理必选
score_61_95651_12_2022_3_本科批A段,61_95651,61,95651,天津,2022,港口航道与海岸工程,本科(普通) (1),工学 (10),水利类 (73),普通类,本科批A段,综合,647,0,0,5404,,物理必选
score_61_196550_12_2022_3_本科批A段,61_196550,61,196550,天津,2022,法学,本科(普通) (1),法学 (5),法学类 (39),中外合作办学,本科批A段,综合,646,0,0,5557,,不限
score_61_2041_12_2022_3_本科批A段,61_2041,61,2041,天津,2022,海洋渔业科学与技术,本科(普通) (1),农学 (11),水产类 (99),普通类,本科批A段,综合,645,0,0,5690,,化学/生物(2选1)
score_61_1375755_12_2022_3_本科批A段,61_1375755,61,1375755,天津,2022,数学与应用数学,本科(普通) (1),理学 (9),数学类 (51),中外合作办学,本科批A段,综合,645,0,0,5690,,物理必选
score_61_1375756_12_2022_3_本科批A段,61_1375756,61,1375756,天津,2022,生物技术,本科(普通) (1),理学 (9),生物科学类 (60),中外合作办学,本科批A段,综合,639,0,0,6734,,物/化/生(3选1)
score_61_2039_12_2022_3_本科批A段,61_2039,61,2039,天津,2022,海洋科学,本科(普通) (1),理学 (9),海洋科学类 (57),中外合作办学,本科批A段,综合,637,0,0,7060,,物理必选
score_61_1375757_12_2022_3_本科批A段,61_1375757,61,1375757,天津,2022,食品科学与工程,本科(普通) (1),工学 (10),食品科学与工程类 (89),中外合作办学,本科批A段,综合,637,0,0,7060,,物理必选
score_61_95632_12_2022_3_本科批A段,61_95632,61,95632,天津,2022,汉语言文学,本科(普通) (1),文学 (7),中国语言文学类 (47),普通类,本科批A段,综合,653,0,0,4459,,不限
score_61_95643_12_2022_3_本科批A段,61_95643,61,95643,天津,2022,会计学,本科(普通) (1),管理学 (13),工商管理类 (113),普通类,本科批A段,综合,651,0,0,4761,,不限
score_61_2043_12_2022_3_本科批A段,61_2043,61,2043,天津,2022,德语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科批A段,综合,649,0,0,5070,,不限
score_61_95650_12_2022_3_本科批A段,61_95650,61,95650,天津,2022,金融学,本科(普通) (1),经济学 (4),金融学类 (37),普通类,本科批A段,综合,649,0,0,5070,,不限
score_61_2022_12_2022_3_本科批A段,61_2022,61,2022,天津,2022,药学,本科(普通) (1),医学 (12),药学类 (107),普通类,本科批A段,综合,649,0,0,5070,,物/化/生(3选1)
score_61_95637_12_2022_3_本科批A段,61_95637,61,95637,天津,2022,化学,本科(普通) (1),理学 (9),化学类 (53),普通类,本科批A段,综合,648,0,0,5245,,化学必选
score_61_2021_12_2022_3_本科批A段,61_2021,61,2021,天津,2022,水产养殖学,本科(普通) (1),农学 (11),水产类 (99),普通类,本科批A段,综合,648,0,0,5245,,化学/生物(2选1)
score_61_2041_12_2022_3_本科批A段,61_2041,61,2041,天津,2022,海洋渔业科学与技术,本科(普通) (1),农学 (11),水产类 (99),普通类,本科批A段,综合,645,0,0,5690,,化学/生物(2选1)
score_61_196550_12_2022_3_本科批A段,61_196550,61,196550,天津,2022,法学,本科(普通) (1),法学 (5),法学类 (39),中外合作办学,本科批A段,综合,646,0,0,5557,,不限
score_61_1375755_12_2022_3_本科批A段,61_1375755,61,1375755,天津,2022,数学与应用数学,本科(普通) (1),理学 (9),数学类 (51),中外合作办学,本科批A段,综合,645,0,0,5690,,物理必选
score_61_1375756_12_2022_3_本科批A段,61_1375756,61,1375756,天津,2022,生物技术,本科(普通) (1),理学 (9),生物科学类 (60),中外合作办学,本科批A段,综合,639,0,0,6734,,物/化/生(3选1)
score_61_1375757_12_2022_3_本科批A段,61_1375757,61,1375757,天津,2022,食品科学与工程,本科(普通) (1),工学 (10),食品科学与工程类 (89),中外合作办学,本科批A段,综合,637,0,0,7060,,物理必选
score_61_2039_12_2022_3_本科批A段,61_2039,61,2039,天津,2022,海洋科学,本科(普通) (1),理学 (9),海洋科学类 (57),中外合作办学,本科批A段,综合,637,0,0,7060,,物理必选
score_61_95632_13_2022_2074_本科批,61_95632,61,95632,河北,2022,汉语言文学,本科(普通) (1),文学 (7),中国语言文学类 (47),普通类,本科批,历史类,611,0,612,1225,,
score_61_95632_13_2022_2074_本科批,61_95632,61,95632,河北,2022,汉语言文学,本科(普通) (1),文学 (7),中国语言文学类 (47),普通类,本科批,历史类,611,0,0,1225,,
score_61_2040_13_2022_2074_本科批,61_2040,61,2040,河北,2022,英语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科批,历史类,610,0,611,1299,,
score_61_95636_13_2022_2074_本科批,61_95636,61,95636,河北,2022,国际经济与贸易,本科(普通) (1),经济学 (4),经济与贸易类 (38),普通类,本科批,历史类,610,0,611,1299,,
score_61_2040_13_2022_2074_本科批,61_2040,61,2040,河北,2022,英语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科批,历史类,610,0,0,1299,,
score_61_95636_13_2022_2074_本科批,61_95636,61,95636,河北,2022,国际经济与贸易,本科(普通) (1),经济学 (4),经济与贸易类 (38),普通类,本科批,历史类,610,0,0,1299,,
score_61_95631_13_2022_2074_本科批,61_95631,61,95631,河北,2022,政治学与行政学,本科(普通) (1),法学 (5),政治学类 (40),普通类,本科批,历史类,609,0,610,1359,,
score_61_95631_13_2022_2074_本科批,61_95631,61,95631,河北,2022,政治学与行政学,本科(普通) (1),法学 (5),政治学类 (40),普通类,本科批,历史类,609,0,0,1359,,
score_61_2013_13_2022_2074_本科批,61_2013,61,2013,河北,2022,法语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科批,历史类,607,0,609,1512,,
score_61_2014_13_2022_2074_本科批,61_2014,61,2014,河北,2022,日语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科批,历史类,607,0,607,1512,,
score_61_2013_13_2022_2074_本科批,61_2013,61,2013,河北,2022,法语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科批,历史类,607,0,0,1512,,
