score_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,min,max,average,min_section,info,sg_info
score_110_857193_11_2022_3_本科批,110_857193,110,857193,北京,2022,金融学,本科(普通) (1),经济学 (4),金融学类 (37),普通类,本科批,综合,0,0,0,-,,不限
score_110_659747_11_2022_3_本科批,110_659747,110,659747,北京,2022,土木工程,本科(普通) (1),工学 (10),土木类 (72),中外合作办学,本科批,综合,559,569,0,15106,（中外合作办学）,物理必选
score_110_857193_11_2022_3_本科批,110_857193,110,857193,北京,2022,金融学,本科(普通) (1),经济学 (4),金融学类 (37),普通类,本科批,综合,0,0,0,-,,不限
score_110_1129644_11_2022_3_本科批,110_1129644,110,1129644,北京,2022,新能源材料与器件,本科(普通) (1),工学 (10),材料类 (66),普通类,本科批,综合,0,0,0,-,,物理必选
score_110_1129645_11_2022_3_本科批,110_1129645,110,1129645,北京,2022,人工智能,本科(普通) (1),工学 (10),电子信息类 (69),普通类,本科批,综合,0,0,0,-,,物理必选
score_110_1129647_11_2022_3_本科批,110_1129647,110,1129647,北京,2022,大数据管理与应用,本科(普通) (1),管理学 (13),管理科学与工程类 (112),普通类,本科批,综合,0,0,0,-,,物理必选
score_110_1497994_11_2022_3_本科批,110_1497994,110,1497994,北京,2022,遥感科学与技术,本科(普通) (1),工学 (10),测绘类 (74),普通类,本科批,综合,0,0,0,-,,物理必选
score_110_1800270_11_2022_3_本科批,110_1800270,110,1800270,北京,2022,应急管理,本科(普通) (1),管理学 (13),管理科学与工程类 (112),普通类,本科批,综合,0,0,0,-,,物理必选
score_110_1129644_11_2022_3_本科批,110_1129644,110,1129644,北京,2022,新能源材料与器件,本科(普通) (1),工学 (10),材料类 (66),普通类,本科批,综合,0,0,0,-,,物理必选
score_110_1129645_11_2022_3_本科批,110_1129645,110,1129645,北京,2022,人工智能,本科(普通) (1),工学 (10),电子信息类 (69),普通类,本科批,综合,0,0,0,-,,物理必选
score_110_1129647_11_2022_3_本科批,110_1129647,110,1129647,北京,2022,大数据管理与应用,本科(普通) (1),管理学 (13),管理科学与工程类 (112),普通类,本科批,综合,0,0,0,-,,物理必选
score_110_1497994_11_2022_3_本科批,110_1497994,110,1497994,北京,2022,遥感科学与技术,本科(普通) (1),工学 (10),测绘类 (74),普通类,本科批,综合,0,0,0,-,,物理必选
score_110_1800270_11_2022_3_本科批,110_1800270,110,1800270,北京,2022,应急管理,本科(普通) (1),管理学 (13),管理科学与工程类 (112),普通类,本科批,综合,0,0,0,-,,物理必选
score_110_659747_11_2022_3_本科批,110_659747,110,659747,北京,2022,土木工程,本科(普通) (1),工学 (10),土木类 (72),中外合作办学,本科批,综合,559,569,0,15106,（中外合作办学）,物理必选
score_110_1129647_12_2022_3_本科批A段,110_1129647,110,1129647,天津,2022,大数据管理与应用,本科(普通) (1),管理学 (13),管理科学与工程类 (112),普通类,本科批A段,综合,639,0,0,6734,,物理必选
score_110_1129645_12_2022_3_本科批A段,110_1129645,110,1129645,天津,2022,人工智能,本科(普通) (1),工学 (10),电子信息类 (69),普通类,本科批A段,综合,633,0,0,7774,,物理必选
score_110_1497994_12_2022_3_本科批A段,110_1497994,110,1497994,天津,2022,遥感科学与技术,本科(普通) (1),工学 (10),测绘类 (74),普通类,本科批A段,综合,630,0,0,8316,,物理必选
score_110_1129647_12_2022_3_本科批A段,110_1129647,110,1129647,天津,2022,大数据管理与应用,本科(普通) (1),管理学 (13),管理科学与工程类 (112),普通类,本科批A段,综合,639,0,0,6734,,物理必选
score_110_1129645_12_2022_3_本科批A段,110_1129645,110,1129645,天津,2022,人工智能,本科(普通) (1),工学 (10),电子信息类 (69),普通类,本科批A段,综合,633,0,0,7774,,物理必选
score_110_857193_12_2022_3_本科批A段,110_857193,110,857193,天津,2022,金融学,本科(普通) (1),经济学 (4),金融学类 (37),普通类,本科批A段,综合,631,0,0,8146,,不限
score_110_1497994_12_2022_3_本科批A段,110_1497994,110,1497994,天津,2022,遥感科学与技术,本科(普通) (1),工学 (10),测绘类 (74),普通类,本科批A段,综合,630,0,0,8316,,物理必选
score_110_857193_12_2022_3_本科批A段,110_857193,110,857193,天津,2022,金融学,本科(普通) (1),经济学 (4),金融学类 (37),普通类,本科批A段,综合,631,0,0,8146,,不限
score_110_857193_13_2022_2074_本科批,110_857193,110,857193,河北,2022,金融学,本科(普通) (1),经济学 (4),金融学类 (37),普通类,本科批,历史类,595,0,0,2697,,
score_110_1129645_13_2022_2073_本科批,110_1129645,110,1129645,河北,2022,人工智能,本科(普通) (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,592,0,0,13125,,
score_110_857193_13_2022_2073_本科批,110_857193,110,857193,河北,2022,金融学,本科(普通) (1),经济学 (4),金融学类 (37),普通类,本科批,物理类,591,0,0,13583,,
score_110_1129647_13_2022_2073_本科批,110_1129647,110,1129647,河北,2022,大数据管理与应用,本科(普通) (1),管理学 (13),管理科学与工程类 (112),普通类,本科批,物理类,591,0,0,13583,,
score_110_1024470_13_2022_2073_本科批,110_1024470,110,1024470,河北,2022,机器人工程,本科(普通) (1),工学 (10),自动化类 (70),普通类,本科批,物理类,590,0,0,14004,,
score_110_1497994_13_2022_2073_本科批,110_1497994,110,1497994,河北,2022,遥感科学与技术,本科(普通) (1),工学 (10),测绘类 (74),普通类,本科批,物理类,589,0,0,14462,,
score_110_1129644_13_2022_2073_本科批,110_1129644,110,1129644,河北,2022,新能源材料与器件,本科(普通) (1),工学 (10),材料类 (66),普通类,本科批,物理类,586,0,0,15960,,
score_110_1800270_13_2022_2073_本科批,110_1800270,110,1800270,河北,2022,应急管理,本科(普通) (1),管理学 (13),管理科学与工程类 (112),普通类,本科批,物理类,577,0,0,20936,,
score_110_1797425_13_2022_2073_本科批,110_1797425,110,1797425,河北,2022,地球信息科学与技术,本科(普通) (1),理学 (9),地质学类 (59),普通类,本科批,物理类,576,0,0,21536,,
score_110_1129645_15_2022_1_本科一批,110_1129645,110,1129645,内蒙古,2022,人工智能,本科(普通) (1),工学 (10),电子信息类 (69),普通类,本科一批,理科,546,554,0,5875,,
score_110_1497994_15_2022_1_本科一批,110_1497994,110,1497994,内蒙古,2022,遥感科学与技术,本科(普通) (1),工学 (10),测绘类 (74),普通类,本科一批,理科,541,544,0,6514,,
score_110_857193_15_2022_1_本科一批,110_857193,110,857193,内蒙古,2022,金融学,本科(普通) (1),经济学 (4),金融学类 (37),普通类,本科一批,理科,539,550,0,6809,,
score_110_1129644_15_2022_1_本科一批,110_1129644,110,1129644,内蒙古,2022,新能源材料与器件,本科(普通) (1),工学 (10),材料类 (66),普通类,本科一批,理科,530,550,0,8233,,
score_110_1024470_15_2022_1_本科一批,110_1024470,110,1024470,内蒙古,2022,机器人工程,本科(普通) (1),工学 (10),自动化类 (70),普通类,本科一批,理科,519,533,0,9913,,
score_110_1800270_15_2022_1_本科一批,110_1800270,110,1800270,内蒙古,2022,应急管理,本科(普通) (1),管理学 (13),管理科学与工程类 (112),普通类,本科一批,理科,515,517,0,10576,,
score_110_857162_15_2022_1_本科一批,110_857162,110,857162,内蒙古,2022,土地资源管理,本科(普通) (1),管理学 (13),公共管理类 (115),普通类,本科一批,理科,514,534,0,10733,,
score_110_1024470_21_2022_2073_本科批,110_1024470,110,1024470,辽宁,2022,机器人工程,本科(普通) (1),工学 (10),自动化类 (70),普通类,本科批,物理类,598,0,0,9934,,
score_110_1129645_21_2022_2073_本科批,110_1129645,110,1129645,辽宁,2022,人工智能,本科(普通) (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,598,0,0,9934,,
score_110_1129647_21_2022_2073_本科批,110_1129647,110,1129647,辽宁,2022,大数据管理与应用,本科(普通) (1),管理学 (13),管理科学与工程类 (112),普通类,本科批,物理类,597,0,0,10190,,
score_110_1497994_21_2022_2073_本科批,110_1497994,110,1497994,辽宁,2022,遥感科学与技术,本科(普通) (1),工学 (10),测绘类 (74),普通类,本科批,物理类,590,0,0,12099,,
score_110_857193_21_2022_2073_本科批,110_857193,110,857193,辽宁,2022,金融学,本科(普通) (1),经济学 (4),金融学类 (37),普通类,本科批,物理类,586,0,0,13211,,
