score_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,min,max,average,min_section,info,sg_info
score_66_1800349_15_2022_1_本科提前批B段,66_1800349,66,1800349,内蒙古,2022,空间科学与技术,本科 (1),理学 (9),地球物理学类 (58),普通类,本科提前批B段,理科,621,622,0,601,（国家专项计划）,
score_66_97442_22_2022_1_本科一批A段,66_97442,66,97442,吉林,2022,计算机类,本科 (1),工学 (10),计算机类 (71),普通类,本科一批A段,理科,647,648,648,288,（计算机科学与技术、数据科学与大数据技术）,
score_66_97454_22_2022_1_本科一批A段,66_97454,66,97454,吉林,2022,生物科学类,本科 (1),理学 (9),生物科学类 (60),普通类,本科一批A段,理科,646,652,648,300,（生物科学、生物技术、临床医学）,
score_66_97440_22_2022_1_本科一批A段,66_97440,66,97440,吉林,2022,物理学类,本科 (1),理学 (9),物理学类 (52),普通类,本科一批A段,理科,645,650,648,314,（物理学、应用物理学、天文学、光电信息科学与工程、量子信息科学）,
score_66_97441_22_2022_1_本科一批A段,66_97441,66,97441,吉林,2022,电子信息类,本科 (1),工学 (10),电子信息类 (69),普通类,本科一批A段,理科,645,648,646,314,（人工智能、信息安全、电子信息工程、通信工程、自动化、电子科学与技术）,
score_66_97439_22_2022_1_本科一批A段,66_97439,66,97439,吉林,2022,数学类,本科 (1),理学 (9),数学类 (51),普通类,本科一批A段,理科,645,645,645,314,（数学与应用数学、信息与计算科学）,
score_66_97439_32_2022_2073_本科批,66_97439,66,97439,江苏,2022,数学类,本科 (1),理学 (9),数学类 (51),普通类,本科批,物理类,650,651,0,730,（数学与应用数学、信息与计算科学）,首选物理，再选不限
score_66_97440_32_2022_2073_本科批,66_97440,66,97440,江苏,2022,物理学类,本科 (1),理学 (9),物理学类 (52),普通类,本科批,物理类,650,653,0,730,（含物理学、应用物理学、量子信息科学等5个专业）,首选物理，再选不限
score_66_97442_32_2022_2073_本科批,66_97442,66,97442,江苏,2022,计算机类,本科 (1),工学 (10),计算机类 (71),普通类,本科批,物理类,650,650,0,730,（计算机科学与技术、数据科学与大数据技术）,首选物理，再选不限
score_66_1800349_32_2022_2073_本科批,66_1800349,66,1800349,江苏,2022,空间科学与技术,本科 (1),理学 (9),地球物理学类 (58),普通类,本科批,物理类,650,650,0,730,,首选物理，再选不限
score_66_97441_32_2022_2073_本科批,66_97441,66,97441,江苏,2022,电子信息类,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,649,651,0,800,（含通信工程、电子科学与技术、人工智能等6个专业）,首选物理，再选不限
score_66_97439_32_2022_2073_本科批,66_97439,66,97439,江苏,2022,数学类,本科 (1),理学 (9),数学类 (51),普通类,本科批,物理类,650,651,0,730,（数学与应用数学、信息与计算科学）,首选物理，再选不限
score_66_97440_32_2022_2073_本科批,66_97440,66,97440,江苏,2022,物理学类,本科 (1),理学 (9),物理学类 (52),普通类,本科批,物理类,650,653,0,730,（含物理学、应用物理学、量子信息科学等5个专业）,首选物理，再选不限
score_66_97442_32_2022_2073_本科批,66_97442,66,97442,江苏,2022,计算机类,本科 (1),工学 (10),计算机类 (71),普通类,本科批,物理类,650,650,0,730,（计算机科学与技术、数据科学与大数据技术）,首选物理，再选不限
score_66_97446_32_2022_2073_本科批,66_97446,66,97446,江苏,2022,化学类,本科 (1),理学 (9),化学类 (53),普通类,本科批,物理类,650,650,0,730,（化学）,首选物理，再选化学
score_66_1800349_32_2022_2073_本科批,66_1800349,66,1800349,江苏,2022,空间科学与技术,本科 (1),理学 (9),地球物理学类 (58),普通类,本科批,物理类,650,650,0,730,,首选物理，再选不限
score_66_97441_32_2022_2073_本科批,66_97441,66,97441,江苏,2022,电子信息类,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,649,651,0,800,（含通信工程、电子科学与技术、人工智能等6个专业）,首选物理，再选不限
score_66_97449_32_2022_2073_本科批,66_97449,66,97449,江苏,2022,材料类,本科 (1),工学 (10),材料类 (66),普通类,本科批,物理类,649,666,0,800,（材料物理、材料化学、高分子材料与工程）,首选物理，再选化学
score_66_97454_32_2022_2073_本科批,66_97454,66,97454,江苏,2022,生物科学类,本科 (1),理学 (9),生物科学类 (60),普通类,本科批,物理类,649,649,0,800,（含生物科学、生物技术等3个专业）,首选物理，再选化学
score_66_97446_32_2022_2073_本科批,66_97446,66,97446,江苏,2022,化学类,本科 (1),理学 (9),化学类 (53),普通类,本科批,物理类,650,650,0,730,（化学）,首选物理，再选化学
score_66_97449_32_2022_2073_本科批,66_97449,66,97449,江苏,2022,材料类,本科 (1),工学 (10),材料类 (66),普通类,本科批,物理类,649,666,0,800,（材料物理、材料化学、高分子材料与工程）,首选物理，再选化学
score_66_97454_32_2022_2073_本科批,66_97454,66,97454,江苏,2022,生物科学类,本科 (1),理学 (9),生物科学类 (60),普通类,本科批,物理类,649,649,0,800,（含生物科学、生物技术等3个专业）,首选物理，再选化学
score_66_97439_44_2022_2073_本科批,66_97439,66,97439,广东,2022,数学类,本科 (1),理学 (9),数学类 (51),普通类,本科批,物理类,668,672,0,502,（070101.数学与应用数学+070102.信息与计算科学）,首选物理，再选不限
score_66_97441_44_2022_2073_本科批,66_97441,66,97441,广东,2022,电子信息类,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,667,675,0,561,（080717.人工智能+080904.信息安全+080701.电子信息工程+080703.通信工程+080801.自动化+080702.电子科学与技术）（含信息、集成电路、网络空间科技英才班）,首选物理，再选不限
score_66_97442_44_2022_2073_本科批,66_97442,66,97442,广东,2022,计算机类,本科 (1),工学 (10),计算机类 (71),普通类,本科批,物理类,667,669,0,561,（080901.计算机科学与技术+080910.数据科学与大数据技术）,首选物理，再选不限
score_66_97440_44_2022_2073_本科批,66_97440,66,97440,广东,2022,物理学类,本科 (1),理学 (9),物理学类 (52),普通类,本科批,物理类,665,671,0,682,（070201.物理学+070202.应用物理学+070401.天文学+080705.光电信息科学与工程+070206.量子信息科学）,首选物理，再选不限
score_66_1800349_44_2022_2073_本科批,66_1800349,66,1800349,广东,2022,空间科学与技术,本科 (1),理学 (9),地球物理学类 (58),普通类,本科批,物理类,665,665,0,682,,首选物理，再选不限
score_66_97439_44_2022_2073_本科批,66_97439,66,97439,广东,2022,数学类,本科 (1),理学 (9),数学类 (51),普通类,本科批,物理类,668,672,0,502,（070101.数学与应用数学+070102.信息与计算科学）,首选物理，再选不限
score_66_97441_44_2022_2073_本科批,66_97441,66,97441,广东,2022,电子信息类,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,667,675,0,561,（080717.人工智能+080904.信息安全+080701.电子信息工程+080703.通信工程+080801.自动化+080702.电子科学与技术）（含信息、集成电路、网络空间科技英才班）,首选物理，再选不限
score_66_97442_44_2022_2073_本科批,66_97442,66,97442,广东,2022,计算机类,本科 (1),工学 (10),计算机类 (71),普通类,本科批,物理类,667,669,0,561,（080901.计算机科学与技术+080910.数据科学与大数据技术）,首选物理，再选不限
score_66_97440_44_2022_2073_本科批,66_97440,66,97440,广东,2022,物理学类,本科 (1),理学 (9),物理学类 (52),普通类,本科批,物理类,665,671,0,682,（070201.物理学+070202.应用物理学+070401.天文学+080705.光电信息科学与工程+070206.量子信息科学）,首选物理，再选不限
score_66_1800349_44_2022_2073_本科批,66_1800349,66,1800349,广东,2022,空间科学与技术,本科 (1),理学 (9),地球物理学类 (58),普通类,本科批,物理类,665,665,0,682,,首选物理，再选不限
score_66_97446_44_2022_2073_本科批,66_97446,66,97446,广东,2022,化学类,本科 (1),理学 (9),化学类 (53),普通类,本科批,物理类,663,665,0,794,（070301.化学）,首选物理，再选化学
score_66_97449_44_2022_2073_本科批,66_97449,66,97449,广东,2022,材料类,本科 (1),工学 (10),材料类 (66),普通类,本科批,物理类,663,664,0,794,（080402.材料物理+080403.材料化学+080407.高分子材料与工程）,首选物理，再选化学
score_66_97454_44_2022_2073_本科批,66_97454,66,97454,广东,2022,生物科学类,本科 (1),理学 (9),生物科学类 (60),普通类,本科批,物理类,663,664,0,794,（071001.生物科学+071002.生物技术+100201.临床医学）,首选物理，再选化学
score_66_97446_44_2022_2073_本科批,66_97446,66,97446,广东,2022,化学类,本科 (1),理学 (9),化学类 (53),普通类,本科批,物理类,663,665,0,794,（070301.化学）,首选物理，再选化学
score_66_97449_44_2022_2073_本科批,66_97449,66,97449,广东,2022,材料类,本科 (1),工学 (10),材料类 (66),普通类,本科批,物理类,663,664,0,794,（080402.材料物理+080403.材料化学+080407.高分子材料与工程）,首选物理，再选化学
score_66_97454_44_2022_2073_本科批,66_97454,66,97454,广东,2022,生物科学类,本科 (1),理学 (9),生物科学类 (60),普通类,本科批,物理类,663,664,0,794,（071001.生物科学+071002.生物技术+100201.临床医学）,首选物理，再选化学
score_66_97440_45_2022_1_本科一批,66_97440,66,97440,广西,2022,物理学类,本科 (1),理学 (9),物理学类 (52),普通类,本科一批,理科,665,672,0,207,,
score_66_97449_45_2022_1_本科一批,66_97449,66,97449,广西,2022,材料类,本科 (1),工学 (10),材料类 (66),普通类,本科一批,理科,665,665,0,207,,
score_66_1800349_45_2022_1_本科一批,66_1800349,66,1800349,广西,2022,空间科学与技术,本科 (1),理学 (9),地球物理学类 (58),普通类,本科一批,理科,664,664,0,218,,
score_66_97439_45_2022_1_本科一批,66_97439,66,97439,广西,2022,数学类,本科 (1),理学 (9),数学类 (51),普通类,本科一批,理科,663,669,0,235,,
score_66_97454_45_2022_1_本科一批,66_97454,66,97454,广西,2022,生物科学类,本科 (1),理学 (9),生物科学类 (60),普通类,本科一批,理科,663,663,0,235,,
score_66_97441_45_2022_1_本科一批,66_97441,66,97441,广西,2022,电子信息类,本科 (1),工学 (10),电子信息类 (69),普通类,本科一批,理科,662,665,0,245,,
score_66_97446_45_2022_1_本科一批,66_97446,66,97446,广西,2022,化学类,本科 (1),理学 (9),化学类 (53),普通类,本科一批,理科,662,662,0,245,,
score_66_97442_45_2022_1_本科一批,66_97442,66,97442,广西,2022,计算机类,本科 (1),工学 (10),计算机类 (71),普通类,本科一批,理科,661,666,0,260,,
score_66_1800349_51_2022_1_本科一批,66_1800349,66,1800349,四川,2022,空间科学与技术,本科 (1),理学 (9),地球物理学类 (58),普通类,本科一批,理科,673,678,674,660,,
score_66_97440_52_2022_1_本科一批,66_97440,66,97440,贵州,2022,物理学类,本科 (1),理学 (9),物理学类 (52),普通类,本科一批,理科,646,652,0,209,,
score_66_97441_52_2022_1_本科一批,66_97441,66,97441,贵州,2022,电子信息类,本科 (1),工学 (10),电子信息类 (69),普通类,本科一批,理科,645,645,0,218,,
score_66_97446_52_2022_1_本科一批,66_97446,66,97446,贵州,2022,化学类,本科 (1),理学 (9),化学类 (53),普通类,本科一批,理科,642,642,0,261,,
score_66_97439_52_2022_1_本科一批,66_97439,66,97439,贵州,2022,数学类,本科 (1),理学 (9),数学类 (51),普通类,本科一批,理科,641,641,0,285,,
score_66_97442_52_2022_1_本科一批,66_97442,66,97442,贵州,2022,计算机类,本科 (1),工学 (10),计算机类 (71),普通类,本科一批,理科,641,644,0,280,,
score_66_97449_52_2022_1_本科一批,66_97449,66,97449,贵州,2022,材料类,本科 (1),工学 (10),材料类 (66),普通类,本科一批,理科,641,641,0,287,,
score_66_1800349_61_2022_1_本科一批,66_1800349,66,1800349,陕西,2022,空间科学与技术,本科 (1),理学 (9),地球物理学类 (58),普通类,本科一批,理科,664,664,664,355,,
score_66_97440_62_2022_1_本科一批I段,66_97440,66,97440,甘肃,2022,物理学类,本科 (1),理学 (9),物理学类 (52),普通类,本科一批I段,理科,630,639,633,164,,
score_66_97442_62_2022_1_本科一批I段,66_97442,66,97442,甘肃,2022,计算机类,本科 (1),工学 (10),计算机类 (71),普通类,本科一批I段,理科,629,635,632,171,,
score_66_97441_62_2022_1_本科一批I段,66_97441,66,97441,甘肃,2022,电子信息类,本科 (1),工学 (10),电子信息类 (69),普通类,本科一批I段,理科,628,629,628,182,,
score_66_97449_62_2022_1_本科一批I段,66_97449,66,97449,甘肃,2022,材料类,本科 (1),工学 (10),材料类 (66),普通类,本科一批I段,理科,625,634,629,219,,
score_66_97439_62_2022_1_本科一批I段,66_97439,66,97439,甘肃,2022,数学类,本科 (1),理学 (9),数学类 (51),普通类,本科一批I段,理科,625,626,626,219,,
score_66_1800349_62_2022_1_本科一批I段,66_1800349,66,1800349,甘肃,2022,空间科学与技术,本科 (1),理学 (9),地球物理学类 (58),普通类,本科一批I段,理科,625,625,625,219,,
score_66_97439_63_2022_1_本科一段,66_97439,66,97439,青海,2022,数学类,本科 (1),理学 (9),数学类 (51),普通类,本科一段,理科,608,0,608,45,,
score_66_97440_63_2022_1_本科一段,66_97440,66,97440,青海,2022,物理学类,本科 (1),理学 (9),物理学类 (52),普通类,本科一段,理科,606,0,606,52,,
score_66_97441_63_2022_1_本科一段,66_97441,66,97441,青海,2022,电子信息类,本科 (1),工学 (10),电子信息类 (69),普通类,本科一段,理科,603,0,605,65,,
score_66_97440_65_2022_1_本科一批,66_97440,66,97440,新疆,2022,物理学类,本科 (1),理学 (9),物理学类 (52),普通类,本科一批,理科,636,636,0,-,（包含专业：物理学、应用物理学、天文学、光电信息科学与工程、量子信息科学）,
score_66_97439_65_2022_1_本科一批,66_97439,66,97439,新疆,2022,数学类,本科 (1),理学 (9),数学类 (51),普通类,本科一批,理科,628,628,0,-,（包含专业：数学与应用数学、信息与计算科学）,
score_66_97446_65_2022_1_本科一批,66_97446,66,97446,新疆,2022,化学类,本科 (1),理学 (9),化学类 (53),普通类,本科一批,理科,628,628,0,-,（包含专业：化学）,
score_66_97449_65_2022_1_本科一批,66_97449,66,97449,新疆,2022,材料类,本科 (1),工学 (10),材料类 (66),普通类,本科一批,理科,628,628,0,-,（包含专业:材料物理、材料化学、高分子材料与工程）,
score_66_97442_65_2022_1_本科一批,66_97442,66,97442,新疆,2022,计算机类,本科 (1),工学 (10),计算机类 (71),普通类,本科一批,理科,627,627,0,-,（包含专业：计算机科学与技术、数据科学与大数据技术）,
score_66_97441_65_2022_1_本科一批,66_97441,66,97441,新疆,2022,电子信息类,本科 (1),工学 (10),电子信息类 (69),普通类,本科一批,理科,622,623,0,-,（包含专业:通信工程、电子科学与技术、人工智能、自动化、电子信息工程、信息安全）,
score_66_97454_13_2023_2073_本科提前批B段,66_97454,66,97454,河北,2023,生物科学类,本科 (1),理学 (9),生物科学类 (60),普通类,本科提前批B段,物理类,658,0,0,1181,（国家专项计划；含生物科学、生物技术、临床医学专业）,
score_66_97446_13_2023_2073_本科提前批B段,66_97446,66,97446,河北,2023,化学类,本科 (1),理学 (9),化学类 (53),普通类,本科提前批B段,物理类,651,0,0,1862,（国家专项计划；含化学专业）,
score_66_97449_13_2023_2073_本科提前批B段,66_97449,66,97449,河北,2023,材料类,本科 (1),工学 (10),材料类 (66),普通类,本科提前批B段,物理类,649,0,0,2110,（国家专项计划；含材料物理、材料化学、高分子材料与工程专业）,
score_66_97439_14_2023_1_本科一批A段,66_97439,66,97439,山西,2023,数学类,本科 (1),理学 (9),数学类 (51),普通类,本科一批A段,理科,659,0,0,293,（包含专业：数学与应用数学、信息与计算科学）,
score_66_97440_14_2023_1_本科一批A段,66_97440,66,97440,山西,2023,物理学类,本科 (1),理学 (9),物理学类 (52),普通类,本科一批A段,理科,655,0,0,393,（包含专业：物理学、应用物理学、天文学、光电信息科学与工程、量子信息科学）,
score_66_97442_14_2023_1_本科一批A段,66_97442,66,97442,山西,2023,计算机类,本科 (1),工学 (10),计算机类 (71),普通类,本科一批A段,理科,655,0,0,393,（包含专业：计算机科学与技术）,
score_66_2012444_14_2023_1_本科一批A段,66_2012444,66,2012444,山西,2023,行星科学,本科 (1),理学 (9),地球物理学类 (58),普通类,本科一批A段,理科,655,0,0,393,,
score_66_97441_14_2023_1_本科一批A段,66_97441,66,97441,山西,2023,电子信息类,本科 (1),工学 (10),电子信息类 (69),普通类,本科一批A段,理科,654,0,0,414,（包含专业：人工智能、信息安全、电子信息工程、通信工程、自动化、电子科学与技术）,
score_66_713882_15_2023_1_本科提前批B段,66_713882,66,713882,内蒙古,2023,核工程类,本科 (1),工学 (10),核工程类 (84),普通类,本科提前批B段,理科,629,629,0,636,（国家专项计划）（包含专业：应用物理学、核工程与核技术、工程物理）,
score_66_2012444_15_2023_1_本科提前批B段,66_2012444,66,2012444,内蒙古,2023,行星科学,本科 (1),理学 (9),地球物理学类 (58),普通类,本科提前批B段,理科,615,615,0,1042,（国家专项计划）,
score_66_97446_22_2023_1_本科一批A段,66_97446,66,97446,吉林,2023,化学类,本科 (1),理学 (9),化学类 (53),普通类,本科一批A段,理科,655,655,0,256,（化学）,
score_66_97442_22_2023_1_本科一批A段,66_97442,66,97442,吉林,2023,计算机类,本科 (1),工学 (10),计算机类 (71),普通类,本科一批A段,理科,653,655,0,277,（计算机科学与技术）,
score_66_97441_22_2023_1_本科一批A段,66_97441,66,97441,吉林,2023,电子信息类,本科 (1),工学 (10),电子信息类 (69),普通类,本科一批A段,理科,652,654,0,295,（人工智能、信息安全、电子信息工程、通信工程、自动化、电子科学与技术）,
score_66_97440_22_2023_1_本科一批A段,66_97440,66,97440,吉林,2023,物理学类,本科 (1),理学 (9),物理学类 (52),普通类,本科一批A段,理科,651,653,0,311,（物理学、应用物理学、天文学、光电信息科学与工程、量子信息科学）,
score_66_97439_22_2023_1_本科一批A段,66_97439,66,97439,吉林,2023,数学类,本科 (1),理学 (9),数学类 (51),普通类,本科一批A段,理科,650,651,0,341,（数学与应用数学、信息与计算科学）,
score_66_97454_22_2023_1_本科一批A段,66_97454,66,97454,吉林,2023,生物科学类,本科 (1),理学 (9),生物科学类 (60),普通类,本科一批A段,理科,650,652,0,341,（生物科学、生物技术、临床医学）,
score_66_97454_23_2023_1_本科一批A段,66_97454,66,97454,黑龙江,2023,生物科学类,本科 (1),理学 (9),生物科学类 (60),普通类,本科一批A段,理科,663,663,0,159,（生物科学、生物技术、临床医学）,
score_66_97442_23_2023_1_本科一批A段,66_97442,66,97442,黑龙江,2023,计算机类,本科 (1),工学 (10),计算机类 (71),普通类,本科一批A段,理科,661,662,0,195,（计算机科学与技术）,
