score_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,min,max,average,min_section,info,sg_info
score_117_5595_11_2022_3_本科批,117_5595,117,5595,北京,2022,生物制药,本科(普通) (1),工学 (10),生物工程类 (92),普通类,本科批,综合,596,596,596,9260,,物/化/生(3选1)
score_117_5604_11_2022_3_本科批,117_5604,117,5604,北京,2022,生物技术,本科(普通) (1),理学 (9),生物科学类 (60),普通类,本科批,综合,596,596,596,9260,,物/化/生(3选1)
score_117_5595_11_2022_3_本科批,117_5595,117,5595,北京,2022,生物制药,本科(普通) (1),工学 (10),生物工程类 (92),普通类,本科批,综合,596,596,596,9260,,物/化/生(3选1)
score_117_5604_11_2022_3_本科批,117_5604,117,5604,北京,2022,生物技术,本科(普通) (1),理学 (9),生物科学类 (60),普通类,本科批,综合,596,596,596,9260,,物/化/生(3选1)
score_117_5602_12_2022_3_本科批A段,117_5602,117,5602,天津,2022,临床药学,本科(普通) (1),医学 (12),药学类 (107),普通类,本科批A段,综合,645,0,0,5690,,物理/化学(2选1)
score_117_5603_12_2022_3_本科批A段,117_5603,117,5603,天津,2022,海洋药学,本科(普通) (1),医学 (12),药学类 (107),普通类,本科批A段,综合,640,0,0,6555,,物理/化学(2选1)
score_117_5602_12_2022_3_本科批A段,117_5602,117,5602,天津,2022,临床药学,本科(普通) (1),医学 (12),药学类 (107),普通类,本科批A段,综合,645,0,0,5690,,物理/化学(2选1)
score_117_5595_12_2022_3_本科批A段,117_5595,117,5595,天津,2022,生物制药,本科(普通) (1),工学 (10),生物工程类 (92),普通类,本科批A段,综合,640,0,0,6555,,物/化/生(3选1)
score_117_5603_12_2022_3_本科批A段,117_5603,117,5603,天津,2022,海洋药学,本科(普通) (1),医学 (12),药学类 (107),普通类,本科批A段,综合,640,0,0,6555,,物理/化学(2选1)
score_117_5604_12_2022_3_本科批A段,117_5604,117,5604,天津,2022,生物技术,本科(普通) (1),理学 (9),生物科学类 (60),普通类,本科批A段,综合,638,0,0,6890,,物/化/生(3选1)
score_117_5595_12_2022_3_本科批A段,117_5595,117,5595,天津,2022,生物制药,本科(普通) (1),工学 (10),生物工程类 (92),普通类,本科批A段,综合,640,0,0,6555,,物/化/生(3选1)
score_117_5604_12_2022_3_本科批A段,117_5604,117,5604,天津,2022,生物技术,本科(普通) (1),理学 (9),生物科学类 (60),普通类,本科批A段,综合,638,0,0,6890,,物/化/生(3选1)
score_117_5602_13_2022_2073_本科批,117_5602,117,5602,河北,2022,临床药学,本科(普通) (1),医学 (12),药学类 (107),普通类,本科批,物理类,602,0,0,9065,,
score_117_5595_13_2022_2073_本科批,117_5595,117,5595,河北,2022,生物制药,本科(普通) (1),工学 (10),生物工程类 (92),普通类,本科批,物理类,592,0,0,13125,,
score_117_5604_13_2022_2073_本科批,117_5604,117,5604,河北,2022,生物技术,本科(普通) (1),理学 (9),生物科学类 (60),普通类,本科批,物理类,585,0,0,16469,,
score_117_5595_14_2022_1_本科一批A段,117_5595,117,5595,山西,2022,生物制药,本科(普通) (1),工学 (10),生物工程类 (92),普通类,本科一批A段,理科,558,0,561,10500,,
score_117_5603_14_2022_1_本科一批A段,117_5603,117,5603,山西,2022,海洋药学,本科(普通) (1),医学 (12),药学类 (107),普通类,本科一批A段,理科,552,0,555,12262,,
score_117_5604_14_2022_1_本科一批A段,117_5604,117,5604,山西,2022,生物技术,本科(普通) (1),理学 (9),生物科学类 (60),普通类,本科一批A段,理科,538,0,538,17134,,
score_117_5602_15_2022_1_本科一批,117_5602,117,5602,内蒙古,2022,临床药学,本科(普通) (1),医学 (12),药学类 (107),普通类,本科一批,理科,565,573,0,3826,,
score_117_5595_15_2022_1_本科一批,117_5595,117,5595,内蒙古,2022,生物制药,本科(普通) (1),工学 (10),生物工程类 (92),普通类,本科一批,理科,557,570,0,4653,,
score_117_5603_15_2022_1_本科一批,117_5603,117,5603,内蒙古,2022,海洋药学,本科(普通) (1),医学 (12),药学类 (107),普通类,本科一批,理科,554,555,0,4958,,
score_117_5604_15_2022_1_本科一批,117_5604,117,5604,内蒙古,2022,生物技术,本科(普通) (1),理学 (9),生物科学类 (60),普通类,本科一批,理科,544,555,0,6116,,
score_117_5602_21_2022_2073_本科批,117_5602,117,5602,辽宁,2022,临床药学,本科(普通) (1),医学 (12),药学类 (107),普通类,本科批,物理类,613,0,0,6436,,
score_117_5595_21_2022_2073_本科批,117_5595,117,5595,辽宁,2022,生物制药,本科(普通) (1),工学 (10),生物工程类 (92),普通类,本科批,物理类,612,0,0,6652,,
score_117_5604_21_2022_2073_本科批,117_5604,117,5604,辽宁,2022,生物技术,本科(普通) (1),理学 (9),生物科学类 (60),普通类,本科批,物理类,609,0,0,7304,,
score_117_5603_21_2022_2073_本科批,117_5603,117,5603,辽宁,2022,海洋药学,本科(普通) (1),医学 (12),药学类 (107),普通类,本科批,物理类,602,0,0,8969,,
score_117_5618_22_2022_1_本科一批A段,117_5618,117,5618,吉林,2022,药学,本科(普通) (1),医学 (12),药学类 (107),普通类,本科一批A段,理科,582,583,583,3303,（基础药学理科基地）（不招色盲色弱）,
score_117_5618_22_2022_1_本科一批A段,117_5618,117,5618,吉林,2022,药学,本科(普通) (1),医学 (12),药学类 (107),普通类,本科一批A段,理科,575,576,576,3993,（国家生命科学与技术人才培养基地）（不招色盲色弱）,
score_117_5602_22_2022_1_本科一批A段,117_5602,117,5602,吉林,2022,临床药学,本科(普通) (1),医学 (12),药学类 (107),普通类,本科一批A段,理科,556,557,557,6303,（学制5年）（不招色盲色弱）,
score_117_5595_22_2022_1_本科一批A段,117_5595,117,5595,吉林,2022,生物制药,本科(普通) (1),工学 (10),生物工程类 (92),普通类,本科一批A段,理科,554,555,555,6591,（不招色盲色弱）,
score_117_5603_22_2022_1_本科一批A段,117_5603,117,5603,吉林,2022,海洋药学,本科(普通) (1),医学 (12),药学类 (107),普通类,本科一批A段,理科,547,551,548,7640,（不招色盲色弱）,
score_117_5604_22_2022_1_本科一批A段,117_5604,117,5604,吉林,2022,生物技术,本科(普通) (1),理学 (9),生物科学类 (60),普通类,本科一批A段,理科,546,550,548,7797,（不招色盲色弱）,
