score_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,min,max,average,min_section,info,sg_info
score_45_1071_11_2022_3_本科批,45_1071,45,1071,北京,2022,教育学,本科(普通) (1),教育学 (6),教育学类 (45),普通类,本科批,综合,0,0,0,-,,不限
score_45_1073_11_2022_3_本科批,45_1073,45,1073,北京,2022,汉语言文学,本科(普通) (1),文学 (7),中国语言文学类 (47),普通类,本科批,综合,0,0,0,-,,不限
score_45_1075_11_2022_3_本科批,45_1075,45,1075,北京,2022,汉语国际教育,本科(普通) (1),文学 (7),中国语言文学类 (47),普通类,本科批,综合,0,0,0,-,,不限
score_45_1088_11_2022_3_本科批,45_1088,45,1088,北京,2022,文物与博物馆学,本科(普通) (1),历史学 (8),历史学类 (50),普通类,本科批,综合,627,639,0,5172,,历史必选
score_45_1094_11_2022_3_本科批,45_1094,45,1094,北京,2022,环境科学,本科(普通) (1),工学 (10),环境科学与工程类 (87),中外合作办学,本科批,综合,602,609,0,8398,（中外合作办学）,物/化/生(3选1)
score_45_1071_11_2022_3_本科批,45_1071,45,1071,北京,2022,教育学,本科(普通) (1),教育学 (6),教育学类 (45),普通类,本科批,综合,0,0,0,-,,不限
score_45_1073_11_2022_3_本科批,45_1073,45,1073,北京,2022,汉语言文学,本科(普通) (1),文学 (7),中国语言文学类 (47),普通类,本科批,综合,0,0,0,-,,不限
score_45_1075_11_2022_3_本科批,45_1075,45,1075,北京,2022,汉语国际教育,本科(普通) (1),文学 (7),中国语言文学类 (47),普通类,本科批,综合,0,0,0,-,,不限
score_45_1086_11_2022_3_本科批,45_1086,45,1086,北京,2022,民族学,本科(普通) (1),法学 (5),民族学类 (42),普通类,本科批,综合,0,0,0,-,,历史必选
score_45_1110_11_2022_3_本科批,45_1110,45,1110,北京,2022,光电信息科学与工程,本科(普通) (1),工学 (10),电子信息类 (69),普通类,本科批,综合,0,0,0,-,,物理必选
score_45_852954_11_2022_3_本科批,45_852954,45,852954,北京,2022,纳米材料与技术,本科(普通) (1),工学 (10),材料类 (66),普通类,本科批,综合,0,0,0,-,,物理必选
score_45_1110_11_2022_3_本科批,45_1110,45,1110,北京,2022,光电信息科学与工程,本科(普通) (1),工学 (10),电子信息类 (69),普通类,本科批,综合,0,0,0,-,,物理必选
score_45_852954_11_2022_3_本科批,45_852954,45,852954,北京,2022,纳米材料与技术,本科(普通) (1),工学 (10),材料类 (66),普通类,本科批,综合,0,0,0,-,,物理必选
score_45_1088_11_2022_3_本科批,45_1088,45,1088,北京,2022,文物与博物馆学,本科(普通) (1),历史学 (8),历史学类 (50),普通类,本科批,综合,627,639,0,5172,,历史必选
score_45_1086_11_2022_3_本科批,45_1086,45,1086,北京,2022,民族学,本科(普通) (1),法学 (5),民族学类 (42),普通类,本科批,综合,0,0,0,-,,历史必选
score_45_1094_11_2022_3_本科批,45_1094,45,1094,北京,2022,环境科学,本科(普通) (1),工学 (10),环境科学与工程类 (87),中外合作办学,本科批,综合,602,609,0,8398,（中外合作办学）,物/化/生(3选1)
score_45_1073_12_2022_3_本科批A段,45_1073,45,1073,天津,2022,汉语言文学,本科(普通) (1),文学 (7),中国语言文学类 (47),普通类,本科批A段,综合,663,0,0,3086,,不限
score_45_1075_12_2022_3_本科批A段,45_1075,45,1075,天津,2022,汉语国际教育,本科(普通) (1),文学 (7),中国语言文学类 (47),普通类,本科批A段,综合,660,0,0,3459,,不限
score_45_1071_12_2022_3_本科批A段,45_1071,45,1071,天津,2022,教育学,本科(普通) (1),教育学 (6),教育学类 (45),普通类,本科批A段,综合,653,0,0,4459,,不限
score_45_1073_12_2022_3_本科批A段,45_1073,45,1073,天津,2022,汉语言文学,本科(普通) (1),文学 (7),中国语言文学类 (47),普通类,本科批A段,综合,663,0,0,3086,,不限
score_45_1075_12_2022_3_本科批A段,45_1075,45,1075,天津,2022,汉语国际教育,本科(普通) (1),文学 (7),中国语言文学类 (47),普通类,本科批A段,综合,660,0,0,3459,,不限
score_45_1088_12_2022_3_本科批A段,45_1088,45,1088,天津,2022,文物与博物馆学,本科(普通) (1),历史学 (8),历史学类 (50),普通类,本科批A段,综合,654,0,0,4302,,历史必选
score_45_1071_12_2022_3_本科批A段,45_1071,45,1071,天津,2022,教育学,本科(普通) (1),教育学 (6),教育学类 (45),普通类,本科批A段,综合,653,0,0,4459,,不限
