score_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,min,max,average,min_section,info,sg_info
score_104_1845724_43_2022_2073_本科批,104_1845724,104,1845724,湖南,2022,经济学类,本科 (1),经济学 (4),经济学类 (35),普通类,本科批,物理类,625,0,626,2902,,首选物理，再选不限
score_104_1845724_43_2022_2073_本科批,104_1845724,104,1845724,湖南,2022,经济学类,本科 (1),经济学 (4),经济学类 (35),普通类,本科批,物理类,625,0,626,2902,,首选物理，再选不限
score_104_1845724_43_2022_2074_本科批,104_1845724,104,1845724,湖南,2022,经济学类,本科 (1),经济学 (4),经济学类 (35),普通类,本科批,历史类,612,0,613,474,,首选历史，再选不限
score_104_1845724_43_2022_2074_本科批,104_1845724,104,1845724,湖南,2022,经济学类,本科 (1),经济学 (4),经济学类 (35),普通类,本科批,历史类,612,0,613,474,,首选历史，再选不限
score_104_96621_44_2022_2073_本科批,104_96621,104,96621,广东,2022,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科批,物理类,636,0,640,5005,,首选物理，再选化学
score_104_1360670_44_2022_2073_本科批,104_1360670,104,1360670,广东,2022,微电子科学与工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,635,0,636,5280,,首选物理，再选不限
score_104_1845737_44_2022_2073_本科批,104_1845737,104,1845737,广东,2022,微电子科学与工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,634,0,637,5564,,首选物理，再选不限
score_104_96638_44_2022_2073_本科批,104_96638,104,96638,广东,2022,药学,本科 (1),医学 (12),药学类 (107),普通类,本科批,物理类,615,0,618,12968,,首选物理，再选化学
score_104_96652_44_2022_2073_本科批,104_96652,104,96652,广东,2022,预防医学,本科 (1),医学 (12),公共卫生与预防医学类 (104),普通类,本科批,物理类,614,0,618,13481,,首选物理，再选化学
score_104_1845737_44_2022_2073_本科批,104_1845737,104,1845737,广东,2022,微电子科学与工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,634,0,637,5564,,首选物理，再选不限
score_104_96638_44_2022_2073_本科批,104_96638,104,96638,广东,2022,药学,本科 (1),医学 (12),药学类 (107),普通类,本科批,物理类,615,0,618,12968,,首选物理，再选化学
score_104_96652_44_2022_2073_本科批,104_96652,104,96652,广东,2022,预防医学,本科 (1),医学 (12),公共卫生与预防医学类 (104),普通类,本科批,物理类,614,0,618,13481,,首选物理，再选化学
