score_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,min,max,average,min_section,info,sg_info
score_35_428_11_2022_3_本科批,35_428,35,428,北京,2022,政治学与行政学,本科 (1),法学 (5),政治学类 (40),普通类,本科批,综合,587,587,587,10456,,历史/思想政治(2选1)
score_35_102959_11_2022_3_本科批,35_102959,35,102959,北京,2022,生物科学,本科 (1),理学 (9),生物科学类 (60),普通类,本科批,综合,579,579,579,11703,,物/化/生(3选1)
score_35_102959_11_2022_3_本科批,35_102959,35,102959,北京,2022,生物科学,本科 (1),理学 (9),生物科学类 (60),普通类,本科批,综合,579,579,579,11703,,物/化/生(3选1)
score_35_428_11_2022_3_本科批,35_428,35,428,北京,2022,政治学与行政学,本科 (1),法学 (5),政治学类 (40),普通类,本科批,综合,587,587,587,10456,,历史/思想政治(2选1)
score_35_387_12_2022_3_本科批A段,35_387,35,387,天津,2022,材料科学与工程,本科 (1),工学 (10),材料类 (66),普通类,本科批A段,综合,615,616,616,10835,,物理、化学(2科必选)
score_35_403_12_2022_3_本科批A段,35_403,35,403,天津,2022,汉语言文学,本科 (1),文学 (7),中国语言文学类 (47),普通类,本科批A段,综合,637,640,639,6891,,历史必选
score_35_430_12_2022_3_本科批A段,35_430,35,430,天津,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批A段,综合,635,637,636,7233,,历史必选
score_35_432_12_2022_3_本科批A段,35_432,35,432,天津,2022,新闻学,本科 (1),文学 (7),新闻传播学类 (49),普通类,本科批A段,综合,628,631,630,8500,,史/政/地(3选1)
score_35_459_12_2022_3_本科批A段,35_459,35,459,天津,2022,地理科学,本科 (1),理学 (9),地理科学类 (55),普通类,本科批A段,综合,627,628,628,8647,,物/化/地(3选1)
score_35_102962_12_2022_3_本科批A段,35_102962,35,102962,天津,2022,生物技术,本科 (1),理学 (9),生物科学类 (60),普通类,本科批A段,综合,625,625,625,9011,,物/化/生(3选1)
score_35_1036355_12_2022_3_本科批A段,35_1036355,35,1036355,天津,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批A段,综合,623,625,624,9390,,史/生/地(3选1)
score_35_379_12_2022_3_本科批A段,35_379,35,379,天津,2022,统计学,本科 (1),理学 (9),统计学类 (62),普通类,本科批A段,综合,622,623,623,9589,,物理必选
score_35_1130935_12_2022_3_本科批A段,35_1130935,35,1130935,天津,2022,僧伽罗语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批A段,综合,616,617,617,10639,,史/生/地(3选1)
score_35_387_12_2022_3_本科批A段,35_387,35,387,天津,2022,材料科学与工程,本科 (1),工学 (10),材料类 (66),普通类,本科批A段,综合,615,616,616,10835,,物理、化学(2科必选)
score_35_459_12_2022_3_本科批A段,35_459,35,459,天津,2022,地理科学,本科 (1),理学 (9),地理科学类 (55),普通类,本科批A段,综合,627,628,628,8647,,物/化/地(3选1)
score_35_403_12_2022_3_本科批A段,35_403,35,403,天津,2022,汉语言文学,本科 (1),文学 (7),中国语言文学类 (47),普通类,本科批A段,综合,637,640,639,6891,,历史必选
score_35_430_12_2022_3_本科批A段,35_430,35,430,天津,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批A段,综合,635,637,636,7233,,历史必选
score_35_379_12_2022_3_本科批A段,35_379,35,379,天津,2022,统计学,本科 (1),理学 (9),统计学类 (62),普通类,本科批A段,综合,622,623,623,9589,,物理必选
score_35_102962_12_2022_3_本科批A段,35_102962,35,102962,天津,2022,生物技术,本科 (1),理学 (9),生物科学类 (60),普通类,本科批A段,综合,625,625,625,9011,,物/化/生(3选1)
score_35_1036355_12_2022_3_本科批A段,35_1036355,35,1036355,天津,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批A段,综合,623,625,624,9390,,史/生/地(3选1)
score_35_1130935_12_2022_3_本科批A段,35_1130935,35,1130935,天津,2022,僧伽罗语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批A段,综合,616,617,617,10639,,史/生/地(3选1)
score_35_432_12_2022_3_本科批A段,35_432,35,432,天津,2022,新闻学,本科 (1),文学 (7),新闻传播学类 (49),普通类,本科批A段,综合,628,631,630,8500,,史/政/地(3选1)
score_35_1500072_13_2022_2073_本科批,35_1500072,35,1500072,河北,2022,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科批,物理类,593,593,593,12237,,
score_35_430_13_2022_2073_本科批,35_430,35,430,河北,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,物理类,590,595,592,13584,,
score_35_379_13_2022_2073_本科批,35_379,35,379,河北,2022,统计学,本科 (1),理学 (9),统计学类 (62),普通类,本科批,物理类,585,593,588,15961,,
score_35_411_13_2022_2073_本科批,35_411,35,411,河北,2022,物理学,本科 (1),理学 (9),物理学类 (52),普通类,本科批,物理类,585,597,588,15961,,
score_35_378_13_2022_2073_本科批,35_378,35,378,河北,2022,数学与应用数学,本科 (1),理学 (9),数学类 (51),普通类,本科批,物理类,585,591,587,15961,,
score_35_408_13_2022_2073_本科批,35_408,35,408,河北,2022,大气科学,本科 (1),理学 (9),大气科学类 (56),普通类,本科批,物理类,583,583,583,17033,,
score_35_1130937_13_2022_2073_本科批,35_1130937,35,1130937,河北,2022,信息资源管理,本科 (1),管理学 (13),图书情报与档案管理类 (116),普通类,本科批,物理类,582,582,582,17537,,
score_35_405_13_2022_2073_本科批,35_405,35,405,河北,2022,生态学,本科 (1),理学 (9),生物科学类 (60),普通类,本科批,物理类,579,586,583,19206,,
score_35_102962_13_2022_2073_本科批,35_102962,35,102962,河北,2022,生物技术,本科 (1),理学 (9),生物科学类 (60),普通类,本科批,物理类,579,585,581,19206,,
score_35_1801573_13_2022_2073_本科批,35_1801573,35,1801573,河北,2022,新能源科学与工程,本科 (1),工学 (10),能源动力类 (67),普通类,本科批,物理类,579,581,580,19206,,
score_35_386_13_2022_2073_本科批,35_386,35,386,河北,2022,档案学,本科 (1),管理学 (13),图书情报与档案管理类 (116),普通类,本科批,物理类,579,579,579,19206,,
score_35_428_13_2022_2073_本科批,35_428,35,428,河北,2022,政治学与行政学,本科 (1),法学 (5),政治学类 (40),普通类,本科批,物理类,579,579,579,19206,,
score_35_459_13_2022_2073_本科批,35_459,35,459,河北,2022,地理科学,本科 (1),理学 (9),地理科学类 (55),普通类,本科批,物理类,577,580,578,20381,,
score_35_462_13_2022_2073_本科批,35_462,35,462,河北,2022,建筑学,本科 (1),工学 (10),建筑类 (90),普通类,本科批,物理类,576,576,576,20937,,
score_35_452_13_2022_2073_本科批,35_452,35,452,河北,2022,城乡规划,本科 (1),工学 (10),建筑类 (90),普通类,本科批,物理类,573,573,573,22730,,
score_35_387_13_2022_2073_本科批,35_387,35,387,河北,2022,材料科学与工程,本科 (1),工学 (10),材料类 (66),普通类,本科批,物理类,572,578,574,23357,,
score_35_430_13_2022_2074_本科批,35_430,35,430,河北,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,历史类,599,601,600,2131,,
score_35_102911_13_2022_2074_本科批,35_102911,35,102911,河北,2022,历史学,本科 (1),历史学 (8),历史学类 (50),普通类,本科批,历史类,597,604,601,2325,,
score_35_403_13_2022_2074_本科批,35_403,35,403,河北,2022,汉语言文学,本科 (1),文学 (7),中国语言文学类 (47),普通类,本科批,历史类,595,596,596,2580,,
score_35_432_13_2022_2074_本科批,35_432,35,432,河北,2022,新闻学,本科 (1),文学 (7),新闻传播学类 (49),普通类,本科批,历史类,595,596,596,2580,,
score_35_459_13_2022_2074_本科批,35_459,35,459,河北,2022,地理科学,本科 (1),理学 (9),地理科学类 (55),普通类,本科批,历史类,595,595,595,2580,,
score_35_428_13_2022_2074_本科批,35_428,35,428,河北,2022,政治学与行政学,本科 (1),法学 (5),政治学类 (40),普通类,本科批,历史类,593,594,594,2812,,
score_35_433_13_2022_2074_本科批,35_433,35,433,河北,2022,广播电视学,本科 (1),文学 (7),新闻传播学类 (49),普通类,本科批,历史类,592,593,592,2911,,
score_35_1036355_13_2022_2074_本科批,35_1036355,35,1036355,河北,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,历史类,592,592,592,2911,,
score_35_386_13_2022_2074_本科批,35_386,35,386,河北,2022,档案学,本科 (1),管理学 (13),图书情报与档案管理类 (116),普通类,本科批,历史类,588,592,590,3427,,
score_35_417_13_2022_2074_本科批,35_417,35,417,河北,2022,社会工作,本科 (1),法学 (5),社会学类 (41),普通类,本科批,历史类,588,588,588,3427,,
