score_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,min,max,average,min_section,info,sg_info
score_97_4074_12_2022_3_本科批A段,97_4074,97,4074,天津,2022,法学,本科(普通) (1),法学 (5),法学类 (39),普通类,本科批A段,综合,652,0,0,4625,,不限
score_97_98605_12_2022_3_本科批A段,97_98605,97,98605,天津,2022,汉语言文学,本科(普通) (1),文学 (7),中国语言文学类 (47),普通类,本科批A段,综合,652,0,0,4625,,不限
score_97_4079_12_2022_3_本科批A段,97_4079,97,4079,天津,2022,英语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科批A段,综合,650,0,0,4913,,不限
score_97_4074_12_2022_3_本科批A段,97_4074,97,4074,天津,2022,法学,本科(普通) (1),法学 (5),法学类 (39),普通类,本科批A段,综合,652,0,0,4625,,不限
score_97_98605_12_2022_3_本科批A段,97_98605,97,98605,天津,2022,汉语言文学,本科(普通) (1),文学 (7),中国语言文学类 (47),普通类,本科批A段,综合,652,0,0,4625,,不限
score_97_4079_12_2022_3_本科批A段,97_4079,97,4079,天津,2022,英语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科批A段,综合,650,0,0,4913,,不限
score_97_89840_12_2022_3_本科批A段,97_89840,97,89840,天津,2022,应用物理学,本科(普通) (1),理学 (9),物理学类 (52),普通类,本科批A段,综合,648,0,0,5245,,物理必选
score_97_4017_12_2022_3_本科批A段,97_4017,97,4017,天津,2022,土木工程,本科(普通) (1),工学 (10),土木类 (72),普通类,本科批A段,综合,647,0,0,5404,,物理必选
score_97_4028_12_2022_3_本科批A段,97_4028,97,4028,天津,2022,理论与应用力学,本科(普通) (1),工学 (10),力学类 (63),普通类,本科批A段,综合,647,0,0,5404,,物理必选
score_97_98617_12_2022_3_本科批A段,97_98617,97,98617,天津,2022,数字媒体技术,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批A段,综合,647,0,0,5404,,物理必选
score_97_4052_12_2022_3_本科批A段,97_4052,97,4052,天津,2022,应用化学,本科(普通) (1),理学 (9),化学类 (53),普通类,本科批A段,综合,644,0,0,5858,,化学必选
score_97_89840_12_2022_3_本科批A段,97_89840,97,89840,天津,2022,应用物理学,本科(普通) (1),理学 (9),物理学类 (52),普通类,本科批A段,综合,648,0,0,5245,,物理必选
score_97_4017_12_2022_3_本科批A段,97_4017,97,4017,天津,2022,土木工程,本科(普通) (1),工学 (10),土木类 (72),普通类,本科批A段,综合,647,0,0,5404,,物理必选
score_97_4028_12_2022_3_本科批A段,97_4028,97,4028,天津,2022,理论与应用力学,本科(普通) (1),工学 (10),力学类 (63),普通类,本科批A段,综合,647,0,0,5404,,物理必选
score_97_98617_12_2022_3_本科批A段,97_98617,97,98617,天津,2022,数字媒体技术,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批A段,综合,647,0,0,5404,,物理必选
score_97_4052_12_2022_3_本科批A段,97_4052,97,4052,天津,2022,应用化学,本科(普通) (1),理学 (9),化学类 (53),普通类,本科批A段,综合,644,0,0,5858,,化学必选
score_97_4074_13_2022_2074_本科批,97_4074,97,4074,河北,2022,法学,本科(普通) (1),法学 (5),法学类 (39),普通类,本科批,历史类,610,0,0,1299,,
score_97_98605_13_2022_2074_本科批,97_98605,97,98605,河北,2022,汉语言文学,本科(普通) (1),文学 (7),中国语言文学类 (47),普通类,本科批,历史类,610,0,0,1299,,
score_97_4079_13_2022_2074_本科批,97_4079,97,4079,河北,2022,英语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科批,历史类,604,0,0,1755,,
score_97_4009_13_2022_2073_本科批,97_4009,97,4009,河北,2022,口腔医学,本科(普通) (1),医学 (12),口腔医学类 (103),普通类,本科批,物理类,604,0,0,8390,,
score_97_98605_14_2022_2_本科一批A段,97_98605,97,98605,山西,2022,汉语言文学,本科(普通) (1),文学 (7),中国语言文学类 (47),普通类,本科一批A段,文科,570,0,570,958,,
score_97_4074_14_2022_2_本科一批A段,97_4074,97,4074,山西,2022,法学,本科(普通) (1),法学 (5),法学类 (39),普通类,本科一批A段,文科,569,0,569,1006,,
score_97_4063_14_2022_2_本科一批A段,97_4063,97,4063,山西,2022,哲学,本科(普通) (1),哲学 (3),哲学类 (34),普通类,本科一批A段,文科,568,0,568,1058,,
score_97_4066_14_2022_2_本科一批A段,97_4066,97,4066,山西,2022,社会学,本科(普通) (1),法学 (5),社会学类 (41),普通类,本科一批A段,文科,567,0,567,1122,,
score_97_4080_14_2022_2_本科一批A段,97_4080,97,4080,山西,2022,俄语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科一批A段,文科,565,0,566,1227,,
score_97_350035_14_2022_2_本科一批A段,97_350035,97,350035,山西,2022,戏剧影视文学,本科(普通) (1),艺术学 (14),戏剧与影视学类 (123),普通类,本科一批A段,文科,565,0,566,1227,,
score_97_4076_14_2022_2_本科一批A段,97_4076,97,4076,山西,2022,日语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科一批A段,文科,565,0,565,1227,,
score_97_4081_14_2022_2_本科一批A段,97_4081,97,4081,山西,2022,广告学,本科(普通) (1),文学 (7),新闻传播学类 (49),普通类,本科一批A段,文科,565,0,565,1227,,
