score_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,min,max,average,min_section,info,sg_info
score_32_202_11_2022_3_本科批,32_202,32,202,北京,2022,英语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,560,560,560,14943,,不限
score_32_169262_11_2022_3_本科批,32_169262,32,169262,北京,2022,网络与新媒体,本科(普通) (1),文学 (7),新闻传播学类 (49),普通类,本科批,综合,560,560,560,14943,,不限
score_32_199_11_2022_3_本科批,32_199,32,199,北京,2022,旅游管理,本科(普通) (1),管理学 (13),旅游管理类 (120),普通类,本科批,综合,552,552,552,16267,,不限
score_32_173_11_2022_3_本科批,32_173,32,173,北京,2022,法学,本科(普通) (1),法学 (5),法学类 (39),普通类,本科批,综合,566,566,566,13923,,历史/思想政治(2选1)
score_32_181_11_2022_3_本科批,32_181,32,181,北京,2022,历史学,本科(普通) (1),历史学 (8),历史学类 (50),普通类,本科批,综合,565,565,565,14087,,历史、地理(2科必选)
score_32_221_11_2022_3_本科批,32_221,32,221,北京,2022,软件工程,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批,综合,562,562,562,14584,,物理必选
score_32_172547_11_2022_3_本科批,32_172547,32,172547,北京,2022,数据科学与大数据技术,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批,综合,561,561,561,14760,,物理必选
score_32_202_11_2022_3_本科批,32_202,32,202,北京,2022,英语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,560,560,560,14943,,不限
score_32_206_11_2022_3_本科批,32_206,32,206,北京,2022,生物技术,本科(普通) (1),理学 (9),生物科学类 (60),普通类,本科批,综合,560,560,560,14943,,化学、生物(2科必选)
score_32_169262_11_2022_3_本科批,32_169262,32,169262,北京,2022,网络与新媒体,本科(普通) (1),文学 (7),新闻传播学类 (49),普通类,本科批,综合,560,560,560,14943,,不限
score_32_1801756_11_2022_3_本科批,32_1801756,32,1801756,北京,2022,纪检监察,本科(普通) (1),法学 (5),法学类 (39),普通类,本科批,综合,560,560,560,14943,,历史/思想政治(2选1)
score_32_199_11_2022_3_本科批,32_199,32,199,北京,2022,旅游管理,本科(普通) (1),管理学 (13),旅游管理类 (120),普通类,本科批,综合,552,552,552,16267,,不限
score_32_1129900_11_2022_3_本科批,32_1129900,32,1129900,北京,2022,政治学、经济学与哲学,本科(普通) (1),法学 (5),政治学类 (40),普通类,本科批,综合,552,552,552,16267,,思想政治必选
score_32_172_11_2022_3_本科批,32_172,32,172,北京,2022,金融学,本科(普通) (1),经济学 (4),金融学类 (37),普通类,本科批,综合,550,550,550,16590,,物理必选
score_32_169263_11_2022_3_本科批,32_169263,32,169263,北京,2022,物流管理,本科(普通) (1),管理学 (13),物流管理与工程类 (117),普通类,本科批,综合,550,550,550,16590,,物理必选
score_32_193_11_2022_3_本科批,32_193,32,193,北京,2022,化学工程与工艺,本科(普通) (1),工学 (10),化工与制药类 (75),普通类,本科批,综合,549,549,549,16780,,化学必选
score_32_221_11_2022_3_本科批,32_221,32,221,北京,2022,软件工程,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批,综合,562,562,562,14584,,物理必选
score_32_172547_11_2022_3_本科批,32_172547,32,172547,北京,2022,数据科学与大数据技术,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批,综合,561,561,561,14760,,物理必选
