score_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,min,max,average,min_section,info,sg_info
score_49_1386_11_2022_3_本科批,49_1386,49,1386,北京,2022,药事管理,本科(普通) (1),医学 (12),药学类 (107),普通类,本科批,综合,596,611,602,9260,,不限
score_49_1373_11_2022_3_本科批,49_1373,49,1373,北京,2022,法学,本科(普通) (1),法学 (5),法学类 (39),普通类,本科批,综合,584,596,590,11096,,不限
score_49_100424_11_2022_3_本科批,49_100424,49,100424,北京,2022,药学,本科(普通) (1),医学 (12),药学类 (107),普通类,本科批,综合,605,606,606,7981,,物/化/生(3选1)
score_49_1370_11_2022_3_本科批,49_1370,49,1370,北京,2022,中药制药,本科(普通) (1),医学 (12),中药学类 (108),普通类,本科批,综合,604,605,604,8125,,物/化/生(3选1)
score_49_1369_11_2022_3_本科批,49_1369,49,1369,北京,2022,中药学,本科(普通) (1),医学 (12),中药学类 (108),普通类,本科批,综合,603,610,606,8264,,物/化/生(3选1)
score_49_1386_11_2022_3_本科批,49_1386,49,1386,北京,2022,药事管理,本科(普通) (1),医学 (12),药学类 (107),普通类,本科批,综合,596,611,602,9260,,不限
score_49_1373_11_2022_3_本科批,49_1373,49,1373,北京,2022,法学,本科(普通) (1),法学 (5),法学类 (39),普通类,本科批,综合,584,596,590,11096,,不限
score_49_1378_11_2022_3_本科批,49_1378,49,1378,北京,2022,护理学,本科(普通) (1),医学 (12),护理学类 (111),普通类,本科批,综合,516,572,527,22777,,物/化/生(3选1)
score_49_100424_11_2022_3_本科批,49_100424,49,100424,北京,2022,药学,本科(普通) (1),医学 (12),药学类 (107),普通类,本科批,综合,605,606,606,7981,,物/化/生(3选1)
score_49_1370_11_2022_3_本科批,49_1370,49,1370,北京,2022,中药制药,本科(普通) (1),医学 (12),中药学类 (108),普通类,本科批,综合,604,605,604,8125,,物/化/生(3选1)
score_49_1369_11_2022_3_本科批,49_1369,49,1369,北京,2022,中药学,本科(普通) (1),医学 (12),中药学类 (108),普通类,本科批,综合,603,610,606,8264,,物/化/生(3选1)
score_49_1378_11_2022_3_本科批,49_1378,49,1378,北京,2022,护理学,本科(普通) (1),医学 (12),护理学类 (111),普通类,本科批,综合,516,572,527,22777,,物/化/生(3选1)
score_49_1381_12_2022_3_本科批A段,49_1381,49,1381,天津,2022,中医学,本科(普通) (1),医学 (12),中医学类 (105),普通类,本科批A段,综合,687,0,0,833,,物/化/生(3选1)
score_49_1381_12_2022_3_本科批A段,49_1381,49,1381,天津,2022,中医学,本科(普通) (1),医学 (12),中医学类 (105),普通类,本科批A段,综合,667,0,0,2606,,物/化/生(3选1)
score_49_1381_12_2022_3_本科批A段,49_1381,49,1381,天津,2022,中医学,本科(普通) (1),医学 (12),中医学类 (105),普通类,本科批A段,综合,659,0,0,3611,,物/化/生(3选1)
score_49_1381_12_2022_3_本科批A段,49_1381,49,1381,天津,2022,中医学,本科(普通) (1),医学 (12),中医学类 (105),普通类,本科批A段,综合,652,0,0,4625,,物/化/生(3选1)
score_49_1381_12_2022_3_本科批A段,49_1381,49,1381,天津,2022,中医学,本科(普通) (1),医学 (12),中医学类 (105),普通类,本科批A段,综合,650,0,0,4913,,物/化/生(3选1)
score_49_100424_12_2022_3_本科批A段,49_100424,49,100424,天津,2022,药学,本科(普通) (1),医学 (12),药学类 (107),普通类,本科批A段,综合,648,0,0,5245,,物/化/生(3选1)
score_49_1499932_12_2022_3_本科批A段,49_1499932,49,1499932,天津,2022,中医骨伤科学,本科(普通) (1),医学 (12),中医学类 (105),普通类,本科批A段,综合,645,0,0,5690,,物/化/生(3选1)
