score_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,min,max,average,min_section,info,sg_info
score_38_642_11_2022_3_本科批,38_642,38,642,北京,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,综合,630,633,632,4857,,不限
score_38_670_11_2022_3_本科批,38_670,38,670,北京,2022,软件工程,本科 (1),工学 (10),计算机类 (71),普通类,本科批,综合,635,643,638,4288,,物理必选
score_38_642_11_2022_3_本科批,38_642,38,642,北京,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,综合,630,633,632,4857,,不限
score_38_670_11_2022_3_本科批,38_670,38,670,北京,2022,软件工程,本科 (1),工学 (10),计算机类 (71),普通类,本科批,综合,635,643,638,4288,,物理必选
score_38_670_12_2022_3_本科批A段,38_670,38,670,天津,2022,软件工程,本科 (1),工学 (10),计算机类 (71),普通类,本科批A段,综合,658,0,0,3735,,物理必选
score_38_642_12_2022_3_本科批A段,38_642,38,642,天津,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批A段,综合,653,0,0,4459,,不限
score_38_216543_12_2022_3_本科批A段,38_216543,38,216543,天津,2022,机械电子工程,本科 (1),工学 (10),机械类 (64),中外合作办学,本科批A段,综合,647,0,0,5404,,物理必选
score_38_216544_12_2022_3_本科批A段,38_216544,38,216544,天津,2022,纳米材料与技术,本科 (1),工学 (10),材料类 (66),中外合作办学,本科批A段,综合,645,0,0,5690,,物理必选
score_38_670_12_2022_3_本科批A段,38_670,38,670,天津,2022,软件工程,本科 (1),工学 (10),计算机类 (71),普通类,本科批A段,综合,658,0,0,3735,,物理必选
score_38_642_12_2022_3_本科批A段,38_642,38,642,天津,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批A段,综合,653,0,0,4459,,不限
score_38_216543_12_2022_3_本科批A段,38_216543,38,216543,天津,2022,机械电子工程,本科 (1),工学 (10),机械类 (64),中外合作办学,本科批A段,综合,647,0,0,5404,,物理必选
score_38_216544_12_2022_3_本科批A段,38_216544,38,216544,天津,2022,纳米材料与技术,本科 (1),工学 (10),材料类 (66),中外合作办学,本科批A段,综合,645,0,0,5690,,物理必选
score_38_642_13_2022_2074_本科批,38_642,38,642,河北,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,历史类,614,0,0,1029,,
score_38_670_13_2022_2073_本科批,38_670,38,670,河北,2022,软件工程,本科 (1),工学 (10),计算机类 (71),普通类,本科批,物理类,621,0,0,4073,,
score_38_642_13_2022_2073_本科批,38_642,38,642,河北,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,物理类,609,0,0,6887,,
score_38_216543_13_2022_2073_本科批,38_216543,38,216543,河北,2022,机械电子工程,本科 (1),工学 (10),机械类 (64),中外合作办学,本科批,物理类,589,0,0,14462,,
