score_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,min,max,average,min_section,info,sg_info
score_39_704_11_2022_3_本科批,39_704,39,704,北京,2022,法学,本科(普通) (1),法学 (5),法学类 (39),普通类,本科批,综合,643,644,644,3428,,不限
score_39_710_11_2022_3_本科批,39_710,39,710,北京,2022,英语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,642,659,650,3533,,不限
score_39_719_11_2022_3_本科批,39_719,39,719,北京,2022,法语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,640,657,644,3765,,不限
score_39_703_11_2022_3_本科批,39_703,39,703,北京,2022,金融学,本科(普通) (1),经济学 (4),金融学类 (37),普通类,本科批,综合,640,641,641,3765,,不限
score_39_1359802_11_2022_3_本科批,39_1359802,39,1359802,北京,2022,传播学,本科(普通) (1),文学 (7),新闻传播学类 (49),普通类,本科批,综合,640,641,641,3765,,不限
score_39_717_11_2022_3_本科批,39_717,39,717,北京,2022,德语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,637,640,638,4078,,不限
score_39_705_11_2022_3_本科批,39_705,39,705,北京,2022,外交学,本科(普通) (1),法学 (5),政治学类 (40),普通类,本科批,综合,635,652,640,4288,,不限
score_39_702_11_2022_3_本科批,39_702,39,702,北京,2022,国际经济与贸易,本科(普通) (1),经济学 (4),经济与贸易类 (38),普通类,本科批,综合,635,642,638,4288,,不限
score_39_716_11_2022_3_本科批,39_716,39,716,北京,2022,日语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,635,639,637,4288,,不限
score_39_704_11_2022_3_本科批,39_704,39,704,北京,2022,法学,本科(普通) (1),法学 (5),法学类 (39),普通类,本科批,综合,643,644,644,3428,,不限
score_39_710_11_2022_3_本科批,39_710,39,710,北京,2022,英语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,642,659,650,3533,,不限
score_39_720_11_2022_3_本科批,39_720,39,720,北京,2022,西班牙语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,641,644,642,3643,,历史必选
score_39_719_11_2022_3_本科批,39_719,39,719,北京,2022,法语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,640,657,644,3765,,不限
