school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,min,max,average,min_section,info,sg_info
31,95916,北京,2022,心理学类,本科 (1),理学 (9),心理学类 (61),普通类,本科批,综合,0,0,0,-,,物理必选
31,111,北京,2022,城乡规划,本科 (1),工学 (10),建筑类 (90),普通类,本科批,综合,0,0,0,-,,不限
31,117,北京,2022,化学类,本科 (1),理学 (9),化学类 (53),普通类,本科批,综合,0,0,0,-,,物理/化学(2选1)
31,95916,北京,2022,心理学类,本科 (1),理学 (9),心理学类 (61),普通类,本科批,综合,0,0,0,-,,物理必选
31,1797442,北京,2022,应用心理学,本科 (1),理学 (9),心理学类 (61),普通类,本科批,综合,0,0,0,-,,不限
31,117,北京,2022,化学类,本科 (1),理学 (9),化学类 (53),普通类,本科批,综合,0,0,0,-,,物理/化学(2选1)
31,111,北京,2022,城乡规划,本科 (1),工学 (10),建筑类 (90),普通类,本科批,综合,0,0,0,-,,不限
31,1797442,北京,2022,应用心理学,本科 (1),理学 (9),心理学类 (61),普通类,本科批,综合,0,0,0,-,,不限
31,95867,天津,2022,文科试验班类,本科 (1),,,普通类,本科批A段,综合,716,0,0,15,,不限
31,76,天津,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批A段,综合,710,0,0,60,,不限
31,144,天津,2022,哲学类,本科 (1),哲学 (3),哲学类 (34),普通类,本科批A段,综合,710,0,0,60,,不限
31,95865,天津,2022,工商管理类,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批A段,综合,710,0,0,60,,不限
31,77,天津,2022,国际政治,本科 (1),法学 (5),政治学类 (40),普通类,本科批A段,综合,709,0,0,67,,不限
31,95863,天津,2022,经济学类,本科 (1),经济学 (4),经济学类 (35),普通类,本科批A段,综合,708,0,0,79,,不限
31,95866,天津,2022,公共管理类,本科 (1),管理学 (13),公共管理类 (115),普通类,本科批A段,综合,708,0,0,79,,不限
31,116,天津,2022,信息管理与信息系统,本科 (1),管理学 (13),管理科学与工程类 (112),普通类,本科批A段,综合,707,0,0,86,,不限
31,141,天津,2022,中国语言文学类,本科 (1),文学 (7),中国语言文学类 (47),普通类,本科批A段,综合,706,0,0,100,,不限
31,117,天津,2022,化学类,本科 (1),理学 (9),化学类 (53),普通类,本科批A段,综合,716,0,0,15,,物理/化学(2选1)
31,95867,天津,2022,文科试验班类,本科 (1),,,普通类,本科批A段,综合,716,0,0,15,,不限
31,95916,天津,2022,心理学类,本科 (1),理学 (9),心理学类 (61),普通类,本科批A段,综合,713,0,0,29,,物理必选
31,95919,天津,2022,理科试验班类,本科 (1),,,普通类,本科批A段,综合,713,0,0,29,,物理必选
31,95914,天津,2022,计算机类,本科 (1),工学 (10),计算机类 (71),普通类,本科批A段,综合,711,0,0,43,,物理必选
31,76,天津,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批A段,综合,710,0,0,60,,不限
31,144,天津,2022,哲学类,本科 (1),哲学 (3),哲学类 (34),普通类,本科批A段,综合,710,0,0,60,,不限
31,165,天津,2022,数学类,本科 (1),理学 (9),数学类 (51),普通类,本科批A段,综合,710,0,0,60,,物理必选
31,95865,天津,2022,工商管理类,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批A段,综合,710,0,0,60,,不限
31,77,天津,2022,国际政治,本科 (1),法学 (5),政治学类 (40),普通类,本科批A段,综合,709,0,0,67,,不限
31,167,天津,2022,电子信息类,本科 (1),工学 (10),电子信息类 (69),普通类,本科批A段,综合,709,0,0,67,,物理必选
31,95863,天津,2022,经济学类,本科 (1),经济学 (4),经济学类 (35),普通类,本科批A段,综合,708,0,0,79,,不限
31,95866,天津,2022,公共管理类,本科 (1),管理学 (13),公共管理类 (115),普通类,本科批A段,综合,708,0,0,79,,不限
31,95917,天津,2022,地球物理学类,本科 (1),理学 (9),地球物理学类 (58),普通类,本科批A段,综合,708,0,0,79,,物理必选
31,116,天津,2022,信息管理与信息系统,本科 (1),管理学 (13),管理科学与工程类 (112),普通类,本科批A段,综合,707,0,0,86,,不限
31,95913,天津,2022,物理学类,本科 (1),理学 (9),物理学类 (52),普通类,本科批A段,综合,707,0,0,86,,物理必选
31,95915,天津,2022,生物科学类,本科 (1),理学 (9),生物科学类 (60),普通类,本科批A段,综合,707,0,0,86,,物理/化学(2选1)
31,104,天津,2022,环境科学,本科 (1),工学 (10),环境科学与工程类 (87),普通类,本科批A段,综合,706,0,0,100,,物理/化学(2选1)
31,118,天津,2022,环境科学与工程类,本科 (1),工学 (10),环境科学与工程类 (87),普通类,本科批A段,综合,706,0,0,100,,物理/化学(2选1)
31,141,天津,2022,中国语言文学类,本科 (1),文学 (7),中国语言文学类 (47),普通类,本科批A段,综合,706,0,0,100,,不限
31,117,天津,2022,化学类,本科 (1),理学 (9),化学类 (53),普通类,本科批A段,综合,716,0,0,15,,物理/化学(2选1)
31,95915,天津,2022,生物科学类,本科 (1),理学 (9),生物科学类 (60),普通类,本科批A段,综合,707,0,0,86,,物理/化学(2选1)
31,104,天津,2022,环境科学,本科 (1),工学 (10),环境科学与工程类 (87),普通类,本科批A段,综合,706,0,0,100,,物理/化学(2选1)
31,118,天津,2022,环境科学与工程类,本科 (1),工学 (10),环境科学与工程类 (87),普通类,本科批A段,综合,706,0,0,100,,物理/化学(2选1)
31,95916,天津,2022,心理学类,本科 (1),理学 (9),心理学类 (61),普通类,本科批A段,综合,713,0,0,29,,物理必选
31,95919,天津,2022,理科试验班类,本科 (1),,,普通类,本科批A段,综合,713,0,0,29,,物理必选
31,95914,天津,2022,计算机类,本科 (1),工学 (10),计算机类 (71),普通类,本科批A段,综合,711,0,0,43,,物理必选
31,165,天津,2022,数学类,本科 (1),理学 (9),数学类 (51),普通类,本科批A段,综合,710,0,0,60,,物理必选
31,167,天津,2022,电子信息类,本科 (1),工学 (10),电子信息类 (69),普通类,本科批A段,综合,709,0,0,67,,物理必选
31,95917,天津,2022,地球物理学类,本科 (1),理学 (9),地球物理学类 (58),普通类,本科批A段,综合,708,0,0,79,,物理必选
31,95913,天津,2022,物理学类,本科 (1),理学 (9),物理学类 (52),普通类,本科批A段,综合,707,0,0,86,,物理必选
31,1998527,河北,2022,文科试验班类,本科 (1),,,普通类,本科批,历史类,656,0,0,32,,
31,1998545,河北,2022,理科试验班类,本科 (1),,,普通类,本科批,物理类,676,0,0,60,,
31,2088150,山西,2022,文科试验班类,本科 (1),,,普通类,本科一批A段,文科,635,0,640,9,,
31,2088158,山西,2022,工商管理类,本科 (1),管理学 (13),工商管理类 (113),普通类,本科一批A段,文科,626,0,626,9,,
31,76,山西,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科一批A段,文科,624,0,628,13,,
31,2088152,山西,2022,经济学类,本科 (1),经济学 (4),经济学类 (35),普通类,本科一批A段,文科,624,0,624,13,,
31,2088155,山西,2022,中国语言文学类,本科 (1),文学 (7),中国语言文学类 (47),普通类,本科一批A段,文科,624,0,624,13,,
31,2088153,山西,2022,国际政治,本科 (1),法学 (5),政治学类 (40),普通类,本科一批A段,文科,623,0,623,17,,
31,2088159,山西,2022,公共管理类,本科 (1),管理学 (13),公共管理类 (115),普通类,本科一批A段,文科,623,0,623,17,,
31,2088151,山西,2022,哲学类,本科 (1),哲学 (3),哲学类 (34),普通类,本科一批A段,文科,622,0,622,19,,
31,2088154,山西,2022,社会学类,本科 (1),法学 (5),社会学类 (41),普通类,本科一批A段,文科,622,0,622,19,,
31,116,山西,2022,信息管理与信息系统,本科 (1),管理学 (13),管理科学与工程类 (112),普通类,本科一批A段,文科,621,0,621,24,,
31,95870,山西,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科一批A段,文科,621,0,621,24,,
31,2088156,山西,2022,新闻传播学类,本科 (1),文学 (7),新闻传播学类 (49),普通类,本科一批A段,文科,621,0,621,24,,
31,2088157,山西,2022,历史学类,本科 (1),历史学 (8),历史学类 (50),普通类,本科一批A段,文科,620,0,620,26,,
31,111,山西,2022,城乡规划,本科 (1),工学 (10),建筑类 (90),普通类,本科一批A段,文科,618,0,618,30,,
31,2088768,山西,2022,理科试验班类,本科 (1),,,普通类,本科一批A段,理科,683,0,686,10,,
31,2088158,山西,2022,工商管理类,本科 (1),管理学 (13),工商管理类 (113),普通类,本科一批A段,理科,673,0,673,37,,
31,2088770,山西,2022,物理学类,本科 (1),理学 (9),物理学类 (52),普通类,本科一批A段,理科,669,0,671,56,,
31,2088152,山西,2022,经济学类,本科 (1),经济学 (4),经济学类 (35),普通类,本科一批A段,理科,669,0,669,56,,
31,2088769,山西,2022,数学类,本科 (1),理学 (9),数学类 (51),普通类,本科一批A段,理科,669,0,669,56,,
31,2088774,山西,2022,计算机类,本科 (1),工学 (10),计算机类 (71),普通类,本科一批A段,理科,667,0,673,70,,
31,2088772,山西,2022,生物科学类,本科 (1),理学 (9),生物科学类 (60),普通类,本科一批A段,理科,667,0,667,70,,
31,116,山西,2022,信息管理与信息系统,本科 (1),管理学 (13),管理科学与工程类 (112),普通类,本科一批A段,理科,666,0,666,76,,
