score_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,min,max,average,min_section,info,sg_info
score_30_2_11_2022_3_本科批,30_2,30,2,北京,2022,国际经济与贸易,本科 (1),经济学 (4),经济与贸易类 (38),普通类,本科批,综合,0,0,0,-,,不限
score_30_3_11_2022_3_本科批,30_3,30,3,北京,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,综合,0,0,0,-,,不限
score_30_29_11_2022_3_本科批,30_29,30,29,北京,2022,经济统计学,本科 (1),经济学 (4),经济学类 (35),普通类,本科批,综合,0,0,0,-,,不限
score_30_30_11_2022_3_本科批,30_30,30,30,北京,2022,会计学,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,综合,0,0,0,-,,不限
score_30_31_11_2022_3_本科批,30_31,30,31,北京,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,0,0,0,-,,不限
score_30_35_11_2022_3_本科批,30_35,30,35,北京,2022,工商管理,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,综合,0,0,0,-,,不限
score_30_95320_11_2022_3_本科批,30_95320,30,95320,北京,2022,金融学,本科 (1),经济学 (4),金融学类 (37),普通类,本科批,综合,0,0,0,-,,不限
score_30_95320_11_2022_3_本科批,30_95320,30,95320,北京,2022,金融学,本科 (1),经济学 (4),金融学类 (37),中外合作办学,本科批,综合,581,609,0,11540,（中外合作办学）,不限
score_30_2_11_2022_3_本科批,30_2,30,2,北京,2022,国际经济与贸易,本科 (1),经济学 (4),经济与贸易类 (38),普通类,本科批,综合,0,0,0,-,,不限
score_30_3_11_2022_3_本科批,30_3,30,3,北京,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,综合,0,0,0,-,,不限
score_30_6_11_2022_3_本科批,30_6,30,6,北京,2022,应用物理学,本科 (1),理学 (9),物理学类 (52),普通类,本科批,综合,0,0,0,-,,物理必选
score_30_7_11_2022_3_本科批,30_7,30,7,北京,2022,应用化学,本科 (1),理学 (9),化学类 (53),普通类,本科批,综合,0,0,0,-,,物理/化学(2选1)
score_30_10_11_2022_3_本科批,30_10,30,10,北京,2022,自动化,本科 (1),工学 (10),自动化类 (70),普通类,本科批,综合,0,0,0,-,,物理必选
score_30_11_11_2022_3_本科批,30_11,30,11,北京,2022,土木工程,本科 (1),工学 (10),土木类 (72),普通类,本科批,综合,0,0,0,-,（茅以升班）,物理必选
score_30_15_11_2022_3_本科批,30_15,30,15,北京,2022,工业设计,本科 (1),工学 (10),机械类 (64),普通类,本科批,综合,0,0,0,-,,物理必选
score_30_16_11_2022_3_本科批,30_16,30,16,北京,2022,通信工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,综合,0,0,0,-,,物理必选
score_30_18_11_2022_3_本科批,30_18,30,18,北京,2022,测控技术与仪器,本科 (1),工学 (10),仪器类 (65),普通类,本科批,综合,0,0,0,-,,物理必选
score_30_25_11_2022_3_本科批,30_25,30,25,北京,2022,生物医学工程,本科 (1),工学 (10),生物医学工程类 (88),普通类,本科批,综合,0,0,0,-,,物理/化学(2选1)
score_30_29_11_2022_3_本科批,30_29,30,29,北京,2022,经济统计学,本科 (1),经济学 (4),经济学类 (35),普通类,本科批,综合,0,0,0,-,,不限
score_30_30_11_2022_3_本科批,30_30,30,30,北京,2022,会计学,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,综合,0,0,0,-,,不限
score_30_31_11_2022_3_本科批,30_31,30,31,北京,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,0,0,0,-,,不限
score_30_35_11_2022_3_本科批,30_35,30,35,北京,2022,工商管理,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,综合,0,0,0,-,,不限
