score_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,min,max,average,min_section,info,sg_info
score_43_1002_11_2022_3_本科批,43_1002,43,1002,北京,2022,金融学,本科(普通) (1),经济学 (4),金融学类 (37),普通类,本科批,综合,619,622,621,6115,,物/化/生(3选1)
score_43_976_11_2022_3_本科批,43_976,43,976,北京,2022,园林,本科(普通) (1),农学 (11),林学类 (98),普通类,本科批,综合,615,630,619,6652,,物/化/生(3选1)
score_43_1009_11_2022_3_本科批,43_1009,43,1009,北京,2022,国际经济与贸易,本科(普通) (1),经济学 (4),经济与贸易类 (38),普通类,本科批,综合,615,618,616,6652,,物/化/生(3选1)
score_43_987_11_2022_3_本科批,43_987,43,987,北京,2022,野生动物与自然保护区管理,本科(普通) (1),农学 (11),自然保护与环境生态类 (95),普通类,本科批,综合,612,628,618,7030,,物/化/生(3选1)
score_43_99808_11_2022_3_本科批,43_99808,43,99808,北京,2022,草业科学,本科(普通) (1),农学 (11),草学类 (100),普通类,本科批,综合,612,615,614,7030,,物/化/生(3选1)
score_43_1800216_11_2022_3_本科批,43_1800216,43,1800216,北京,2022,生态学,本科(普通) (1),理学 (9),生物科学类 (60),普通类,本科批,综合,612,615,613,7030,,物/化/生(3选1)
score_43_1800218_11_2022_3_本科批,43_1800218,43,1800218,北京,2022,草坪科学与工程,本科(普通) (1),农学 (11),草学类 (100),普通类,本科批,综合,611,611,611,7169,,物/化/生(3选1)
score_43_99806_11_2022_3_本科批,43_99806,43,99806,北京,2022,水土保持与荒漠化防治,本科(普通) (1),农学 (11),自然保护与环境生态类 (95),普通类,本科批,综合,610,615,613,7296,,物/化/生(3选1)
score_43_99804_11_2022_3_本科批,43_99804,43,99804,北京,2022,风景园林,本科(普通) (1),工学 (10),建筑类 (90),普通类,本科批,综合,627,652,636,5172,,物/生/地(3选1)
score_43_997_11_2022_3_本科批,43_997,43,997,北京,2022,地理信息科学,本科(普通) (1),理学 (9),地理科学类 (55),普通类,本科批,综合,621,621,621,5887,,物/化/地(3选1)
score_43_1002_11_2022_3_本科批,43_1002,43,1002,北京,2022,金融学,本科(普通) (1),经济学 (4),金融学类 (37),普通类,本科批,综合,619,622,621,6115,,物/化/生(3选1)
score_43_982_11_2022_3_本科批,43_982,43,982,北京,2022,自然地理与资源环境,本科(普通) (1),理学 (9),地理科学类 (55),普通类,本科批,综合,618,620,619,6248,,物/化/地(3选1)
score_43_176460_11_2022_3_本科批,43_176460,43,176460,北京,2022,农林经济管理,本科(普通) (1),管理学 (13),农业经济管理类 (114),普通类,本科批,综合,617,618,618,6380,,不限
score_43_998_11_2022_3_本科批,43_998,43,998,北京,2022,应用心理学,本科(普通) (1),理学 (9),心理学类 (61),普通类,本科批,综合,616,637,626,6509,,不限
score_43_976_11_2022_3_本科批,43_976,43,976,北京,2022,园林,本科(普通) (1),农学 (11),林学类 (98),普通类,本科批,综合,615,630,619,6652,,物/化/生(3选1)
score_43_1009_11_2022_3_本科批,43_1009,43,1009,北京,2022,国际经济与贸易,本科(普通) (1),经济学 (4),经济与贸易类 (38),普通类,本科批,综合,615,618,616,6652,,物/化/生(3选1)
score_43_987_11_2022_3_本科批,43_987,43,987,北京,2022,野生动物与自然保护区管理,本科(普通) (1),农学 (11),自然保护与环境生态类 (95),普通类,本科批,综合,612,628,618,7030,,物/化/生(3选1)
score_43_99808_11_2022_3_本科批,43_99808,43,99808,北京,2022,草业科学,本科(普通) (1),农学 (11),草学类 (100),普通类,本科批,综合,612,615,614,7030,,物/化/生(3选1)
score_43_1800216_11_2022_3_本科批,43_1800216,43,1800216,北京,2022,生态学,本科(普通) (1),理学 (9),生物科学类 (60),普通类,本科批,综合,612,615,613,7030,,物/化/生(3选1)
score_43_999_11_2022_3_本科批,43_999,43,999,北京,2022,法学,本科(普通) (1),法学 (5),法学类 (39),普通类,本科批,综合,611,629,616,7169,,不限
score_43_1800218_11_2022_3_本科批,43_1800218,43,1800218,北京,2022,草坪科学与工程,本科(普通) (1),农学 (11),草学类 (100),普通类,本科批,综合,611,611,611,7169,,物/化/生(3选1)
score_43_99806_11_2022_3_本科批,43_99806,43,99806,北京,2022,水土保持与荒漠化防治,本科(普通) (1),农学 (11),自然保护与环境生态类 (95),普通类,本科批,综合,610,615,613,7296,,物/化/生(3选1)
score_43_99788_11_2022_3_本科批,43_99788,43,99788,北京,2022,英语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,606,614,610,7851,,不限
score_43_983_11_2022_3_本科批,43_983,43,983,北京,2022,商务英语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,606,608,607,7851,,不限
score_43_99794_11_2022_3_本科批,43_99794,43,99794,北京,2022,日语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,605,606,605,7981,,不限
score_43_1001_11_2022_3_本科批,43_1001,43,1001,北京,2022,环境科学,本科(普通) (1),工学 (10),环境科学与工程类 (87),普通类,本科批,综合,604,606,605,8125,,化学必选
score_43_989_11_2022_3_本科批,43_989,43,989,北京,2022,食品科学与工程,本科(普通) (1),工学 (10),食品科学与工程类 (89),普通类,本科批,综合,602,610,608,8398,,化学必选
score_43_994_11_2022_3_本科批,43_994,43,994,北京,2022,数学与应用数学,本科(普通) (1),理学 (9),数学类 (51),普通类,本科批,综合,602,617,606,8398,,物理必选
score_43_1006_11_2022_3_本科批,43_1006,43,1006,北京,2022,环境工程,本科(普通) (1),工学 (10),环境科学与工程类 (87),普通类,本科批,综合,601,610,604,8528,,化学必选
score_43_1020_11_2022_3_本科批,43_1020,43,1020,北京,2022,机械设计制造及其自动化,本科(普通) (1),工学 (10),机械类 (64),普通类,本科批,综合,600,623,609,8671,,物理必选
score_43_1021_11_2022_3_本科批,43_1021,43,1021,北京,2022,自动化,本科(普通) (1),工学 (10),自动化类 (70),普通类,本科批,综合,599,612,603,8799,,物理必选
score_43_1007_11_2022_3_本科批,43_1007,43,1007,北京,2022,给排水科学与工程,本科(普通) (1),工学 (10),土木类 (72),普通类,本科批,综合,599,599,599,8799,,物理必选
score_43_99807_11_2022_3_本科批,43_99807,43,99807,北京,2022,信息管理与信息系统,本科(普通) (1),管理学 (13),管理科学与工程类 (112),普通类,本科批,综合,598,600,599,8957,,物理必选
score_43_1019_11_2022_3_本科批,43_1019,43,1019,北京,2022,车辆工程,本科(普通) (1),工学 (10),机械类 (64),普通类,本科批,综合,595,611,599,9405,,物理必选
score_43_1024_11_2022_3_本科批,43_1024,43,1024,北京,2022,电气工程及其自动化,本科(普通) (1),工学 (10),电气类 (68),普通类,本科批,综合,595,600,598,9405,,物理必选
score_43_981_11_2022_3_本科批,43_981,43,981,北京,2022,土木工程,本科(普通) (1),工学 (10),土木类 (72),普通类,本科批,综合,595,601,597,9405,,物理必选
score_43_995_11_2022_3_本科批,43_995,43,995,北京,2022,电子信息科学与技术,本科(普通) (1),工学 (10),电子信息类 (69),普通类,本科批,综合,595,599,596,9405,,物理必选
score_43_997_11_2022_3_本科批,43_997,43,997,北京,2022,地理信息科学,本科(普通) (1),理学 (9),地理科学类 (55),普通类,本科批,综合,621,621,621,5887,,物/化/地(3选1)
score_43_982_11_2022_3_本科批,43_982,43,982,北京,2022,自然地理与资源环境,本科(普通) (1),理学 (9),地理科学类 (55),普通类,本科批,综合,618,620,619,6248,,物/化/地(3选1)
score_43_99804_11_2022_3_本科批,43_99804,43,99804,北京,2022,风景园林,本科(普通) (1),工学 (10),建筑类 (90),普通类,本科批,综合,627,652,636,5172,,物/生/地(3选1)
score_43_1001_11_2022_3_本科批,43_1001,43,1001,北京,2022,环境科学,本科(普通) (1),工学 (10),环境科学与工程类 (87),普通类,本科批,综合,604,606,605,8125,,化学必选
score_43_989_11_2022_3_本科批,43_989,43,989,北京,2022,食品科学与工程,本科(普通) (1),工学 (10),食品科学与工程类 (89),普通类,本科批,综合,602,610,608,8398,,化学必选
score_43_1006_11_2022_3_本科批,43_1006,43,1006,北京,2022,环境工程,本科(普通) (1),工学 (10),环境科学与工程类 (87),普通类,本科批,综合,601,610,604,8528,,化学必选
score_43_176460_11_2022_3_本科批,43_176460,43,176460,北京,2022,农林经济管理,本科(普通) (1),管理学 (13),农业经济管理类 (114),普通类,本科批,综合,617,618,618,6380,,不限
score_43_998_11_2022_3_本科批,43_998,43,998,北京,2022,应用心理学,本科(普通) (1),理学 (9),心理学类 (61),普通类,本科批,综合,616,637,626,6509,,不限
score_43_999_11_2022_3_本科批,43_999,43,999,北京,2022,法学,本科(普通) (1),法学 (5),法学类 (39),普通类,本科批,综合,611,629,616,7169,,不限
score_43_99788_11_2022_3_本科批,43_99788,43,99788,北京,2022,英语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,606,614,610,7851,,不限
score_43_983_11_2022_3_本科批,43_983,43,983,北京,2022,商务英语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,606,608,607,7851,,不限
score_43_99794_11_2022_3_本科批,43_99794,43,99794,北京,2022,日语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,605,606,605,7981,,不限
score_43_994_11_2022_3_本科批,43_994,43,994,北京,2022,数学与应用数学,本科(普通) (1),理学 (9),数学类 (51),普通类,本科批,综合,602,617,606,8398,,物理必选
score_43_1020_11_2022_3_本科批,43_1020,43,1020,北京,2022,机械设计制造及其自动化,本科(普通) (1),工学 (10),机械类 (64),普通类,本科批,综合,600,623,609,8671,,物理必选
score_43_1021_11_2022_3_本科批,43_1021,43,1021,北京,2022,自动化,本科(普通) (1),工学 (10),自动化类 (70),普通类,本科批,综合,599,612,603,8799,,物理必选
score_43_1007_11_2022_3_本科批,43_1007,43,1007,北京,2022,给排水科学与工程,本科(普通) (1),工学 (10),土木类 (72),普通类,本科批,综合,599,599,599,8799,,物理必选
score_43_99807_11_2022_3_本科批,43_99807,43,99807,北京,2022,信息管理与信息系统,本科(普通) (1),管理学 (13),管理科学与工程类 (112),普通类,本科批,综合,598,600,599,8957,,物理必选
score_43_1019_11_2022_3_本科批,43_1019,43,1019,北京,2022,车辆工程,本科(普通) (1),工学 (10),机械类 (64),普通类,本科批,综合,595,611,599,9405,,物理必选
score_43_1024_11_2022_3_本科批,43_1024,43,1024,北京,2022,电气工程及其自动化,本科(普通) (1),工学 (10),电气类 (68),普通类,本科批,综合,595,600,598,9405,,物理必选
score_43_981_11_2022_3_本科批,43_981,43,981,北京,2022,土木工程,本科(普通) (1),工学 (10),土木类 (72),普通类,本科批,综合,595,601,597,9405,,物理必选
score_43_995_11_2022_3_本科批,43_995,43,995,北京,2022,电子信息科学与技术,本科(普通) (1),工学 (10),电子信息类 (69),普通类,本科批,综合,595,599,596,9405,,物理必选
score_43_99804_12_2022_3_本科批A段,43_99804,43,99804,天津,2022,风景园林,本科(普通) (1),工学 (10),建筑类 (90),普通类,本科批A段,综合,650,0,0,4913,,物/生/地(3选1)
score_43_99804_12_2022_3_本科批A段,43_99804,43,99804,天津,2022,风景园林,本科(普通) (1),工学 (10),建筑类 (90),普通类,本科批A段,综合,650,0,0,4913,,物/生/地(3选1)
score_43_977_12_2022_3_本科批A段,43_977,43,977,天津,2022,城乡规划,本科(普通) (1),工学 (10),建筑类 (90),普通类,本科批A段,综合,649,0,0,5070,,物/史/地(3选1)
score_43_998_12_2022_3_本科批A段,43_998,43,998,天津,2022,应用心理学,本科(普通) (1),理学 (9),心理学类 (61),普通类,本科批A段,综合,646,0,0,5557,,不限
score_43_994_12_2022_3_本科批A段,43_994,43,994,天津,2022,数学与应用数学,本科(普通) (1),理学 (9),数学类 (51),普通类,本科批A段,综合,645,0,0,5690,,物理必选
score_43_999_12_2022_3_本科批A段,43_999,43,999,天津,2022,法学,本科(普通) (1),法学 (5),法学类 (39),普通类,本科批A段,综合,645,0,0,5690,,不限
score_43_995_12_2022_3_本科批A段,43_995,43,995,天津,2022,电子信息科学与技术,本科(普通) (1),工学 (10),电子信息类 (69),普通类,本科批A段,综合,644,0,0,5858,,物理必选
score_43_1008_12_2022_3_本科批A段,43_1008,43,1008,天津,2022,统计学,本科(普通) (1),理学 (9),统计学类 (62),普通类,本科批A段,综合,643,0,0,6024,,物/化/生(3选1)
score_43_99794_12_2022_3_本科批A段,43_99794,43,99794,天津,2022,日语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科批A段,综合,643,0,0,6024,,不限
score_43_976_12_2022_3_本科批A段,43_976,43,976,天津,2022,园林,本科(普通) (1),农学 (11),林学类 (98),普通类,本科批A段,综合,642,0,0,6198,,物/化/生(3选1)
score_43_1002_12_2022_3_本科批A段,43_1002,43,1002,天津,2022,金融学,本科(普通) (1),经济学 (4),金融学类 (37),普通类,本科批A段,综合,642,0,0,6198,,物/化/生(3选1)
score_43_1021_12_2022_3_本科批A段,43_1021,43,1021,天津,2022,自动化,本科(普通) (1),工学 (10),自动化类 (70),普通类,本科批A段,综合,642,0,0,6198,,物理必选
score_43_99807_12_2022_3_本科批A段,43_99807,43,99807,天津,2022,信息管理与信息系统,本科(普通) (1),管理学 (13),管理科学与工程类 (112),普通类,本科批A段,综合,642,0,0,6198,,物理必选
score_43_982_12_2022_3_本科批A段,43_982,43,982,天津,2022,自然地理与资源环境,本科(普通) (1),理学 (9),地理科学类 (55),普通类,本科批A段,综合,641,0,0,6376,,物/化/地(3选1)
score_43_1020_12_2022_3_本科批A段,43_1020,43,1020,天津,2022,机械设计制造及其自动化,本科(普通) (1),工学 (10),机械类 (64),普通类,本科批A段,综合,640,0,0,6555,,物理必选
score_43_99788_12_2022_3_本科批A段,43_99788,43,99788,天津,2022,英语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科批A段,综合,640,0,0,6555,,不限
score_43_99807_12_2022_3_本科批A段,43_99807,43,99807,天津,2022,信息管理与信息系统,本科(普通) (1),管理学 (13),管理科学与工程类 (112),普通类,本科批A段,综合,640,0,0,6555,,物理必选
score_43_1009_12_2022_3_本科批A段,43_1009,43,1009,天津,2022,国际经济与贸易,本科(普通) (1),经济学 (4),经济与贸易类 (38),普通类,本科批A段,综合,639,0,0,6734,,物/化/生(3选1)
score_43_1023675_12_2022_3_本科批A段,43_1023675,43,1023675,天津,2022,生物科学,本科(普通) (1),理学 (9),生物科学类 (60),普通类,本科批A段,综合,639,0,0,6734,,化学/生物(2选1)
score_43_1019_12_2022_3_本科批A段,43_1019,43,1019,天津,2022,车辆工程,本科(普通) (1),工学 (10),机械类 (64),普通类,本科批A段,综合,638,0,0,6890,,物理必选
score_43_981_12_2022_3_本科批A段,43_981,43,981,天津,2022,土木工程,本科(普通) (1),工学 (10),土木类 (72),普通类,本科批A段,综合,636,0,0,7232,,物理必选
score_43_1007_12_2022_3_本科批A段,43_1007,43,1007,天津,2022,给排水科学与工程,本科(普通) (1),工学 (10),土木类 (72),普通类,本科批A段,综合,636,0,0,7232,,物理必选
score_43_99808_12_2022_3_本科批A段,43_99808,43,99808,天津,2022,草业科学,本科(普通) (1),农学 (11),草学类 (100),普通类,本科批A段,综合,635,0,0,7401,,物/化/生(3选1)
score_43_99806_12_2022_3_本科批A段,43_99806,43,99806,天津,2022,水土保持与荒漠化防治,本科(普通) (1),农学 (11),自然保护与环境生态类 (95),普通类,本科批A段,综合,634,0,0,7592,,物/化/生(3选1)
score_43_989_12_2022_3_本科批A段,43_989,43,989,天津,2022,食品科学与工程,本科(普通) (1),工学 (10),食品科学与工程类 (89),普通类,本科批A段,综合,633,0,0,7774,,化学必选
score_43_1006_12_2022_3_本科批A段,43_1006,43,1006,天津,2022,环境工程,本科(普通) (1),工学 (10),环境科学与工程类 (87),普通类,本科批A段,综合,633,0,0,7774,,化学必选
score_43_977_12_2022_3_本科批A段,43_977,43,977,天津,2022,城乡规划,本科(普通) (1),工学 (10),建筑类 (90),普通类,本科批A段,综合,649,0,0,5070,,物/史/地(3选1)
score_43_998_12_2022_3_本科批A段,43_998,43,998,天津,2022,应用心理学,本科(普通) (1),理学 (9),心理学类 (61),普通类,本科批A段,综合,646,0,0,5557,,不限
score_43_999_12_2022_3_本科批A段,43_999,43,999,天津,2022,法学,本科(普通) (1),法学 (5),法学类 (39),普通类,本科批A段,综合,645,0,0,5690,,不限
score_43_99794_12_2022_3_本科批A段,43_99794,43,99794,天津,2022,日语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科批A段,综合,643,0,0,6024,,不限
