score_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,min,max,average,min_section,info,sg_info
score_47_1236_13_2023_2073_本科提前批A段,47_1236,47,1236,河北,2023,飞行技术,本科 (1),工学 (10),交通运输类 (80),普通类,本科提前批A段,物理类,527,590,559,69642,（国航）（只招男生；单科成绩要求：外语>=100，高考文化总分（不含优惠）（>=450；同时录取分数（不含优惠加分）不低于特殊类型招生录取控制分数线；考生须参加学校与民航机构统一组织的体检、政审、背景调查等且合格。只招英语语种考生））,
score_47_1223_13_2024_2073_本科批,47_1223,47,1223,河北,2024,计算机科学与技术,本科 (1),工学 (10),计算机类 (71),普通类,本科批,物理类,671,0,0,291,（拔尖学生培养计划）,
score_47_169022_13_2024_2073_本科批,47_169022,47,169022,河北,2024,物理学,本科 (1),理学 (9),物理学类 (52),普通类,本科批,物理类,669,0,0,341,（拔尖学生培养计划）,
score_47_169023_13_2024_2073_本科批,47_169023,47,169023,河北,2024,微电子科学与工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,669,0,0,341,（卓越人才培养试验班）,
score_47_170780_13_2024_2073_本科批,47_170780,47,170780,河北,2024,人工智能,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,669,0,0,341,（卓越人才培养试验班）,
score_47_1232_13_2024_2073_本科批,47_1232,47,1232,河北,2024,飞行器动力工程,本科 (1),工学 (10),航空航天类 (82),普通类,本科批,物理类,668,0,0,370,（卓越人才培养试验班）,
score_47_1212_13_2024_2073_本科批,47_1212,47,1212,河北,2024,数学与应用数学,本科 (1),理学 (9),数学类 (51),普通类,本科批,物理类,667,0,0,396,（拔尖学生培养计划）,
score_47_1233_13_2024_2073_本科批,47_1233,47,1233,河北,2024,工程力学,本科 (1),工学 (10),力学类 (63),普通类,本科批,物理类,667,0,0,396,（拔尖学生培养计划）,
score_47_1232_13_2024_2073_本科批,47_1232,47,1232,河北,2024,飞行器动力工程,本科 (1),工学 (10),航空航天类 (82),普通类,本科批,物理类,644,0,0,2192,（国际合作专项）（国际合作专项）,
score_47_1212_15_2024_1_本科一批,47_1212,47,1212,内蒙古,2024,数学与应用数学,本科 (1),理学 (9),数学类 (51),普通类,本科一批,理科,681,681,0,150,（拔尖学生培养计划）,
score_47_1223_15_2024_1_本科一批,47_1223,47,1223,内蒙古,2024,计算机科学与技术,本科 (1),工学 (10),计算机类 (71),普通类,本科一批,理科,678,678,0,178,（拔尖学生培养计划）,
score_47_169023_15_2024_1_本科一批,47_169023,47,169023,内蒙古,2024,微电子科学与工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科一批,理科,675,677,0,208,（卓越人才培养试验班）,
score_47_170780_15_2024_1_本科一批,47_170780,47,170780,内蒙古,2024,人工智能,本科 (1),工学 (10),电子信息类 (69),普通类,本科一批,理科,675,676,0,208,（卓越人才培养试验班）,
score_47_1797281_15_2024_1_本科一批,47_1797281,47,1797281,内蒙古,2024,网络空间安全,本科 (1),工学 (10),计算机类 (71),普通类,本科一批,理科,673,673,0,236,（卓越人才培养试验班）,
score_47_1223_21_2024_2073_本科批,47_1223,47,1223,辽宁,2024,计算机科学与技术,本科 (1),工学 (10),计算机类 (71),普通类,本科批,物理类,690,0,0,264,（拔尖学生培养计划）,
score_47_1233_21_2024_2073_本科批,47_1233,47,1233,辽宁,2024,工程力学,本科 (1),工学 (10),力学类 (63),普通类,本科批,物理类,688,0,0,316,（拔尖学生培养计划）,
score_47_169023_21_2024_2073_本科批,47_169023,47,169023,辽宁,2024,微电子科学与工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,688,0,0,316,（卓越人才培养试验班）,
score_47_170780_21_2024_2073_本科批,47_170780,47,170780,辽宁,2024,人工智能,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,688,0,0,316,（卓越人才培养试验班）,
score_47_1212_21_2024_2073_本科批,47_1212,47,1212,辽宁,2024,数学与应用数学,本科 (1),理学 (9),数学类 (51),普通类,本科批,物理类,685,0,0,442,（拔尖学生培养计划）,
score_47_169022_21_2024_2073_本科批,47_169022,47,169022,辽宁,2024,物理学,本科 (1),理学 (9),物理学类 (52),普通类,本科批,物理类,685,0,0,442,（拔尖学生培养计划）,
score_47_1232_21_2024_2073_本科批,47_1232,47,1232,辽宁,2024,飞行器动力工程,本科 (1),工学 (10),航空航天类 (82),普通类,本科批,物理类,684,0,0,477,（卓越人才培养试验班）,
score_47_1232_21_2024_2073_本科批,47_1232,47,1232,辽宁,2024,飞行器动力工程,本科 (1),工学 (10),航空航天类 (82),普通类,本科批,物理类,673,0,0,1090,（国际合作专项）,
score_47_1223_33_2024_3_平行录取一段,47_1223,47,1223,浙江,2024,计算机科学与技术,本科 (1),工学 (10),计算机类 (71),普通类,平行录取一段,综合,690,0,0,1023,（拔尖学生培养计划）,
score_47_169023_33_2024_3_平行录取一段,47_169023,47,169023,浙江,2024,微电子科学与工程,本科 (1),工学 (10),电子信息类 (69),普通类,平行录取一段,综合,686,0,0,1507,（卓越人才培养试验班）,
score_47_1212_33_2024_3_平行录取一段,47_1212,47,1212,浙江,2024,数学与应用数学,本科 (1),理学 (9),数学类 (51),普通类,平行录取一段,综合,685,0,0,1542,（拔尖学生培养计划）,
score_47_170780_33_2024_3_平行录取一段,47_170780,47,170780,浙江,2024,人工智能,本科 (1),工学 (10),电子信息类 (69),普通类,平行录取一段,综合,685,0,0,1622,（卓越人才培养试验班）,
score_47_1797281_33_2024_3_平行录取一段,47_1797281,47,1797281,浙江,2024,网络空间安全,本科 (1),工学 (10),计算机类 (71),普通类,平行录取一段,综合,684,0,0,1714,（卓越人才培养试验班）,
score_47_1233_33_2024_3_平行录取一段,47_1233,47,1233,浙江,2024,工程力学,本科 (1),工学 (10),力学类 (63),普通类,平行录取一段,综合,683,0,0,1889,（拔尖学生培养计划）,
score_47_1223_37_2024_3_普通类一段,47_1223,47,1223,山东,2024,计算机科学与技术,本科 (1),工学 (10),计算机类 (71),普通类,普通类一段,综合,678,0,0,442,（拔尖学生培养计划）,
