score_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,min,max,average,min_section,info,sg_info
score_48_1499795_11_2022_3_本科批,48_1499795,48,1499795,北京,2022,网络与新媒体,本科(普通) (1),文学 (7),新闻传播学类 (49),普通类,本科批,综合,638,642,640,3984,,不限
score_48_1321_11_2022_3_本科批,48_1321,48,1321,北京,2022,法学,本科(普通) (1),法学 (5),法学类 (39),普通类,本科批,综合,635,637,636,4288,,不限
score_48_1348_11_2022_3_本科批,48_1348,48,1348,北京,2022,英语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,634,641,638,4400,,不限
score_48_1335_11_2022_3_本科批,48_1335,48,1335,北京,2022,软件工程,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批,综合,646,651,648,3136,,物理必选
score_48_1511141_11_2022_3_本科批,48_1511141,48,1511141,北京,2022,智能交互设计,本科(普通) (1),工学 (10),机械类 (64),普通类,本科批,综合,645,655,650,3241,,物理必选
score_48_1499795_11_2022_3_本科批,48_1499795,48,1499795,北京,2022,网络与新媒体,本科(普通) (1),文学 (7),新闻传播学类 (49),普通类,本科批,综合,638,642,640,3984,,不限
score_48_1321_11_2022_3_本科批,48_1321,48,1321,北京,2022,法学,本科(普通) (1),法学 (5),法学类 (39),普通类,本科批,综合,635,637,636,4288,,不限
score_48_1348_11_2022_3_本科批,48_1348,48,1348,北京,2022,英语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,634,641,638,4400,,不限
score_48_1335_11_2022_3_本科批,48_1335,48,1335,北京,2022,软件工程,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批,综合,646,651,648,3136,,物理必选
score_48_1511141_11_2022_3_本科批,48_1511141,48,1511141,北京,2022,智能交互设计,本科(普通) (1),工学 (10),机械类 (64),普通类,本科批,综合,645,655,650,3241,,物理必选
score_48_1338_12_2022_3_本科批A段,48_1338,48,1338,天津,2022,通信工程,本科(普通) (1),工学 (10),电子信息类 (69),普通类,本科批A段,综合,671,0,0,2169,,物理必选
score_48_1797287_12_2022_3_本科批A段,48_1797287,48,1797287,天津,2022,金融科技,本科(普通) (1),经济学 (4),金融学类 (37),普通类,本科批A段,综合,671,0,0,2169,,物理必选
score_48_1335_12_2022_3_本科批A段,48_1335,48,1335,天津,2022,软件工程,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批A段,综合,670,0,0,2271,,物理必选
score_48_1363_12_2022_3_本科批A段,48_1363,48,1363,天津,2022,数字媒体技术,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批A段,综合,668,0,0,2492,,物理必选
score_48_1129590_12_2022_3_本科批A段,48_1129590,48,1129590,天津,2022,人工智能,本科(普通) (1),工学 (10),电子信息类 (69),普通类,本科批A段,综合,667,0,0,2606,,物理必选
score_48_1499795_12_2022_3_本科批A段,48_1499795,48,1499795,天津,2022,网络与新媒体,本科(普通) (1),文学 (7),新闻传播学类 (49),普通类,本科批A段,综合,660,0,0,3459,,不限
score_48_1321_12_2022_3_本科批A段,48_1321,48,1321,天津,2022,法学,本科(普通) (1),法学 (5),法学类 (39),普通类,本科批A段,综合,657,0,0,3891,,不限
score_48_1348_12_2022_3_本科批A段,48_1348,48,1348,天津,2022,英语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科批A段,综合,656,0,0,4026,,不限
score_48_1338_12_2022_3_本科批A段,48_1338,48,1338,天津,2022,通信工程,本科(普通) (1),工学 (10),电子信息类 (69),普通类,本科批A段,综合,671,0,0,2169,,物理必选
score_48_1797287_12_2022_3_本科批A段,48_1797287,48,1797287,天津,2022,金融科技,本科(普通) (1),经济学 (4),金融学类 (37),普通类,本科批A段,综合,671,0,0,2169,,物理必选
score_48_1335_12_2022_3_本科批A段,48_1335,48,1335,天津,2022,软件工程,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批A段,综合,670,0,0,2271,,物理必选
score_48_1363_12_2022_3_本科批A段,48_1363,48,1363,天津,2022,数字媒体技术,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批A段,综合,668,0,0,2492,,物理必选
