score_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,min,max,average,min_section,info,sg_info
score_127_6342_11_2022_3_本科批,127_6342,127,6342,北京,2022,软件工程,本科 (1),工学 (10),计算机类 (71),普通类,本科批,综合,656,0,0,2202,,物理必选
score_127_6341_11_2022_3_本科批,127_6341,127,6341,北京,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科批,综合,655,0,0,2297,,物理必选
score_127_6342_11_2022_3_本科批,127_6342,127,6342,北京,2022,软件工程,本科 (1),工学 (10),计算机类 (71),普通类,本科批,综合,656,0,0,2202,,物理必选
score_127_6341_11_2022_3_本科批,127_6341,127,6341,北京,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科批,综合,655,0,0,2297,,物理必选
score_127_6358_12_2022_3_本科批A段,127_6358,127,6358,天津,2022,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科批A段,综合,693,0,0,502,,化学、生物(2科必选)
score_127_6358_12_2022_3_本科批A段,127_6358,127,6358,天津,2022,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科批A段,综合,693,0,0,502,,化学、生物(2科必选)
score_127_6334_12_2022_3_本科批A段,127_6334,127,6334,天津,2022,机械设计制造及其自动化,本科 (1),工学 (10),机械类 (64),普通类,本科批A段,综合,688,0,0,766,,物理必选
score_127_6337_12_2022_3_本科批A段,127_6337,127,6337,天津,2022,能源与动力工程,本科 (1),工学 (10),能源动力类 (67),普通类,本科批A段,综合,687,0,0,833,,物理必选
score_127_6341_12_2022_3_本科批A段,127_6341,127,6341,天津,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科批A段,综合,686,0,0,893,,物理必选
score_127_6334_12_2022_3_本科批A段,127_6334,127,6334,天津,2022,机械设计制造及其自动化,本科 (1),工学 (10),机械类 (64),普通类,本科批A段,综合,688,0,0,766,,物理必选
score_127_6337_12_2022_3_本科批A段,127_6337,127,6337,天津,2022,能源与动力工程,本科 (1),工学 (10),能源动力类 (67),普通类,本科批A段,综合,687,0,0,833,,物理必选
score_127_6341_12_2022_3_本科批A段,127_6341,127,6341,天津,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科批A段,综合,686,0,0,893,,物理必选
score_127_1025850_13_2022_2074_本科批,127_1025850,127,1025850,河北,2022,国际商务,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,历史类,620,0,0,725,,
score_127_6341_13_2022_2073_本科批,127_6341,127,6341,河北,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科批,物理类,642,0,0,1242,,
score_127_6342_14_2022_1_本科一批A段,127_6342,127,6342,山西,2022,软件工程,本科 (1),工学 (10),计算机类 (71),普通类,本科一批A段,理科,632,0,632,640,,
score_127_6341_14_2022_1_本科一批A段,127_6341,127,6341,山西,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科一批A段,理科,622,0,626,1057,,
score_127_6341_15_2022_1_本科一批,127_6341,127,6341,内蒙古,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科一批,理科,617,629,0,701,,
score_127_6302_15_2022_1_本科一批B段,127_6302,127,6302,内蒙古,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科一批B段,理科,577,591,0,2784,（民族班）,
score_127_6341_21_2022_2073_本科批,127_6341,127,6341,辽宁,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科批,物理类,656,0,0,833,,
score_127_6358_22_2022_1_本科一批A段,127_6358,127,6358,吉林,2022,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科一批A段,理科,642,656,649,366,（学制8年）（本博贯通培养）,
score_127_6340_22_2022_1_本科一批A段,127_6340,127,6340,吉林,2022,计算机科学与技术,本科 (1),工学 (10),计算机类 (71),普通类,本科一批A段,理科,639,641,640,411,（启明本硕博实验班）,
score_127_6338_22_2022_1_本科一批A段,127_6338,127,6338,吉林,2022,电子信息工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科一批A段,理科,631,632,632,584,（信息类数理提高班）,
score_127_6341_22_2022_1_本科一批A段,127_6341,127,6341,吉林,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科一批A段,理科,626,630,628,724,,
score_127_6337_22_2022_1_本科一批A段,127_6337,127,6337,吉林,2022,能源与动力工程,本科 (1),工学 (10),能源动力类 (67),普通类,本科一批A段,理科,624,626,625,792,（启明本硕博实验班）,
score_127_6357_22_2022_1_本科一批A段,127_6357,127,6357,吉林,2022,预防医学,本科 (1),医学 (12),公共卫生与预防医学类 (104),普通类,本科一批A段,理科,621,631,626,898,（学制5年）（启明本硕博实验班）,
