score_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,min,max,average,min_section,info,sg_info
score_98_4147_13_2022_2074_本科批,98_4147,98,4147,河北,2022,历史学,本科 (1),历史学 (8),历史学类 (50),普通类,本科批,历史类,601,0,0,2028,,
score_98_4107_13_2022_2074_本科批,98_4107,98,4107,河北,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,历史类,598,0,0,2324,,
score_98_4102_13_2022_2074_本科批,98_4102,98,4102,河北,2022,传播学,本科 (1),文学 (7),新闻传播学类 (49),普通类,本科批,历史类,595,0,0,2697,,
score_98_4146_13_2022_2074_本科批,98_4146,98,4146,河北,2022,学前教育,本科 (1),教育学 (6),教育学类 (45),普通类,本科批,历史类,594,0,0,2811,,
score_98_4135_13_2022_2074_本科批,98_4135,98,4135,河北,2022,行政管理,本科 (1),管理学 (13),公共管理类 (115),普通类,本科批,历史类,593,0,0,2910,,
score_98_4094_13_2022_2074_本科批,98_4094,98,4094,河北,2022,俄语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,历史类,592,0,0,3025,,
score_98_4089_13_2022_2074_本科批,98_4089,98,4089,河北,2022,社会工作,本科 (1),法学 (5),社会学类 (41),普通类,本科批,历史类,590,0,0,3308,,
score_98_4095_13_2022_2074_本科批,98_4095,98,4095,河北,2022,日语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,历史类,590,0,0,3308,,
score_98_4133_13_2022_2074_本科批,98_4133,98,4133,河北,2022,旅游管理,本科 (1),管理学 (13),旅游管理类 (120),普通类,本科批,历史类,585,0,0,3946,,
score_98_4093_13_2022_2073_本科批,98_4093,98,4093,河北,2022,数学与应用数学,本科 (1),理学 (9),数学类 (51),普通类,本科批,物理类,597,0,0,10996,,
score_98_4099_13_2022_2073_本科批,98_4099,98,4099,河北,2022,网络工程,本科 (1),工学 (10),计算机类 (71),普通类,本科批,物理类,592,0,0,13125,,
score_98_4155_13_2022_2073_本科批,98_4155,98,4155,河北,2022,心理学,本科 (1),理学 (9),心理学类 (61),普通类,本科批,物理类,592,0,0,13125,,
