score_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,min,max,average,min_section,info,sg_info
score_105_4768_11_2022_3_本科批,105_4768,105,4768,北京,2022,建筑学,本科 (1),工学 (10),建筑类 (90),普通类,本科批,综合,646,646,646,3136,,物理必选
score_105_4735_11_2022_3_本科批,105_4735,105,4735,北京,2022,软件工程,本科 (1),工学 (10),计算机类 (71),普通类,本科批,综合,641,642,642,3643,,物理必选
score_105_4757_11_2022_3_本科批,105_4757,105,4757,北京,2022,信息工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,综合,640,644,642,3765,,物理必选
score_105_4752_11_2022_3_本科批,105_4752,105,4752,北京,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科批,综合,639,639,639,3881,,物理必选
score_105_4792_11_2022_3_本科批,105_4792,105,4792,北京,2022,工业设计,本科 (1),工学 (10),机械类 (64),普通类,本科批,综合,636,637,637,4186,,物理必选
score_105_4768_11_2022_3_本科批,105_4768,105,4768,北京,2022,建筑学,本科 (1),工学 (10),建筑类 (90),普通类,本科批,综合,646,646,646,3136,,物理必选
score_105_4735_11_2022_3_本科批,105_4735,105,4735,北京,2022,软件工程,本科 (1),工学 (10),计算机类 (71),普通类,本科批,综合,641,642,642,3643,,物理必选
score_105_4757_11_2022_3_本科批,105_4757,105,4757,北京,2022,信息工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,综合,640,644,642,3765,,物理必选
score_105_4752_11_2022_3_本科批,105_4752,105,4752,北京,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科批,综合,639,639,639,3881,,物理必选
score_105_89943_11_2022_3_本科批,105_89943,105,89943,北京,2022,经济学,本科 (1),经济学 (4),经济学类 (35),普通类,本科批,综合,637,637,637,4078,,不限
score_105_4792_11_2022_3_本科批,105_4792,105,4792,北京,2022,工业设计,本科 (1),工学 (10),机械类 (64),普通类,本科批,综合,636,637,637,4186,,物理必选
score_105_170768_11_2022_3_本科批,105_170768,105,170768,北京,2022,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科批,综合,627,627,627,5172,,物理、化学(2科必选)
score_105_4726_11_2022_3_本科批,105_4726,105,4726,北京,2022,行政管理,本科 (1),管理学 (13),公共管理类 (115),普通类,本科批,综合,621,621,621,5887,,不限
score_105_89943_11_2022_3_本科批,105_89943,105,89943,北京,2022,经济学,本科 (1),经济学 (4),经济学类 (35),普通类,本科批,综合,637,637,637,4078,,不限
score_105_4726_11_2022_3_本科批,105_4726,105,4726,北京,2022,行政管理,本科 (1),管理学 (13),公共管理类 (115),普通类,本科批,综合,621,621,621,5887,,不限
score_105_170768_11_2022_3_本科批,105_170768,105,170768,北京,2022,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科批,综合,627,627,627,5172,,物理、化学(2科必选)
score_105_4757_12_2022_3_本科批A段,105_4757,105,4757,天津,2022,信息工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科批A段,综合,666,669,668,2718,,物理必选
score_105_4735_12_2022_3_本科批A段,105_4735,105,4735,天津,2022,软件工程,本科 (1),工学 (10),计算机类 (71),普通类,本科批A段,综合,666,666,666,2718,,物理必选
score_105_4768_12_2022_3_本科批A段,105_4768,105,4768,天津,2022,建筑学,本科 (1),工学 (10),建筑类 (90),普通类,本科批A段,综合,663,663,663,3086,,物理必选
score_105_4757_12_2022_3_本科批A段,105_4757,105,4757,天津,2022,信息工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科批A段,综合,666,669,668,2718,,物理必选
score_105_4735_12_2022_3_本科批A段,105_4735,105,4735,天津,2022,软件工程,本科 (1),工学 (10),计算机类 (71),普通类,本科批A段,综合,666,666,666,2718,,物理必选
score_105_4768_12_2022_3_本科批A段,105_4768,105,4768,天津,2022,建筑学,本科 (1),工学 (10),建筑类 (90),普通类,本科批A段,综合,663,663,663,3086,,物理必选
score_105_4766_13_2022_2073_国家专项计划本科批,105_4766,105,4766,河北,2022,船舶与海洋工程,本科 (1),工学 (10),海洋工程类 (81),普通类,国家专项计划本科批,物理类,600,601,601,9823,,
score_105_1845775_13_2022_2073_本科批,105_1845775,105,1845775,河北,2022,计算机科学与技术,本科 (1),工学 (10),计算机类 (71),普通类,本科批,物理类,637,637,637,1689,,
score_105_4733_13_2022_2073_本科批,105_4733,105,4733,河北,2022,软件工程,本科 (1),工学 (10),计算机类 (71),普通类,本科批,物理类,633,633,633,2156,,
score_105_4768_13_2022_2073_本科批,105_4768,105,4768,河北,2022,建筑学,本科 (1),工学 (10),建筑类 (90),普通类,本科批,物理类,632,632,632,2283,,
