score_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,min,max,average,min_section,info,sg_info
score_111_5189_11_2022_3_本科批,111_5189,111,5189,北京,2022,计算机科学与技术,本科 (1),工学 (10),计算机类 (71),普通类,本科批,综合,0,0,0,-,,物理必选
score_111_5190_11_2022_3_本科批,111_5190,111,5190,北京,2022,软件工程,本科 (1),工学 (10),计算机类 (71),普通类,本科批,综合,0,0,0,-,,物理必选
score_111_170758_11_2022_3_本科批,111_170758,111,170758,北京,2022,人工智能,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,综合,0,0,0,-,,物理必选
score_111_5189_11_2022_3_本科批,111_5189,111,5189,北京,2022,计算机科学与技术,本科 (1),工学 (10),计算机类 (71),普通类,本科批,综合,0,0,0,-,,物理必选
score_111_5190_11_2022_3_本科批,111_5190,111,5190,北京,2022,软件工程,本科 (1),工学 (10),计算机类 (71),普通类,本科批,综合,0,0,0,-,,物理必选
score_111_170758_11_2022_3_本科批,111_170758,111,170758,北京,2022,人工智能,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,综合,0,0,0,-,,物理必选
score_111_170758_12_2022_3_本科批A段,111_170758,111,170758,天津,2022,人工智能,本科 (1),工学 (10),电子信息类 (69),普通类,本科批A段,综合,699,0,0,276,,物理必选
score_111_5189_12_2022_3_本科批A段,111_5189,111,5189,天津,2022,计算机科学与技术,本科 (1),工学 (10),计算机类 (71),普通类,本科批A段,综合,698,0,0,303,,物理必选
score_111_5190_12_2022_3_本科批A段,111_5190,111,5190,天津,2022,软件工程,本科 (1),工学 (10),计算机类 (71),普通类,本科批A段,综合,697,0,0,343,,物理必选
score_111_170758_12_2022_3_本科批A段,111_170758,111,170758,天津,2022,人工智能,本科 (1),工学 (10),电子信息类 (69),普通类,本科批A段,综合,699,0,0,276,,物理必选
score_111_5189_12_2022_3_本科批A段,111_5189,111,5189,天津,2022,计算机科学与技术,本科 (1),工学 (10),计算机类 (71),普通类,本科批A段,综合,698,0,0,303,,物理必选
score_111_5190_12_2022_3_本科批A段,111_5190,111,5190,天津,2022,软件工程,本科 (1),工学 (10),计算机类 (71),普通类,本科批A段,综合,697,0,0,343,,物理必选
score_111_170758_13_2022_2073_本科批,111_170758,111,170758,河北,2022,人工智能,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,662,0,0,257,,
score_111_5189_13_2022_2073_本科批,111_5189,111,5189,河北,2022,计算机科学与技术,本科 (1),工学 (10),计算机类 (71),普通类,本科批,物理类,659,0,0,342,,
score_111_5190_13_2022_2073_本科批,111_5190,111,5190,河北,2022,软件工程,本科 (1),工学 (10),计算机类 (71),普通类,本科批,物理类,657,0,0,401,,
score_111_170758_14_2022_1_本科一批A段,111_170758,111,170758,山西,2022,人工智能,本科 (1),工学 (10),电子信息类 (69),普通类,本科一批A段,理科,643,0,643,340,,
score_111_5189_14_2022_1_本科一批A段,111_5189,111,5189,山西,2022,计算机科学与技术,本科 (1),工学 (10),计算机类 (71),普通类,本科一批A段,理科,642,0,644,358,,
score_111_170758_15_2022_1_本科一批,111_170758,111,170758,内蒙古,2022,人工智能,本科 (1),工学 (10),电子信息类 (69),普通类,本科一批,理科,651,652,0,128,,
score_111_5190_15_2022_1_本科一批,111_5190,111,5190,内蒙古,2022,软件工程,本科 (1),工学 (10),计算机类 (71),普通类,本科一批,理科,646,648,0,170,,
score_111_5189_15_2022_1_本科一批,111_5189,111,5189,内蒙古,2022,计算机科学与技术,本科 (1),工学 (10),计算机类 (71),普通类,本科一批,理科,642,652,0,208,,
score_111_5216_15_2022_2_本科一批,111_5216,111,5216,内蒙古,2022,汉语言文学,本科 (1),文学 (7),中国语言文学类 (47),普通类,本科一批,文科,605,609,0,-,,
score_111_170758_21_2022_2073_本科批,111_170758,111,170758,辽宁,2022,人工智能,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,670,0,0,268,,
