score_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,min,max,average,min_section,info,sg_info
score_115_5505_11_2022_3_本科批,115_5505,115,5505,北京,2022,哲学,本科(普通) (1),哲学 (3),哲学类 (34),普通类,本科批,综合,606,610,608,7851,,不限
score_115_103618_11_2022_3_本科批,115_103618,115,103618,北京,2022,应用心理学,本科(普通) (1),理学 (9),心理学类 (61),普通类,本科批,综合,605,607,606,7981,,不限
score_115_5505_11_2022_3_本科批,115_5505,115,5505,北京,2022,哲学,本科(普通) (1),哲学 (3),哲学类 (34),普通类,本科批,综合,606,610,608,7851,,不限
score_115_103618_11_2022_3_本科批,115_103618,115,103618,北京,2022,应用心理学,本科(普通) (1),理学 (9),心理学类 (61),普通类,本科批,综合,605,607,606,7981,,不限
score_115_5495_11_2022_3_本科批,115_5495,115,5495,北京,2022,电气工程及其自动化,本科(普通) (1),工学 (10),电气类 (68),普通类,本科批,综合,599,602,601,8799,,物理必选
score_115_5490_11_2022_3_本科批,115_5490,115,5490,北京,2022,生物工程,本科(普通) (1),工学 (10),生物工程类 (92),普通类,本科批,综合,588,588,588,10455,,物/化/生(3选1)
score_115_5495_11_2022_3_本科批,115_5495,115,5495,北京,2022,电气工程及其自动化,本科(普通) (1),工学 (10),电气类 (68),普通类,本科批,综合,599,602,601,8799,,物理必选
score_115_5490_11_2022_3_本科批,115_5490,115,5490,北京,2022,生物工程,本科(普通) (1),工学 (10),生物工程类 (92),普通类,本科批,综合,588,588,588,10455,,物/化/生(3选1)
score_115_5469_12_2022_3_本科批A段,115_5469,115,5469,天津,2022,教育学,本科(普通) (1),教育学 (6),教育学类 (45),普通类,本科批A段,综合,653,0,0,4459,,不限
score_115_5505_12_2022_3_本科批A段,115_5505,115,5505,天津,2022,哲学,本科(普通) (1),哲学 (3),哲学类 (34),普通类,本科批A段,综合,650,0,0,4913,,不限
score_115_5495_12_2022_3_本科批A段,115_5495,115,5495,天津,2022,电气工程及其自动化,本科(普通) (1),工学 (10),电气类 (68),普通类,本科批A段,综合,644,0,0,5858,,物理必选
score_115_5519_12_2022_3_本科批A段,115_5519,115,5519,天津,2022,小学教育,本科(普通) (1),教育学 (6),教育学类 (45),普通类,本科批A段,综合,643,0,0,6024,,不限
score_115_1130121_12_2022_3_本科批A段,115_1130121,115,1130121,天津,2022,海洋资源与环境,本科(普通) (1),理学 (9),海洋科学类 (57),普通类,本科批A段,综合,641,0,0,6376,,物理必选
score_115_5469_12_2022_3_本科批A段,115_5469,115,5469,天津,2022,教育学,本科(普通) (1),教育学 (6),教育学类 (45),普通类,本科批A段,综合,653,0,0,4459,,不限
score_115_5505_12_2022_3_本科批A段,115_5505,115,5505,天津,2022,哲学,本科(普通) (1),哲学 (3),哲学类 (34),普通类,本科批A段,综合,650,0,0,4913,,不限
score_115_5519_12_2022_3_本科批A段,115_5519,115,5519,天津,2022,小学教育,本科(普通) (1),教育学 (6),教育学类 (45),普通类,本科批A段,综合,643,0,0,6024,,不限
score_115_5495_12_2022_3_本科批A段,115_5495,115,5495,天津,2022,电气工程及其自动化,本科(普通) (1),工学 (10),电气类 (68),普通类,本科批A段,综合,644,0,0,5858,,物理必选
score_115_1130121_12_2022_3_本科批A段,115_1130121,115,1130121,天津,2022,海洋资源与环境,本科(普通) (1),理学 (9),海洋科学类 (57),普通类,本科批A段,综合,641,0,0,6376,,物理必选
score_115_5504_13_2022_2074_本科批,115_5504,115,5504,河北,2022,法学,本科(普通) (1),法学 (5),法学类 (39),普通类,本科批,历史类,611,0,0,1225,,
score_115_103612_13_2022_2074_本科批,115_103612,115,103612,河北,2022,汉语国际教育,本科(普通) (1),文学 (7),中国语言文学类 (47),普通类,本科批,历史类,609,0,0,1359,,
score_115_5513_13_2022_2074_本科批,115_5513,115,5513,河北,2022,会计学,本科(普通) (1),管理学 (13),工商管理类 (113),普通类,本科批,历史类,607,0,0,1512,,
score_115_5502_13_2022_2074_本科批,115_5502,115,5502,河北,2022,社会学,本科(普通) (1),法学 (5),社会学类 (41),普通类,本科批,历史类,602,0,0,1931,,
score_115_5488_13_2022_2074_本科批,115_5488,115,5488,河北,2022,旅游管理,本科(普通) (1),管理学 (13),旅游管理类 (120),普通类,本科批,历史类,596,0,0,2579,,
score_115_1130122_13_2022_2073_本科批,115_1130122,115,1130122,河北,2022,人工智能,本科(普通) (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,601,0,0,9445,,
score_115_5496_13_2022_2073_本科批,115_5496,115,5496,河北,2022,自动化,本科(普通) (1),工学 (10),自动化类 (70),普通类,本科批,物理类,598,0,0,10589,,
score_115_5490_13_2022_2073_本科批,115_5490,115,5490,河北,2022,生物工程,本科(普通) (1),工学 (10),生物工程类 (92),普通类,本科批,物理类,592,0,0,13125,,
score_115_5467_13_2022_2073_本科批,115_5467,115,5467,河北,2022,食品科学与工程,本科(普通) (1),工学 (10),食品科学与工程类 (89),普通类,本科批,物理类,588,0,0,14950,,
score_115_5489_13_2022_2073_本科批,115_5489,115,5489,河北,2022,测绘工程,本科(普通) (1),工学 (10),测绘类 (74),普通类,本科批,物理类,585,0,0,16469,,
score_115_1130121_13_2022_2073_本科批,115_1130121,115,1130121,河北,2022,海洋资源与环境,本科(普通) (1),理学 (9),海洋科学类 (57),普通类,本科批,物理类,578,0,0,20380,,
