score_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,min,max,average,min_section,info,sg_info
score_112_5265_11_2022_3_本科批,112_5265,112,5265,北京,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,598,0,0,8957,,不限
score_112_5268_11_2022_3_本科批,112_5268,112,5268,北京,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,综合,596,0,0,9260,,不限
score_112_5243_11_2022_3_本科批,112_5243,112,5243,北京,2022,工业设计,本科 (1),工学 (10),机械类 (64),普通类,本科批,综合,613,0,0,6912,,物理必选
score_112_98486_11_2022_3_本科批,112_98486,112,98486,北京,2022,武器发射工程,本科 (1),工学 (10),兵器类 (83),普通类,本科批,综合,613,0,0,6912,,物理必选
score_112_5265_11_2022_3_本科批,112_5265,112,5265,北京,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,598,0,0,8957,,不限
score_112_5268_11_2022_3_本科批,112_5268,112,5268,北京,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,综合,596,0,0,9260,,不限
score_112_5243_11_2022_3_本科批,112_5243,112,5243,北京,2022,工业设计,本科 (1),工学 (10),机械类 (64),普通类,本科批,综合,613,0,0,6912,,物理必选
score_112_98486_11_2022_3_本科批,112_98486,112,98486,北京,2022,武器发射工程,本科 (1),工学 (10),兵器类 (83),普通类,本科批,综合,613,0,0,6912,,物理必选
score_112_5240_12_2022_3_本科批A段,112_5240,112,5240,天津,2022,应用物理学,本科 (1),理学 (9),物理学类 (52),普通类,本科批A段,综合,650,0,0,4913,,物理必选
score_112_5240_12_2022_3_本科批A段,112_5240,112,5240,天津,2022,应用物理学,本科 (1),理学 (9),物理学类 (52),普通类,本科批A段,综合,650,0,0,4913,,物理必选
score_112_170787_13_2022_2073_本科批,112_170787,112,170787,河北,2022,网络空间安全,本科 (1),工学 (10),计算机类 (71),普通类,本科批,物理类,609,0,0,6887,,
score_112_310302_13_2022_2073_本科批,112_310302,112,310302,河北,2022,数据科学与大数据技术,本科 (1),工学 (10),计算机类 (71),普通类,本科批,物理类,609,0,0,6887,,
score_112_1129714_13_2022_2073_本科批,112_1129714,112,1129714,河北,2022,智能制造工程,本科 (1),工学 (10),机械类 (64),普通类,本科批,物理类,606,0,0,7785,,
score_112_98487_13_2022_2073_本科批,112_98487,112,98487,河北,2022,探测制导与控制技术,本科 (1),工学 (10),兵器类 (83),普通类,本科批,物理类,605,0,0,8076,,
score_112_5283_13_2022_2073_本科批,112_5283,112,5283,河北,2022,新能源科学与工程,本科 (1),工学 (10),能源动力类 (67),普通类,本科批,物理类,603,0,0,8730,,
score_112_98486_13_2022_2073_本科批,112_98486,112,98486,河北,2022,武器发射工程,本科 (1),工学 (10),兵器类 (83),普通类,本科批,物理类,603,0,0,8730,,
score_112_1562363_14_2022_2_本科一批A段,112_1562363,112,1562363,山西,2022,语言学,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科一批A段,文科,554,0,557,2014,,
score_112_5237_14_2022_2_本科一批A段,112_5237,112,5237,山西,2022,社会工作,本科 (1),法学 (5),社会学类 (41),普通类,本科一批A段,文科,554,0,555,2014,,
