score_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,min,max,average,min_section,info,sg_info
score_77_2971_11_2022_3_本科批,77_2971,77,2971,北京,2022,交通运输,本科(普通) (1),工学 (10),交通运输类 (80),中外合作办学,本科批,综合,591,0,0,9990,（中外合作办学）（机场运行与管理）,物理必选
score_77_3009_11_2022_3_本科批,77_3009,77,3009,北京,2022,探测制导与控制技术,本科(普通) (1),工学 (10),兵器类 (83),普通类,本科批,综合,624,0,0,5530,,物理必选
score_77_3006_11_2022_3_本科批,77_3006,77,3006,北京,2022,自动化,本科(普通) (1),工学 (10),自动化类 (70),普通类,本科批,综合,623,0,0,5653,,物理必选
score_77_2969_11_2022_3_本科批,77_2969,77,2969,北京,2022,机械工程,本科(普通) (1),工学 (10),机械类 (64),普通类,本科批,综合,622,0,0,5775,,物理必选
score_77_2971_11_2022_3_本科批,77_2971,77,2971,北京,2022,交通运输,本科(普通) (1),工学 (10),交通运输类 (80),普通类,本科批,综合,619,0,0,6115,（机场运行与管理）,物理必选
score_77_2971_11_2022_3_本科批,77_2971,77,2971,北京,2022,交通运输,本科(普通) (1),工学 (10),交通运输类 (80),普通类,本科批,综合,619,0,0,6115,（空中交通管制与签派）,物理必选
score_77_2954_11_2022_3_本科批,77_2954,77,2954,北京,2022,材料科学与工程,本科(普通) (1),工学 (10),材料类 (66),普通类,本科批,综合,617,0,0,6380,,物理必选
score_77_2971_11_2022_3_本科批,77_2971,77,2971,北京,2022,交通运输,本科(普通) (1),工学 (10),交通运输类 (80),普通类,本科批,综合,617,0,0,6380,（民航运输管理）,物理必选
score_77_2998_11_2022_3_本科批,77_2998,77,2998,北京,2022,飞行器适航技术,本科(普通) (1),工学 (10),航空航天类 (82),普通类,本科批,综合,617,0,0,6380,,物理必选
score_77_2971_11_2022_3_本科批,77_2971,77,2971,北京,2022,交通运输,本科(普通) (1),工学 (10),交通运输类 (80),普通类,本科批,综合,616,0,0,6509,（民航电子电气工程）,物理必选
score_77_2966_11_2022_3_本科批,77_2966,77,2966,北京,2022,广播电视学,本科(普通) (1),文学 (7),新闻传播学类 (49),普通类,本科批,综合,603,0,0,8264,,不限
score_77_2971_11_2022_3_本科批,77_2971,77,2971,北京,2022,交通运输,本科(普通) (1),工学 (10),交通运输类 (80),中外合作办学,本科批,综合,591,0,0,9990,（中外合作办学）（机场运行与管理）,物理必选
score_77_2966_11_2022_3_本科批,77_2966,77,2966,北京,2022,广播电视学,本科(普通) (1),文学 (7),新闻传播学类 (49),普通类,本科批,综合,603,0,0,8264,,不限
score_77_3009_11_2022_3_本科批,77_3009,77,3009,北京,2022,探测制导与控制技术,本科(普通) (1),工学 (10),兵器类 (83),普通类,本科批,综合,624,0,0,5530,,物理必选
score_77_3006_11_2022_3_本科批,77_3006,77,3006,北京,2022,自动化,本科(普通) (1),工学 (10),自动化类 (70),普通类,本科批,综合,623,0,0,5653,,物理必选
score_77_2969_11_2022_3_本科批,77_2969,77,2969,北京,2022,机械工程,本科(普通) (1),工学 (10),机械类 (64),普通类,本科批,综合,622,0,0,5775,,物理必选
score_77_2971_11_2022_3_本科批,77_2971,77,2971,北京,2022,交通运输,本科(普通) (1),工学 (10),交通运输类 (80),普通类,本科批,综合,619,0,0,6115,（机场运行与管理）,物理必选
score_77_2971_11_2022_3_本科批,77_2971,77,2971,北京,2022,交通运输,本科(普通) (1),工学 (10),交通运输类 (80),普通类,本科批,综合,619,0,0,6115,（空中交通管制与签派）,物理必选
score_77_2954_11_2022_3_本科批,77_2954,77,2954,北京,2022,材料科学与工程,本科(普通) (1),工学 (10),材料类 (66),普通类,本科批,综合,617,0,0,6380,,物理必选
score_77_2971_11_2022_3_本科批,77_2971,77,2971,北京,2022,交通运输,本科(普通) (1),工学 (10),交通运输类 (80),普通类,本科批,综合,617,0,0,6380,（民航运输管理）,物理必选
score_77_2998_11_2022_3_本科批,77_2998,77,2998,北京,2022,飞行器适航技术,本科(普通) (1),工学 (10),航空航天类 (82),普通类,本科批,综合,617,0,0,6380,,物理必选
score_77_2971_11_2022_3_本科批,77_2971,77,2971,北京,2022,交通运输,本科(普通) (1),工学 (10),交通运输类 (80),普通类,本科批,综合,616,0,0,6509,（民航电子电气工程）,物理必选
score_77_2970_12_2022_3_本科批A段,77_2970,77,2970,天津,2022,微电子科学与工程,本科(普通) (1),工学 (10),电子信息类 (69),普通类,本科批A段,综合,654,0,0,4302,,物理必选
score_77_2985_12_2022_3_本科批A段,77_2985,77,2985,天津,2022,信息安全,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批A段,综合,654,0,0,4302,,物理必选
score_77_2988_12_2022_3_本科批A段,77_2988,77,2988,天津,2022,软件工程,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批A段,综合,653,0,0,4459,,物理必选
score_77_3006_12_2022_3_本科批A段,77_3006,77,3006,天津,2022,自动化,本科(普通) (1),工学 (10),自动化类 (70),普通类,本科批A段,综合,653,0,0,4459,,物理必选
score_77_3013_12_2022_3_本科批A段,77_3013,77,3013,天津,2022,电气工程及其自动化,本科(普通) (1),工学 (10),电气类 (68),普通类,本科批A段,综合,653,0,0,4459,,物理必选
score_77_2969_12_2022_3_本科批A段,77_2969,77,2969,天津,2022,机械工程,本科(普通) (1),工学 (10),机械类 (64),普通类,本科批A段,综合,652,0,0,4625,,物理必选
score_77_2971_12_2022_3_本科批A段,77_2971,77,2971,天津,2022,交通运输,本科(普通) (1),工学 (10),交通运输类 (80),普通类,本科批A段,综合,652,0,0,4625,,物理必选
