score_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,min,max,average,min_section,info,sg_info
score_59_1905_11_2022_3_本科批,59_1905,59,1905,北京,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,综合,656,0,0,2202,,不限
score_59_1905_11_2022_3_本科批,59_1905,59,1905,北京,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,综合,656,0,0,2202,,不限
score_59_170744_12_2022_3_本科批A段,59_170744,59,170744,天津,2022,眼视光医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科批A段,综合,684,0,0,1038,,化学、生物(2科必选)
score_59_1900_12_2022_3_本科批A段,59_1900,59,1900,天津,2022,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科批A段,综合,677,0,0,1580,,化学、生物(2科必选)
score_59_1886223_12_2022_3_本科批A段,59_1886223,59,1886223,天津,2022,智能医学工程,本科 (1),医学 (12),医学技术类 (110),普通类,本科批A段,综合,677,0,0,1580,,物理必选
score_59_1905_12_2022_3_本科批A段,59_1905,59,1905,天津,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批A段,综合,673,0,0,1931,,不限
score_59_170744_12_2022_3_本科批A段,59_170744,59,170744,天津,2022,眼视光医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科批A段,综合,684,0,0,1038,,化学、生物(2科必选)
score_59_1900_12_2022_3_本科批A段,59_1900,59,1900,天津,2022,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科批A段,综合,677,0,0,1580,,化学、生物(2科必选)
score_59_1886223_12_2022_3_本科批A段,59_1886223,59,1886223,天津,2022,智能医学工程,本科 (1),医学 (12),医学技术类 (110),普通类,本科批A段,综合,677,0,0,1580,,物理必选
score_59_1905_12_2022_3_本科批A段,59_1905,59,1905,天津,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批A段,综合,673,0,0,1931,,不限
score_59_1905_13_2022_2074_本科批,59_1905,59,1905,河北,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,历史类,632,0,0,307,,
score_59_1901_13_2022_2073_本科批,59_1901,59,1901,河北,2022,口腔医学,本科 (1),医学 (12),口腔医学类 (103),普通类,本科批,物理类,632,0,0,2283,,
score_59_1905_14_2022_2_本科一批A段,59_1905,59,1905,山西,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科一批A段,文科,595,0,597,200,,
score_59_1886223_14_2022_1_本科一批A段,59_1886223,59,1886223,山西,2022,智能医学工程,本科 (1),医学 (12),医学技术类 (110),普通类,本科一批A段,理科,604,0,605,2269,,
score_59_1905_15_2022_2_本科一批,59_1905,59,1905,内蒙古,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科一批,文科,590,602,0,146,,
score_59_1905_21_2022_2074_本科批,59_1905,59,1905,辽宁,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,历史类,628,0,0,289,,
score_59_1905_22_2022_2_本科一批A段,59_1905,59,1905,吉林,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科一批A段,文科,580,588,584,295,,
score_59_1900_22_2022_1_本科一批A段,59_1900,59,1900,吉林,2022,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科一批A段,理科,615,638,627,1100,（学制5年）（5+3一体化）（仅录取填报该专业志愿的考生，本硕连读。）,
score_59_1901_23_2022_1_本科一批A段,59_1901,59,1901,黑龙江,2022,口腔医学,本科 (1),医学 (12),口腔医学类 (103),普通类,本科一批A段,理科,612,612,0,965,（仅录取填报该专业志愿的考生）,
score_59_170744_23_2022_1_本科一批A段,59_170744,59,170744,黑龙江,2022,眼视光医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科一批A段,理科,606,606,0,1191,（仅录取填报该专业志愿的考生）,
