score_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,min,max,average,min_section,info,sg_info
score_108_5076_11_2022_3_本科批,108_5076,108,5076,北京,2022,经济学,本科 (1),经济学 (4),经济学类 (35),普通类,本科批,综合,565,0,0,14087,,不限
score_108_5076_11_2022_3_本科批,108_5076,108,5076,北京,2022,经济学,本科 (1),经济学 (4),经济学类 (35),普通类,本科批,综合,565,0,0,14087,,不限
score_108_5011_12_2022_3_本科批A段,108_5011,108,5011,天津,2022,会计学,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批A段,综合,633,0,0,7774,,不限
score_108_5011_12_2022_3_本科批A段,108_5011,108,5011,天津,2022,会计学,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批A段,综合,632,0,0,7969,,不限
score_108_5022_12_2022_3_本科批A段,108_5022,108,5022,天津,2022,德语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批A段,综合,632,0,0,7969,,不限
score_108_5042_12_2022_3_本科批A段,108_5042,108,5042,天津,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科批A段,综合,631,0,0,8146,,物理必选
score_108_5009_12_2022_3_本科批A段,108_5009,108,5009,天津,2022,工商管理,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批A段,综合,629,0,0,8499,,不限
score_108_5052_12_2022_3_本科批A段,108_5052,108,5052,天津,2022,机械设计制造及其自动化,本科 (1),工学 (10),机械类 (64),普通类,本科批A段,综合,624,0,0,9389,,物理、化学(2科必选)
score_108_5054_12_2022_3_本科批A段,108_5054,108,5054,天津,2022,能源与动力工程,本科 (1),工学 (10),能源动力类 (67),普通类,本科批A段,综合,623,0,0,9588,,物理、化学(2科必选)
score_108_5063_12_2022_3_本科批A段,108_5063,108,5063,天津,2022,生态学,本科 (1),理学 (9),生物科学类 (60),普通类,本科批A段,综合,621,0,0,9949,,物/化/生(3选1)
score_108_5026_12_2022_3_本科批A段,108_5026,108,5026,天津,2022,材料成型及控制工程,本科 (1),工学 (10),机械类 (64),普通类,本科批A段,综合,619,0,0,10292,,物理、化学(2科必选)
score_108_4988_12_2022_3_本科批A段,108_4988,108,4988,天津,2022,护理学,本科 (1),医学 (12),护理学类 (111),普通类,本科批A段,综合,598,0,0,14513,,不限
score_108_5011_12_2022_3_本科批A段,108_5011,108,5011,天津,2022,会计学,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批A段,综合,632,0,0,7969,,不限
score_108_5022_12_2022_3_本科批A段,108_5022,108,5022,天津,2022,德语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批A段,综合,632,0,0,7969,,不限
score_108_5009_12_2022_3_本科批A段,108_5009,108,5009,天津,2022,工商管理,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批A段,综合,629,0,0,8499,,不限
score_108_5011_12_2022_3_本科批A段,108_5011,108,5011,天津,2022,会计学,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批A段,综合,633,0,0,7774,,不限
score_108_5042_12_2022_3_本科批A段,108_5042,108,5042,天津,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科批A段,综合,631,0,0,8146,,物理必选
score_108_5052_12_2022_3_本科批A段,108_5052,108,5052,天津,2022,机械设计制造及其自动化,本科 (1),工学 (10),机械类 (64),普通类,本科批A段,综合,624,0,0,9389,,物理、化学(2科必选)
score_108_5054_12_2022_3_本科批A段,108_5054,108,5054,天津,2022,能源与动力工程,本科 (1),工学 (10),能源动力类 (67),普通类,本科批A段,综合,623,0,0,9588,,物理、化学(2科必选)
score_108_5026_12_2022_3_本科批A段,108_5026,108,5026,天津,2022,材料成型及控制工程,本科 (1),工学 (10),机械类 (64),普通类,本科批A段,综合,619,0,0,10292,,物理、化学(2科必选)
score_108_5063_12_2022_3_本科批A段,108_5063,108,5063,天津,2022,生态学,本科 (1),理学 (9),生物科学类 (60),普通类,本科批A段,综合,621,0,0,9949,,物/化/生(3选1)
score_108_4988_12_2022_3_本科批A段,108_4988,108,4988,天津,2022,护理学,本科 (1),医学 (12),护理学类 (111),普通类,本科批A段,综合,598,0,0,14513,,不限
score_108_4978_13_2022_2074_本科批,108_4978,108,4978,河北,2022,历史学,本科 (1),历史学 (8),历史学类 (50),普通类,本科批,历史类,596,0,0,2579,,
score_108_5019_13_2022_2074_本科批,108_5019,108,5019,河北,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,历史类,594,0,0,2811,,
score_108_89976_13_2022_2074_本科批,108_89976,108,89976,河北,2022,应用心理学,本科 (1),理学 (9),心理学类 (61),普通类,本科批,历史类,594,0,0,2811,,
score_108_5025_13_2022_2074_本科批,108_5025,108,5025,河北,2022,哲学,本科 (1),哲学 (3),哲学类 (34),普通类,本科批,历史类,593,0,0,2910,,
score_108_5009_13_2022_2074_本科批,108_5009,108,5009,河北,2022,工商管理,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,历史类,592,0,0,3025,,
score_108_1861804_13_2022_2074_本科批,108_1861804,108,1861804,河北,2022,社会学,本科 (1),法学 (5),社会学类 (41),普通类,本科批,历史类,591,0,0,3155,,
score_108_5023_13_2022_2074_本科批,108_5023,108,5023,河北,2022,法语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,历史类,590,0,0,3308,,
score_108_5042_13_2022_2073_本科批,108_5042,108,5042,河北,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科批,物理类,593,0,0,12676,,
score_108_5011_13_2022_2073_本科批,108_5011,108,5011,河北,2022,会计学,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,物理类,589,0,0,14462,,
score_108_5052_13_2022_2073_本科批,108_5052,108,5052,河北,2022,机械设计制造及其自动化,本科 (1),工学 (10),机械类 (64),普通类,本科批,物理类,588,0,0,14950,,
score_108_89957_13_2022_2073_本科批,108_89957,108,89957,河北,2022,金融数学,本科 (1),经济学 (4),金融学类 (37),普通类,本科批,物理类,587,0,0,15439,,
score_108_5026_13_2022_2073_本科批,108_5026,108,5026,河北,2022,材料成型及控制工程,本科 (1),工学 (10),机械类 (64),普通类,本科批,物理类,580,0,0,19205,,
score_108_89972_13_2022_2073_本科批,108_89972,108,89972,河北,2022,工程力学,本科 (1),工学 (10),力学类 (63),普通类,本科批,物理类,580,0,0,19205,,
score_108_4988_13_2022_2073_本科批,108_4988,108,4988,河北,2022,护理学,本科 (1),医学 (12),护理学类 (111),普通类,本科批,物理类,559,0,0,33069,,
score_108_5011_14_2022_2_本科一批A段,108_5011,108,5011,山西,2022,会计学,本科 (1),管理学 (13),工商管理类 (113),普通类,本科一批A段,文科,556,0,556,1845,,
score_108_4978_14_2022_2_本科一批A段,108_4978,108,4978,山西,2022,历史学,本科 (1),历史学 (8),历史学类 (50),普通类,本科一批A段,文科,555,0,555,1931,,
score_108_5022_14_2022_2_本科一批A段,108_5022,108,5022,山西,2022,德语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科一批A段,文科,554,0,559,2014,,
score_108_5035_14_2022_1_本科一批A段,108_5035,108,5035,山西,2022,口腔医学,本科 (1),医学 (12),口腔医学类 (103),普通类,本科一批A段,理科,566,0,569,8340,,
score_108_5032_14_2022_1_本科一批A段,108_5032,108,5032,山西,2022,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科一批A段,理科,564,0,567,8845,,
score_108_4996_14_2022_1_本科一批A段,108_4996,108,4996,山西,2022,自动化,本科 (1),工学 (10),自动化类 (70),普通类,本科一批A段,理科,559,0,560,10221,,
score_108_4984_14_2022_1_本科一批A段,108_4984,108,4984,山西,2022,医学检验技术,本科 (1),医学 (12),医学技术类 (110),普通类,本科一批A段,理科,556,0,559,11068,,
score_108_5052_14_2022_1_本科一批A段,108_5052,108,5052,山西,2022,机械设计制造及其自动化,本科 (1),工学 (10),机械类 (64),普通类,本科一批A段,理科,556,0,557,11068,,
score_108_5054_14_2022_1_本科一批A段,108_5054,108,5054,山西,2022,能源与动力工程,本科 (1),工学 (10),能源动力类 (67),普通类,本科一批A段,理科,555,0,556,11357,,
score_108_89979_14_2022_1_本科一批A段,108_89979,108,89979,山西,2022,康复治疗学,本科 (1),医学 (12),医学技术类 (110),普通类,本科一批A段,理科,554,0,559,11651,,
score_108_5056_14_2022_1_本科一批A段,108_5056,108,5056,山西,2022,过程装备与控制工程,本科 (1),工学 (10),机械类 (64),普通类,本科一批A段,理科,554,0,554,11651,,
score_108_5040_14_2022_1_本科一批A段,108_5040,108,5040,山西,2022,工业工程,本科 (1),管理学 (13),工业工程类 (118),普通类,本科一批A段,理科,553,0,553,11934,,
score_108_5009_14_2022_1_本科一批A段,108_5009,108,5009,山西,2022,工商管理,本科 (1),管理学 (13),工商管理类 (113),普通类,本科一批A段,理科,551,0,552,12599,,
score_108_5027_14_2022_1_本科一批A段,108_5027,108,5027,山西,2022,药学,本科 (1),医学 (12),药学类 (107),普通类,本科一批A段,理科,540,0,551,16390,,
score_108_89976_14_2022_1_本科一批A段,108_89976,108,89976,山西,2022,应用心理学,本科 (1),理学 (9),心理学类 (61),普通类,本科一批A段,理科,540,0,540,16390,,
score_108_5003_14_2022_1_本科一批A段,108_5003,108,5003,山西,2022,生物工程,本科 (1),工学 (10),生物工程类 (92),普通类,本科一批A段,理科,538,0,538,17134,,
score_108_5077_15_2022_1_本科一批,108_5077,108,5077,内蒙古,2022,金融学,本科 (1),经济学 (4),金融学类 (37),普通类,本科一批,理科,557,571,0,4653,,
score_108_5042_15_2022_1_本科一批,108_5042,108,5042,内蒙古,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科一批,理科,556,565,0,4761,,
score_108_5027_15_2022_1_本科一批,108_5027,108,5027,内蒙古,2022,药学,本科 (1),医学 (12),药学类 (107),普通类,本科一批,理科,513,541,0,10908,,
score_108_5009_15_2022_1_本科一批,108_5009,108,5009,内蒙古,2022,工商管理,本科 (1),管理学 (13),工商管理类 (113),普通类,本科一批,理科,508,508,0,11805,,
score_108_5052_15_2022_1_本科一批,108_5052,108,5052,内蒙古,2022,机械设计制造及其自动化,本科 (1),工学 (10),机械类 (64),普通类,本科一批,理科,493,548,0,14786,,
score_108_5019_15_2022_2_本科一批,108_5019,108,5019,内蒙古,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科一批,文科,519,544,0,2400,,
score_108_5076_21_2022_2074_本科批,108_5076,108,5076,辽宁,2022,经济学,本科 (1),经济学 (4),经济学类 (35),普通类,本科批,历史类,579,0,0,2570,,
score_108_5009_21_2022_2074_本科批,108_5009,108,5009,辽宁,2022,工商管理,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,历史类,575,0,0,2889,,
score_108_5018_21_2022_2074_本科批,108_5018,108,5018,辽宁,2022,档案学,本科 (1),管理学 (13),图书情报与档案管理类 (116),普通类,本科批,历史类,573,0,0,3083,,
score_108_5020_21_2022_2074_本科批,108_5020,108,5020,辽宁,2022,日语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,历史类,570,0,0,3347,,
score_108_4988_21_2022_2074_本科批,108_4988,108,4988,辽宁,2022,护理学,本科 (1),医学 (12),护理学类 (111),普通类,本科批,历史类,553,0,0,5252,,
score_108_5042_21_2022_2073_本科批,108_5042,108,5042,辽宁,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科批,物理类,598,0,0,9934,,
score_108_4996_21_2022_2073_本科批,108_4996,108,4996,辽宁,2022,自动化,本科 (1),工学 (10),自动化类 (70),普通类,本科批,物理类,597,0,0,10190,,
score_108_5052_21_2022_2073_本科批,108_5052,108,5052,辽宁,2022,机械设计制造及其自动化,本科 (1),工学 (10),机械类 (64),普通类,本科批,物理类,592,0,0,11542,,
score_108_5054_21_2022_2073_本科批,108_5054,108,5054,辽宁,2022,能源与动力工程,本科 (1),工学 (10),能源动力类 (67),普通类,本科批,物理类,591,0,0,11816,,
