score_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,min,max,average,min_section,info,sg_info
score_102_4478_11_2022_3_本科批,102_4478,102,4478,北京,2022,会计学,本科(普通) (1),管理学 (13),工商管理类 (113),普通类,本科批,综合,653,0,0,2465,（含会计、财务、审计）,不限
score_102_1026407_11_2022_3_本科批,102_1026407,102,1026407,北京,2022,数据科学与大数据技术,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批,综合,647,0,0,3036,,物理必选
score_102_4478_11_2022_3_本科批,102_4478,102,4478,北京,2022,会计学,本科(普通) (1),管理学 (13),工商管理类 (113),普通类,本科批,综合,653,0,0,2465,（含会计、财务、审计）,不限
score_102_1026407_11_2022_3_本科批,102_1026407,102,1026407,北京,2022,数据科学与大数据技术,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批,综合,647,0,0,3036,,物理必选
score_102_4478_12_2022_3_本科批A段,102_4478,102,4478,天津,2022,会计学,本科(普通) (1),管理学 (13),工商管理类 (113),普通类,本科批A段,综合,676,0,0,1658,,不限
score_102_1026407_12_2022_3_本科批A段,102_1026407,102,1026407,天津,2022,数据科学与大数据技术,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批A段,综合,677,0,0,1580,,物理必选
score_102_4478_12_2022_3_本科批A段,102_4478,102,4478,天津,2022,会计学,本科(普通) (1),管理学 (13),工商管理类 (113),普通类,本科批A段,综合,676,0,0,1658,,不限
score_102_1026407_12_2022_3_本科批A段,102_1026407,102,1026407,天津,2022,数据科学与大数据技术,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批A段,综合,677,0,0,1580,,物理必选
score_102_1026407_13_2022_2073_本科批,102_1026407,102,1026407,河北,2022,数据科学与大数据技术,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批,物理类,631,0,0,2418,,
score_102_4505_13_2022_2073_本科批,102_4505,102,4505,河北,2022,药学,本科(普通) (1),医学 (12),药学类 (107),普通类,本科批,物理类,623,0,0,3705,,
score_102_1026407_14_2022_1_本科一批A段,102_1026407,102,1026407,山西,2022,数据科学与大数据技术,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科一批A段,理科,609,0,609,1864,,
score_102_4505_15_2022_1_本科一批,102_4505,102,4505,内蒙古,2022,药学,本科(普通) (1),医学 (12),药学类 (107),普通类,本科一批,理科,588,594,0,1997,,
score_102_4478_22_2022_2_本科一批A段,102_4478,102,4478,吉林,2022,会计学,本科(普通) (1),管理学 (13),工商管理类 (113),普通类,本科一批A段,文科,577,577,577,344,（含会计、财务、审计）（含会计学、财务管理、审计学专业）,
score_102_4478_22_2022_1_本科一批A段,102_4478,102,4478,吉林,2022,会计学,本科(普通) (1),管理学 (13),工商管理类 (113),普通类,本科一批A段,理科,618,623,621,997,（含会计、财务、审计）（含会计学、财务管理、审计学专业）,
score_102_4505_22_2022_1_本科一批A段,102_4505,102,4505,吉林,2022,药学,本科(普通) (1),医学 (12),药学类 (107),普通类,本科一批A段,理科,600,606,603,1894,,
score_102_4505_23_2022_1_本科一批A段,102_4505,102,4505,黑龙江,2022,药学,本科(普通) (1),医学 (12),药学类 (107),普通类,本科一批A段,理科,579,579,0,2974,,
score_102_4478_32_2022_2074_本科批,102_4478,102,4478,江苏,2022,会计学,本科(普通) (1),管理学 (13),工商管理类 (113),普通类,本科批,历史类,575,582,0,4286,（以马币形式收取）（］该校要求报考以下专业外语成绩不低于120分，以下均为厦门大学马来•亩亚分校招星专业，就读地点崭莺来西亚雷兰莪州雪邦沙功丁宜，培养方式依照马来西亚规定，入学第一年期间达到所录取专业要求的雅思或托福或MUET等成绩后开始学位课程学习，学习期满并达到有关培养要求，可颁发相应的毕业证书，具体情况详询院校）,首选历史，再选不限
score_102_4534_32_2022_2074_本科批,102_4534,102,4534,江苏,2022,新闻学,本科(普通) (1),文学 (7),新闻传播学类 (49),普通类,本科批,历史类,574,574,0,4499,（以马币形式收取）（］该校要求报考以下专业外语成绩不低于120分，以下均为厦门大学马来•亩亚分校招星专业，就读地点崭莺来西亚雷兰莪州雪邦沙功丁宜，培养方式依照马来西亚规定，入学第一年期间达到所录取专业要求的雅思或托福或MUET等成绩后开始学位课程学习，学习期满并达到有关培养要求，可颁发相应的毕业证书，具体情况详询院校）,首选历史，再选不限
score_102_4543_32_2022_2074_本科批,102_4543,102,4543,江苏,2022,英语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科批,历史类,570,572,0,5382,（只招英语考生）（［学费为2.5万林吉特/年）（以马币形式收取）（］该校要求报考以下专业外语成绩不低于120分，以下均为厦门大学马来•亩亚分校招星专业，就读地点崭莺来西亚雷兰莪州雪邦沙功丁宜，培养方式依照马来西亚规定，入学第一年期间达到所录取专业要求的雅思或托福或MUET等成绩后开始学位课程学习，学习期满并达到有关培养要求，可颁发相应的毕业证书，具体情况详询院校）,首选历史，再选不限
score_102_4545_32_2022_2074_本科批,102_4545,102,4545,江苏,2022,汉语言文学,本科(普通) (1),文学 (7),中国语言文学类 (47),普通类,本科批,历史类,570,570,0,5382,（以马币形式收取）（］该校要求报考以下专业外语成绩不低于120分，以下均为厦门大学马来•亩亚分校招星专业，就读地点崭莺来西亚雷兰莪州雪邦沙功丁宜，培养方式依照马来西亚规定，入学第一年期间达到所录取专业要求的雅思或托福或MUET等成绩后开始学位课程学习，学习期满并达到有关培养要求，可颁发相应的毕业证书，具体情况详询院校）,首选历史，再选不限
score_102_4478_32_2022_2074_本科批,102_4478,102,4478,江苏,2022,会计学,本科(普通) (1),管理学 (13),工商管理类 (113),普通类,本科批,历史类,609,609,0,495,（报考该专业须查阅院校招生网站并详询院校）（在思明校区学习）,首选历史，再选不限
score_102_4478_32_2022_2074_本科批,102_4478,102,4478,江苏,2022,会计学,本科(普通) (1),管理学 (13),工商管理类 (113),普通类,本科批,历史类,575,582,0,4286,（以马币形式收取）（］该校要求报考以下专业外语成绩不低于120分，以下均为厦门大学马来•亩亚分校招星专业，就读地点崭莺来西亚雷兰莪州雪邦沙功丁宜，培养方式依照马来西亚规定，入学第一年期间达到所录取专业要求的雅思或托福或MUET等成绩后开始学位课程学习，学习期满并达到有关培养要求，可颁发相应的毕业证书，具体情况详询院校）,首选历史，再选不限
score_102_4534_32_2022_2074_本科批,102_4534,102,4534,江苏,2022,新闻学,本科(普通) (1),文学 (7),新闻传播学类 (49),普通类,本科批,历史类,574,574,0,4499,（以马币形式收取）（］该校要求报考以下专业外语成绩不低于120分，以下均为厦门大学马来•亩亚分校招星专业，就读地点崭莺来西亚雷兰莪州雪邦沙功丁宜，培养方式依照马来西亚规定，入学第一年期间达到所录取专业要求的雅思或托福或MUET等成绩后开始学位课程学习，学习期满并达到有关培养要求，可颁发相应的毕业证书，具体情况详询院校）,首选历史，再选不限
score_102_4543_32_2022_2074_本科批,102_4543,102,4543,江苏,2022,英语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科批,历史类,570,572,0,5382,（只招英语考生）（［学费为2.5万林吉特/年）（以马币形式收取）（］该校要求报考以下专业外语成绩不低于120分，以下均为厦门大学马来•亩亚分校招星专业，就读地点崭莺来西亚雷兰莪州雪邦沙功丁宜，培养方式依照马来西亚规定，入学第一年期间达到所录取专业要求的雅思或托福或MUET等成绩后开始学位课程学习，学习期满并达到有关培养要求，可颁发相应的毕业证书，具体情况详询院校）,首选历史，再选不限
score_102_4545_32_2022_2074_本科批,102_4545,102,4545,江苏,2022,汉语言文学,本科(普通) (1),文学 (7),中国语言文学类 (47),普通类,本科批,历史类,570,570,0,5382,（以马币形式收取）（］该校要求报考以下专业外语成绩不低于120分，以下均为厦门大学马来•亩亚分校招星专业，就读地点崭莺来西亚雷兰莪州雪邦沙功丁宜，培养方式依照马来西亚规定，入学第一年期间达到所录取专业要求的雅思或托福或MUET等成绩后开始学位课程学习，学习期满并达到有关培养要求，可颁发相应的毕业证书，具体情况详询院校）,首选历史，再选不限
score_102_4478_32_2022_2074_本科批,102_4478,102,4478,江苏,2022,会计学,本科(普通) (1),管理学 (13),工商管理类 (113),普通类,本科批,历史类,609,609,0,495,（报考该专业须查阅院校招生网站并详询院校）（在思明校区学习）,首选历史，再选不限
score_102_4467_32_2022_2073_本科批,102_4467,102,4467,江苏,2022,金融学,本科(普通) (1),经济学 (4),金融学类 (37),普通类,本科批,物理类,604,604,0,11739,（以马币形式收取）（该校要求报考以下专业外语成绩不低于120分，以下均为厦门大学马来西亚分校招生专业，就读地点为马来西亚雪兰莪州雪邦沙叻丁宜，培养方式依照马来西亚规定，入学第一年期间达到所录取专业要求的雅思或托福或MUET等成绩后开始学位课程学习，学习期满并达到有关培养要求，可颁发相应的毕业证书，具体情况详询院校）,首选物理，再选不限
