score_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,min,max,average,min_section,info,sg_info
score_63_2195_11_2022_3_本科批,63_2195,63,2195,北京,2022,电气工程及其自动化,本科(普通) (1),工学 (10),电气类 (68),普通类,本科批,综合,597,0,0,9101,,物理必选
score_63_2202_11_2022_3_本科批,63_2202,63,2202,北京,2022,计算机科学与技术,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批,综合,590,0,0,10139,,物理必选
score_63_2138_11_2022_3_本科批,63_2138,63,2138,北京,2022,软件工程,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批,综合,586,0,0,10758,,物理必选
score_63_2189_11_2022_3_本科批,63_2189,63,2189,北京,2022,通信工程,本科(普通) (1),工学 (10),电子信息类 (69),普通类,本科批,综合,578,0,0,12007,,物理必选
score_63_2145_11_2022_3_本科批,63_2145,63,2145,北京,2022,信息管理与信息系统,本科(普通) (1),管理学 (13),管理科学与工程类 (112),普通类,本科批,综合,577,0,0,12183,,物理必选
score_63_2139_11_2022_3_本科批,63_2139,63,2139,北京,2022,车辆工程,本科(普通) (1),工学 (10),机械类 (64),普通类,本科批,综合,576,0,0,12334,,物理必选
score_63_2136_11_2022_3_本科批,63_2136,63,2136,北京,2022,数学与应用数学,本科(普通) (1),理学 (9),数学类 (51),普通类,本科批,综合,575,0,0,12490,,物理必选
score_63_2175_11_2022_3_本科批,63_2175,63,2175,北京,2022,高分子材料与工程,本科(普通) (1),工学 (10),材料类 (66),普通类,本科批,综合,568,0,0,13571,,物理、化学(2科必选)
score_63_2175_11_2022_3_本科批,63_2175,63,2175,北京,2022,高分子材料与工程,本科(普通) (1),工学 (10),材料类 (66),普通类,本科批,综合,568,0,0,13571,,物理、化学(2科必选)
score_63_2195_11_2022_3_本科批,63_2195,63,2195,北京,2022,电气工程及其自动化,本科(普通) (1),工学 (10),电气类 (68),普通类,本科批,综合,597,0,0,9101,,物理必选
score_63_2202_11_2022_3_本科批,63_2202,63,2202,北京,2022,计算机科学与技术,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批,综合,590,0,0,10139,,物理必选
score_63_2138_11_2022_3_本科批,63_2138,63,2138,北京,2022,软件工程,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批,综合,586,0,0,10758,,物理必选
score_63_2189_11_2022_3_本科批,63_2189,63,2189,北京,2022,通信工程,本科(普通) (1),工学 (10),电子信息类 (69),普通类,本科批,综合,578,0,0,12007,,物理必选
score_63_2145_11_2022_3_本科批,63_2145,63,2145,北京,2022,信息管理与信息系统,本科(普通) (1),管理学 (13),管理科学与工程类 (112),普通类,本科批,综合,577,0,0,12183,,物理必选
score_63_2139_11_2022_3_本科批,63_2139,63,2139,北京,2022,车辆工程,本科(普通) (1),工学 (10),机械类 (64),普通类,本科批,综合,576,0,0,12334,,物理必选
score_63_2136_11_2022_3_本科批,63_2136,63,2136,北京,2022,数学与应用数学,本科(普通) (1),理学 (9),数学类 (51),普通类,本科批,综合,575,0,0,12490,,物理必选
score_63_2177_12_2022_3_本科批A段,63_2177,63,2177,天津,2022,建筑学,本科(普通) (1),工学 (10),建筑类 (90),普通类,本科批A段,综合,647,0,0,5404,,物/化/地(3选1)
score_63_2177_12_2022_3_本科批A段,63_2177,63,2177,天津,2022,建筑学,本科(普通) (1),工学 (10),建筑类 (90),普通类,本科批A段,综合,647,0,0,5404,,物/化/地(3选1)
score_63_2202_12_2022_3_本科批A段,63_2202,63,2202,天津,2022,计算机科学与技术,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批A段,综合,646,0,0,5557,,物理必选
score_63_2138_12_2022_3_本科批A段,63_2138,63,2138,天津,2022,软件工程,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批A段,综合,644,0,0,5858,,物理必选
score_63_2195_12_2022_3_本科批A段,63_2195,63,2195,天津,2022,电气工程及其自动化,本科(普通) (1),工学 (10),电气类 (68),普通类,本科批A段,综合,643,0,0,6024,,物理必选
score_63_2199_12_2022_3_本科批A段,63_2199,63,2199,天津,2022,电子信息工程,本科(普通) (1),工学 (10),电子信息类 (69),普通类,本科批A段,综合,642,0,0,6198,,物理必选
score_63_2200_12_2022_3_本科批A段,63_2200,63,2200,天津,2022,信息安全,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批A段,综合,642,0,0,6198,,物理必选
score_63_2144_12_2022_3_本科批A段,63_2144,63,2144,天津,2022,微电子科学与工程,本科(普通) (1),工学 (10),电子信息类 (69),普通类,本科批A段,综合,641,0,0,6376,,物理必选
score_63_2189_12_2022_3_本科批A段,63_2189,63,2189,天津,2022,通信工程,本科(普通) (1),工学 (10),电子信息类 (69),普通类,本科批A段,综合,641,0,0,6376,,物理必选
score_63_100368_12_2022_3_本科批A段,63_100368,63,100368,天津,2022,电子科学与技术,本科(普通) (1),工学 (10),电子信息类 (69),普通类,本科批A段,综合,641,0,0,6376,,物理必选
score_63_2159_12_2022_3_本科批A段,63_2159,63,2159,天津,2022,集成电路设计与集成系统,本科(普通) (1),工学 (10),电子信息类 (69),普通类,本科批A段,综合,640,0,0,6555,,物理必选
score_63_2135_12_2022_3_本科批A段,63_2135,63,2135,天津,2022,信息与计算科学,本科(普通) (1),理学 (9),数学类 (51),普通类,本科批A段,综合,639,0,0,6734,,物理必选
score_63_2145_12_2022_3_本科批A段,63_2145,63,2145,天津,2022,信息管理与信息系统,本科(普通) (1),管理学 (13),管理科学与工程类 (112),普通类,本科批A段,综合,639,0,0,6734,,物理必选
score_63_2136_12_2022_3_本科批A段,63_2136,63,2136,天津,2022,数学与应用数学,本科(普通) (1),理学 (9),数学类 (51),普通类,本科批A段,综合,638,0,0,6890,,物理必选
score_63_2197_12_2022_3_本科批A段,63_2197,63,2197,天津,2022,自动化,本科(普通) (1),工学 (10),自动化类 (70),普通类,本科批A段,综合,637,0,0,7060,,物理必选
score_63_100370_12_2022_3_本科批A段,63_100370,63,100370,天津,2022,机器人工程,本科(普通) (1),工学 (10),自动化类 (70),普通类,本科批A段,综合,637,0,0,7060,,物理必选
score_63_2139_12_2022_3_本科批A段,63_2139,63,2139,天津,2022,车辆工程,本科(普通) (1),工学 (10),机械类 (64),普通类,本科批A段,综合,635,0,0,7401,,物理必选
score_63_1471490_12_2022_3_本科批A段,63_1471490,63,1471490,天津,2022,遥感科学与技术,本科(普通) (1),工学 (10),测绘类 (74),普通类,本科批A段,综合,634,0,0,7592,,物理必选
score_63_2186_12_2022_3_本科批A段,63_2186,63,2186,天津,2022,工业设计,本科(普通) (1),工学 (10),机械类 (64),普通类,本科批A段,综合,633,0,0,7774,,物理必选
score_63_2194_12_2022_3_本科批A段,63_2194,63,2194,天津,2022,工业工程,本科(普通) (1),管理学 (13),工业工程类 (118),普通类,本科批A段,综合,633,0,0,7774,,物理必选
score_63_2170_12_2022_3_本科批A段,63_2170,63,2170,天津,2022,工程力学,本科(普通) (1),工学 (10),力学类 (63),普通类,本科批A段,综合,632,0,0,7969,,物理必选
score_63_2192_12_2022_3_本科批A段,63_2192,63,2192,天津,2022,材料成型及控制工程,本科(普通) (1),工学 (10),机械类 (64),普通类,本科批A段,综合,632,0,0,7969,,物理必选
score_63_583320_12_2022_3_本科批A段,63_583320,63,583320,天津,2022,新能源科学与工程,本科(普通) (1),工学 (10),能源动力类 (67),普通类,本科批A段,综合,631,0,0,8146,,物理/化学(2选1)
score_63_2151_12_2022_3_本科批A段,63_2151,63,2151,天津,2022,能源与动力工程,本科(普通) (1),工学 (10),能源动力类 (67),普通类,本科批A段,综合,630,0,0,8316,,物理/化学(2选1)
score_63_2143_12_2022_3_本科批A段,63_2143,63,2143,天津,2022,金融工程,本科(普通) (1),经济学 (4),金融学类 (37),普通类,本科批A段,综合,629,0,0,8499,,物理/化学(2选1)
score_63_2152_12_2022_3_本科批A段,63_2152,63,2152,天津,2022,交通工程,本科(普通) (1),工学 (10),交通运输类 (80),普通类,本科批A段,综合,629,0,0,8499,,物理/化学(2选1)
score_63_2175_12_2022_3_本科批A段,63_2175,63,2175,天津,2022,高分子材料与工程,本科(普通) (1),工学 (10),材料类 (66),普通类,本科批A段,综合,627,0,0,8819,,物理、化学(2科必选)
score_63_2201_12_2022_3_本科批A段,63_2201,63,2201,天津,2022,化学工程与工艺,本科(普通) (1),工学 (10),化工与制药类 (75),普通类,本科批A段,综合,624,0,0,9389,,物理、化学(2科必选)
score_63_2167_12_2022_3_本科批A段,63_2167,63,2167,天津,2022,环境工程,本科(普通) (1),工学 (10),环境科学与工程类 (87),普通类,本科批A段,综合,622,0,0,9768,,化学必选
score_63_2202_12_2022_3_本科批A段,63_2202,63,2202,天津,2022,计算机科学与技术,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批A段,综合,646,0,0,5557,,物理必选
score_63_2138_12_2022_3_本科批A段,63_2138,63,2138,天津,2022,软件工程,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批A段,综合,644,0,0,5858,,物理必选
score_63_2195_12_2022_3_本科批A段,63_2195,63,2195,天津,2022,电气工程及其自动化,本科(普通) (1),工学 (10),电气类 (68),普通类,本科批A段,综合,643,0,0,6024,,物理必选
score_63_2199_12_2022_3_本科批A段,63_2199,63,2199,天津,2022,电子信息工程,本科(普通) (1),工学 (10),电子信息类 (69),普通类,本科批A段,综合,642,0,0,6198,,物理必选
