score_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,min,max,average,min_section,info,sg_info
score_122_94302_11_2022_3_本科批,122_94302,122,94302,北京,2022,外交学,本科(普通) (1),法学 (5),政治学类 (40),普通类,本科批,综合,621,0,0,5887,,历史/思想政治(2选1)
score_122_5990_11_2022_3_本科批,122_5990,122,5990,北京,2022,法学,本科(普通) (1),法学 (5),法学类 (39),普通类,本科批,综合,641,0,0,3643,,不限
score_122_94313_11_2022_3_本科批,122_94313,122,94313,北京,2022,物理学类,本科(普通) (1),理学 (9),物理学类 (52),普通类,本科批,综合,635,0,0,4288,,物理必选
score_122_94306_11_2022_3_本科批,122_94306,122,94306,北京,2022,通信工程,本科(普通) (1),工学 (10),电子信息类 (69),普通类,本科批,综合,634,0,0,4400,,物理必选
score_122_94308_11_2022_3_本科批,122_94308,122,94308,北京,2022,软件工程,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批,综合,632,0,0,4629,,物理必选
score_122_6000_11_2022_3_本科批,122_6000,122,6000,北京,2022,历史学,本科(普通) (1),历史学 (8),历史学类 (50),普通类,本科批,综合,627,0,0,5172,,历史/地理(2选1)
score_122_6002_11_2022_3_本科批,122_6002,122,6002,北京,2022,考古学,本科(普通) (1),历史学 (8),历史学类 (50),普通类,本科批,综合,627,0,0,5172,,历史/地理(2选1)
score_122_6005_11_2022_3_本科批,122_6005,122,6005,北京,2022,会计学,本科(普通) (1),管理学 (13),工商管理类 (113),普通类,本科批,综合,627,0,0,5172,,不限
score_122_94305_11_2022_3_本科批,122_94305,122,94305,北京,2022,车辆工程,本科(普通) (1),工学 (10),机械类 (64),普通类,本科批,综合,627,0,0,5172,,物理、化学(2科必选)
score_122_94317_11_2022_3_本科批,122_94317,122,94317,北京,2022,化学类,本科(普通) (1),理学 (9),化学类 (53),普通类,本科批,综合,627,0,0,5172,,化学必选
score_122_94320_11_2022_3_本科批,122_94320,122,94320,北京,2022,生物科学类,本科(普通) (1),理学 (9),生物科学类 (60),普通类,本科批,综合,626,0,0,5280,,物/化/生(3选1)
score_122_5985_11_2022_3_本科批,122_5985,122,5985,北京,2022,经济学,本科(普通) (1),经济学 (4),经济学类 (35),普通类,本科批,综合,624,0,0,5530,（国别与区域经济）,不限
score_122_94326_11_2022_3_本科批,122_94326,122,94326,北京,2022,材料物理,本科(普通) (1),工学 (10),材料类 (66),普通类,本科批,综合,623,0,0,5653,,物理、化学(2科必选)
score_122_94327_11_2022_3_本科批,122_94327,122,94327,北京,2022,临床医学,本科(普通) (1),医学 (12),临床医学类 (102),普通类,本科批,综合,622,0,0,5775,（5+3一体化）（五年制）,化学、生物(2科必选)
score_122_170751_11_2022_3_本科批,122_170751,122,170751,北京,2022,仿生科学与工程,本科(普通) (1),工学 (10),机械类 (64),普通类,本科批,综合,622,0,0,5775,,物理、化学(2科必选)
score_122_94302_11_2022_3_本科批,122_94302,122,94302,北京,2022,外交学,本科(普通) (1),法学 (5),政治学类 (40),普通类,本科批,综合,621,0,0,5887,,历史/思想政治(2选1)
score_122_94305_11_2022_3_本科批,122_94305,122,94305,北京,2022,车辆工程,本科(普通) (1),工学 (10),机械类 (64),普通类,本科批,综合,627,0,0,5172,,物理、化学(2科必选)
