score_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,min,max,average,min_section,info,sg_info
score_73_2744_12_2022_3_本科批A段,73_2744,73,2744,天津,2022,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科批A段,综合,686,0,0,893,,化学、生物(2科必选)
score_73_2744_12_2022_3_本科批A段,73_2744,73,2744,天津,2022,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科批A段,综合,686,0,0,893,,化学、生物(2科必选)
score_73_827093_13_2022_2073_本科批,73_827093,73,827093,河北,2022,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科批,物理类,644,0,0,1098,（医学试验班）,
score_73_827093_15_2022_1_本科提前批B段,73_827093,73,827093,内蒙古,2022,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科提前批B段,理科,622,629,0,573,（国家专项计划）,
score_73_608215_15_2022_1_本科提前批B段,73_608215,73,608215,内蒙古,2022,应用化学,本科 (1),理学 (9),化学类 (53),普通类,本科提前批B段,理科,621,623,0,601,（国家专项计划）,
score_73_827093_15_2022_1_本科一批,73_827093,73,827093,内蒙古,2022,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科一批,理科,628,638,0,447,,
score_73_827093_21_2022_2073_本科批,73_827093,73,827093,辽宁,2022,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科批,物理类,657,0,0,777,,
score_73_2744_22_2022_1_本科一批A段,73_2744,73,2744,吉林,2022,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科一批A段,理科,637,640,638,458,（学制5年）（5+3一体化）（本硕衔接培养，四证合一，合格毕业生同时获执）,
score_73_827093_23_2022_1_本科一批A段,73_827093,73,827093,黑龙江,2022,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科一批A段,理科,615,622,0,869,（本硕衔接培养，四证合一。合格毕业生同时获执业医师资格证、住院医师规范化培训合格证书硕士研究生毕业证和学位证。可参加拔尖人才培养特区选拔。该专业不招色盲、色弱考生）,
score_73_2735_31_2022_3_本科批,73_2735,73,2735,上海,2022,数学与应用数学,本科 (1),理学 (9),数学类 (51),普通类,本科批,综合,580,0,584,2335,（数学拔尖学生培养。基础学科拔尖学生培养计划2.0基地）,物理必选
score_73_2735_31_2022_3_本科批,73_2735,73,2735,上海,2022,数学与应用数学,本科 (1),理学 (9),数学类 (51),普通类,本科批,综合,580,0,584,2335,（数学拔尖学生培养。基础学科拔尖学生培养计划2.0基地）,物理必选
score_73_2000003_31_2022_3_本科批,73_2000003,73,2000003,上海,2022,康复物理治疗,本科 (1),医学 (12),医学技术类 (110),普通类,本科批,综合,548,0,554,7427,（无色盲、色弱）（入学后原则上不得转专业。该组投档线单独公布）,物/化/生(3选1)
score_73_562987_31_2022_3_本科批,73_562987,73,562987,上海,2022,护理学,本科 (1),医学 (12),护理学类 (111),普通类,本科批,综合,527,0,534,11799,（无色盲、色弱）（入学后原则上不得转专业。该组投档线单独公布）,物/化/生(3选1)
score_73_562987_31_2022_3_本科批,73_562987,73,562987,上海,2022,护理学,本科 (1),医学 (12),护理学类 (111),普通类,本科批,综合,527,0,534,11799,（无色盲、色弱）（入学后原则上不得转专业。该组投档线单独公布）,物/化/生(3选1)
score_73_2000003_31_2022_3_本科批,73_2000003,73,2000003,上海,2022,康复物理治疗,本科 (1),医学 (12),医学技术类 (110),普通类,本科批,综合,548,0,554,7427,（无色盲、色弱）（入学后原则上不得转专业。该组投档线单独公布）,物/化/生(3选1)
score_73_2732_32_2022_2073_本科批,73_2732,73,2732,江苏,2022,应用物理学,本科 (1),理学 (9),物理学类 (52),普通类,本科批,物理类,637,640,0,1985,（拔尖学生培养基地）（以下各试验班具体专业详见院校招生网站）,首选物理，再选不限
score_73_2732_32_2022_2073_本科批,73_2732,73,2732,江苏,2022,应用物理学,本科 (1),理学 (9),物理学类 (52),普通类,本科批,物理类,637,640,0,1985,（拔尖学生培养基地）（以下各试验班具体专业详见院校招生网站）,首选物理，再选不限
score_73_2744_32_2022_2073_本科批,73_2744,73,2744,江苏,2022,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科批,物理类,635,647,0,2300,（5+3一体化）（本研衔接培养）（报考该有色觉要求，具体请查阅院校招生章程）,首选物理，再选化学/生物(2选1)
score_73_2744_32_2022_2073_本科批,73_2744,73,2744,江苏,2022,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科批,物理类,635,647,0,2300,（5+3一体化）（本研衔接培养）（报考该有色觉要求，具体请查阅院校招生章程）,首选物理，再选化学/生物(2选1)
score_73_827093_33_2022_3_平行录取一段,73_827093,73,827093,浙江,2022,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,平行录取一段,综合,667,0,0,2667,,
score_73_2744_34_2022_1_本科一批,73_2744,73,2744,安徽,2022,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科一批,理科,644,654,650,1816,（5+3一体化）（本硕衔接培养，四证合一，合格毕业生同时获执业医师资格证、住院医师规范化培训合格证、硕士研究生毕业证和学位证;可参加拔尖人才培养特区选拔;不招色盲、色弱考生）,
score_73_827093_37_2022_3_普通类一段,73_827093,73,827093,山东,2022,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,普通类一段,综合,648,0,0,1471,,
score_73_827093_42_2022_2073_本科批,73_827093,73,827093,湖北,2022,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科批,物理类,629,632,631,2565,,首选物理，再选化学/生物(2选1)
score_73_827093_42_2022_2073_本科批,73_827093,73,827093,湖北,2022,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科批,物理类,629,632,631,2565,,首选物理，再选化学/生物(2选1)
score_73_827093_52_2022_1_本科一批,73_827093,73,827093,贵州,2022,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科一批,理科,630,636,0,592,,
score_73_827093_63_2022_1_本科一段,73_827093,73,827093,青海,2022,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科一段,理科,577,0,583,178,,
score_73_827093_65_2022_1_本科一批,73_827093,73,827093,新疆,2022,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科一批,理科,602,604,0,-,（专业备注:本硕衔接培养，录取条件见院校招生章程）,
score_73_2735_11_2023_3_本科批,73_2735,73,2735,北京,2023,数学与应用数学,本科 (1),理学 (9),数学类 (51),普通类,本科批,综合,660,667,663,1836,（数学拔尖学生培养）,物理必选
score_73_2735_11_2023_3_本科批,73_2735,73,2735,北京,2023,数学与应用数学,本科 (1),理学 (9),数学类 (51),普通类,本科批,综合,660,667,663,1836,（数学拔尖学生培养）,物理必选
score_73_2735_12_2023_3_本科批A段,73_2735,73,2735,天津,2023,数学与应用数学,本科 (1),理学 (9),数学类 (51),普通类,本科批A段,综合,684,0,0,-,（数学拔尖学生培养）（基础学科拔尖学生培养计划2.0基地）（上海）（基础学科拔尖学生培养计划2.0基地）,物理必选
score_73_2744_12_2023_3_本科批A段,73_2744,73,2744,天津,2023,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科批A段,综合,679,0,0,818,"（5+3一体化）（本硕衔接培养,四证合一,合格毕业生同时获执业医师资格证、住院医师规范化培训合格证书、硕士研究生毕业证和学位证；可参加拔尖人才培养特区选拔；该专业不招色盲、色弱考生）（上海）（本硕衔接培养,四证合一,合格毕业生同时获执业医师资格证、住院医师规范化培训合格证书、硕士研究生毕业证和学位证；可参加拔尖人才培养特区选拔；该专业不招色盲、色弱考生）",化学、生物(2科必选)
score_73_2744_12_2023_3_本科批A段,73_2744,73,2744,天津,2023,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科批A段,综合,679,0,0,818,"（5+3一体化）（本硕衔接培养,四证合一,合格毕业生同时获执业医师资格证、住院医师规范化培训合格证书、硕士研究生毕业证和学位证；可参加拔尖人才培养特区选拔；该专业不招色盲、色弱考生）（上海）（本硕衔接培养,四证合一,合格毕业生同时获执业医师资格证、住院医师规范化培训合格证书、硕士研究生毕业证和学位证；可参加拔尖人才培养特区选拔；该专业不招色盲、色弱考生）",化学、生物(2科必选)
score_73_2735_12_2023_3_本科批A段,73_2735,73,2735,天津,2023,数学与应用数学,本科 (1),理学 (9),数学类 (51),普通类,本科批A段,综合,684,0,0,-,（数学拔尖学生培养）（基础学科拔尖学生培养计划2.0基地）（上海）（基础学科拔尖学生培养计划2.0基地）,物理必选
score_73_2744_13_2023_2073_本科批,73_2744,73,2744,河北,2023,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科批,物理类,658,0,0,1181,（5+3一体化）（医学试验班）,
score_73_2737_13_2023_2073_本科提前批B段,73_2737,73,2737,河北,2023,地球物理学,本科 (1),理学 (9),地球物理学类 (58),普通类,本科提前批B段,物理类,637,0,0,3975,（国家专项计划；可参加拔尖人才培养特区选拔）,
score_73_2778_13_2023_2073_本科提前批B段,73_2778,73,2778,河北,2023,地质工程,本科 (1),工学 (10),地质类 (76),普通类,本科提前批B段,物理类,635,0,0,4398,（国家专项计划；可参加拔尖人才培养特区选拔）,
score_73_2735_14_2023_1_本科一批A段,73_2735,73,2735,山西,2023,数学与应用数学,本科 (1),理学 (9),数学类 (51),普通类,本科一批A段,理科,640,0,0,951,（数学拔尖学生培养）（基础学科拔尖学生培养计划20基地该校以上专业可参加拔尖人才培养特区选拔）,
score_73_2744_15_2023_1_本科提前批B段,73_2744,73,2744,内蒙古,2023,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科提前批B段,理科,633,635,0,541,（5+3一体化）（国家专项计划）（上海）（本硕衔接培养，四证合一，合格毕业生同时获执业医师资格证、住院医师规范化培训合格证书、硕士研究生毕业证和学位证。可参加拔尖人才培养特区选拔。该专业不招色盲、色弱考生。）,
score_73_608215_15_2023_1_本科提前批B段,73_608215,73,608215,内蒙古,2023,应用化学,本科 (1),理学 (9),化学类 (53),普通类,本科提前批B段,理科,596,596,0,1890,（国家专项计划）（上海）（含双学位培养项目：能源与动力工程-应用化学。可参加拔尖人才培养特区选拔。该专业不招色盲、色弱考生。）,
