score_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,min,max,average,min_section,info,sg_info
score_34_281_13_2022_2074_本科批,34_281,34,281,河北,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,历史类,618,0,0,815,,
score_34_358_13_2022_2074_本科批,34_358,34,358,河北,2022,经济学,本科 (1),经济学 (4),经济学类 (35),普通类,本科批,历史类,616,0,0,925,,
score_34_917699_13_2022_2074_本科批,34_917699,34,917699,河北,2022,数字媒体艺术,本科 (1),艺术学 (14),设计学类 (125),普通类,本科批,历史类,613,0,0,1087,,
score_34_348_13_2022_2074_本科批,34_348,34,348,河北,2022,社会学,本科 (1),法学 (5),社会学类 (41),普通类,本科批,历史类,610,0,0,1299,,
score_34_1801727_13_2022_2074_本科批,34_1801727,34,1801727,河北,2022,国际组织与全球治理,本科 (1),法学 (5),政治学类 (40),普通类,本科批,历史类,608,0,0,1424,,
score_34_358_14_2022_2_本科一批A段,34_358,34,358,山西,2022,经济学,本科 (1),经济学 (4),经济学类 (35),普通类,本科一批A段,文科,573,0,573,820,,
score_34_281_14_2022_2_本科一批A段,34_281,34,281,山西,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科一批A段,文科,572,0,572,859,,
score_34_348_14_2022_2_本科一批A段,34_348,34,348,山西,2022,社会学,本科 (1),法学 (5),社会学类 (41),普通类,本科一批A段,文科,571,0,571,905,,
score_34_1801727_14_2022_2_本科一批A段,34_1801727,34,1801727,山西,2022,国际组织与全球治理,本科 (1),法学 (5),政治学类 (40),普通类,本科一批A段,文科,571,0,571,905,,
score_34_917699_14_2022_2_本科一批A段,34_917699,34,917699,山西,2022,数字媒体艺术,本科 (1),艺术学 (14),设计学类 (125),普通类,本科一批A段,文科,568,0,569,1058,,
score_34_358_21_2022_2074_本科批,34_358,34,358,辽宁,2022,经济学,本科 (1),经济学 (4),经济学类 (35),普通类,本科批,历史类,618,0,0,525,,
score_34_281_21_2022_2074_本科批,34_281,34,281,辽宁,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,历史类,610,0,0,802,,
score_34_348_21_2022_2074_本科批,34_348,34,348,辽宁,2022,社会学,本科 (1),法学 (5),社会学类 (41),普通类,本科批,历史类,604,0,0,1022,,
score_34_1801727_21_2022_2074_本科批,34_1801727,34,1801727,辽宁,2022,国际组织与全球治理,本科 (1),法学 (5),政治学类 (40),普通类,本科批,历史类,603,0,0,1065,,
score_34_358_22_2022_2_本科一批A段,34_358,34,358,吉林,2022,经济学,本科 (1),经济学 (4),经济学类 (35),普通类,本科一批A段,文科,556,556,556,871,,
score_34_1801727_22_2022_2_本科一批A段,34_1801727,34,1801727,吉林,2022,国际组织与全球治理,本科 (1),法学 (5),政治学类 (40),普通类,本科一批A段,文科,550,551,551,1111,,
score_34_348_22_2022_2_本科一批A段,34_348,34,348,吉林,2022,社会学,本科 (1),法学 (5),社会学类 (41),普通类,本科一批A段,文科,530,533,532,2262,,
score_34_917699_22_2022_2_本科一批A段,34_917699,34,917699,吉林,2022,数字媒体艺术,本科 (1),艺术学 (14),设计学类 (125),普通类,本科一批A段,文科,511,545,533,3737,,
score_34_336_23_2022_1_提前批,34_336,34,336,黑龙江,2022,俄语,本科 (1),文学 (7),外国语言文学类 (48),普通类,提前批,理科,564,594,0,4490,,
score_34_336_23_2022_2_提前批,34_336,34,336,黑龙江,2022,俄语,本科 (1),文学 (7),外国语言文学类 (48),普通类,提前批,文科,547,553,0,1151,,
score_34_358_23_2022_2_本科一批A段,34_358,34,358,黑龙江,2022,经济学,本科 (1),经济学 (4),经济学类 (35),普通类,本科一批A段,文科,562,567,0,661,,
score_34_281_23_2022_2_本科一批A段,34_281,34,281,黑龙江,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科一批A段,文科,557,571,0,817,,
score_34_348_23_2022_2_本科一批A段,34_348,34,348,黑龙江,2022,社会学,本科 (1),法学 (5),社会学类 (41),普通类,本科一批A段,文科,553,556,0,933,,
score_34_1801727_23_2022_2_本科一批A段,34_1801727,34,1801727,黑龙江,2022,国际组织与全球治理,本科 (1),法学 (5),政治学类 (40),普通类,本科一批A段,文科,553,560,0,933,,
score_34_286_32_2022_2073_本科批,34_286,34,286,江苏,2022,数学与应用数学,本科 (1),理学 (9),数学类 (51),中外合作办学,本科批,物理类,603,617,0,12175,（中外合作办学）,首选物理，再选不限
score_34_287_32_2022_2073_本科批,34_287,34,287,江苏,2022,应用物理学,本科 (1),理学 (9),物理学类 (52),中外合作办学,本科批,物理类,599,611,0,14349,（中外合作办学）,首选物理，再选不限
score_34_286_32_2022_2073_本科批,34_286,34,286,江苏,2022,数学与应用数学,本科 (1),理学 (9),数学类 (51),中外合作办学,本科批,物理类,603,617,0,12175,（中外合作办学）,首选物理，再选不限
score_34_287_32_2022_2073_本科批,34_287,34,287,江苏,2022,应用物理学,本科 (1),理学 (9),物理学类 (52),中外合作办学,本科批,物理类,599,611,0,14349,（中外合作办学）,首选物理，再选不限
score_34_358_34_2022_2_本科一批,34_358,34,358,安徽,2022,经济学,本科 (1),经济学 (4),经济学类 (35),普通类,本科一批,文科,603,603,603,556,,
score_34_281_34_2022_2_本科一批,34_281,34,281,安徽,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科一批,文科,592,593,593,1173,,
score_34_348_34_2022_2_本科一批,34_348,34,348,安徽,2022,社会学,本科 (1),法学 (5),社会学类 (41),普通类,本科一批,文科,590,590,590,1310,,
score_34_1801727_34_2022_2_本科一批,34_1801727,34,1801727,安徽,2022,国际组织与全球治理,本科 (1),法学 (5),政治学类 (40),普通类,本科一批,文科,588,594,590,1477,,
score_34_286_34_2022_1_本科一批,34_286,34,286,安徽,2022,数学与应用数学,本科 (1),理学 (9),数学类 (51),中外合作办学,本科一批,理科,611,625,619,7731,（中外合作办学）（与俄罗斯圣彼得堡国立大学合作，“4+0”培养;学生入学后不得转专业）,
score_34_281_36_2022_2_本科一批,34_281,34,281,江西,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科一批,文科,591,591,591,1098,,
score_34_358_36_2022_2_本科一批,34_358,34,358,江西,2022,经济学,本科 (1),经济学 (4),经济学类 (35),普通类,本科一批,文科,591,591,591,1098,,
score_34_917699_36_2022_2_本科一批,34_917699,34,917699,江西,2022,数字媒体艺术,本科 (1),艺术学 (14),设计学类 (125),普通类,本科一批,文科,588,589,589,1290,,
score_34_1801727_36_2022_2_本科一批,34_1801727,34,1801727,江西,2022,国际组织与全球治理,本科 (1),法学 (5),政治学类 (40),普通类,本科一批,文科,588,588,588,1290,,
score_34_348_41_2022_2_本科一批,34_348,34,348,河南,2022,社会学,本科 (1),法学 (5),社会学类 (41),普通类,本科一批,文科,597,597,597,1415,,
score_34_281_41_2022_2_本科一批,34_281,34,281,河南,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科一批,文科,595,595,595,1573,,
score_34_358_41_2022_2_本科一批,34_358,34,358,河南,2022,经济学,本科 (1),经济学 (4),经济学类 (35),普通类,本科一批,文科,595,595,595,1573,,
score_34_1801727_41_2022_2_本科一批,34_1801727,34,1801727,河南,2022,国际组织与全球治理,本科 (1),法学 (5),政治学类 (40),普通类,本科一批,文科,569,592,581,5617,,
score_34_358_45_2022_2_本科一批,34_358,34,358,广西,2022,经济学,本科 (1),经济学 (4),经济学类 (35),普通类,本科一批,文科,619,619,0,588,,
