score_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,min,max,average,min_section,info,sg_info
score_124_6145_11_2022_3_本科批,124_6145,124,6145,北京,2022,核工程与核技术,本科 (1),工学 (10),核工程类 (84),普通类,本科批,综合,601,613,605,8528,,物理必选
score_124_6145_11_2022_3_本科批,124_6145,124,6145,北京,2022,核工程与核技术,本科 (1),工学 (10),核工程类 (84),普通类,本科批,综合,601,613,605,8528,,物理必选
score_124_6165_12_2022_3_本科批A段,124_6165,124,6165,天津,2022,软件工程,本科 (1),工学 (10),计算机类 (71),普通类,本科批A段,综合,647,0,0,5404,,物理必选
score_124_6145_12_2022_3_本科批A段,124_6145,124,6145,天津,2022,核工程与核技术,本科 (1),工学 (10),核工程类 (84),普通类,本科批A段,综合,646,0,0,5557,,物理必选
score_124_6165_12_2022_3_本科批A段,124_6165,124,6165,天津,2022,软件工程,本科 (1),工学 (10),计算机类 (71),普通类,本科批A段,综合,647,0,0,5404,,物理必选
score_124_6145_12_2022_3_本科批A段,124_6145,124,6145,天津,2022,核工程与核技术,本科 (1),工学 (10),核工程类 (84),普通类,本科批A段,综合,646,0,0,5557,,物理必选
score_124_6139_13_2022_2074_本科批,124_6139,124,6139,河北,2022,金融学,本科 (1),经济学 (4),金融学类 (37),普通类,本科批,历史类,594,0,0,2811,,
score_124_6168_13_2022_2074_本科批,124_6168,124,6168,河北,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,历史类,594,0,0,2811,,
score_124_6164_13_2022_2074_本科批,124_6164,124,6164,河北,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,历史类,590,0,0,3308,,
score_124_6185_13_2022_2073_本科批,124_6185,124,6185,河北,2022,光电信息科学与工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,599,0,0,10212,,
score_124_6140_13_2022_2073_本科批,124_6140,124,6140,河北,2022,数学与应用数学,本科 (1),理学 (9),数学类 (51),普通类,本科批,物理类,596,0,0,11399,,
score_124_6168_13_2022_2073_本科批,124_6168,124,6168,河北,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,物理类,596,0,0,11399,,
score_124_6139_13_2022_2073_本科批,124_6139,124,6139,河北,2022,金融学,本科 (1),经济学 (4),金融学类 (37),普通类,本科批,物理类,595,0,0,11821,,
score_124_6145_13_2022_2073_本科批,124_6145,124,6145,河北,2022,核工程与核技术,本科 (1),工学 (10),核工程类 (84),普通类,本科批,物理类,595,0,0,11821,,
score_124_6164_13_2022_2073_本科批,124_6164,124,6164,河北,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,物理类,591,0,0,13583,,
score_124_1379044_13_2022_2073_本科批,124_1379044,124,1379044,河北,2022,土木工程,本科 (1),工学 (10),土木类 (72),中外合作办学,本科批,物理类,550,0,0,40256,,
score_124_6177_14_2022_2_本科一批A段,124_6177,124,6177,山西,2022,思想政治教育,本科 (1),法学 (5),马克思主义理论类 (43),普通类,本科一批A段,文科,548,0,548,2531,,
score_124_6175_14_2022_2_本科一批A段,124_6175,124,6175,山西,2022,社会学,本科 (1),法学 (5),社会学类 (41),普通类,本科一批A段,文科,544,0,549,2939,,
score_124_6164_14_2022_2_本科一批A段,124_6164,124,6164,山西,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科一批A段,文科,540,0,543,3367,,
score_124_6145_14_2022_1_本科一批A段,124_6145,124,6145,山西,2022,核工程与核技术,本科 (1),工学 (10),核工程类 (84),普通类,本科一批A段,理科,569,0,573,7648,,
score_124_6185_14_2022_1_本科一批A段,124_6185,124,6185,山西,2022,光电信息科学与工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科一批A段,理科,569,0,572,7648,,
score_124_6145_15_2022_1_本科一批,124_6145,124,6145,内蒙古,2022,核工程与核技术,本科 (1),工学 (10),核工程类 (84),普通类,本科一批,理科,562,567,0,4110,,
score_124_6140_15_2022_1_本科一批,124_6140,124,6140,内蒙古,2022,数学与应用数学,本科 (1),理学 (9),数学类 (51),普通类,本科一批,理科,557,563,0,4653,,
score_124_6185_15_2022_1_本科一批,124_6185,124,6185,内蒙古,2022,光电信息科学与工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科一批,理科,541,562,0,6514,,
score_124_6140_15_2022_1_本科提前批A段,124_6140,124,6140,内蒙古,2022,数学与应用数学,本科 (1),理学 (9),数学类 (51),普通类,本科提前批A段,理科,542,542,0,6370,（高校专项计划）,
score_124_6140_15_2022_1_本科提前批B段,124_6140,124,6140,内蒙古,2022,数学与应用数学,本科 (1),理学 (9),数学类 (51),普通类,本科提前批B段,理科,562,562,0,4110,（国家专项计划）,
score_124_6168_15_2022_2_本科一批,124_6168,124,6168,内蒙古,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科一批,文科,540,545,0,1303,,
score_124_6177_15_2022_2_本科一批,124_6177,124,6177,内蒙古,2022,思想政治教育,本科 (1),法学 (5),马克思主义理论类 (43),普通类,本科一批,文科,537,539,0,1431,,
score_124_6175_15_2022_2_本科一批,124_6175,124,6175,内蒙古,2022,社会学,本科 (1),法学 (5),社会学类 (41),普通类,本科一批,文科,518,535,0,2477,,
score_124_6139_21_2022_2074_本科批,124_6139,124,6139,辽宁,2022,金融学,本科 (1),经济学 (4),金融学类 (37),普通类,本科批,历史类,578,0,0,2636,,
score_124_6185_21_2022_2073_本科批,124_6185,124,6185,辽宁,2022,光电信息科学与工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,605,0,0,8257,,
score_124_6145_21_2022_2073_本科批,124_6145,124,6145,辽宁,2022,核工程与核技术,本科 (1),工学 (10),核工程类 (84),普通类,本科批,物理类,604,0,0,8503,,
score_124_6140_21_2022_2073_本科批,124_6140,124,6140,辽宁,2022,数学与应用数学,本科 (1),理学 (9),数学类 (51),普通类,本科批,物理类,600,0,0,9412,,
score_124_6139_21_2022_2073_本科批,124_6139,124,6139,辽宁,2022,金融学,本科 (1),经济学 (4),金融学类 (37),普通类,本科批,物理类,598,0,0,9934,,
score_124_1379044_21_2022_2073_本科批,124_1379044,124,1379044,辽宁,2022,土木工程,本科 (1),工学 (10),土木类 (72),中外合作办学,本科批,物理类,560,0,0,21589,,
score_124_6165_22_2022_1_本科一批A段,124_6165,124,6165,吉林,2022,软件工程,本科 (1),工学 (10),计算机类 (71),普通类,本科一批A段,理科,558,568,562,5982,（国家特色示范学院）（后两年学费16000元/年，不招单色异常考生）,
score_124_6145_22_2022_1_本科一批A段,124_6145,124,6145,吉林,2022,核工程与核技术,本科 (1),工学 (10),核工程类 (84),普通类,本科一批A段,理科,557,568,561,6136,,
score_124_6140_22_2022_1_本科一批A段,124_6140,124,6140,吉林,2022,数学与应用数学,本科 (1),理学 (9),数学类 (51),普通类,本科一批A段,理科,554,556,555,6591,,
score_124_6185_22_2022_1_本科一批A段,124_6185,124,6185,吉林,2022,光电信息科学与工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科一批A段,理科,553,557,554,6737,,
