score_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,min,max,average,min_section,info,sg_info
score_100_143540_11_2022_3_本科批,100_143540,100,143540,北京,2022,环境工程,本科(普通) (1),工学 (10),环境科学与工程类 (87),普通类,本科批,综合,573,0,573,12798,,物/化/生(3选1)
score_100_143524_11_2022_3_本科批,100_143524,100,143524,北京,2022,动物医学,本科(普通) (1),农学 (11),动物医学类 (97),普通类,本科批,综合,565,0,570,14087,,物/化/生(3选1)
score_100_143540_11_2022_3_本科批,100_143540,100,143540,北京,2022,环境工程,本科(普通) (1),工学 (10),环境科学与工程类 (87),普通类,本科批,综合,573,0,573,12798,,物/化/生(3选1)
score_100_143524_11_2022_3_本科批,100_143524,100,143524,北京,2022,动物医学,本科(普通) (1),农学 (11),动物医学类 (97),普通类,本科批,综合,565,0,570,14087,,物/化/生(3选1)
score_100_143447_12_2022_3_本科批A段,100_143447,100,143447,天津,2022,国际经济与贸易,本科(普通) (1),经济学 (4),经济与贸易类 (38),普通类,本科批A段,综合,623,0,0,9588,,不限
score_100_143458_12_2022_3_本科批A段,100_143458,100,143458,天津,2022,人力资源管理,本科(普通) (1),管理学 (13),工商管理类 (113),普通类,本科批A段,综合,620,0,0,10116,,不限
score_100_143447_12_2022_3_本科批A段,100_143447,100,143447,天津,2022,国际经济与贸易,本科(普通) (1),经济学 (4),经济与贸易类 (38),普通类,本科批A段,综合,623,0,0,9588,,不限
score_100_143517_12_2022_3_本科批A段,100_143517,100,143517,天津,2022,风景园林,本科(普通) (1),工学 (10),建筑类 (90),普通类,本科批A段,综合,623,0,0,9588,,物/生/地(3选1)
score_100_143458_12_2022_3_本科批A段,100_143458,100,143458,天津,2022,人力资源管理,本科(普通) (1),管理学 (13),工商管理类 (113),普通类,本科批A段,综合,620,0,0,10116,,不限
score_100_143543_12_2022_3_本科批A段,100_143543,100,143543,天津,2022,园艺,本科(普通) (1),农学 (11),植物生产类 (94),普通类,本科批A段,综合,616,0,0,10834,,物/化/生(3选1)
score_100_143512_12_2022_3_本科批A段,100_143512,100,143512,天津,2022,农业水利工程,本科(普通) (1),工学 (10),农业工程类 (85),普通类,本科批A段,综合,614,0,0,11239,,物/化/生(3选1)
score_100_143515_12_2022_3_本科批A段,100_143515,100,143515,天津,2022,食品质量与安全,本科(普通) (1),工学 (10),食品科学与工程类 (89),普通类,本科批A段,综合,614,0,0,11239,,物/化/生(3选1)
score_100_143518_12_2022_3_本科批A段,100_143518,100,143518,天津,2022,生物工程,本科(普通) (1),工学 (10),生物工程类 (92),普通类,本科批A段,综合,614,0,0,11239,,物/化/生(3选1)
score_100_143528_12_2022_3_本科批A段,100_143528,100,143528,天津,2022,水产养殖学,本科(普通) (1),农学 (11),水产类 (99),普通类,本科批A段,综合,614,0,0,11239,,物/化/生(3选1)
score_100_143540_12_2022_3_本科批A段,100_143540,100,143540,天津,2022,环境工程,本科(普通) (1),工学 (10),环境科学与工程类 (87),普通类,本科批A段,综合,613,0,0,11466,,物/化/生(3选1)
score_100_143517_12_2022_3_本科批A段,100_143517,100,143517,天津,2022,风景园林,本科(普通) (1),工学 (10),建筑类 (90),普通类,本科批A段,综合,623,0,0,9588,,物/生/地(3选1)
score_100_143543_12_2022_3_本科批A段,100_143543,100,143543,天津,2022,园艺,本科(普通) (1),农学 (11),植物生产类 (94),普通类,本科批A段,综合,616,0,0,10834,,物/化/生(3选1)
score_100_143512_12_2022_3_本科批A段,100_143512,100,143512,天津,2022,农业水利工程,本科(普通) (1),工学 (10),农业工程类 (85),普通类,本科批A段,综合,614,0,0,11239,,物/化/生(3选1)
score_100_143515_12_2022_3_本科批A段,100_143515,100,143515,天津,2022,食品质量与安全,本科(普通) (1),工学 (10),食品科学与工程类 (89),普通类,本科批A段,综合,614,0,0,11239,,物/化/生(3选1)
score_100_143518_12_2022_3_本科批A段,100_143518,100,143518,天津,2022,生物工程,本科(普通) (1),工学 (10),生物工程类 (92),普通类,本科批A段,综合,614,0,0,11239,,物/化/生(3选1)
score_100_143528_12_2022_3_本科批A段,100_143528,100,143528,天津,2022,水产养殖学,本科(普通) (1),农学 (11),水产类 (99),普通类,本科批A段,综合,614,0,0,11239,,物/化/生(3选1)
score_100_143540_12_2022_3_本科批A段,100_143540,100,143540,天津,2022,环境工程,本科(普通) (1),工学 (10),环境科学与工程类 (87),普通类,本科批A段,综合,613,0,0,11466,,物/化/生(3选1)
score_100_143450_13_2022_2074_本科批,100_143450,100,143450,河北,2022,社会工作,本科(普通) (1),法学 (5),社会学类 (41),普通类,本科批,历史类,585,0,0,3946,,
score_100_143504_13_2022_2073_本科批,100_143504,100,143504,河北,2022,电子科学与技术,本科(普通) (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,580,0,0,19205,,
score_100_143445_13_2022_2073_本科批,100_143445,100,143445,河北,2022,金融学,本科(普通) (1),经济学 (4),金融学类 (37),普通类,本科批,物理类,578,0,0,20380,,
score_100_143506_13_2022_2073_本科批,100_143506,100,143506,河北,2022,物联网工程,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批,物理类,578,0,0,20380,,
score_100_143457_13_2022_2073_本科批,100_143457,100,143457,河北,2022,财务管理,本科(普通) (1),管理学 (13),工商管理类 (113),普通类,本科批,物理类,577,0,0,20936,,
score_100_143447_13_2022_2073_本科批,100_143447,100,143447,河北,2022,国际经济与贸易,本科(普通) (1),经济学 (4),经济与贸易类 (38),普通类,本科批,物理类,575,0,0,22143,,
score_100_143502_13_2022_2073_本科批,100_143502,100,143502,河北,2022,能源与动力工程,本科(普通) (1),工学 (10),能源动力类 (67),普通类,本科批,物理类,573,0,0,23356,,
score_100_143452_13_2022_2073_本科批,100_143452,100,143452,河北,2022,英语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科批,物理类,572,0,0,23984,,
score_100_143517_13_2022_2073_本科批,100_143517,100,143517,河北,2022,风景园林,本科(普通) (1),工学 (10),建筑类 (90),普通类,本科批,物理类,571,0,0,24634,,
score_100_143458_13_2022_2073_本科批,100_143458,100,143458,河北,2022,人力资源管理,本科(普通) (1),管理学 (13),工商管理类 (113),普通类,本科批,物理类,570,0,0,25269,,
score_100_143511_13_2022_2073_本科批,100_143511,100,143511,河北,2022,农业机械化及其自动化,本科(普通) (1),工学 (10),农业工程类 (85),普通类,本科批,物理类,569,0,0,25895,,
score_100_143515_13_2022_2073_本科批,100_143515,100,143515,河北,2022,食品质量与安全,本科(普通) (1),工学 (10),食品科学与工程类 (89),普通类,本科批,物理类,568,0,0,26529,,
score_100_143519_13_2022_2073_本科批,100_143519,100,143519,河北,2022,农学,本科(普通) (1),农学 (11),植物生产类 (94),普通类,本科批,物理类,568,0,0,26529,,
score_100_143532_13_2022_2073_本科批,100_143532,100,143532,河北,2022,工程造价,本科(普通) (1),管理学 (13),管理科学与工程类 (112),普通类,本科批,物理类,568,0,0,26529,,
